# File: A_demand_technology.csv
# Title: Technologies and inputs of agricultural production
# Unit: NA
# Description: Generic information of technologies and inputs of agricultural production
# Source: GCAM assumptions
# Column types: cccccccccn
# ----------
supplysector,subsector0,subsector,technology,apply.to,from.year,to.year,interpolation.function,minicam.energy.input,coefficient
NonFoodDemand_Crops,Fruits,Fruits,Fruits,share-weight,final-calibration-year,end-year,fixed,regional fruits,1
NonFoodDemand_Crops,Legumes,Legumes,Legumes,share-weight,final-calibration-year,end-year,fixed,regional legumes,1
NonFoodDemand_Crops,MiscCrop,MiscCrop,MiscCrop,share-weight,final-calibration-year,end-year,fixed,regional misccrop,1
NonFoodDemand_Crops,NutsSeeds,NutsSeeds,NutsSeeds,share-weight,final-calibration-year,end-year,fixed,regional nuts_seeds,1
NonFoodDemand_Crops,OilCrop,OilCrop,OilCrop,share-weight,final-calibration-year,end-year,fixed,regional oilcrop,1
NonFoodDemand_Crops,OtherGrain,OtherGrain,OtherGrain,share-weight,final-calibration-year,end-year,fixed,regional othergrain,1
NonFoodDemand_Crops,OilPalm,OilPalm,OilPalm,share-weight,final-calibration-year,end-year,fixed,regional oilpalm,1
NonFoodDemand_Crops,Rice,Rice,Rice,share-weight,final-calibration-year,end-year,fixed,regional rice,1
NonFoodDemand_Crops,RootTuber,RootTuber,RootTuber,share-weight,final-calibration-year,end-year,fixed,regional root_tuber,1
NonFoodDemand_Crops,Soybean,Soybean,Soybean,share-weight,final-calibration-year,end-year,fixed,regional soybean,1
NonFoodDemand_Crops,SugarCrop,SugarCrop,SugarCrop,share-weight,final-calibration-year,end-year,fixed,regional sugarcrop,1
NonFoodDemand_Crops,Vegetables,Vegetables,Vegetables,share-weight,final-calibration-year,end-year,fixed,regional vegetables,1
NonFoodDemand_Crops,Wheat,Wheat,Wheat,share-weight,final-calibration-year,end-year,fixed,regional wheat,1
NonFoodDemand_Meat,Beef,Beef,Beef,share-weight,final-calibration-year,end-year,fixed,regional beef,1
NonFoodDemand_Meat,Dairy,Dairy,Dairy,share-weight,final-calibration-year,end-year,fixed,regional dairy,1
NonFoodDemand_Meat,Pork,Pork,Pork,share-weight,final-calibration-year,end-year,fixed,regional pork,1
NonFoodDemand_Meat,Poultry,Poultry,Poultry,share-weight,final-calibration-year,end-year,fixed,regional poultry,1
NonFoodDemand_Meat,SheepGoat,SheepGoat,SheepGoat,share-weight,final-calibration-year,end-year,fixed,regional sheepgoat,1
NonFoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,OtherMeat_Fish,share-weight,final-calibration-year,end-year,fixed,OtherMeat_Fish,1
NonFoodDemand_Forest,Forest,Forest,Forest,share-weight,final-calibration-year,end-year,fixed,regional forest,1
