"GCAM_region_ID","GCAM_commodity","year","HA_kHa_rainfed","Prod_kt_rainfed","HA_kHa_irrigated","Prod_kt_irrigated","HA_kHa","Prod_kt","Yield_tHa_rainfed","Yield_tHa_irrigated","Yield_tHa"
11,"OilCrop",2005,6176,5931,569,814,6747,6745,0.960330310880829,1.43057996485062,0.999703571957907
12,"OilCrop",2005,7665,9912,228,579,7892,10489,1.29315068493151,2.53947368421053,1.32906741003548
13,"OilCrop",2005,109,109,48,100,157,209,1,2.08333333333333,1.33121019108280
14,"OilCrop",2005,24983,21838,2844,4553,27826,26391,0.874114397790497,1.60091420534459,0.94842952634227
1,"OtherGrain",2005,3699,10901,1015,5451,4714,16352,2.94701270613679,5.37044334975369,3.46881629189648
2,"OtherGrain",2005,5580,15620,45,307,5624,15927,2.79928315412186,6.82222222222222,2.83197012802276
3,"OtherGrain",2005,26190,92990,804,3387,26994,96376,3.55059182894234,4.21268656716418,3.57027487589835
4,"OtherGrain",2005,43,40,56,169,99,209,0.930232558139535,3.01785714285714,2.11111111111111
5,"OtherGrain",2005,6451,9816,119,471,6571,10288,1.52162455433266,3.95798319327731,1.56566732612996
6,"OtherGrain",2005,18659,28247,567,1433,19227,29679,1.51385390428212,2.52733686067019,1.54361054766734
7,"OtherGrain",2005,5320,9031,820,1774,6139,10803,1.69755639097744,2.16341463414634,1.75973285551393
8,"OtherGrain",2005,2496,1598,2188,3549,4684,5147,0.640224358974359,1.62202925045704,1.09884713919727
9,"OtherGrain",2005,55493,50176,511,1700,56005,51875,0.904186113563873,3.32681017612524,0.92625658423355
10,"OtherGrain",2005,4590,11600,1133,4467,5728,16067,2.52723311546841,3.94263018534863,2.80499301675978
11,"OtherGrain",2005,1426,1013,475,615,1901,1627,0.710378681626929,1.29473684210526,0.855865334034719
12,"OtherGrain",2005,9046,18297,10,23,9056,18319,2.02266195003316,2.3,2.02285777385159
13,"OtherGrain",2005,67,266,0,0,67,266,3.97014925373134,NA,3.97014925373134
14,"OtherGrain",2005,18639,12833,2305,6398,20945,19231,0.688502602070927,2.77570498915401,0.918166626879924
1,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
2,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
3,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
4,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
5,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
