"GCAM_region_ID","GCAM_commodity","year","Prod_Mt","ID_R_C_Y"
6,"Pork",1990,6.206007,"6Pork1990"
7,"Pork",1990,25.2388876,"7Pork1990"
8,"Pork",1990,0.012965,"8Pork1990"
9,"Pork",1990,0.5581042,"9Pork1990"
10,"Pork",1990,3.0380486,"10Pork1990"
11,"Pork",1990,1.9568264,"11Pork1990"
12,"Pork",1990,5.7160032,"12Pork1990"
13,"Pork",1990,0.5474,"13Pork1990"
14,"Pork",1990,0.4123,"14Pork1990"
1,"Poultry",1990,14.7833996,"1Poultry1990"
2,"Poultry",1990,1.0388534,"2Poultry1990"
3,"Poultry",1990,12.8475806,"3Poultry1990"
4,"Poultry",1990,3.858401,"4Poultry1990"
5,"Poultry",1990,0.7027238,"5Poultry1990"
6,"Poultry",1990,7.6036616,"6Poultry1990"
7,"Poultry",1990,13.0120586,"7Poultry1990"
8,"Poultry",1990,1.8655858,"8Poultry1990"
9,"Poultry",1990,3.3579922,"9Poultry1990"
10,"Poultry",1990,9.1383968,"10Poultry1990"
11,"Poultry",1990,4.553988,"11Poultry1990"
12,"Poultry",1990,3.458708,"12Poultry1990"
13,"Poultry",1990,0.6906988,"13Poultry1990"
14,"Poultry",1990,1.482956,"14Poultry1990"
1,"SheepGoat",1990,0.15931,"1SheepGoat1990"
2,"SheepGoat",1990,0.0096656,"2SheepGoat1990"
3,"SheepGoat",1990,1.6007504,"3SheepGoat1990"
4,"SheepGoat",1990,0.0003914,"4SheepGoat1990"
5,"SheepGoat",1990,1.20288,"5SheepGoat1990"
6,"SheepGoat",1990,0.9550872,"6SheepGoat1990"
7,"SheepGoat",1990,1.184939,"7SheepGoat1990"
8,"SheepGoat",1990,0.6496762,"8SheepGoat1990"
9,"SheepGoat",1990,1.486073,"9SheepGoat1990"
10,"SheepGoat",1990,0.4333814,"10SheepGoat1990"
11,"SheepGoat",1990,0.726808,"11SheepGoat1990"
12,"SheepGoat",1990,0.2793132,"12SheepGoat1990"
13,"SheepGoat",1990,0.001238,"13SheepGoat1990"
14,"SheepGoat",1990,0.6116,"14SheepGoat1990"
1,"Beef",2005,11.642396,"1Beef2005"
2,"Beef",2005,1.355404,"2Beef2005"
3,"Beef",2005,7.9168172,"3Beef2005"
4,"Beef",2005,0.5019928,"4Beef2005"
5,"Beef",2005,2.7735434,"5Beef2005"
6,"Beef",2005,4.0141676,"6Beef2005"
7,"Beef",2005,6.1278352,"7Beef2005"
8,"Beef",2005,0.6958928,"8Beef2005"
9,"Beef",2005,4.7950146,"9Beef2005"
10,"Beef",2005,16.1447112,"10Beef2005"
11,"Beef",2005,2.7088718,"11Beef2005"
12,"Beef",2005,0.9740744,"12Beef2005"
13,"Beef",2005,0.1976,"13Beef2005"
14,"Beef",2005,2.273943,"14Beef2005"
1,"Dairy",2005,106.6452878,"1Dairy2005"
2,"Dairy",2005,11.35629,"2Dairy2005"
3,"Dairy",2005,198.6022648,"3Dairy2005"
4,"Dairy",2005,8.7753034,"4Dairy2005"
5,"Dairy",2005,30.2959544,"5Dairy2005"
6,"Dairy",2005,77.8369484,"6Dairy2005"
7,"Dairy",2005,33.6489232,"7Dairy2005"
8,"Dairy",2005,15.9353972,"8Dairy2005"
9,"Dairy",2005,35.3850072,"9Dairy2005"
10,"Dairy",2005,74.8781248,"10Dairy2005"
11,"Dairy",2005,37.8565842,"11Dairy2005"
12,"Dairy",2005,39.516437,"12Dairy2005"
13,"Dairy",2005,2.3077992,"13Dairy2005"
14,"Dairy",2005,98.028136,"14Dairy2005"
1,"OtherMeat_Fish",2005,13.4288562,"1OtherMeat_Fish2005"
2,"OtherMeat_Fish",2005,2.2807882,"2OtherMeat_Fish2005"
3,"OtherMeat_Fish",2005,20.04896,"3OtherMeat_Fish2005"
4,"OtherMeat_Fish",2005,5.6548562,"4OtherMeat_Fish2005"
5,"OtherMeat_Fish",2005,2.972183,"5OtherMeat_Fish2005"
6,"OtherMeat_Fish",2005,6.3248372,"6OtherMeat_Fish2005"
7,"OtherMeat_Fish",2005,57.3408566,"7OtherMeat_Fish2005"
8,"OtherMeat_Fish",2005,1.6042746,"8OtherMeat_Fish2005"
9,"OtherMeat_Fish",2005,11.0119978,"9OtherMeat_Fish2005"
10,"OtherMeat_Fish",2005,24.553445,"10OtherMeat_Fish2005"
11,"OtherMeat_Fish",2005,21.9067716,"11OtherMeat_Fish2005"
12,"OtherMeat_Fish",2005,1.807643,"12OtherMeat_Fish2005"
13,"OtherMeat_Fish",2005,2.3728588,"13OtherMeat_Fish2005"
14,"OtherMeat_Fish",2005,7.3680712,"14OtherMeat_Fish2005"
1,"Pork",2005,9.448608,"1Pork2005"
2,"Pork",2005,1.9069934,"2Pork2005"
3,"Pork",2005,18.5240636,"3Pork2005"
4,"Pork",2005,1.2556598,"4Pork2005"
5,"Pork",2005,0.4450934,"5Pork2005"
6,"Pork",2005,3.0827848,"6Pork2005"
7,"Pork",2005,47.7374772,"7Pork2005"
8,"Pork",2005,0.019095,"8Pork2005"
9,"Pork",2005,0.8914114,"9Pork2005"
10,"Pork",2005,5.8631666,"10Pork2005"
11,"Pork",2005,3.3673782,"11Pork2005"
12,"Pork",2005,4.3604464,"12Pork2005"
13,"Pork",2005,1.0102164,"13Pork2005"
14,"Pork",2005,0.472822,"14Pork2005"
1,"Poultry",2005,23.678897,"1Poultry2005"
2,"Poultry",2005,1.5481342,"2Poultry2005"
3,"Poultry",2005,15.8045134,"3Poultry2005"
4,"Poultry",2005,3.8122282,"4Poultry2005"
5,"Poultry",2005,1.1235318,"5Poultry2005"
6,"Poultry",2005,5.8139658,"6Poultry2005"
7,"Poultry",2005,39.3732708,"7Poultry2005"
8,"Poultry",2005,4.2779608,"8Poultry2005"
9,"Poultry",2005,5.7074094,"9Poultry2005"
10,"Poultry",2005,22.3559948,"10Poultry2005"
11,"Poultry",2005,9.2478282,"11Poultry2005"
12,"Poultry",2005,3.76376,"12Poultry2005"
13,"Poultry",2005,1.0615428,"13Poultry2005"
14,"Poultry",2005,3.167062,"14Poultry2005"
1,"SheepGoat",2005,0.09486,"1SheepGoat2005"
2,"SheepGoat",2005,0.0170082,"2SheepGoat2005"
3,"SheepGoat",2005,1.403048,"3SheepGoat2005"
4,"SheepGoat",2005,0.000175,"4SheepGoat2005"
5,"SheepGoat",2005,1.1763004,"5SheepGoat2005"
6,"SheepGoat",2005,0.5835668,"6SheepGoat2005"
7,"SheepGoat",2005,3.5953712,"7SheepGoat2005"
8,"SheepGoat",2005,0.9275292,"8SheepGoat2005"
9,"SheepGoat",2005,2.1892828,"9SheepGoat2005"
10,"SheepGoat",2005,0.4222508,"10SheepGoat2005"
11,"SheepGoat",2005,0.886744,"11SheepGoat2005"
12,"SheepGoat",2005,0.1422994,"12SheepGoat2005"
13,"SheepGoat",2005,0.0028074,"13SheepGoat2005"
14,"SheepGoat",2005,0.7082936,"14SheepGoat2005"
