"GCAM_region_ID","landtype","AEZ1","AEZ2","AEZ3","AEZ4","AEZ5","AEZ6","AEZ7","AEZ8","AEZ9","AEZ10","AEZ11","AEZ12","AEZ13","AEZ14","AEZ15","AEZ16","AEZ17","AEZ18"
7,"Pastureland",0,0,0,3.51629,16.01556,32.89405,838.14804,577.1201,155.37033,97.66405,199.13396,265.98894,520.05122,650.07272,311.07647,81.8484,2.53476,0
8,"Pastureland",201.2797,0.2444,0.3694,0,0,0,345.39949,373.97608,51.8485,5.07801,0,0,0,0,0,0,0,0
9,"Pastureland",1492.24495,905.60637,1132.9252,1512.41017,560.2824,141.99511,1245.23358,429.71462,401.62351,278.80856,38.62751,0.93657,0,0,0,0,0,0
10,"Pastureland",49.22674,52.59845,151.78906,370.22685,1386.68541,811.29331,839.41367,236.88592,151.03342,96.27704,92.19157,706.97731,146.66792,79.37899,47.12872,38.65984,4.21706,1.42487
11,"Pastureland",7.24573,0,0.50589,10.4271,16.98896,28.03709,99.97046,194.80389,5.70256,6.11681,12.4202,4.03766,29.78791,24.65597,1.36975,1.92122,0,0
12,"Pastureland",0,0,0,0,0,0,0,1.58093,21.49537,141.07409,29.3134,2.88487,0,0,1.69891,2.82126,0,0
13,"Pastureland",0,0,0,0,0,0,0,0,0,0.22521,0.27119,0,0,0,0,0,0,0
14,"Pastureland",2.72357,10.33111,45.83096,12.38797,2.5718,1.24677,3.06288,11.69674,8.25983,8.12972,4.9822,1.1372,0.40519,1.535,2.35064,1.33022,0,0
1,"SavnGrasslnd",0,0,0,0,0,0,153.07196,102.31924,39.85251,156.00742,69.57732,12.69822,4.29333,4.3479,38.86291,0,0,0
2,"SavnGrasslnd",0,0,0,0,0,0,14.16379,10.05227,12.91355,3.77756,0,0,6.6015,2.57143,9.37871,0.66146,0,0
3,"SavnGrasslnd",0,0,0,0,0,0,0,104.47665,56.37227,57.91777,31.80409,24.27943,0,7.19281,1.30365,1.73939,0,0
4,"SavnGrasslnd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"SavnGrasslnd",80.6388,312.02008,365.1186,64.55404,5.43758,9.2628,585.29564,107.39384,86.72014,74.4719,83.97077,118.67308,0,0,5.4096,16.99518,9.71541,0
6,"SavnGrasslnd",0,0,0,0,0,0,151.12074,165.89019,87.60618,30.73963,0,0,258.92928,468.38251,370.54342,0.95649,0,0
7,"SavnGrasslnd",0,0,0,0,21.33966,37.20569,142.44124,69.49568,23.69324,16.89925,47.71024,66.57283,42.49507,98.25826,92.81908,65.89514,5.31206,0
8,"SavnGrasslnd",0,0,0.87746,0,0,0,5.97995,53.99859,7.31409,1.54717,0,0,0,0,0,0,0,0
9,"SavnGrasslnd",276.73052,439.60781,1194.10489,1338.31485,864.88185,304.49319,259.42967,324.02048,339.42791,112.92416,45.38443,5.40386,0,0,0,0,0,0
10,"SavnGrasslnd",9.7269,7.70603,44.81956,470.55948,704.7151,119.58207,404.92514,166.79538,165.43447,53.71663,63.8786,295.53585,99.92612,67.74313,37.529,23.52688,1.54548,0
11,"SavnGrasslnd",0,0,0,9.60944,63.22121,105.31096,0.58372,27.01444,7.64896,5.57218,0.15157,0.90256,3.02257,3.0953,0,4.92084,0,0
12,"SavnGrasslnd",0,0,0,0,0,0,0,4.94242,18.69191,16.72554,4.00737,0,0,0,0,0,0,0
13,"SavnGrasslnd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"SavnGrasslnd",0,1.9942,69.92261,28.18686,0,0,0,4.26302,1.80467,10.99672,1.06768,0,0,0,5.51501,4.31093,0,0
1,"Shrubland",0,0,0,0,0,0,440.43012,48.75148,23.87858,1.21579,0,0,19.32747,2.18919,0,0,0,0
2,"Shrubland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Shrubland",0,0,0,1.87477,0,0,1.36717,9.00657,105.26622,128.39761,22.8879,2.92303,0,0,0,0,0,0
4,"Shrubland",0,0,0,0,0,0,0,0,0,0,1.62995,0,0,0,0,0,0,0
5,"Shrubland",420.26304,228.45084,12.12776,19.16117,2.84155,0,1806.36896,96.89801,54.08244,23.65787,13.45446,1.68606,0,0,0,0,0,0
6,"Shrubland",0,0,0,0,0,0,303.16873,45.34675,14.03923,0,0,0,8.57169,5.98955,1.65553,0,0,0
7,"Shrubland",0,0,0,0,0,2.78819,538.68796,14.29564,0.05453,10.875,58.68393,0.99455,98.0182,6.59985,2.64808,15.00078,0,0
8,"Shrubland",274.67815,0,1.60434,0,0,0,607.96978,104.03821,61.49856,10.96789,0,0,0,0,0,0,0,0
9,"Shrubland",628.71788,151.67846,58.07934,29.64139,50.31667,7.68049,271.66781,62.85715,53.69108,17.24248,0,1.8086,0,0,0,0,0,0
10,"Shrubland",93.38697,86.04,328.2272,197.75153,31.59934,19.01974,388.73786,160.46557,106.37708,78.55401,12.55785,8.40588,0,2.01243,7.44467,6.19782,0,0
11,"Shrubland",41.71776,0,0,0,0,0,209.53532,65.52581,8.0887,6.41419,5.20744,8.24989,19.46953,10.60915,2.64666,0,0,0
12,"Shrubland",0,0,0,0,0,0,0,1.17456,6.30239,0,1.24204,0,0,0,0,0,0,0
13,"Shrubland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Shrubland",16.01308,14.56364,34.3725,14.67804,0,0,17.81639,13.66093,2.53821,8.23541,13.76247,1.39742,5.11466,2.51914,0,1.95219,0,0
