"GCAM_region_ID","commodity","system","feed","year","Prod_Mt","ID_R_C_S_F_Y"
10,"Beef","Mixed","FodderHerb_Residue",1990,0.983551831163292,"10BeefMixedFodderHerb_Residue1990"
11,"Beef","Mixed","FodderHerb_Residue",1990,0.247000358327442,"11BeefMixedFodderHerb_Residue1990"
12,"Beef","Mixed","FodderHerb_Residue",1990,0.475522774774775,"12BeefMixedFodderHerb_Residue1990"
13,"Beef","Mixed","FodderHerb_Residue",1990,0.06532478596,"13BeefMixedFodderHerb_Residue1990"
14,"Beef","Mixed","FodderHerb_Residue",1990,0.26567286471,"14BeefMixedFodderHerb_Residue1990"
1,"Dairy","Mixed","FodderHerb_Residue",1990,22.1256967632,"1DairyMixedFodderHerb_Residue1990"
2,"Dairy","Mixed","FodderHerb_Residue",1990,2.41618436224,"2DairyMixedFodderHerb_Residue1990"
3,"Dairy","Mixed","FodderHerb_Residue",1990,95.704835165903,"3DairyMixedFodderHerb_Residue1990"
4,"Dairy","Mixed","FodderHerb_Residue",1990,0.3924922216,"4DairyMixedFodderHerb_Residue1990"
5,"Dairy","Mixed","FodderHerb_Residue",1990,0.892050597392217,"5DairyMixedFodderHerb_Residue1990"
6,"Dairy","Mixed","FodderHerb_Residue",1990,28.9730294670203,"6DairyMixedFodderHerb_Residue1990"
7,"Dairy","Mixed","FodderHerb_Residue",1990,2.0585425212,"7DairyMixedFodderHerb_Residue1990"
8,"Dairy","Mixed","FodderHerb_Residue",1990,2.5621124713272,"8DairyMixedFodderHerb_Residue1990"
9,"Dairy","Mixed","FodderHerb_Residue",1990,4.93792796027315,"9DairyMixedFodderHerb_Residue1990"
10,"Dairy","Mixed","FodderHerb_Residue",1990,16.0646220068850,"10DairyMixedFodderHerb_Residue1990"
11,"Dairy","Mixed","FodderHerb_Residue",1990,8.09039718409694,"11DairyMixedFodderHerb_Residue1990"
12,"Dairy","Mixed","FodderHerb_Residue",1990,16.7465619785786,"12DairyMixedFodderHerb_Residue1990"
13,"Dairy","Mixed","FodderHerb_Residue",1990,0.69244276754272,"13DairyMixedFodderHerb_Residue1990"
14,"Dairy","Mixed","FodderHerb_Residue",1990,19.205967168,"14DairyMixedFodderHerb_Residue1990"
1,"Pork","Mixed","FodderHerb_Residue",1990,1.089735,"1PorkMixedFodderHerb_Residue1990"
2,"Pork","Mixed","FodderHerb_Residue",1990,0.17359599,"2PorkMixedFodderHerb_Residue1990"
3,"Pork","Mixed","FodderHerb_Residue",1990,4.73229198,"3PorkMixedFodderHerb_Residue1990"
4,"Pork","Mixed","FodderHerb_Residue",1990,0.61160048,"4PorkMixedFodderHerb_Residue1990"
5,"Pork","Mixed","FodderHerb_Residue",1990,0.14358728,"5PorkMixedFodderHerb_Residue1990"
6,"Pork","Mixed","FodderHerb_Residue",1990,2.27260310344304,"6PorkMixedFodderHerb_Residue1990"
7,"Pork","Mixed","FodderHerb_Residue",1990,16.40527694,"7PorkMixedFodderHerb_Residue1990"
8,"Pork","Mixed","FodderHerb_Residue",1990,0.005186,"8PorkMixedFodderHerb_Residue1990"
9,"Pork","Mixed","FodderHerb_Residue",1990,0.229561675296167,"9PorkMixedFodderHerb_Residue1990"
10,"Pork","Mixed","FodderHerb_Residue",1990,0.874481791185622,"10PorkMixedFodderHerb_Residue1990"
11,"Pork","Mixed","FodderHerb_Residue",1990,1.44776896179061,"11PorkMixedFodderHerb_Residue1990"
12,"Pork","Mixed","FodderHerb_Residue",1990,1.4290008,"12PorkMixedFodderHerb_Residue1990"
13,"Pork","Mixed","FodderHerb_Residue",1990,0.05474,"13PorkMixedFodderHerb_Residue1990"
