Set unit tags for end-use supplysectors,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
supplysector,output-unit,input-unit,price-unit,1975 price,,,,,,,,,,
electrochemical,electricity,2005,-3,1,1,1,1,1,1,1,1,,,
other end uses,biomass,1975,-3,0,0,0.001,0.001,0.001,0.001,0.001,0.001,,,
other end uses,coal,2005,-3,1,1,1,1,1,1,1,1,,,
other end uses,electricity,2005,-3,1,1,1,1,1,1,1,1,,,
other end uses,gas,2005,-3,1,1,1,1,1,1,1,1,,,
other end uses,refined liquids,2005,-3,1,1,1,1,1,1,1,1,,,
agriculture energy use,refined liquids,2005,-3,1,1,1,1,1,1,1,1,,,
construction energy use,electricity,2005,-3,1,1,1,1,1,1,1,1,,,
construction energy use,gas,2005,-3,1,1,1,1,1,1,1,1,,,
construction energy use,refined liquids,2005,-3,1,1,1,1,1,1,1,1,,,
mining energy use,biomass,2005,-3,1,1,1,1,1,1,1,1,,,
mining energy use,coal,2005,-3,1,1,1,1,1,1,1,1,,,
mining energy use,electricity,2005,-3,1,1,1,1,1,1,1,1,,,
mining energy use,gas,2005,-3,1,1,1,1,1,1,1,1,,,
mining energy use,refined liquids,2005,-3,1,1,1,1,1,1,1,1,,,
feedstocks chemicals,coal,1975,-2,0,0,0.001,0.001,0.001,0.001,0.001,0.001,,,
feedstocks chemicals,gas,2005,-2,1,1,1,1,1,1,1,1,,,
feedstocks chemicals,refined liquids,2005,-2,1,1,1,1,1,1,1,1,,,
feedstocks primary metals,coal,1975,-2,0,0,0.001,0.001,0.001,0.001,0.001,0.001,,,
feedstocks primary metals,gas,2005,-2,1,1,1,1,1,1,1,1,,,
feedstocks primary metals,refined liquids,2005,-2,1,1,1,1,1,1,1,1,,,
feedstocks construction,refined liquids,2005,-2,1,1,1,1,1,1,1,1,,,
limestone feedstocks,limestone,2005,-3,1,1,1,1,1,1,1,1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Efficiencies of end-use supply technologies.,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,
,,,,efficiency,,,,,,,,,,
supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,basis for future cogen efficiencies
boilers general,biomass,biomass conv,delivered biomass,1,0.7000,0.7000,0.7106,0.7213,0.7322,0.7433,0.7545,0.7659,,
boilers general,coal,coal conv,delivered coal,1,0.8000,0.8000,0.8121,0.8244,0.8368,0.8494,0.8623,0.8753,,
boilers general,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
boilers general,gas,gas conv,wholesale gas,1,0.8000,0.8000,0.8121,0.8244,0.8368,0.8494,0.8623,0.8753,,
boilers general,refined liquids,refined liquids conv,refined liquids industrial,1,0.8000,0.8000,0.8121,0.8244,0.8368,0.8494,0.8623,0.8753,,
boilers general,biomass,biomass cogen,delivered biomass,1,0.5500,0.5500,0.5583,0.5667,0.5753,0.5840,0.5928,0.6018,,
boilers general,coal,coal cogen,delivered coal,1,0.6000,0.6000,0.6091,0.6183,0.6276,0.6371,0.6467,0.6565,,
boilers general,gas,gas cogen,wholesale gas,1,0.6000,0.6000,0.6091,0.6183,0.6276,0.6371,0.6467,0.6565,,
boilers general,refined liquids,refined liquids cogen,refined liquids industrial,1,0.6000,0.6000,0.6091,0.6183,0.6276,0.6371,0.6467,0.6565,,
boilers pulp paper and wood,biomass,biomass conv,delivered biomass,1,0.7000,0.7000,0.7106,0.7213,0.7322,0.7433,0.7545,0.7659,,
boilers pulp paper and wood,coal,coal conv,delivered coal,1,0.8000,0.8000,0.8121,0.8244,0.8368,0.8494,0.8623,0.8753,,
boilers pulp paper and wood,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
boilers pulp paper and wood,gas,gas conv,wholesale gas,1,0.8000,0.8000,0.8121,0.8244,0.8368,0.8494,0.8623,0.8753,,
boilers pulp paper and wood,refined liquids,refined liquids conv,refined liquids industrial,1,0.8000,0.8000,0.8121,0.8244,0.8368,0.8494,0.8623,0.8753,,
boilers pulp paper and wood,biomass,biomass cogen,delivered biomass,1,0.5500,0.5500,0.5583,0.5667,0.5753,0.5840,0.5928,0.6018,,
boilers pulp paper and wood,coal,coal cogen,delivered coal,1,0.6000,0.6000,0.6091,0.6183,0.6276,0.6371,0.6467,0.6565,,
boilers pulp paper and wood,gas,gas cogen,wholesale gas,1,0.6000,0.6000,0.6091,0.6183,0.6276,0.6371,0.6467,0.6565,,
boilers pulp paper and wood,refined liquids,refined liquids cogen,refined liquids industrial,1,0.6000,0.6000,0.6091,0.6183,0.6276,0.6371,0.6467,0.6565,,
process heat general,biomass,biomass conv,delivered biomass,1,0.7500,0.7500,0.7613,0.7728,0.7845,0.7964,0.8084,0.8206,,
process heat general,coal,coal conv,delivered coal,1,0.8500,0.8500,0.8628,0.8759,0.8891,0.9025,0.9162,0.9300,,
process heat general,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
process heat general,gas,gas conv,wholesale gas,1,0.8500,0.8500,0.8628,0.8759,0.8891,0.9025,0.9162,0.9300,,
process heat general,refined liquids,refined liquids conv,refined liquids industrial,1,0.8500,0.8500,0.8628,0.8759,0.8891,0.9025,0.9162,0.9300,,
process heat general,biomass,biomass cogen,delivered biomass,1,0.6000,0.6000,0.6091,0.6183,0.6276,0.6371,0.6467,0.6565,,
process heat general,coal,coal cogen,delivered coal,1,0.6500,0.6500,0.6598,0.6698,0.6799,0.6902,0.7006,0.7112,,
process heat general,gas,gas cogen,wholesale gas,1,0.6500,0.6500,0.6598,0.6698,0.6799,0.6902,0.7006,0.7112,,
process heat general,refined liquids,refined liquids cogen,refined liquids industrial,1,0.6500,0.6500,0.6598,0.6698,0.6799,0.6902,0.7006,0.7112,,
process heat primary metals,biomass,biomass conv,delivered biomass,1,0.7500,0.7500,0.7613,0.7728,0.7845,0.7964,0.8084,0.8206,,
process heat primary metals,coal,coal conv,delivered coal,1,0.8500,0.8500,0.8628,0.8759,0.8891,0.9025,0.9162,0.9300,,
process heat primary metals,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
process heat primary metals,gas,gas conv,wholesale gas,1,0.8500,0.8500,0.8628,0.8759,0.8891,0.9025,0.9162,0.9300,,
process heat primary metals,refined liquids,refined liquids conv,refined liquids industrial,1,0.8500,0.8500,0.8628,0.8759,0.8891,0.9025,0.9162,0.9300,,
process heat primary metals,biomass,biomass cogen,delivered biomass,1,0.6000,0.6000,0.6091,0.6183,0.6276,0.6371,0.6467,0.6565,,
process heat primary metals,coal,coal cogen,delivered coal,1,0.6500,0.6500,0.6598,0.6698,0.6799,0.6902,0.7006,0.7112,,
process heat primary metals,gas,gas cogen,wholesale gas,1,0.6500,0.6500,0.6598,0.6698,0.6799,0.6902,0.7006,0.7112,,
process heat primary metals,refined liquids,refined liquids cogen,refined liquids industrial,1,0.6500,0.6500,0.6598,0.6698,0.6799,0.6902,0.7006,0.7112,,
machine drive,biomass,biomass,delivered biomass,1,0.3000,0.3000,0.3045,0.3091,0.3138,0.3185,0.3234,0.3282,,
machine drive,coal,coal,delivered coal,1,0.3000,0.3000,0.3045,0.3091,0.3138,0.3185,0.3234,0.3282,,
machine drive,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
machine drive,gas,gas,wholesale gas,1,0.3500,0.3500,0.3553,0.3607,0.3661,0.3716,0.3772,0.3829,,
machine drive,refined liquids,refined liquids,refined liquids industrial,1,0.4000,0.4000,0.4060,0.4122,0.4184,0.4247,0.4311,0.4377,,
electrochemical,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
other end uses,biomass,biomass,delivered biomass,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
other end uses,coal,coal,delivered coal,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
other end uses,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
other end uses,gas,gas,wholesale gas,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
other end uses,refined liquids,refined liquids,refined liquids industrial,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
agriculture energy use,refined liquids,refined liquids,refined liquids industrial,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
construction energy use,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
construction energy use,gas,gas,wholesale gas,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
construction energy use,refined liquids,refined liquids,refined liquids industrial,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
mining energy use,biomass,biomass,delivered biomass,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
mining energy use,coal,coal,delivered coal,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
mining energy use,electricity,electricity,elect_td_ind,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
mining energy use,gas,gas,wholesale gas,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
mining energy use,refined liquids,refined liquids,refined liquids industrial,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
feedstocks chemicals,coal,coal,delivered coal,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
feedstocks chemicals,gas,gas,wholesale gas,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
feedstocks chemicals,refined liquids,refined liquids,refined liquids industrial,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
feedstocks primary metals,coal,coal,delivered coal,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
feedstocks primary metals,gas,gas,wholesale gas,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
feedstocks primary metals,refined liquids,refined liquids,refined liquids industrial,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
feedstocks construction,refined liquids,refined liquids,refined liquids industrial,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
limestone feedstocks,limestone,limestone,limestone,1,1.0000,1.0000,1.0151,1.0304,1.0460,1.0618,1.0778,1.0941,,
,,,,,,,,,,,,,,
Secondary outputs of cogen techs,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,
,,,,output-ratio,,,,,,,,,,
supplysector,subsector,technology,secondary-output,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
boilers general,biomass,biomass cogen,electricity,1,0.3636,0.3636,0.3636,0.3636,0.3636,0.3636,0.3636,0.3636,,
boilers general,coal,coal cogen,electricity,1,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,,
boilers general,gas,gas cogen,electricity,1,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,,
boilers general,refined liquids,refined liquids cogen,electricity,1,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,,
boilers pulp paper and wood,biomass,biomass cogen,electricity,1,0.3636,0.3636,0.3636,0.3636,0.3636,0.3636,0.3636,0.3636,,
boilers pulp paper and wood,coal,coal cogen,electricity,1,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,,
boilers pulp paper and wood,gas,gas cogen,electricity,1,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,,
boilers pulp paper and wood,refined liquids,refined liquids cogen,electricity,1,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,,
process heat general,biomass,biomass cogen,electricity,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,
process heat general,coal,coal cogen,electricity,1,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,,
process heat general,gas,gas cogen,electricity,1,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,,
process heat general,refined liquids,refined liquids cogen,electricity,1,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,,
process heat primary metals,biomass,biomass cogen,electricity,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,
process heat primary metals,coal,coal cogen,electricity,1,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,,
process heat primary metals,gas,gas cogen,electricity,1,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,,
process heat primary metals,refined liquids,refined liquids cogen,electricity,1,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,0.3846,,
,,,,,,,,,,,,,,
Technology non-energy costs. Also sets CO2 tag.,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1002,,,minicam-non-energy-input,,,,,,,,,,,
,,,input-cost,,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,cogen suffix,
boilers general,biomass,biomass conv,0,3,3,3,3,3,3,3,3,,conv,
boilers general,coal,coal conv,0,3,3,3,3,3,3,3,3,,conv,
boilers general,electricity,electricity,0,3,3,3,3,3,3,3,3,,conv,
boilers general,gas,gas conv,0,3,3,3,3,3,3,3,3,,conv,
boilers general,refined liquids,refined liquids conv,0,3,3,3,3,3,3,3,3,,conv,
boilers general,biomass,biomass cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
boilers general,coal,coal cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
boilers general,gas,gas cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
boilers general,refined liquids,refined liquids cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
boilers pulp paper and wood,biomass,biomass conv,0,3,3,3,3,3,3,3,3,,conv,
boilers pulp paper and wood,coal,coal conv,0,3,3,3,3,3,3,3,3,,conv,
boilers pulp paper and wood,electricity,electricity,0,3,3,3,3,3,3,3,3,,conv,
boilers pulp paper and wood,gas,gas conv,0,3,3,3,3,3,3,3,3,,conv,
boilers pulp paper and wood,refined liquids,refined liquids conv,0,3,3,3,3,3,3,3,3,,conv,
boilers pulp paper and wood,biomass,biomass cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
boilers pulp paper and wood,coal,coal cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
boilers pulp paper and wood,gas,gas cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
boilers pulp paper and wood,refined liquids,refined liquids cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat general,biomass,biomass conv,0,3,3,3,3,3,3,3,3,,conv,
process heat general,coal,coal conv,0,3,3,3,3,3,3,3,3,,conv,
process heat general,electricity,electricity,0,3,3,3,3,3,3,3,3,,conv,
process heat general,gas,gas conv,0,3,3,3,3,3,3,3,3,,conv,
process heat general,refined liquids,refined liquids conv,0,3,3,3,3,3,3,3,3,,conv,
process heat general,biomass,biomass cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat general,coal,coal cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat general,gas,gas cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat general,refined liquids,refined liquids cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat primary metals,biomass,biomass conv,0,3,3,3,3,3,3,3,3,,conv,
process heat primary metals,coal,coal conv,0,3,3,3,3,3,3,3,3,,conv,
process heat primary metals,electricity,electricity,0,3,3,3,3,3,3,3,3,,conv,
process heat primary metals,gas,gas conv,0,3,3,3,3,3,3,3,3,,conv,
process heat primary metals,refined liquids,refined liquids conv,0,3,3,3,3,3,3,3,3,,conv,
process heat primary metals,biomass,biomass cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat primary metals,coal,coal cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat primary metals,gas,gas cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat primary metals,refined liquids,refined liquids cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
machine drive,biomass,biomass,0,2,2,2,2,2,2,2,2,,other,
machine drive,coal,coal,0,2,2,2,2,2,2,2,2,,other,
machine drive,electricity,electricity,0,2,2,2,2,2,2,2,2,,other,
machine drive,gas,gas,0,2,2,2,2,2,2,2,2,,other,
machine drive,refined liquids,refined liquids,0,2,2,2,2,2,2,2,2,,other,
electrochemical,electricity,electricity,0,2,2,2,2,2,2,2,2,,other,
other end uses,biomass,biomass,0,2,2,2,2,2,2,2,2,,other,
other end uses,coal,coal,0,2,2,2,2,2,2,2,2,,other,
other end uses,electricity,electricity,0,2,2,2,2,2,2,2,2,,other,
other end uses,gas,gas,0,2,2,2,2,2,2,2,2,,other,
other end uses,refined liquids,refined liquids,0,2,2,2,2,2,2,2,2,,other,
agriculture energy use,refined liquids,refined liquids,0,2,2,2,2,2,2,2,2,,other,
construction energy use,electricity,electricity,0,2,2,2,2,2,2,2,2,,other,
construction energy use,gas,gas,0,2,2,2,2,2,2,2,2,,other,
construction energy use,refined liquids,refined liquids,0,2,2,2,2,2,2,2,2,,other,
mining energy use,biomass,biomass,0,2,2,2,2,2,2,2,2,,other,
mining energy use,coal,coal,0,2,2,2,2,2,2,2,2,,other,
mining energy use,electricity,electricity,0,2,2,2,2,2,2,2,2,,other,
mining energy use,gas,gas,0,2,2,2,2,2,2,2,2,,other,
mining energy use,refined liquids,refined liquids,0,2,2,2,2,2,2,2,2,,other,
feedstocks chemicals,coal,coal,0,2,2,2,2,2,2,2,2,,other,
feedstocks chemicals,gas,gas,0,2,2,2,2,2,2,2,2,,other,
feedstocks chemicals,refined liquids,refined liquids,0,2,2,2,2,2,2,2,2,,other,
feedstocks primary metals,coal,coal,0,2,2,2,2,2,2,2,2,,other,
feedstocks primary metals,gas,gas,0,2,2,2,2,2,2,2,2,,other,
feedstocks primary metals,refined liquids,refined liquids,0,2,2,2,2,2,2,2,2,,other,
feedstocks construction,refined liquids,refined liquids,0,2,2,2,2,2,2,2,2,,other,
limestone feedstocks,limestone,limestone,0,2,2,2,2,2,2,2,2,,other,
,,,,,,,,,,,,,,
Set techScaleYear and shareweight paths for techs not present in base year. Note that techScaleYear is actually applied at the subsector level.,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1003,,,,,,,,,,,,,,
,,,,sharewt,,,,,,,,,,
supplysector,subsector,technology,techScaleYear,1990,2005,2020,2035,2050,2065,2080,2095,,,
boilers general,biomass,biomass conv,2005,1,1,1,1,1,1,1,1,,,
boilers general,coal,coal conv,2005,1,1,1,1,1,1,1,1,,,
boilers general,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
boilers general,gas,gas conv,2005,1,1,1,1,1,1,1,1,,,
boilers general,refined liquids,refined liquids conv,2005,1,1,1,1,1,1,1,1,,,
boilers general,biomass,biomass cogen,2005,1,1,1,1,1,1,1,1,,,
boilers general,coal,coal cogen,2005,1,1,1,1,1,1,1,1,,,
boilers general,gas,gas cogen,2005,1,1,1,1,1,1,1,1,,,
boilers general,refined liquids,refined liquids cogen,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,biomass,biomass conv,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,coal,coal conv,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,gas,gas conv,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,refined liquids,refined liquids conv,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,biomass,biomass cogen,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,coal,coal cogen,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,gas,gas cogen,2005,1,1,1,1,1,1,1,1,,,
boilers pulp paper and wood,refined liquids,refined liquids cogen,2005,1,1,1,1,1,1,1,1,,,
process heat general,biomass,biomass conv,2005,1,1,1,1,1,1,1,1,,,
process heat general,coal,coal conv,2005,1,1,1,1,1,1,1,1,,,
process heat general,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
process heat general,gas,gas conv,2005,1,1,1,1,1,1,1,1,,,
process heat general,refined liquids,refined liquids conv,2005,1,1,1,1,1,1,1,1,,,
process heat general,biomass,biomass cogen,2005,1,1,1,1,1,1,1,1,,,
process heat general,coal,coal cogen,2005,1,1,1,1,1,1,1,1,,,
process heat general,gas,gas cogen,2005,1,1,1,1,1,1,1,1,,,
process heat general,refined liquids,refined liquids cogen,2005,1,1,1,1,1,1,1,1,,,
process heat primary metals,biomass,biomass conv,1975,0,0,1,1,1,1,1,1,,,
process heat primary metals,coal,coal conv,2005,1,1,1,1,1,1,1,1,,,
process heat primary metals,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
process heat primary metals,gas,gas conv,2005,1,1,1,1,1,1,1,1,,,
process heat primary metals,refined liquids,refined liquids conv,1975,0,0,1,1,1,1,1,1,,,
process heat primary metals,biomass,biomass cogen,1975,0,0,1,1,1,1,1,1,,,
process heat primary metals,coal,coal cogen,2005,1,1,1,1,1,1,1,1,,,
process heat primary metals,gas,gas cogen,2005,1,1,1,1,1,1,1,1,,,
process heat primary metals,refined liquids,refined liquids cogen,2005,1,1,1,1,1,1,1,1,,,
machine drive,biomass,biomass,1975,0,0,0.001,0.001,0.001,0.001,0.001,0.001,,,
machine drive,coal,coal,2005,1,1,1,1,1,1,1,1,,,
machine drive,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
machine drive,gas,gas,2005,1,1,1,1,1,1,1,1,,,
machine drive,refined liquids,refined liquids,2005,1,1,1,1,1,1,1,1,,,
electrochemical,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
other end uses,biomass,biomass,1975,0,0,0.001,0.001,0.001,0.001,0.001,0.001,,,
other end uses,coal,coal,2005,1,1,1,1,1,1,1,1,,,
other end uses,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
