Variable ID,,,,,,,,,
403,,,,,,,,,
,,,,,,minicam-non-energy-input,,,
supplysector,subsector,technology,period,minicam-energy-input,efficiency,input-cost,logitexp,secondary-output,output-ratio
boilers general,refined liquids,refined liquids cogen,1975,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers general,refined liquids,refined liquids cogen,1990,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers general,refined liquids,refined liquids cogen,2005,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers general,refined liquids,refined liquids cogen,2020,refined liquids industrial,0.61,2.5,-6,electricity,0.417
boilers general,refined liquids,refined liquids cogen,2035,refined liquids industrial,0.62,2.5,-6,electricity,0.417
boilers general,refined liquids,refined liquids cogen,2050,refined liquids industrial,0.63,2.5,-6,electricity,0.417
boilers general,refined liquids,refined liquids cogen,2065,refined liquids industrial,0.64,2.5,-6,electricity,0.417
boilers general,refined liquids,refined liquids cogen,2080,refined liquids industrial,0.65,2.5,-6,electricity,0.417
boilers general,refined liquids,refined liquids cogen,2095,refined liquids industrial,0.66,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,1975,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,1990,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,2005,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,2020,wholesale gas,0.61,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,2035,wholesale gas,0.62,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,2050,wholesale gas,0.63,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,2065,wholesale gas,0.64,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,2080,wholesale gas,0.65,2.5,-6,electricity,0.417
boilers general,gas,gas cogen,2095,wholesale gas,0.66,2.5,-6,electricity,0.417
boilers general,coal,coal cogen,1975,delivered coal,0.60,2.5,-6,electricity,0.333
boilers general,coal,coal cogen,1990,delivered coal,0.60,2.5,-6,electricity,0.333
boilers general,coal,coal cogen,2005,delivered coal,0.60,2.5,-6,electricity,0.333
boilers general,coal,coal cogen,2020,delivered coal,0.61,2.5,-6,electricity,0.333
boilers general,coal,coal cogen,2035,delivered coal,0.62,2.5,-6,electricity,0.333
boilers general,coal,coal cogen,2050,delivered coal,0.63,2.5,-6,electricity,0.333
boilers general,coal,coal cogen,2065,delivered coal,0.64,2.5,-6,electricity,0.333
boilers general,coal,coal cogen,2080,delivered coal,0.65,2.5,-6,electricity,0.333
boilers general,coal,coal cogen,2095,delivered coal,0.66,2.5,-6,electricity,0.333
boilers general,biomass,biomass cogen,1975,delivered biomass,0.55,2.5,-6,electricity,0.364
boilers general,biomass,biomass cogen,1990,delivered biomass,0.55,2.5,-6,electricity,0.364
boilers general,biomass,biomass cogen,2005,delivered biomass,0.55,2.5,-6,electricity,0.364
boilers general,biomass,biomass cogen,2020,delivered biomass,0.56,2.5,-6,electricity,0.364
boilers general,biomass,biomass cogen,2035,delivered biomass,0.57,2.5,-6,electricity,0.364
boilers general,biomass,biomass cogen,2050,delivered biomass,0.58,2.5,-6,electricity,0.364
boilers general,biomass,biomass cogen,2065,delivered biomass,0.58,2.5,-6,electricity,0.364
boilers general,biomass,biomass cogen,2080,delivered biomass,0.59,2.5,-6,electricity,0.364
boilers general,biomass,biomass cogen,2095,delivered biomass,0.60,2.5,-6,electricity,0.364
,,,,,,,,,
Region: USA,,,,,,,,,
Cogen,,,,,,,,,
INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
403,,,,,,,,,
,,,,,,minicam-non-energy-input,,,
supplysector,subsector,technology,period,minicam-energy-input,efficiency,input-cost,logitexp,secondary-output,output-ratio
process heat primary metals,refined liquids,refined liquids cogen,1975,refined liquids industrial,0.75,2.5,-6,electricity,0.133
process heat primary metals,refined liquids,refined liquids cogen,1990,refined liquids industrial,0.75,2.5,-6,electricity,0.133
process heat primary metals,refined liquids,refined liquids cogen,2005,refined liquids industrial,0.75,2.5,-6,electricity,0.133
process heat primary metals,refined liquids,refined liquids cogen,2020,refined liquids industrial,0.76,2.5,-6,electricity,0.133
process heat primary metals,refined liquids,refined liquids cogen,2035,refined liquids industrial,0.77,2.5,-6,electricity,0.133
process heat primary metals,refined liquids,refined liquids cogen,2050,refined liquids industrial,0.78,2.5,-6,electricity,0.133
process heat primary metals,refined liquids,refined liquids cogen,2065,refined liquids industrial,0.80,2.5,-6,electricity,0.133
process heat primary metals,refined liquids,refined liquids cogen,2080,refined liquids industrial,0.81,2.5,-6,electricity,0.133
process heat primary metals,refined liquids,refined liquids cogen,2095,refined liquids industrial,0.82,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,1975,wholesale gas,0.75,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,1990,wholesale gas,0.75,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,2005,wholesale gas,0.75,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,2020,wholesale gas,0.76,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,2035,wholesale gas,0.77,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,2050,wholesale gas,0.78,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,2065,wholesale gas,0.80,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,2080,wholesale gas,0.81,2.5,-6,electricity,0.133
process heat primary metals,gas,gas cogen,2095,wholesale gas,0.82,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,1975,delivered coal,0.75,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,1990,delivered coal,0.75,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,2005,delivered coal,0.75,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,2020,delivered coal,0.76,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,2035,delivered coal,0.77,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,2050,delivered coal,0.78,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,2065,delivered coal,0.80,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,2080,delivered coal,0.81,2.5,-6,electricity,0.133
process heat primary metals,coal,coal cogen,2095,delivered coal,0.82,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,1975,delivered biomass,0.75,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,1990,delivered biomass,0.75,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,2005,delivered biomass,0.75,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,2020,delivered biomass,0.76,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,2035,delivered biomass,0.77,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,2050,delivered biomass,0.78,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,2065,delivered biomass,0.80,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,2080,delivered biomass,0.81,2.5,-6,electricity,0.133
process heat primary metals,biomass,biomass cogen,2095,delivered biomass,0.82,2.5,-6,electricity,0.133
,,,,,,,,,
Region: USA,,,,,,,,,
Cogen,,,,,,,,,
INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
403,,,,,,,,,
,,,,,,,,,
supplysector,subsector,technology,period,minicam-energy-input,efficiency,input-cost,logitexp,secondary-output,output-ratio
process heat general,refined liquids,refined liquids cogen,1975,refined liquids industrial,0.75,2.5,-6,electricity,0.133
process heat general,refined liquids,refined liquids cogen,1990,refined liquids industrial,0.75,2.5,-6,electricity,0.133
process heat general,refined liquids,refined liquids cogen,2005,refined liquids industrial,0.75,2.5,-6,electricity,0.133
process heat general,refined liquids,refined liquids cogen,2020,refined liquids industrial,0.76,2.5,-6,electricity,0.133
process heat general,refined liquids,refined liquids cogen,2035,refined liquids industrial,0.77,2.5,-6,electricity,0.133
process heat general,refined liquids,refined liquids cogen,2050,refined liquids industrial,0.78,2.5,-6,electricity,0.133
process heat general,refined liquids,refined liquids cogen,2065,refined liquids industrial,0.80,2.5,-6,electricity,0.133
process heat general,refined liquids,refined liquids cogen,2080,refined liquids industrial,0.81,2.5,-6,electricity,0.133
process heat general,refined liquids,refined liquids cogen,2095,refined liquids industrial,0.82,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,1975,wholesale gas,0.75,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,1990,wholesale gas,0.75,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,2005,wholesale gas,0.75,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,2020,wholesale gas,0.76,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,2035,wholesale gas,0.77,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,2050,wholesale gas,0.78,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,2065,wholesale gas,0.80,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,2080,wholesale gas,0.81,2.5,-6,electricity,0.133
process heat general,gas,gas cogen,2095,wholesale gas,0.82,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,1975,delivered coal,0.75,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,1990,delivered coal,0.75,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,2005,delivered coal,0.75,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,2020,delivered coal,0.76,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,2035,delivered coal,0.77,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,2050,delivered coal,0.78,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,2065,delivered coal,0.80,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,2080,delivered coal,0.81,2.5,-6,electricity,0.133
process heat general,coal,coal cogen,2095,delivered coal,0.82,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,1975,delivered biomass,0.75,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,1990,delivered biomass,0.75,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,2005,delivered biomass,0.75,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,2020,delivered biomass,0.76,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,2035,delivered biomass,0.77,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,2050,delivered biomass,0.78,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,2065,delivered biomass,0.80,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,2080,delivered biomass,0.81,2.5,-6,electricity,0.133
process heat general,biomass,biomass cogen,2095,delivered biomass,0.82,2.5,-6,electricity,0.133
