Summary for Type
Type,SoilCarbon(pgC),VegCarbon(pgC),Area(Km2)
1611,0.183862,0.159457,14210.531319
1612,0.142858,0.153743,10992.052917
1616,0.109772,0.082394,8213.202438
1701,0.098185,0.135077,11636.737152
1702,0.049130,0.044991,5836.489098
1703,0.649131,0.639022,64271.243118
1704,0.636474,0.895875,70269.001717
1705,3.501134,4.263581,305768.049385
1706,2.199960,3.409553,185807.446999
1707,1.011075,0.079830,87052.569638
1708,0.896405,0.128773,79534.657867
1709,1.374643,1.385596,131869.315216
1710,0.573314,0.585959,54604.526192
1711,0.206087,0.277988,22701.373154
1712,0.035218,0.059919,2995.960236
1713,0.648379,0.030610,39362.943604
1714,0.176264,0.011639,8814.197937
1715,0.059864,0.010756,4753.259868
1716,0.032461,0.009649,2705.128700
1810,0.477429,0.454340,34923.165977
1811,0.167823,0.164587,12905.035271
1812,0.007414,0.006222,818.444899
1907,2.819786,0.977729,402949.225121
1908,1.256115,0.529017,172072.500626
1909,0.091409,0.037194,8806.755432
2001,0.059845,0.051699,9399.754181
2002,0.819149,0.537931,96202.040567
2003,4.238482,3.143223,504310.392949
2004,6.855829,7.003399,892410.336028
2005,23.709392,32.672627,2782820.113977
2006,34.694835,64.831942,3488550.936979
2010,0.067357,0.133078,7366.303787
2011,0.022868,0.014902,2013.964775
2012,7.459762,4.837722,572713.781400
2106,0.203414,0.170774,8663.171516
2209,0.873982,0.713211,82907.367947
2210,0.329042,0.332695,26357.377750
2301,0.032806,0.005886,5978.410767
2302,0.299542,0.091950,47071.213402
2303,1.178898,0.490602,163120.975582
2304,0.163978,0.052936,17645.302231
2405,0.326196,0.139711,24296.327322
2504,0.350631,0.515884,36167.957596
2505,1.544825,2.052075,139647.806232
2506,0.073809,0.139791,7121.977991
2602,0.166093,0.045225,15142.009277
2603,0.339565,0.103192,34397.254646
2604,0.486284,0.325751,59665.101843
2605,1.774083,1.473986,164390.971210
2606,2.399782,3.414806,197916.540060
2707,2.086742,0.164148,151737.390697
2708,1.074574,0.234223,86106.161564
2709,11.719619,6.349211,599146.597627
2710,6.131645,4.300850,362803.485601
2711,0.096669,0.074372,5296.698402
2713,18.027295,1.442303,1291332.675815
2714,47.263920,19.853366,2916015.563463
2715,83.549748,28.585535,3139168.375913
2716,1.014002,0.507368,57851.723850
2803,0.293920,0.092814,30938.086075
2804,1.827616,0.658725,199828.620255
2805,2.957540,1.434698,343624.327293
2806,0.445248,0.777918,55549.622635
2901,2.885356,0.575757,641602.637016
2902,1.183690,0.436143,156478.628685
2903,2.600208,0.810070,270245.613796
2904,0.451028,0.157220,50961.774696
2907,0.752507,0.106511,174707.837196
3001,0.131954,0.013191,21848.493818
3007,1.142578,0.140129,175178.894901
3008,0.210695,0.128294,19697.893778
3009,0.500152,0.219657,30030.635448
3010,0.896169,0.442385,62650.542511
3011,0.370796,0.260160,20303.113638
3012,0.910729,0.394957,39312.554072
3013,1.416556,0.118291,111990.622999
3014,1.307952,0.387329,66050.612719
3015,1.426333,0.305644,60473.504197
3016,1.306713,0.388660,58840.567676
3017,0.558024,0.157120,19372.434422
3018,0.234350,0.060400,6893.278052
3104,0.020256,0.025458,1519.035686
3105,0.089703,0.157339,9918.307096
3106,0.963134,1.611517,108806.310987
3107,10.734990,2.413697,1938880.618272
3108,10.524931,4.122612,917907.513056
3109,7.145367,6.058806,676815.677076
3110,4.903348,4.524029,478447.179061
3111,7.326500,9.047750,841887.483829
3112,13.294356,20.327635,1527242.098549
3113,9.290995,1.275986,1331566.112717
3114,8.793390,0.902872,799565.392743
3115,7.485970,2.234031,584922.597228
3116,1.864737,0.499100,175511.142130
3117,0.069043,0.026433,6422.261208
3202,0.046959,0.007508,5869.268799
3203,0.013835,0.004238,2186.091667
3204,0.090005,0.145237,9867.119026
3205,1.684312,1.768917,141960.055035
3206,11.356881,16.129933,953467.656593
3211,0.141513,0.121526,9164.077599
3212,0.446949,0.330426,26093.091927
3305,0.611900,0.870025,59875.843132
3306,4.535548,5.242047,306349.543472
3404,0.063011,0.066516,4380.587078
3405,0.181188,0.191029,12120.230942
3406,0.544869,0.654803,34074.687593
3504,0.607705,0.832189,75555.229668
3505,1.104811,2.130435,138938.579987
3506,1.153766,2.111097,128427.113461
3610,0.102752,0.110861,8329.298094
3611,0.502468,0.593756,46142.643051
3612,0.026310,0.032040,2853.519624
3704,0.319094,0.247038,18542.803977
3705,0.729441,0.778493,58576.710643
3706,0.143563,0.185831,12687.687346
3810,1.142531,1.084050,79093.624504
3910,0.669340,0.456815,34254.962549
4001,0.126865,0.025264,19485.424522
4105,0.157214,0.201951,14207.858702
4106,0.285260,0.378254,25626.310763
4201,0.069975,0.047392,6164.903549
4202,0.147287,0.133618,12088.128857
4203,0.298421,0.311553,24587.616421
4204,0.170758,0.142682,8075.055300
4205,0.127388,0.193642,12183.491745
4206,1.786624,1.997820,117923.962399
4208,0.097753,0.067357,6161.965126
4209,0.110521,0.066152,6170.547684
4210,0.203129,0.064133,9260.526680
4211,0.424570,0.153246,18540.590218
4212,0.240442,0.088614,12359.685562
4301,1.329262,0.188616,270353.120914
4302,0.012300,0.004818,1798.545202
4307,2.991433,0.431530,710111.620975
4404,0.233910,0.197931,16461.758606
4405,0.037138,0.028630,2880.865631
4506,0.183486,0.297708,16684.283812
4601,0.789321,0.128615,82354.104288
4602,0.356626,0.112406,30113.903999
4710,0.638746,0.512814,36744.027716
4716,0.064726,0.035501,3097.322477
4801,1.887105,1.018414,296545.092915
4802,1.790069,0.979733,212151.203339
4803,1.171645,0.615464,133019.103889
4804,2.486721,0.756298,195046.213764
4805,1.815749,1.136472,150810.875680
4806,0.312954,0.362347,25383.516769
4808,0.056923,0.017440,4845.315399
4809,0.337543,0.108422,28156.796387
4810,0.421804,0.110018,35071.854145
4811,0.657493,0.274599,53010.192276
4812,0.147595,0.106702,12271.764175
4909,1.006259,0.636410,43855.262078
4910,0.046870,0.037898,2678.506324
4914,1.147984,0.254667,28848.281083
4915,9.547649,1.982796,228859.683385
5006,0.892290,1.664174,83576.579994
5110,1.979203,1.786182,142097.039316
5111,3.922215,3.823877,309507.538829
5112,1.050160,0.766545,59265.449068
5115,0.192469,0.084706,12943.218723
5116,0.056285,0.043805,4409.370003
5205,0.450729,0.346567,29198.582682
5206,2.255485,3.924541,208010.630960
5303,0.147410,0.070571,13776.130401
5409,0.074566,0.049607,6971.966980
5410,0.312151,0.298347,27124.963583
5411,0.047222,0.056341,4543.145180
5412,0.125556,0.082914,7151.858870
5414,0.039308,0.002012,2251.444199
5415,0.297862,0.080822,18151.408627
5416,0.126934,0.076654,9201.917912
5510,4.916091,4.030748,304643.580732
5511,0.976546,0.675042,50479.954742
5516,0.025939,0.022783,2067.873379
5603,0.023089,0.009110,3036.821365
5604,0.638431,0.496341,88334.543625
5605,0.591416,1.311936,84504.787830
5606,0.345901,0.795254,43453.549477
5709,0.414265,0.329204,40504.331718
5710,0.521620,0.455434,56176.472832
5711,0.054782,0.041294,6079.008561
5805,0.324516,0.311954,21225.990395
5806,1.048149,1.524801,88749.942888
5812,0.169401,0.132103,8814.971878
5903,0.024628,0.009062,3020.688583
5904,1.751783,1.507567,174267.498482
5905,0.449697,0.783471,55101.466110
5906,0.133889,0.158568,12843.309296
6003,0.135995,0.062780,11440.123638
6004,0.216773,0.088923,19755.300808
6104,0.061525,0.043311,6175.018890
6105,0.141564,0.235070,12356.624359
6106,2.014937,3.642611,184328.672512
6204,0.037786,0.030161,3017.358898
6205,0.128221,0.113926,10786.396484
6206,0.110666,0.119880,10540.749327
6304,0.246004,0.245046,19005.368254
6305,0.567526,0.783812,46457.534420
6306,0.645515,0.825655,46316.993009
6412,0.017350,0.023940,1494.883980
6509,0.038801,0.010036,3136.702915
6510,0.798941,0.547375,66209.948692
6511,0.230801,0.289454,22535.974174
6613,0.019056,0.000280,1780.280328
6614,1.198609,0.232056,64772.452599
6615,0.311146,0.078191,12243.009355
6701,0.256780,0.119349,55376.689371
6702,1.924076,1.934859,192298.998674
6703,12.955201,14.365234,1224378.452770
6704,5.125391,6.758046,514765.909141
6705,1.276950,2.158995,123310.370447
6706,0.842624,1.225025,72584.451504
6707,0.401454,0.231082,122437.667908
6708,1.908668,1.612727,234583.609913
6709,2.127044,2.429786,208094.184710
6710,0.721021,0.429389,58918.967354
6711,0.665353,0.451722,46733.888466
6712,0.798952,0.824231,56356.338593
6713,0.299668,0.030968,27159.925424
6714,0.508662,0.033479,40762.976670
6715,0.173772,0.035772,13761.268543
6716,0.084005,0.025436,7066.672539
6804,0.422300,0.565958,30973.010034
6805,0.958761,1.022829,58798.265701
6806,32.273044,27.141235,1487862.853099
6901,0.342255,0.056076,58109.616083
6907,5.391923,1.530871,1001521.362179
6908,3.517235,1.194737,521373.172618
6909,0.287275,0.127264,39878.664314
7007,1.571259,0.402409,291586.470964
7008,0.435712,0.157133,72230.956705
7009,0.605724,0.275218,70603.988907
7010,0.056675,0.014969,5307.663933
7111,0.402658,0.313136,24349.315023
7112,0.838876,0.480014,41256.415441
7201,0.015831,0.002214,2656.484436
7202,0.012425,0.003128,1815.555305
7203,0.007148,0.002175,724.837288
7207,0.043806,0.011588,7989.572021
7208,0.035534,0.012168,4986.284721
7209,0.047317,0.013434,4478.136566
7309,0.033278,0.015545,2141.660316
7310,0.831761,0.720361,70206.712551
7311,1.785469,1.630811,154601.681743
7312,0.024268,0.023368,2260.809420
7313,0.027399,0.013003,2054.600594
7314,0.156748,0.060084,10268.653925
7315,0.193875,0.110329,14444.500331
7409,0.113741,0.079610,6754.161026
7410,2.378932,1.824064,147546.651123
7411,1.858130,1.320403,121779.107771
7412,0.645000,0.468206,47474.139095
7415,0.068698,0.040681,4311.702538
7503,0.025028,0.008628,2484.472656
7507,0.405604,0.118533,74309.174744
7508,0.099179,0.033667,12775.331783
7509,0.052657,0.023824,5228.405914
7607,8.775850,1.847430,1227893.805123
7608,1.648900,0.404316,202062.009545
7613,11.756866,1.018753,1075498.503650
7614,1.568148,0.393657,149985.585929
7615,0.178388,0.121023,18936.487652
7701,1.371408,0.473413,200301.446763
7702,1.281805,0.570348,186746.075436
7703,0.480426,0.248948,62633.301563
7704,0.398776,0.187840,36025.323502
7705,0.460430,0.166989,30791.240070
7706,0.689307,0.287994,39285.579759
7807,0.076616,0.023667,17527.840237
7907,0.022626,0.002553,2537.900627
7908,0.194965,0.104076,22645.410912
7913,0.721592,0.075237,69856.130062
7914,0.697735,0.133875,66310.498184
8004,0.182578,0.240267,17730.299114
8005,0.552140,0.891920,61021.549721
8006,0.310793,0.600613,34379.841507
8010,0.026289,0.020691,2943.920975
8011,0.991843,1.748031,111116.503855
8012,0.200945,0.357183,22939.232826
8110,0.714494,0.815618,62118.617677
8208,0.025135,0.006801,2555.046021
8210,0.055615,0.012743,5378.177059
8309,0.043204,0.012682,5367.120575
8310,0.158998,0.046194,18825.076126
8311,0.070514,0.022862,8090.630356
8405,0.162238,0.187689,13722.134998
8406,0.838277,1.096553,76500.758267
8501,0.235342,0.035148,57736.624954
8502,0.121818,0.013234,16583.122665
8507,5.678005,0.929120,1511643.640114
8508,0.166167,0.025934,25978.946023
8509,0.119411,0.046512,15147.020901
8610,0.771917,1.085985,77664.503924
8709,0.368921,0.331218,25124.360931
8710,0.043213,0.033776,2300.574375
8802,0.261822,0.153064,34903.458340
8803,1.158428,0.580382,123699.201749
8804,1.207843,0.579684,115552.190714
8805,0.733100,0.554599,74356.476242
8806,2.527807,2.923134,217800.855923
8810,0.060878,0.021174,4696.115517
8811,0.068950,0.034155,5809.253357
8903,0.368386,0.170336,36973.737091
8904,0.400693,0.350195,41552.252522
8905,0.043385,0.043082,4515.647869
8909,0.071639,0.038900,8994.406311
9006,5.228959,6.227016,324077.021837
9101,2.863675,0.777043,810983.331387
9102,1.061422,0.387996,181900.742165
9103,1.422679,0.569609,190774.119188
9104,0.356215,0.235038,41540.268631
9107,0.170012,0.025764,42664.959862
9201,2.900600,0.670840,938772.607965
9202,0.101725,0.027030,22733.184799
9207,0.277792,0.031833,53054.639519
9301,0.415820,0.230938,68057.906897
9302,0.425853,0.430986,37985.644556
9303,1.456008,1.261625,105883.263091
9304,2.542041,2.179640,200980.388278
9305,1.835265,2.382725,144469.184813
9306,1.345598,1.669204,117270.553487
9307,6.567589,2.218731,686763.423214
9308,2.680161,1.486732,222147.104090
9309,2.658766,1.710561,181249.895499
9310,1.817141,1.174032,116160.554783
9311,0.113889,0.072869,7726.405945
9312,0.062632,0.023596,2909.239197
9408,0.044450,0.004042,4222.453495
9409,0.188028,0.166630,18897.026783
9410,0.082338,0.078379,8324.739475
9507,5.815944,1.110019,749169.360630
9508,0.702733,0.060068,64593.753107
9513,2.152689,0.354282,222373.520997
9514,3.935360,0.631781,406290.880691
9515,0.674466,0.179222,78878.026415
9601,0.229589,0.023033,34255.204811
9602,0.014192,0.003008,1578.250404
9603,0.013550,0.003583,1402.436378
9604,0.067605,0.048069,5799.971802
9607,0.871296,0.119464,128447.649498
9608,0.923721,0.256664,116175.945194
9609,0.777607,0.333362,75631.458529
9610,0.524547,0.297337,48567.989172
9701,0.113253,0.040962,13653.970158
9702,0.265612,0.116059,38405.477119
9703,1.747480,0.983871,217450.864338
9704,2.904046,2.151592,356931.541734
9705,0.813068,0.829360,107521.616161
9709,0.166174,0.091044,20650.163372
9710,0.080803,0.049757,8974.371002
9804,0.946171,1.478724,84403.730770
9805,4.553567,5.970917,412190.328135
9806,0.140217,0.217660,13925.553574
9811,0.958649,1.457732,90277.910339
9812,0.818845,0.965789,63807.515228
9815,0.053738,0.005951,2700.299828
9816,0.038739,0.031182,2760.259232
9901,0.099957,0.027550,30515.523209
9907,3.189552,0.917799,487810.994312
9908,1.972331,0.581845,278945.066177
9909,0.155787,0.062148,14719.604874
10003,0.028895,0.028670,2694.182373
10004,0.258545,0.248324,20129.352615
10005,0.082358,0.064783,5470.174522
10010,0.224260,0.220831,18906.341202
10011,0.588694,0.514207,40738.449379
10012,0.273656,0.241178,19093.052540
10013,0.091644,0.007813,10031.364843
10014,0.081631,0.019093,7517.139147
10015,0.158120,0.065946,12884.608528
10016,0.075259,0.021655,5338.062073
10111,0.779165,0.363466,29109.200401
10206,0.025364,0.001573,1544.487641
10210,0.029669,0.001523,2176.158005
10211,0.799321,0.220481,47357.333628
10212,2.779177,0.778492,136269.475634
10215,0.150337,0.025652,10315.374050
10216,0.644054,0.081810,44727.263350
10217,0.074372,0.027300,4575.955284
10304,0.368179,0.207677,26476.643373
10305,0.295387,0.486201,25605.377655
10306,0.986597,1.142209,60020.013018
10401,2.380721,0.794557,757763.669575
10402,0.485889,0.178153,131299.247120
10403,0.053362,0.027156,9052.121559
10407,1.416386,0.198760,304834.171196
10501,0.099593,0.035650,14960.405579
10502,1.004502,0.494717,177493.084198
10503,1.655337,0.697571,226700.293146
10504,1.967548,1.771053,267521.064563
10505,1.288812,1.786145,143543.627659
10506,0.617310,0.538041,39136.094505
10609,0.116055,0.122713,11725.768112
10610,0.799774,0.899756,79237.476635
10611,0.024663,0.036449,2768.377365
10615,0.215868,0.118545,16267.566544
10710,0.230469,0.148925,11537.653477
10714,2.493974,0.621980,100650.930382
10715,4.164986,1.271236,159259.973863
10716,0.275885,0.119660,13993.868289
10801,1.406639,0.255091,294806.115187
10901,0.448744,0.281691,110481.026112
10907,2.337591,1.015642,518713.162094
10908,0.287659,0.141434,44060.215195
10909,0.319007,0.072756,35523.272264
10910,0.308273,0.168347,38503.958054
10911,0.164956,0.095238,15211.773062
10912,0.177325,0.058953,15107.254509
10913,0.223297,0.028689,26972.207418
10914,0.396849,0.047532,34164.640709
11005,0.443621,0.441985,27630.222294
11006,0.531255,0.608094,37670.078154
11105,0.155589,0.029776,9094.735065
11106,6.523663,5.948256,363754.237558
11201,0.049646,0.066149,5809.253357
11203,0.014417,0.019893,2900.014160
11204,0.324942,0.185713,37544.434364
11205,0.380745,0.114672,34808.564278
11206,0.238241,0.131352,22074.645126
11207,0.256844,0.250451,22818.072929
11208,1.135218,0.706239,89082.833305
11209,0.122998,0.037598,11469.145248
11210,0.042325,0.003938,2880.901199
11211,0.195512,0.029849,19750.255623
11212,1.452481,1.204359,147145.380667
11301,0.741819,0.280098,94356.719913
11302,0.117955,0.131258,9234.070625
11303,0.096248,0.167902,9208.694740
11304,0.030277,0.061393,3069.643250
11305,0.205213,0.391727,20306.445747
11306,7.093710,13.439512,676463.972313
11307,1.082897,0.233145,77726.499458
11308,0.855220,0.497690,66449.203011
11309,0.766226,0.371640,54555.210976
11310,0.259914,0.191791,18199.999222
11311,0.246168,0.287019,19962.086365
11312,0.271226,0.304171,22932.624298
11313,0.769368,0.037879,41758.720470
11314,1.292416,0.062483,72356.825851
11315,1.199330,0.089111,62606.280544
11316,0.755363,0.107421,39851.146171
11404,0.107235,0.193831,9901.205498
11405,0.484085,0.924385,46510.724888
11406,1.660158,2.989826,152973.388638
11510,4.081544,4.187951,305339.900418
11610,0.831945,0.448231,60808.760724
11611,0.566801,0.149532,31348.047272
11612,0.092035,0.015913,3811.619713
11701,0.037102,0.008056,8031.473976
11808,0.169466,0.033384,14394.932781
11809,0.270524,0.123540,27156.820824
11810,2.059473,1.906629,161728.681068
11811,0.236502,0.254934,21394.608788
11815,0.110813,0.050716,5507.577614
11816,0.138477,0.068496,6810.820381
11907,1.902130,0.266534,205507.079194
11908,7.589595,1.427668,634852.057737
11909,10.472455,10.254076,962207.112320
11910,7.414900,8.651141,694728.941987
11911,0.160905,0.173235,13293.497219
11913,7.702599,1.789089,473929.411523
11914,151.144744,45.517907,7169534.470919
11915,132.734901,48.560787,5974553.251039
11916,0.128103,0.069720,7900.749188
12005,0.164312,0.069154,11829.327579
12006,0.209315,0.045562,10465.425466
12101,4.151182,0.942831,969579.617460
12107,4.813348,1.323340,979033.228642
12201,0.159932,0.041791,21108.997549
12202,0.416033,0.158030,78931.644390
12203,0.879832,0.379038,101650.949594
12304,0.250220,0.262911,23028.428047
12305,0.580819,0.687418,49723.105095
12406,0.024142,0.014507,868.386810
12510,0.585012,0.574347,43223.484562
12515,0.028809,0.016649,2017.725407
12516,0.027185,0.022418,1995.499706
12610,0.170382,0.171295,12883.298470
12611,0.113356,0.106665,7976.443408
12615,0.023929,0.023231,2137.514420
12701,2.979446,1.857171,506251.842712
12702,0.794732,0.505183,100922.196616
12801,0.177285,0.057614,20233.138680
12802,0.128366,0.056986,15701.380823
12803,0.242015,0.129991,29208.852547
12804,0.111001,0.093100,12781.798344
12805,0.092725,0.094991,10242.195963
12806,0.189664,0.312361,20998.424770
12807,4.009789,1.049430,575938.095093
12808,1.113660,0.320872,166756.710938
12809,1.426968,0.486266,168708.544060
12810,1.529269,0.744614,166391.396616
12811,0.245232,0.223119,27606.078148
12910,0.487339,0.506655,44761.586853
12911,0.415604,0.429475,40532.635811
13004,0.017062,0.004521,1011.522835
13008,0.030477,0.010192,3172.161370
13009,2.695046,1.527830,232218.080570
13010,2.568412,1.227735,187020.107499
13011,0.366736,0.129886,21820.131551
13012,0.528061,0.130764,24832.633846
13103,0.036089,0.068390,3510.184036
13104,0.184421,0.360759,18282.645813
13105,0.074155,0.148600,7717.494947
13106,0.311724,0.557557,29815.313740
13201,7.054543,1.074715,1149637.641350
13202,2.408048,0.797250,307276.873528
13203,4.177459,1.076811,349855.331909
13204,5.628227,1.278189,398439.600700
13205,0.925046,0.250109,80654.259064
13207,1.082888,0.145159,209939.632828
13208,0.113806,0.023283,9443.128967
13306,1.797146,2.900120,148571.783299
13402,0.025729,0.013495,2760.259232
13403,0.025446,0.015715,2771.280853
13410,0.027764,0.012197,2760.259232
13411,0.028236,0.018790,2772.295258
13509,0.340407,0.170942,11883.570469
13510,2.263376,1.655958,108259.399030
13513,0.011321,0.002234,772.806801
13514,2.273208,0.628204,78010.323355
13515,7.913550,1.807907,202500.116781
13516,0.069266,0.029345,2987.007273
13610,0.296538,0.282998,22367.887643
13614,0.023004,0.008819,1742.705307
13615,0.212806,0.108780,14215.135399
13707,0.263064,0.098472,53340.294823
13708,0.504611,0.143223,67560.193812
13709,0.538197,0.181805,58204.245304
13710,0.166726,0.054484,16458.784641
13808,0.408946,0.171627,49700.747080
13809,0.040743,0.025771,4978.823002
13813,0.444593,0.055219,72120.746646
13814,0.071702,0.021221,8655.346775
13901,0.027733,0.005220,2594.893757
13902,0.229270,0.081879,18411.905445
13903,1.643421,0.747050,180182.252292
13904,5.478782,4.230090,594546.441067
13905,0.705851,0.448190,62987.463999
13906,0.158288,0.071917,10014.858673
14004,3.551110,4.450372,295765.161854
14005,1.484937,2.473321,154149.891775
14006,0.437169,0.720807,39584.415677
14010,0.015494,0.019842,1803.538162
14103,0.046147,0.018221,6073.642731
14104,0.236045,0.428336,32376.154900
14105,0.262243,0.474236,30412.511860
14205,0.009580,0.022710,1200.338177
14206,0.019393,0.043758,2332.612236
14307,0.465302,0.072453,96047.192011
14308,0.120728,0.034408,14096.418741
14309,0.180407,0.085338,19317.025117
14310,0.184150,0.076766,18131.668173
14407,0.014442,0.003308,1670.621475
14408,3.167690,1.197912,324992.264244
14409,3.142288,2.314007,285724.101489
14410,1.198770,0.874795,115358.137826
14411,0.065875,0.062828,5111.822960
14414,0.152840,0.065592,10300.836922
14415,0.100452,0.017369,6949.877689
14416,0.024949,0.007574,2323.989029
14507,1.297850,0.842637,428084.798126
14508,0.157710,0.025415,19478.534897
14603,0.150401,0.064376,15434.251968
14604,0.284083,0.063305,20577.862976
14605,1.065193,0.296297,78839.555547
14606,1.141729,0.450886,83369.158646
14710,0.886837,0.508041,40619.401833
14711,1.613928,1.394069,106452.933827
14712,0.361836,0.319803,24674.093402
14715,0.115296,0.022242,2423.746319
14716,1.568654,0.306343,35981.814068
14808,1.634508,0.146458,137694.377350
14809,1.578132,0.548291,146261.300228
14810,4.411762,3.449812,307335.527067
14816,0.094683,0.052656,5531.767330
14901,0.222098,0.059786,78828.700157
15012,2.355164,0.131619,173771.888031
15107,22.821802,7.317938,2501760.400877
15108,12.208977,4.150986,944168.307360
15109,5.084253,1.999740,364935.894422
15110,21.853012,12.386007,1455243.797869
15111,12.755094,11.939194,1122876.158745
15112,10.461059,13.155241,906625.366783
15113,5.318240,1.963102,337914.452480
15114,16.482045,5.974323,756361.521683
15115,12.774763,4.670314,551080.579249
15116,0.690204,0.248043,26759.682051
15207,1.085014,0.622181,297976.006170
15208,1.062572,0.410990,132712.699216
15214,0.076450,0.022939,9255.393188
15301,0.071670,0.091390,7542.045212
15302,0.153788,0.179697,17389.816028
15303,0.057413,0.037022,6274.970570
15304,1.536741,1.217473,180340.394632
15305,3.364153,3.761864,312624.140316
15306,3.982074,7.051778,372336.687054
15404,0.018387,0.020719,1444.490417
15405,2.044448,1.936721,136244.588633
15406,0.975274,1.143232,102148.548614
15411,0.051668,0.083687,5761.802399
15412,0.275525,0.371178,31570.176918
15501,1.297343,0.139503,233623.882862
15507,0.124135,0.016878,28129.785347
15601,2.032257,0.692541,412196.469543
15710,1.171504,0.990712,83338.913879
15711,0.146771,0.128747,11299.266525
15716,0.020281,0.019531,1388.227005
15804,3.336513,4.162565,325204.870628
15805,5.390236,8.076206,580390.504422
15806,15.759634,25.363231,1412042.629326
15809,0.030877,0.032512,3008.782196
15810,0.063530,0.076047,6029.701172
15903,2.824332,1.396709,254986.718502
15904,3.991403,3.271939,343487.546422
15909,1.423384,0.792359,118798.237053
15910,0.222963,0.215808,20917.985500
16001,0.178123,0.049674,16635.182045
16002,0.225631,0.092952,25119.834137
16003,0.765979,0.329661,90383.592501
16004,0.057184,0.023313,5827.483795
16007,0.176610,0.051618,17267.253639
16008,0.470015,0.309477,62567.327255
16009,1.220037,0.843756,164824.541679
16010,0.110692,0.055870,13524.930672
16011,0.029112,0.020706,2935.585144
