countries,country codes,item,item codes,element,element codes,1998,1999,2000,2001,2002
Burkina Faso,233,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,16400,16900,9860,926,926
Burundi,29,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1391,1822,1500,1500,852
Cambodia,115,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,3220,0,0,0,0
Cameroon,32,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,16525,25985,21858,25576,13149
Canada,33,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1625800,1682052,1564348,1541191,1629763
Cape Verde,35,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,108,180,120,243,220
Central African Republic,37,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,200,200,200,200,200
Chad,39,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,10695,11000,11000,11000,11000
Chile,40,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,215000,235996,235000,226000,210000
China,351,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,22887000,24142000,22139168,22422712,25430147
Colombia,44,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,296800,299800,334300,301383,335400
Comoros,45,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100,100,100,100,100
Congo,46,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2000,2000,2000,2648,195
Cook Islands,47,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Costa Rica,48,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,104000,80000,68000,53223,52068
Côte d'Ivoire,107,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,50000,41200,40000,30000,53000
Croatia,98,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,94996,99400,116000,99000,109000
Cuba,49,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,107000,72300,78000,116600,67700
Cyprus,50,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,10824,10884,7828,7908,8064
Czech Republic,167,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,218771,209532,262841,310830,289098
Democratic People's Republic of Korea,116,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,128300,152000,165000,186400,171200
Democratic Republic of the Congo,250,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1713,315,300,1297,3785
Denmark,54,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,263000,248000,234000,210629,201559
Djibouti,72,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Dominica,55,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1000,1000,1000,1000,181
Dominican Republic,56,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,51300,52900,48500,60018,43743
Ecuador,58,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,88100,69800,71600,226367,134358
Egypt,59,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1014000,984400,1073416,1099000,1068923
El Salvador,60,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,57000,56808,48453,48274,40018
Equatorial Guinea,61,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Eritrea,178,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,5000,5380,5400,3694,2625
Estonia,63,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,24932,19550,22390,19603,16700
Ethiopia,238,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,75100,79790,76500,63180,77373
Faroe Islands,64,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Fiji,66,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,8900,6400,2500,5000,9357
Finland,67,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,175000,176000,167000,165000,162000
France,68,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2488100,2571400,2316300,2397000,2279000
French Guiana,69,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,400,400,400,400,400
French Polynesia,70,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,400,494,500,381,539
Gabon,74,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100,100,100,100,100
Gambia,75,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2300,1000,600,600,600
Georgia,73,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,30000,40000,40000,26000,26000
Germany,79,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1903017,2014010,1847507,1792212,1787654
Ghana,81,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,7274,8002,7048,14169,14170
Greece,84,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,292000,291000,285000,261000,253000
Greenland,85,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Grenada,86,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Guadeloupe,87,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6094,6800,7000,7000,7000
Guatemala,89,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,101000,124000,124500,114996,91600
Guinea,90,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1120,1000,1000,1000,1000
Guinea-Bissau,175,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,200,200,1000,1000,1000
Guyana,91,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,13800,15530,10737,11200,14421
Haiti,93,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6307,4956,8854,7663,7670
Honduras,95,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,93893,109500,135900,110000,37335
Hungary,97,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,282000,320600,320000,336000,365000
Iceland,99,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,12500,13500,13000,8981,10171
India,100,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,11353755,11586250,10920200,11310175,10470810
Indonesia,101,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2120900,1925500,1964400,1953480,2213000
Iran (Islamic Republic of),102,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,878000,847800,862572,864108,884204
Iraq,103,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,251200,254700,250500,502000,510700
Ireland,104,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,444000,429000,368410,366000,360000
Israel,105,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,61000,44000,49000,45300,40500
Italy,106,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,845000,868000,828000,773161,785314
Jamaica,109,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,8906,9210,9900,8440,8702
Japan,110,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,476000,479500,487400,484000,463000
Jordan,112,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,14835,12996,9404,10300,14000
Kazakhstan,108,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,12600,30000,30000,42000,50000
Kenya,114,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,53000,54200,69911,80014,56961
Kiribati,83,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Kuwait,118,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1000,1100,629,1046,1050
Kyrgyzstan,113,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,27714,26849,27653,27396,27400
Lao People's Democratic Republic,120,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2859,4526,3227,6221,3395
Latvia,119,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,31500,33600,28498,40300,34316
Lebanon,121,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,23400,22000,24300,29695,21317
Lesotho,122,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1800,1863,3420,4910,4900
Liberia,123,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Libyan Arab Jamahiriya,124,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,20000,43600,31700,20700,17700
Lithuania,126,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,83400,94000,98000,102000,115000
Madagascar,129,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,3590,4296,3796,3205,2182
Malawi,130,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,34800,30000,34588,16781,130253
Malaysia,131,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,417000,362400,348588,331917,373000
Maldives,132,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Mali,133,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,17400,18100,12709,14000,14000
Malta,134,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1159,451,450,300,300
Martinique,135,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6400,3000,2300,4600,4600
Mauritania,136,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1800,2400,0,2900,2900
Mauritius,137,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,12400,13400,13300,8350,6900
Mexico,138,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1336000,1300000,1342000,1374100,1176400
Mongolia,141,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,4200,2800,3400,3200,4448
Montserrat,142,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Morocco,143,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,176000,202941,207600,198000,249000
Mozambique,144,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,3800,8000,9700,16000,16000
Myanmar,28,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,135000,125000,165000,74000,125300
Namibia,147,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100,100,100,100,100
Nepal,149,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,87400,62000,51771,47204,59484
Netherlands,150,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,350000,345000,300000,296000,284000
Netherlands Antilles,151,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
New Caledonia,153,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,300,300,300,300,300
New Zealand,156,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,153500,180000,230740,269000,305597
Nicaragua,157,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,21900,20239,14200,11968,40162
Niger,158,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,500,1681,2522,3371,3360
Nigeria,159,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100000,107000,105600,146800,94400
Norway,162,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,106000,106000,102000,100592,101000
Oman,221,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6720,5695,3950,5734,5203
Pakistan,165,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2091852,2218100,2264600,2291610,2335990
Panama,166,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,21300,17700,15297,16000,17456
Papua New Guinea,168,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,3200,2700,4700,4800,4800
Paraguay,169,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,20471,18547,18300,22100,34934
Peru,170,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,170200,168070,190116,198866,209444
Philippines,171,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,409362,480389,488177,507348,481540
Poland,173,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,862007,861300,896200,861775,831660
Portugal,174,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,131000,120000,113000,103000,101000
Qatar,179,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1000,800,500,900,0
Republic of Korea,117,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,451000,428298,411517,374555,363412
Republic of Moldova,146,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6800,3100,5000,31174,8339
Réunion,182,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2100,2100,2000,2300,2300
Romania,183,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,268000,182000,239279,268469,239071
Russian Federation,185,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,831000,959000,960000,1090500,950000
Rwanda,184,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100,100,100,100,5164
Saint Kitts and Nevis,188,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,800,800,800,800,800
Saint Lucia,189,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2160,2000,2000,2000,535
Saint Vincent and the Grenadines,191,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1300,1300,1300,1300,711
Samoa,244,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,937,3128,3500,3500
San Marino,192,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,160,190,190
Sao Tome and Principe,193,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Saudi Arabia,194,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,200000,210000,228000,223060,224000
Senegal,195,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,7600,14400,16200,15900,21382
Serbia and Montenegro,186,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,154000,138100,144900,202100,245885
Seychelles,196,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,10,15,8,5
Sierra Leone,197,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100,30,50,100,100
Singapore,200,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2458,2340,1605,1353,1349
Slovakia,199,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,82814,65357,82100,81345,88260
Slovenia,198,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,34813,34392,34848,34770,33338
Somalia,201,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,500,500,500,500,500
South Africa,202,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,406000,413000,415900,393000,570800
Spain,203,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1199000,1181000,1113700,1110700,1070100
Sri Lanka,38,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,142226,163798,157473,158448,188325
Sudan,206,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,26200,26100,32800,70000,54596
Suriname,207,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,5694,4800,5300,5100,5100
Swaziland,209,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2000,1700,2000,2000,2000
Sweden,210,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,196000,197000,196716,187029,189000
Switzerland,211,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,59000,53000,48371,55359,52845
Syrian Arab Republic,212,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,218393,250458,236000,194762,213264
Tajikistan,208,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,28272,10600,8900,12100,27900
Thailand,216,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,905000,1070028,924000,977136,1018625
The former Yugoslav Republic of Macedonia,154,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,25200,25000,19200,12600,12600
Togo,217,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6600,8500,8964,9200,7172
Tonga,219,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Trinidad and Tobago,220,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,5000,4900,7278,626,1155
Tunisia,222,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,63325,65000,62100,55000,56000
Turkey,223,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1392000,1484075,1378191,1132557,1195190
Turkmenistan,213,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,57000,72200,86600,98000,97800
Uganda,226,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1825,2077,3392,3800,4330
Ukraine,230,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,406000,327000,350000,380000,500000
United Arab Emirates,225,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,24700,25100,23800,23500,23500
United Kingdom,229,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1286000,1268000,1115000,1197000,1142000
United Republic of Tanzania,215,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,19324,12535,14135,6660,6206
United States of America,231,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,11281509,11165313,10464065,10894771,10878330
United States Virgin Islands,240,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,300,300,300,300,300
Uruguay,234,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,53500,43000,36242,53448,54292
Uzbekistan,235,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,643000,622000,607000,559000,559000
Vanuatu,155,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0
Venezuela (Bolivarian Republic of),236,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,128600,106000,175000,181000,190000
Viet Nam,237,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1186100,1224200,1328000,1063200,1063200
Yemen,249,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,15890,14817,14898,16000,11300
Zambia,251,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,13200,10621,8000,13000,33296
Zimbabwe,181,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,95000,100000,87400,82000,60000
