countries,element,2003,2004,2005,2006,2007
Mexico,Production Quantity in nutrients (tonnes of nutrients),204562,275000,368249,260915,262113
Mongolia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Morocco,Production Quantity in nutrients (tonnes of nutrients),308000,329160,264100,298940,275500
Mozambique,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Myanmar,Production Quantity in nutrients (tonnes of nutrients),7906,6575,2107,3579,3064
Namibia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Nepal,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Netherlands,Production Quantity in nutrients (tonnes of nutrients),1584700,1584753,1534664,1563210,1628127
New Caledonia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
New Zealand,Production Quantity in nutrients (tonnes of nutrients),119960,184454,174012,129765,129800
Nicaragua,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Niger,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Nigeria,Production Quantity in nutrients (tonnes of nutrients),0,3800,4868,20821,12505
Norway,Production Quantity in nutrients (tonnes of nutrients),477114,498599,453397,492053,497738
Oman,Production Quantity in nutrients (tonnes of nutrients),0,0,478860,778780,875380
Pakistan,Production Quantity in nutrients (tonnes of nutrients),2260071,2267285,2424785,2464737,2442411
Panama,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Papua New Guinea,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Paraguay,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Peru,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Philippines,Production Quantity in nutrients (tonnes of nutrients),157353,135343,138545,116102,97321
Poland,Production Quantity in nutrients (tonnes of nutrients),1128539,1647406,1735461,1714254,1832856
Portugal,Production Quantity in nutrients (tonnes of nutrients),59933,65804,89663,55414,73305
Qatar,Production Quantity in nutrients (tonnes of nutrients),818892,1029802,1370248,1338140,1363440
Republic of Korea,Production Quantity in nutrients (tonnes of nutrients),237936,399447,416432,337805,372534
Republic of Moldova,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Romania,Production Quantity in nutrients (tonnes of nutrients),1035000,772281,1194130,818909,756184
Russian Federation,Production Quantity in nutrients (tonnes of nutrients),5995000,6591000,6725000,6830000,7203000
Rwanda,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Saint Kitts and Nevis,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Samoa,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Saudi Arabia,Production Quantity in nutrients (tonnes of nutrients),1299660,1250310,1368540,1472370,1826600
Senegal,Production Quantity in nutrients (tonnes of nutrients),32028,24893,15856,2599,5903
Serbia,Production Quantity in nutrients (tonnes of nutrients),,,,104146,144701
Serbia and Montenegro,Production Quantity in nutrients (tonnes of nutrients),87688,199317,184512,,
Seychelles,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Singapore,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Slovakia,Production Quantity in nutrients (tonnes of nutrients),220100,261100,249700,221500,221500
Slovenia,Production Quantity in nutrients (tonnes of nutrients),295,375,27,0,0
South Africa,Production Quantity in nutrients (tonnes of nutrients),310038,259191,281482,166900,154149
Spain,Production Quantity in nutrients (tonnes of nutrients),790871,761124,794693,715644,710298
Sri Lanka,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Sudan,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Suriname,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Sweden,Production Quantity in nutrients (tonnes of nutrients),57113,59226,53224,79600,80000
Switzerland,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Syrian Arab Republic,Production Quantity in nutrients (tonnes of nutrients),0,112497,129192,163990,140990
Tajikistan,Production Quantity in nutrients (tonnes of nutrients),0,8000,8100,6460,4900
Thailand,Production Quantity in nutrients (tonnes of nutrients),108972,130875,110982,137200,137000
The former Yugoslav Republic of Macedonia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Togo,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Tonga,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Trinidad and Tobago,Production Quantity in nutrients (tonnes of nutrients),297691,284941,344134,316503,327996
Tunisia,Production Quantity in nutrients (tonnes of nutrients),286980,284970,276686,240676,253857
Turkey,Production Quantity in nutrients (tonnes of nutrients),839321,807224,835865,695980,557662
Uganda,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Ukraine,Production Quantity in nutrients (tonnes of nutrients),2424259,2310187,2561330,3269850,2696010
United Arab Emirates,Production Quantity in nutrients (tonnes of nutrients),300840,289800,264500,297540,298310
United Kingdom,Production Quantity in nutrients (tonnes of nutrients),668287,653438,660394,634400,408570
United Republic of Tanzania,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
United States of America,Production Quantity in nutrients (tonnes of nutrients),8583681,8969917,8317466,8168644,8516272
Uruguay,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Venezuela (Bolivarian Republic of),Production Quantity in nutrients (tonnes of nutrients),542198,715701,704965,793800,794000
Viet Nam,Production Quantity in nutrients (tonnes of nutrients),68099,485874,388194,363630,443440
Yemen,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Zambia,Production Quantity in nutrients (tonnes of nutrients),0,0,0,0,0
Zimbabwe,Production Quantity in nutrients (tonnes of nutrients),55417,46717,41485,37129,37200
