country_ID,country_name_abbrev,country_name,GCAM_region_ID,GCAM_region_name
190,TURM,turkmenistan,6,Former Soviet Union
191,UKRA,ukraina,6,Former Soviet Union
192,UZBE,uzbekistan,6,Former Soviet Union
193,CZER,czech rep.,12,Eastern Europe
194,SLOK,slovakia,12,Eastern Europe
195,EU15,european union,3,Western Europe
196,EUN9,new member countries,3,Western Europe
197,OEEU,other eastern europe,12,Eastern Europe
198,CEAS,central asian republics,6,Former Soviet Union
199,NEAO,"near east, other",8,Middle East
200,EASO,"east asia, other",11,Southeast Asia
