countries,item,2001,2002,2003,2004,2005,avg
Chile,Arable land,1750,1650,1500,1500,1450,1570
China,Arable land,132169,130667,130664,131646,135638,132156.8
Colombia,Arable land,2434,2211,2264,2216,2026,2230.2
Comoros,Arable land,80,80,80,80,80,80
Congo,Arable land,490,495,495,495,495,494
"Congo, Democratic Republic of",Arable land,6700,6700,6700,6700,6700,6700
Cook Islands,Arable land,4,4,3,3,3,3.4
Costa Rica,Arable land,210,200,210,210,200,206
Cote dIvoire,Arable land,2800,2800,2700,2800,2800,2780
Croatia,Arable land,1121,1126,868,872,854,968.2
Cuba,Arable land,3549,3798,3752,3706,3672,3695.4
Cyprus,Arable land,98,100,115,113,123,109.8
Czech Republic,Arable land,3076,3069,3062,3055,3047,3061.8
Denmark,Arable land,2292,2276,2266,2269,2332,2287
Djibouti,Arable land,1,1,1,1,1,1
Dominica,Arable land,5,5,5,5,5,5
Dominican Republic,Arable land,818,818,820,820,820,819.2
Ecuador,Arable land,1500,1360,1299,1277,1296,1346.4
Egypt,Arable land,2861,2936,2906,2965,3003,2934.2
El Salvador,Arable land,700,660,746,759,769,726.8
Equatorial Guinea,Arable land,130,130,130,130,130,130
Eritrea,Arable land,562,562,597,598,620,587.8
Estonia,Arable land,677,613,545,518,591,588.8
Ethiopia,Arable land,10712,9936,10928,12364,12923,11372.6
Faroe Islands,Arable land,3,3,3,3,3,3
Fiji,Arable land,170,170,170,170,170,170
Finland,Arable land,2188,2200,2210,2217,2233,2209.6
France,Arable land,18447,18449,18459,18461,18517,18466.6
French Guiana,Arable land,12,12,12,12,12,12
French Polynesia,Arable land,3,3,3,3,3,3
Gabon,Arable land,325,325,325,325,325,325
Gambia,Arable land,320,300,310,335,330,319
Georgia,Arable land,795,799,802,472,465,666.6
Germany,Arable land,11813,11791,11827,11898,11904,11846.6
Ghana,Arable land,4060,4181,4185,4000,4000,4085.2
Greece,Arable land,2720,2717,2668,2629,2602,2667.2
Grenada,Arable land,2,2,2,2,2,2
Guadeloupe,Arable land,19,19,20,19,19,19.2
Guam,Arable land,2,2,2,2,2,2
Guatemala,Arable land,1405,1425,1938,1600,1400,1553.6
Guinea,Arable land,1450,1500,1600,1700,1900,1630
Guinea-Bissau,Arable land,300,300,300,300,300,300
Guyana,Arable land,450,450,450,450,420,444
Haiti,Arable land,900,900,900,900,900,900
Honduras,Arable land,1068,1068,1068,1068,1068,1068
Hungary,Arable land,4606,4606,4597,4598,4601,4601.6
Iceland,Arable land,7,7,7,7,7,7
India,Arable land,160288,159934,159865,159450,159213,159750
Indonesia,Arable land,20200,20081,22406,24666,21946,21859.8
"Iran, Islamic Republic of",Arable land,15861,16029,16197,16365,16533,16197
Iraq,Arable land,5100,5600,5500,5400,5500,5420
Ireland,Arable land,1188,1177,1182,1205,1184,1187.2
Isle of Man,Arable land,9.1,8.7,8.3,7.9,7.5,8.3
Israel,Arable land,342,349,338,313,311,330.6
Italy,Arable land,8339,8287,7959,7979,7780,8068.8
Jamaica,Arable land,174,174,174,174,174,174
Japan,Arable land,4444,4419,4397,4379,4360,4399.8
Jordan,Arable land,192,195,177,209,185,191.6
Kazakhstan,Arable land,22133,22663,22550,22614,22614,22514.8
Kenya,Arable land,5128,5091,5146,5258,5264,5177.4
Kiribati,Arable land,2,2,2,2,2,2
"Korea, Democratic Peoples Republic of",Arable land,2600,2700,2700,2750,2800,2710
"Korea, Republic of",Arable land,1689,1674,1659,1653,1643,1663.6
Kuwait,Arable land,13,15,15,15,15,14.6
Kyrgyzstan,Arable land,1344,1345,1344,1334,1284,1330.2
Lao Peoples Democratic Republic,Arable land,880,950,980,1000,1000,962
Latvia,Arable land,958,973,957,1009,1092,997.8
Lebanon,Arable land,120,130,136,136.3,141.7,132.8
Lesotho,Arable land,330,300,300,310,330,314
Liberia,Arable land,380,380,380,380,380,380
Libyan Arab Jamahiriya,Arable land,1815,1815,1815,1750,1750,1789
Liechtenstein,Arable land,4,4,4,4,4,4
Lithuania,Arable land,1631,1639,1525,1616,1906,1663.4
Luxembourg,Arable land,62,62,62,62,60,61.6
Madagascar,Arable land,2950,2950,2950,2950,2950,2950
Malawi,Arable land,2850,2850,2850,3000,3000,2910
Malaysia,Arable land,1800,1800,1800,1800,1800,1800
Maldives,Arable land,4,4,4,4,4,4
Mali,Arable land,4615,4700,4950,4300,4650,4643
Malta,Arable land,9,9,10,9,8.2,9.04
Marshall Islands,Arable land,1,1,1,2,2,1.4
Martinique,Arable land,11,10,10,10,10,10.2
Mauritania,Arable land,450,400,400,400,488,427.6
Mauritius,Arable land,100,95,95,93,93,95.2
Mayotte,Arable land,7,7,7,7,7,7
Mexico,Arable land,25100,25100,25100,25100,25000,25080
"Micronesia, Federated States of",Arable land,2.5,2.5,2.5,2.5,2.5,2.5
Moldova,Arable land,1849,1852,1843,1845,1840,1845.8
Mongolia,Arable land,998,901,858,848,846,890.2
Montserrat,Arable land,2,2,2,2,2,2
Morocco,Arable land,8488,8402,9055,8210,8122,8455.4
Mozambique,Arable land,4000,4450,4500,4600,4500,4410
Myanmar,Arable land,9990,9862,9851,9912,10059,9934.8
Namibia,Arable land,816,816,815,815,815,815.4
Nepal,Arable land,2357,2357,2357,2357,2357,2357
Netherlands,Arable land,905,916,906,909,908,908.8
Netherlands Antilles,Arable land,8,8,8,8,8,8
New Caledonia,Arable land,5,5,6,6,6,5.6
New Zealand,Arable land,1500,866,846,934,984,1026
Nicaragua,Arable land,1925,2000,2050,1955,2050,1996
Niger,Arable land,13985,13985,14085,13785,14320,14032
Nigeria,Arable land,30000,32000,32000,33000,35000,32400
Niue,Arable land,3,3,3,3,3,3
Northern Mariana Islands,Arable land,1,1,1,1,1,1
Norway,Arable land,881,878,871,869,862,872.2
Occupied Palestinian Territory,Arable land,104,107,106,107,109,106.6
Oman,Arable land,38,38,37,62,62,47.4
Pakistan,Arable land,21488,21606,21578,21295,21265,21446.4
Palau,Arable land,1,1,1,1,1,1
Panama,Arable land,548,548,548,548,548,548
Papua New Guinea,Arable land,210,220,225,230,240,225
Paraguay,Arable land,3100,3210,3400,3900,3900,3502
Peru,Arable land,3650,3650,3650,3600,3650,3640
Philippines,Arable land,4984,4935,4900,5000,5000,4963.8
Poland,Arable land,13584,13010,12587,12610,12141,12786.4
Portugal,Arable land,1560,1566,1487,1447,1262,1464.4
Puerto Rico,Arable land,64.9,68,65,65,65,65.58
Qatar,Arable land,18,18,18,18,18,18
Réunion,Arable land,36,36,35,34,35,35.2
Romania,Arable land,9371,9376,9377,8915,8985,9204.8
Russian Federation,Arable land,123860,123465,122559,122146,121781,122762.2
Rwanda,Arable land,1000,1116,1150,1150,1150,1113.2
Saint Helena,Arable land,4,4,4,4,4,4
Saint Kitts and Nevis,Arable land,7,7,7,7,4,6.4
Saint Lucia,Arable land,2,2,2,2,2,2
Saint Pierre and Miquelon,Arable land,3,3,3,3,3,3
Saint Vincent and Grenadines,Arable land,5,5,5,5,5,5
Samoa,Arable land,25,25,25,25,25,25
San Marino,Arable land,1,1,1,1,1,1
Sao Tome and Principe,Arable land,6,7,8,9,9,7.8
Saudi Arabia,Arable land,3600,3600,3600,3500,3500,3560
Senegal,Arable land,3110,3100,2982,3037,3176,3081
Serbia and Montenegro,Arable land,3402,3397,3390,3391,3505,3417
Seychelles,Arable land,1,1,1,1,1,1
Sierra Leone,Arable land,500,535,570,600,800,601
Singapore,Arable land,1,1,0.6,0.6,0.6,0.76
Slovakia,Arable land,1442,1410,1413,1393,1391,1409.8
Slovenia,Arable land,173,168,173,176,178,173.6
Solomon Islands,Arable land,15,15,16,16,16,15.6
Somalia,Arable land,1045,1200,1250,1350,1350,1239
South Africa,Arable land,14753,14753,14753,14700,14700,14731.8
Spain,Arable land,13064,12909,13017,13025,12913,12985.6
Sri Lanka,Arable land,916,936,950,900,1000,940.4
Sudan,Arable land,16376,16519,18052,18019,19434,17680
Suriname,Arable land,62,50,60,58,55,57
Swaziland,Arable land,178,178,178,178,178,178
Sweden,Arable land,2691,2677,2666,2657,2698,2677.8
Switzerland,Arable land,412,409,407,409,408,409
Syrian Arab Republic,Arable land,4635,4593,4625,4757,4675,4657
Tajikistan,Arable land,783,781,782,766,770,776.4
"Tanzania, United Republic of",Arable land,8900,9100,9470,9500,9500,9294
Thailand,Arable land,15578,15389,15200,15200,15200,15313.4
The former Yugoslav Republic of Macedonia,Arable land,568,499,471,461,448,489.4
Timor-Leste,Arable land,145,145,150,170,170,156
Togo,Arable land,2510,2510,2510,2500,2490,2504
Tonga,Arable land,15,15,15,15,15,15
Trinidad and Tobago,Arable land,30,30,30,26,25,28.2
Tunisia,Arable land,2774,2771,2790,2791,2730,2771.2
Turkey,Arable land,23801,23994,23372,23871,23830,23773.6
Turkmenistan,Arable land,1700,1780,1780,1780,1850,1778
Turks and Caicos Islands,Arable land,1,1,1,1,1,1
Uganda,Arable land,5100,5100,5200,5300,5400,5220
Ukraine,Arable land,32537,32544,32480,32482,32452,32499
United Arab Emirates,Arable land,71,75,64,64,64,67.6
United Kingdom,Arable land,5651,5786,5659,5819,5729,5728.8
United States of America,Arable land,175400,175980,176672,174244,172448,174948.8
Uruguay,Arable land,1370,1300,1300,1300,1300,1314
US Virgin Islands,Arable land,2,2,2,2,2,2
Uzbekistan,Arable land,4485,4484,4500,4500,4400,4473.8
Vanuatu,Arable land,20,20,20,20,20,20
"Venezuela, Bolivarian Republic of",Arable land,2598,2500,2600,2650,2650,2599.6
Viet Nam,Arable land,6649,6600,6581,6469.5,6358,6531.5
Wallis and Futuna Islands,Arable land,1,1,1,1,1,1
Western Sahara,Arable land,4,4,4,4,4,4
Yemen,Arable land,1466,1415,1252,1325,1287,1349
Zambia,Arable land,5260,5260,5260,5260,5260,5260
Zimbabwe,Arable land,3230,3230,3230,3230,3230,3230
