Japan,industry,energy-use,coal,1.9636,1.8949,delivered coal,,2.180987856,2.061538452,0.217414051,0.166615335
Japan,industry,energy-use,electricity,1.1820,1.2273,elect_td_ind,,1.218283197,1.258113266,0.036320566,0.030826331
Japan,industry,energy-use,gas,0.0668,0.0675,wholesale gas,,0.066800884,0.067542633,0,0
Japan,industry,energy-use,refined liquids,1.8405,1.6593,refined liquids industrial,,1.845959784,1.663508658,0.005504153,0.00421811
Korea,industry,energy-use,biomass,0.0010,0.0494,delivered biomass,,0.011890512,0.066423086,0.013017576,0.016984773
Korea,industry,energy-use,coal,0.3651,0.4716,delivered coal,,0.4909023,0.635807448,0.125836566,0.164186139
Korea,industry,energy-use,electricity,0.1904,0.6469,elect_td_ind,,0.204337129,0.668248277,0.013937545,0.021305729
Korea,industry,energy-use,gas,0.0037,0.1120,wholesale gas,,0.003684384,0.111995532,0,0
Korea,industry,energy-use,refined liquids,0.4298,0.3968,refined liquids industrial,,0.435631904,0.40431423,0.005785589,0.007548788
Latin America,industry,energy-use,biomass,1.7070,2.0556,delivered biomass,,1.7469423,2.10323898,0.039939307,0.047636598
Latin America,industry,energy-use,coal,0.5036,0.5977,delivered coal,,0.570200292,0.677089296,0.066565512,0.07939433
Latin America,industry,energy-use,electricity,0.8969,1.6491,elect_td_ind,,0.936970801,1.708266121,0.040038705,0.059174257
Latin America,industry,energy-use,gas,1.8687,2.9724,wholesale gas,,1.948557246,3.067646087,0.079878614,0.095273196
Latin America,industry,energy-use,refined liquids,2.0578,2.5705,refined liquids industrial,,2.177650398,2.713458635,0.119817922,0.142909794
Middle East,industry,energy-use,biomass,0.0010,0.0010,delivered biomass,,0.009462168,0.013858308,0.009578617,0.017453316
Middle East,industry,energy-use,coal,0.0278,0.0515,delivered coal,,0.027800352,0.05149764,0,0
Middle East,industry,energy-use,electricity,0.1550,0.4501,elect_td_ind,,0.178539759,0.491422125,0.023502497,0.041273079
Middle East,industry,energy-use,gas,1.3473,3.1398,wholesale gas,,1.419159865,3.270683213,0.071839627,0.130899873
Middle East,industry,energy-use,refined liquids,0.9326,1.6556,refined liquids industrial,,1.057078673,1.882541237,0.12452202,0.226893113
Southeast Asia,industry,energy-use,biomass,1.1586,1.2975,delivered biomass,,1.161896715,1.303853256,0.003298324,0.006311448
Southeast Asia,industry,energy-use,coal,0.1906,0.8449,delivered coal,,0.461092284,1.362468456,0.270462571,0.517538745
Southeast Asia,industry,energy-use,electricity,0.4314,1.0569,elect_td_ind,,0.466572694,1.121530792,0.035207963,0.064621153
Southeast Asia,industry,energy-use,gas,0.9756,2.0334,wholesale gas,,1.001955712,2.083888083,0.026386592,0.050491585
Southeast Asia,industry,energy-use,refined liquids,1.1498,2.2063,refined liquids industrial,,1.179493858,2.263087349,0.029684916,0.056803033
USA,industry,energy-use,biomass,0.2824,1.2112,delivered biomass,,0.37911474,1.347061032,0.096717209,0.135848505
USA,industry,energy-use,coal,2.3048,1.2433,delivered coal,,2.517564708,1.542165912,0.212777861,0.298866711
USA,industry,energy-use,electricity,3.2108,3.4296,elect_td_ind,,3.253814814,3.488558773,0.043042112,0.058994414
USA,industry,energy-use,gas,6.3910,6.2049,wholesale gas,,6.40070021,6.218496796,0.009671721,0.013584851
USA,industry,energy-use,refined liquids,3.0907,1.5791,refined liquids industrial,,3.09390701,1.58362348,0.003223907,0.004528284
Western Europe,industry,energy-use,biomass,0.3514,0.4865,delivered biomass,,0.62416059,0.756617361,0.272766365,0.270079282
Western Europe,industry,energy-use,coal,3.4589,2.0701,delivered coal,,3.689416966,2.298316182,0.230484399,0.228213846
Western Europe,industry,energy-use,electricity,3.4184,4.2966,elect_td_ind,,3.52591979,4.40924417,0.107558649,0.112605501
Western Europe,industry,energy-use,gas,3.3521,4.7345,wholesale gas,,3.360018033,4.742321871,0.007947738,0.007869443
Western Europe,industry,energy-use,refined liquids,2.5716,2.4799,refined liquids industrial,,2.855186689,2.760693708,0.283575289,0.280781725

,,,,,,,,,,,
,,,,,,,,,,,
