boilers general,coal,1975,1,1,0.0198831,0.0198831,0.0198831,0.0198831,0.0198831,0.0198831,0.0198831,-6,-6,-6,-6,-6,-6,-6,-6,-6
boilers general,biomass,1975,1,1,0.0170286,0.0170286,0.0170286,0.0170286,0.0170286,0.0170286,0.0170286,-6,-6,-6,-6,-6,-6,-6,-6,-6

Region: USA,,,,,,,,,,,,,,,,,,,,
IndustrySupplySector ,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,
,,,1975,1990,2005,2020,2035,2050,2065,2080,2095,1975,1990,2005,2020,2035,2050,2065,2080,2095
supplysector,subsector,ScaleYear,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp
process heat primary metals,electricity,1975,1,1,3.97627,3.97627,3.97627,3.97627,3.97627,3.97627,3.97627,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat primary metals,refined liquids,1975,1,1,0.00182706,0.00182706,0.00182706,0.00182706,0.00182706,0.00182706,0.00182706,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat primary metals,gas,1975,1,1,0.0199268,0.0199268,0.0199268,0.0199268,0.0199268,0.0199268,0.0199268,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat primary metals,coal,1975,0,0,0.00197161,0.00197161,0.00197161,0.00197161,0.00197161,0.00197161,0.00197161,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat primary metals,biomass,1975,0,0,0,0.00197161,0.00197161,0.00197161,0.00197161,0.00197161,0.00197161,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat general,electricity,1975,1,1,3.86706,3.86706,3.86706,3.86706,3.86706,3.86706,3.86706,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat general,refined liquids,1975,1,1,0.0159887,0.0159887,0.0159887,0.0159887,0.0159887,0.0159887,0.0159887,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat general,gas,1975,1,1,0.116536,0.116536,0.116536,0.116536,0.116536,0.116536,0.116536,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat general,coal,1975,1,1,0.0004135,0.0004135,0.0004135,0.0004135,0.0004135,0.0004135,0.0004135,-6,-6,-6,-6,-6,-6,-6,-6,-6
process heat general,biomass,1975,0,0,0,0.0004135,0.0004135,0.0004135,0.0004135,0.0004135,0.0004135,-6,-6,-6,-6,-6,-6,-6,-6,-6

Region: USA,,,,,,,,,,,,,,,,,,,,
IndustrySupplySector ,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,
,,,1975,1990,2005,2020,2035,2050,2065,2080,2095,1975,1990,2005,2020,2035,2050,2065,2080,2095
supplysector,subsector,ScaleYear,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp
machine drive,electricity,1975,1,1,3.99364,3.99364,3.99364,3.99364,3.99364,3.99364,3.99364,-6,-6,-6,-6,-6,-6,-6,-6,-6
machine drive,refined liquids,1975,1,1,0.00163406,0.00163406,0.00163406,0.00163406,0.00163406,0.00163406,0.00163406,-6,-6,-6,-6,-6,-6,-6,-6,-6
machine drive,gas,1975,1,1,0.00471145,0.00471145,0.00471145,0.00471145,0.00471145,0.00471145,0.00471145,-6,-6,-6,-6,-6,-6,-6,-6,-6
machine drive,coal,1975,0,0,1.10185E-05,0,0,0,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6
hvac,electricity,1975,1,1,3.8441,3.8441,3.8441,3.8441,3.8441,3.8441,3.8441,-6,-6,-6,-6,-6,-6,-6,-6,-6
hvac,refined liquids,1975,1,1,0.00993957,0.00993957,0.00993957,0.00993957,0.00993957,0.00993957,0.00993957,-6,-6,-6,-6,-6,-6,-6,-6,-6
hvac,gas,1975,1,1,0.145597,0.145597,0.145597,0.145597,0.145597,0.145597,0.145597,-6,-6,-6,-6,-6,-6,-6,-6,-6
hvac,coal,1975,0,0,0.000358734,0.000358734,0.000358734,0.000358734,0.000358734,0.000358734,0.000358734,-6,-6,-6,-6,-6,-6,-6,-6,-6
hvac,biomass,1975,0,0,0,0.000358734,0.000358734,0.000358734,0.000358734,0.000358734,0.000358734,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses petroleum,electricity,1975,1,1,3.04075,3.04075,3.04075,3.04075,3.04075,3.04075,3.04075,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses petroleum,refined liquids,1975,1,1,0.894006,0.894006,0.894006,0.894006,0.894006,0.894006,0.894006,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses petroleum,gas,1975,1,1,0.0114317,0.0114317,0.0474,0.267,0.73,0.95,1,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses petroleum,coal,1975,0,0,0,0.0067,0.0474,0.06,0.18,0.24,0.25,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses petroleum,biomass,1975,0,0,0.0538138,0.0538138,0.0538138,0.267,0.73,0.95,1,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses general,electricity,1975,1,1,3.99707,3.99707,3.99707,3.99707,3.99707,3.99707,3.99707,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses general,refined liquids,1975,1,1,0.00114361,0.00114361,0.00114361,0.00114361,0.00114361,0.00114361,0.00114361,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses general,gas,1975,1,1,0.0017599,0.0017599,0.0017599,0.0017599,0.0017599,0.0017599,0.0017599,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses general,coal,1975,0,0,2.22827E-05,2.22827E-05,2.22827E-05,2.22827E-05,2.22827E-05,2.22827E-05,2.22827E-05,-6,-6,-6,-6,-6,-6,-6,-6,-6
other end uses general,biomass,1975,0,0,0,2.22827E-05,2.22827E-05,2.22827E-05,2.22827E-05,2.22827E-05,2.22827E-05,-6,-6,-6,-6,-6,-6,-6,-6,-6
electrochemical,electricity,1975,1,1,1,1,1,1,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6

Region: USA,,,,,,,,,,,,,,,,,,,,
IndustrySupplySector ,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,
,,,1975,1990,2005,2020,2035,2050,2065,2080,2095,1975,1990,2005,2020,2035,2050,2065,2080,2095
supplysector,subsector,ScaleYear,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp
feedstocks petroleum,refined liquids,1975,1,1,1.99525,1.99525,1.99525,1.99525,1.99525,1.99525,1.99525,-2,-2,-2,-2,-2,-2,-2,-2,-2
feedstocks petroleum,gas,1975,0,0,0,0.00474754,0.00474754,0.00474754,0.00474754,0.00474754,0.00474754,-2,-2,-2,-2,-2,-2,-2,-2,-2
feedstocks petroleum,coal,1975,0,0,0.00474754,0.00474754,0.00474754,0.00474754,0.00474754,0.00474754,0.00474754,-2,-2,-2,-2,-2,-2,-2,-2,-2
feedstocks chemicals,refined liquids,1975,1,1,2.44804,2.44804,2.44804,2.44804,2.44804,2.44804,2.44804,-2,-2,-2,-2,-2,-2,-2,-2,-2
feedstocks chemicals,gas,1975,1,1,0.541304,0.541304,0.541304,0.541304,0.541304,0.541304,0.541304,-2,-2,-2,-2,-2,-2,-2,-2,-2
feedstocks chemicals,coal,1975,1,1,0.0106517,0.0106517,0.0106517,0.0106517,0.0106517,0.0106517,0.0106517,-2,-2,-2,-2,-2,-2,-2,-2,-2
feedstocks primary metals,refined liquids,1975,1,1,0.453509,0.453509,0.453509,0.453509,0.453509,0.453509,0.453509,-2,-2,-2,-2,-2,-2,-2,-2,-2
feedstocks primary metals,gas,1975,1,1,0.227906,0.227906,0.227906,0.227906,0.227906,0.227906,0.227906,-2,-2,-2,-2,-2,-2,-2,-2,-2
feedstocks primary metals,coal,1975,1,1,2.31859,2.31859,2.31859,2.31859,2.31859,2.31859,2.31859,-2,-2,-2,-2,-2,-2,-2,-2,-2

Region: USA,,,,,,,,,,,,,,,,,,,,
IndustrySupplySector ,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,
,,,1975,1990,2005,2020,2035,2050,2065,2080,2095,1975,1990,2005,2020,2035,2050,2065,2080,2095
supplysector,subsector,ScaleYear,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp,logitexp
all end uses agriculture,electricity,1975,1,1,2.0704,2.0704,2.0704,2.0704,2.0704,2.0704,2.0704,-2,-2,-2,-2,-2,-2,-2,-2,-2
all end uses agriculture,refined liquids,1975,1,1,1.77142,1.77142,1.77142,1.77142,1.77142,1.77142,1.77142,-2,-2,-2,-2,-2,-2,-2,-2,-2
all end uses agriculture,gas,1975,1,1,0.121788,0.121788,0.121788,0.121788,0.121788,0.121788,0.121788,-2,-2,-2,-2,-2,-2,-2,-2,-2
all end uses agriculture,biomass,1975,1,1,0.0363889,0.0363889,0.0363889,0.0363889,0.0363889,0.0363889,0.0363889,-2,-2,-2,-2,-2,-2,-2,-2,-2
all end uses mining,electricity,1975,1,1,2.86241,2.86241,2.86241,2.86241,2.86241,2.86241,2.86241,-2,-2,-2,-2,-2,-2,-2,-2,-2
all end uses mining,refined liquids,1975,1,1,0.245565,0.245565,0.245565,0.245565,0.245565,0.245565,0.245565,-2,-2,-2,-2,-2,-2,-2,-2,-2
all end uses mining,gas,1975,1,1,1.87449,1.87449,1.87449,1.87449,1.87449,1.87449,1.87449,-2,-2,-2,-2,-2,-2,-2,-2,-2
all end uses mining,coal,1975,1,1,0.0148041,0.0148041,0.0148041,0.0148041,0.0148041,0.0148041,0.0148041,-2,-2,-2,-2,-2,-2,-2,-2,-2
all end uses mining,biomass,1975,1,1,0.00273206,0.00273206,0.00273206,0.00273206,0.00273206,0.00273206,0.00273206,-2,-2,-2,-2,-2,-2,-2,-2,-2
construction energy uses,electricity,1975,1,1,2.99919,2.99919,2.99919,2.99919,2.99919,2.99919,2.99919,-6,-6,-6,-6,-6,-6,-6,-6,-6
construction energy uses,refined liquids,1975,1,1,0.000634164,0.000634164,0.000634164,0.000634164,0.000634164,0.000634164,0.000634164,-2,-2,-2,-2,-2,-2,-2,-2,-2
construction energy uses,gas,1975,1,1,0.000172974,0.000172974,0.000172974,0.000172974,0.000172974,0.000172974,0.000172974,-2,-2,-2,-2,-2,-2,-2,-2,-2
construction feedstocks,refined liquids,1975,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2


,biomass,coal,electricity,gas,refined liquids,,,,,,,,,,,,,,,
all end uses agriculture,0.0363889,0,2.0704,0.121788,1.77142,,,,,,,,,,,,,,,
all end uses mining,0.00273206,0.0148041,2.86241,1.87449,0.245565,,,,,,,,,,,,,,,
boilers general,0.0170286,0.0198831,4.23568,0.564044,0.163364,,,,,,,,,,,,,,,
boilers pulp paper and wood,0.95217,0.0152424,3.70692,0.167143,0.158523,,,,,,,,,,,,,,,
construction energy uses,0,0,2.99919,0.000172974,0.000634164,,,,,,,,,,,,,,,
feedstocks chemicals,0,0.0106517,0,0.541304,2.44804,,,,,,,,,,,,,,,
feedstocks petroleum,0,0.00474754,0,0,1.99525,,,,,,,,,,,,,,,
feedstocks primary metals,0,2.31859,0,0.227906,0.453509,,,,,,,,,,,,,,,
hvac,0,0.000358734,3.8441,0.145597,0.00993957,,,,,,,,,,,,,,,
machine drive,0,1.10185E-05,3.99364,0.00471145,0.00163406,,,,,,,,,,,,,
other end uses general,0,2.22827E-05,3.99707,0.0017599,0.00114361,,,,,,,,,,,,,
other end uses petroleum,0.0538138,0,3.04075,0.0114317,0.894006,,,,,,,,,,,,,
process heat cement,2.70114,0.808644,0,0.278966,0.211248,,,,,,,,,,,,,
process heat general,0,0.0004135,3.86706,0.116536,0.0159887,,,,,,,,,,,,,
process heat primary metals,0,0.00197161,3.97627,0.0199268,0.00182706,,,,,,,,,,,,,


,biomass,biomass gasification,biomass liquids,boat,coal,coal gasification,crude oil refining,electricity,gas,geothermal,hydro,nuclear,ohv,oil,refined liquids,solar,trad biomass,wind
all end uses agriculture,0.0363889,,,,,,,2.0704,0.121788,,,,,,1.77142,,,
all end uses mining,0.00273206,,,,0.0148041,,,2.86241,1.87449,,,,,,0.245565,,,
boilers general,0.0170286,,,,0.0198831,,,4.23568,0.564044,,,,,,0.163364,,,
boilers pulp paper and wood,0.95217,,,,0.0152424,,,3.70692,0.167143,,,,,,0.158523,,,
commercial heating service,0.764795,,,,,,,2.28836,0.805586,,,,,,0.141254,,,
commercial others service,,,,,,,,1.89196,0.764712,,,,,,0.34333,,,
commercial water heating service,,,,,,,,2.34639,0.551882,,,,,,0.101723,,,
construction energy uses,,,,,,,,2.99919,0.000172974,,,,,,0.000634164,,,
electricity,0.239278,,,,2.99111,,,,0.886053,0.0341946,1.81575,2.48113,,0.502834,,0.0244197,,0.0252317
feedstocks chemicals,,,,,0.0106517,,,,0.541304,,,,,,2.44804,,,
feedstocks petroleum,,,,,0.00474754,,,,,,,,,,1.99525,,,
feedstocks primary metals,,,,,2.31859,,,,0.227906,,,,,,0.453509,,,
hvac,,,,,0.000358734,,,3.8441,0.145597,,,,,,0.00993957,,,
machine drive,,,,,1.10E-05,,,3.99364,0.00471145,,,,,,0.00163406,,,
other end uses general,,,,,2.23E-05,,,3.99707,0.0017599,,,,,,0.00114361,,,
other end uses petroleum,0.0538138,,,,,,,3.04075,0.0114317,,,,,,0.894006,,,
process heat cement,2.70114,,,,0.808644,,,,0.278966,,,,,,0.211248,,,
process heat general,,,,,0.0004135,,,3.86706,0.116536,,,,,,0.0159887,,,
process heat primary metals,,,,,0.00197161,,,3.97627,0.0199268,,,,,,0.00182706,,,
recreational offroad,,,,0.713645,,,,,,,,,1.28635,,,,,
refined liquids enduse,,,1.72909,,,,0.270907,,,,,,,,,,,
residential appliances service,,,,,,,,1.97592,0.0240818,,,,,,,,,
residential heating service,0.136126,,,,0.843255,,,2.35287,1.2564,,,,,,0.568097,,0.843255,
residential others service,,,,,,,,2.78214,0.090881,,,,,,0.12698
residential water heating service,,,,,,,,2.64672,0.287779,,,,,,0.0655033
wholesale gas,,1,,,,1,,,,,,,,,
