# File: IMAGE_an_FeedIO_Rimg_C_Sys_Y.csv
# Title: IMAGE animal feed input-output coefficients by IMAGE region / animal type / feeding system / feed type / and year
# Units: NA
# Author: Page Kyle
# Original source: aglu-data/RawData/IMAGE/Input Fractions.xls [IO Coeffs]
# ----------
commodity,system,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Dairy,Mixed,1990,1.012558903,0.988443019,2.72667736,2.157595239,2.725456958,1.722467027,2.260208523,4.97828703,3.988156634,2.278022962,1.140971934,1.236749388,1.867022135,1.381026778,1.929392316,1.428211043,1.055835077,1.931480975,0.955712364,2.789918227,5.0343692,1.870507773,1.203066391,0.838685202
Dairy,Pastoral,1990,1.739702577,1.716386554,4.225977624,2.625995244,5.621054581,3.960267595,20.33561772,5.541330599,5.478702105,5.670743748,0,0,2.115630362,0,2.323588387,0,2.181249489,3.521064658,1.160909868,2.817125859,6.626737595,2.171667533,0,1.870747268
Pork,Mixed,1990,6.54,6.54,6.88,6.88,6.88,6.88,7.74,6.88,6.88,6.88,6.54,7.36,0,7.36,7.74,7.36,7.74,6.88,8.11,8.11,6.88,6.88,6.54,6.54
Poultry,Mixed,1990,3.27,3.27,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,3.27,4.09,4.3,4.09,4.3,4.09,4.3,4.3,4.06,4.06,4.3,4.3,3.27,3.27
SheepGoat,Mixed,1990,31.48412958,30.0516688,59.94051571,81.92296526,55.86084033,44.65659827,14.05369511,24.42847364,24.66049726,22.12009387,24.56027105,44.71473049,11.49622568,49.86459656,20.77674803,48.89686156,15.66722581,18.60463794,18.60463794,18.60463794,18.60463794,18.60463794,24.77554459,30.29925152
SheepGoat,Pastoral,1990,36.38531192,37.96095508,94.22435044,86.47978083,88.30307815,79.24176776,14.05369511,28.66501358,25.80654926,24.79184652,0,0,13.92363652,0,19.5493645,0,15.2305511,32.11337079,51.47826262,32.60035274,32.11337079,32.11337079,0,32.89335158
Beef,Mixed,2005,29.41411354,22.1852631,34.42981702,37.96247978,48.26120999,55.82262741,16.31656138,67.98247936,48.83784424,36.86319904,25.22616051,20.45809647,13.45456653,18.8767757,11.52699789,19.61618451,16.76472255,101.2936898,22.36927016,34.29199008,74.41351031,80.66888663,20.47549253,28.59234852
Beef,Pastoral,2005,37.97170394,30.98893894,46.6729755,76.96453967,62.09148262,58.86459009,6.108882082,125.6178803,152.6705406,92.22139006,0,0,108.4446208,0,18.77119158,0,43.70638961,130.7950151,27.69528687,60.42392383,95.50557002,104.4537939,0,40.74560711
Dairy,Mixed,2005,0.997161452,0.940733929,2.170238948,2.337397075,2.280761952,1.544851475,1.899614094,4.64670739,3.721407893,2.347347705,1.036628247,1.119811582,2.323746571,1.266573055,2.309518281,1.353116179,1.048181514,1.723976564,0.825951818,1.726092017,3.941528182,1.563667333,1.119483761,0.869202259
Dairy,Pastoral,2005,1.376037482,1.465587546,3.333310222,3.238022854,4.635494807,3.944663107,17.01768859,5.361681256,5.621541041,5.950216932,0,0,2.248366865,0,2.142808612,0,2.50423142,2.855486889,1.87625247,3.470300788,6.03869287,2.063532474,0,1.571696941
Pork,Mixed,2005,6.22,6.22,6.63,6.63,6.63,6.63,7.46,6.63,6.63,6.63,6.22,7,0,7.36,7.46,7.36,7.46,6.63,6.97,6.97,6.63,6.63,6.22,6.22
Poultry,Mixed,2005,3.11,3.11,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,3.11,3.89,4.14,3.89,4.14,3.89,4.14,4.14,3.48,3.48,4.14,4.14,3.11,3.11
SheepGoat,Mixed,2005,27.20097045,27.20097045,50.91153084,50.91153084,50.91153084,50.91153084,11.69014807,23.93330385,23.93330385,23.93330385,27.20097045,38.08606436,13.35148702,38.08606436,13.35148702,38.08606436,13.35148702,15.85472661,15.85472661,15.85472661,15.85472661,15.85472661,27.20097045,27.20097045
SheepGoat,Pastoral,2005,35.01453223,35.01453223,75.88991607,75.88991607,75.88991607,75.88991607,11.69014807,26.94524828,26.94524828,26.94524828,0,0,13.35148702,0,13.35148702,0,13.35148702,28.57829525,28.57829525,28.57829525,28.57829525,28.57829525,0,35.01453223
Beef,Mixed,2030,25.14735461,20.84191526,24.42068527,50.94806871,49.47851644,45.06258248,15.56628976,45.00982729,40.12077866,31.2120801,19.1343749,21.63585611,12.36261584,26.45244141,9.949424142,21.31933814,15.00808038,59.32773754,18.10752086,26.38290887,55.56324532,58.00253122,14.52013099,26.08498524
Beef,Pastoral,2030,39.93991615,33.10186541,36.7376944,44.52177341,61.3108835,48.64584986,5.387142836,83.11754154,99.94957377,77.99181428,0,0,112.5269484,0,23.52036236,0,39.5868586,99.36979741,22.75047492,55.80442846,66.98557578,65.89532132,0,36.82586152
Dairy,Mixed,2030,1.045725372,0.929494772,1.781475068,2.081164028,2.198378589,1.48369339,1.577017503,3.773540962,2.927183021,2.276781571,1.101662611,1.079234817,1.934258372,0.941569412,1.14640043,1.182460509,1.021262028,1.912822202,0.902620376,1.488789644,2.591969709,1.359170761,1.129424844,0.746142899
Dairy,Pastoral,2030,1.402390942,1.418778088,3.919086985,2.790437157,5.869682765,3.750806482,13.92120466,5.29643342,6.114641953,7.563955463,0,0,1.89643334,0,3.762293172,0,2.86858194,3.042908437,1.431860832,3.124528268,8.131478501,2.469254413,0,1.582876481
Pork,Mixed,2030,6.22,6.22,6.43,6.43,6.41,6.41,7.516,6.54,6.54,6.54,6.22,6.51,6.85,6.85,6.85,6.85,6.85,6.44,6.44,6.44,6.41,6.41,6.22,6.22
Poultry,Mixed,2030,3.11,3.11,3.65,3.65,3.59,3.59,3.74,3.93,3.91,3.9,3.11,3.4,3.63,3.54,3.63,3.54,3.63,3.66,3.22,3.22,3.58,3.58,3.11,3.11
SheepGoat,Mixed,2030,23.25524612,25.55391471,36.1109811,68.32652099,52.19568711,41.09812032,10.30900524,15.84575736,19.66144905,20.26433452,20.63229424,40.27865494,12.26790209,53.37084055,11.52421546,41.39284498,11.9524907,9.28611704,12.83411531,12.19800327,11.83844251,11.39986324,19.28948246,24.815622
SheepGoat,Pastoral,2030,36.82946342,37.40193672,59.73522182,43.90013455,74.93584638,62.7156234,10.30900524,17.82885356,17.64037823,22.78765044,0,0,13.85409511,0,16.72945542,0,11.7118225,21.71198503,21.71198503,21.71198503,21.71198503,21.71198503,0,31.6461186
