# File: NREL_onshore_energy.csv
# Title: Onshore Wind Resource Potential by Country from NREL
# Units: PWh
# Comments: distance -  near =  0-50 miles; transitional = 50-100 miles; far = 100-5000 miles
# Source: Eurek et. al (2017); https://doi.org/10.1016/j.eneco.2016.11.015; raw data at https://catalog.data.gov/dataset/global-cfdda-based-onshore-and-offshore-wind-potential-supply-curves-by-country-class-and-
# Column types: ccnnnnnnnnnn
#  ----------
IAM_country,distance,c1,c2,c3,c4,c5,c6,c7,c8,c9,total
Nepal,transitional,0.01338821,0.001089739,0,0,0,0,0,0,0,0.014477949
Netherlands,transitional,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,transitional,0,0,0,0,0,0,0,0,0,0
New Caledonia,transitional,0,0.006099448,0.007148987,0,0.010092158,0,0,0,0,0.023340593
New Zealand,transitional,0,0,0.003387788,0.078645081,0.102982229,0.064508078,0.053106133,0.020934831,9.81E-05,0.323662211
Nicaragua,transitional,0.018364048,0.059484351,0.026247542,0.036074225,0.029921955,0.00376786,3.06E-05,0,0,0.173890561
Niger,transitional,0.120844253,0.91241936,0.919592992,0.064458489,0,0,0,0,0,2.017315094
Nigeria,transitional,0.191051877,0.167024657,0.393317993,0.130843267,0,0,0,0,0,0.882237794
Norway,transitional,0,0,0.000333605,0.013645578,0.061488494,0.010279213,0.000572948,0,0,0.086319837
"Palestinian Territory, Occupied",transitional,0,0,0,0,0,0,0,0,0,0
Oman,transitional,0.277834909,0.128256354,0.065439305,0.107032989,0.150228694,0.013024467,0.006900292,0,0,0.74871701
Pakistan,transitional,0.373352844,0.184869382,0.258975163,0.33236078,0.027905887,0,0,0,0,1.177464056
Panama,transitional,0.018073169,0.000788475,0,0,0,0,0,0,0,0.018861645
Papua New Guinea,transitional,0.144857451,0.006415624,0.007739274,0.002929584,0,0,0.004983474,0,0,0.166925408
Paraguay,transitional,0.005498412,0.251645156,0.076464177,0,0,0,0,0,0,0.333607745
Peru,transitional,0.146577406,0.023228171,0.016183917,0.006251153,0,0,0,0,0,0.192240647
Philippines,transitional,0.000709997,0.000492488,0,0.000187073,0.015558855,0,0,0,0,0.016948413
Poland,transitional,0,0,0,0.009045785,0,0,0,0,0,0.009045785
Portugal,transitional,0,0.032329071,0.013138532,0.002359838,0,0,0,0,0,0.047827441
Puerto Rico,transitional,0,0,0,0,0,0,0,0,0,0
Qatar,transitional,0,0,0,0,0,0,0,0,0,0
"Moldova, Republic of",transitional,0,0.00610433,0,0,0,0,0,0,0,0.00610433
Romania,transitional,0,0.000348906,0,0,0,0,0,0,0,0.000348906
Russian Federation,transitional,0.127261532,0.433318721,2.147667429,6.767787044,0.804982715,0.137094156,0.000735878,0,0,10.41884748
Rwanda,transitional,0,0,0,0,0,0,0,0,0,0
Samoa,transitional,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,transitional,2.618855971,2.457980035,0.250405656,0.027447711,0,0,0,0,0,5.354689373
Senegal,transitional,0.007542239,0.13360738,0.30561697,0.016533188,0,0,0,0,0,0.463299778
Sierra Leone,transitional,0.01432412,0,0,0,0,0,0,0,0,0.01432412
Singapore,transitional,0,0,0,0,0,0,0,0,0,0
Slovakia,transitional,0,0,0,0,0,0,0,0,0,0
Slovenia,transitional,0,0,0,0,0,0,0,0,0,0
Solomon Islands,transitional,0.008938722,0.003533038,0,0,0,0,0,0,0,0.01247176
Somalia,transitional,0.008902621,0.020609293,0.094789173,0.593100302,0.789913296,0.728991957,0.221520828,0.325163417,0,2.782990889
South Africa,transitional,0.367663367,0.391175284,0.539695602,0.445597121,0.080326707,0.003584051,0,0,0,1.828042131
Spain,transitional,0.024747606,0.082601962,0.014244329,0,0,0,0,0,0,0.121593897
Sri Lanka,transitional,0,0,0,0,0,0,0,0,0,0
Sudan,transitional,0.809230476,1.136993131,2.130472199,1.080255066,0.264936722,0.069491978,0,0,0,5.491379572
Suriname,transitional,0.019387848,0.001233053,0,0,0,0,0,0,0,0.020620901
Swaziland,transitional,0,0.000199364,0.004234948,0,0,0,0,0,0,0.004434313
Sweden,transitional,0,0,0.046002367,0.006604344,0.005697966,0.013122594,0,0,0,0.07142727
Switzerland,transitional,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,transitional,0.111792613,0.094646296,0.001393652,0,0,0,0,0,0,0.207832561
Taiwan,transitional,0,0,0,0,0,0,0,0,0,0
Tajikistan,transitional,0.000978034,0.012177658,0.007326862,0.004725357,0.010950959,0.00333326,0,0,0,0.039492131
"Tanzania, United Republic of",transitional,0.528641102,0.374122711,0.103306648,0.116653054,0.048086843,0.011755106,0,0,0,1.182565464
"Macedonia, the former Yugoslav Republic of",transitional,0,0,0,0,0,0,0,0,0,0
Thailand,transitional,0.033526928,0.047274028,0.059321859,0.021642743,0,0,0,0,0,0.161765558
Timor Leste,transitional,0.007763293,0.000970922,0,0,0,0,0,0,0,0.008734215
Togo,transitional,0.003009948,0.003498152,0,0,0,0,0,0,0,0.006508099
Trinidad and Tobago,transitional,0,0,0,0,0,0,0,0,0,0
Tunisia,transitional,0,0.011665205,0.255959685,0,0,0,0,0,0,0.26762489
Turkey,transitional,0.037490299,0.086046501,0.039361745,0.000139505,0,0,0,0,0,0.16303805
Turkmenistan,transitional,0.433089123,1.091822858,0.096483268,0.000664472,0,0,0,0,0,1.622059721
Uganda,transitional,0.011675962,0.012612609,0.009135593,0.061875019,0.026691528,0.025343436,0,0,0,0.147334148
Ukraine,transitional,0,0.012148241,0.228354168,0,0,0,0,0,0,0.240502409
United Arab Emirates,transitional,0.036079232,0.023313063,0,0,0,0,0,0,0,0.059392295
United Kingdom,transitional,0,0,0,0,0,0.00543414,0.025804096,0.004770151,0,0.036008387
United States of America,transitional,0.868479101,1.337860353,1.034387287,3.480858352,1.229463716,0.000879016,0.000710504,0,0,7.952638328
Uruguay,transitional,0,0.008587176,0.610661656,0.020583316,0,0,0,0,0,0.639832148
Uzbekistan,transitional,0.056419683,0.883048165,0.110701582,0.001532454,0,0,0,0,0,1.051701884
Vanuatu,transitional,0,0,0,0,0,0,0,0,0,0
Venezuela,transitional,0.156794426,0.220277974,0.206101228,0.22035583,0.081144231,0.015258562,0.010613759,0.000168648,0,0.910714659
Viet Nam,transitional,0.006466167,0.003992646,0.000637101,0.000955921,0.004729646,0,0,0,0,0.016781481
Western Sahara,transitional,0,0,0.035205011,0.419921647,0.031506351,0.018249197,0.0068496,0,0,0.511731806
Yemen,transitional,0.379983364,0.330757378,0.269226415,0.123382151,0.014189993,0.000945396,0,0,0,1.118484697
"Yugoslavia, Federal Republic of",transitional,0,0,0,0,0,0,0,0,0,0
Zambia,transitional,0.19811955,0.352673784,0.264033303,0.063907324,0.014832648,0,0,0,0,0.89356661
Zimbabwe,transitional,0.268248238,0.451195108,0.26989149,0.024116022,0,0,0,0,0,1.013450858
Afghanistan,far,0.149390846,0.093084468,0.049523419,0.007576371,0,0,0,0,0,0.299575104
Albania,far,0,0,0,0,0,0,0,0,0,0
Algeria,far,0.917281807,5.141782383,5.677285711,0.635879364,0.000238193,0,0,0,0,12.37246746
Angola,far,1.193885825,0.344329748,5.17E-05,0,0,0,0,0,0,1.538267311
Argentina,far,0.044264266,0.60165514,0.906902103,0.700890562,0.464469354,0.811601606,1.577112893,0.789218501,1.080387117,6.976501543
Armenia,far,0,0,0,0,0,0,0,0,0,0
Australia,far,0.035803135,4.353599386,33.47634624,14.09158737,0.798831252,0.088483251,0.010498697,0,0,52.85514933
Austria,far,0,0,0,0,0,0,0,0,0,0
Azerbaijan,far,0,0,0,0,0,0,0,0,0,0
Bahamas,far,0,0,0.000464305,7.45E-05,0.001519195,0,0,0,0,0.002057953
Bahrain,far,0,0,0,0,0,0,0,0,0,0
Bangladesh,far,0,0,0,0,0,0,0,0,0,0
Barbados,far,0,0,0,0,0,0,0,0,0,0
Belarus,far,0,0,0,0,0,0,0,0,0,0
Belgium,far,0,0,0,0,0,0,0,0,0,0
Belize,far,0.000926294,0,0,0,0,0,0,0,0,0.000926294
Benin,far,0,0,0,0,0,0,0,0,0,0
Bhutan,far,0,0,0,0,0,0,0,0,0,0
Bolivia,far,0.403908924,0.171610554,0.080717114,0.006114161,0,0,0,0,0,0.662350752
Bosnia and Herzegovina,far,0,0,0,0,0,0,0,0,0,0
Botswana,far,0.64043638,1.316494532,0.182521391,0.04346835,0,0,0,0,0,2.182920653
Brazil,far,1.679934206,0.458457016,0.378500215,0.269138505,0.23949593,0.058196428,0.010185169,0,0,3.093907469
Brunei Darussalam,far,0,0,0,0,0,0,0,0,0,0
Bulgaria,far,0,0,0,0,0,0,0,0,0,0
Burkina Faso,far,0,0.086881307,0.028654889,0,0,0,0,0,0,0.115536196
Burundi,far,0,0,0,0,0,0,0,0,0,0
Cambodia,far,0.00021513,0.015743169,0,0,0,0,0,0,0,0.015958299
Cameroon,far,0.055604966,0,0,0,0,0,0,0,0,0.055604966
Canada,far,0.031291797,0.274736164,0.52627777,0.948975625,0.280318019,0.231612112,0.144236802,0.015290655,0,2.452738944
Cape Verde,far,0,0,0,0.000134739,0,0,0,0,0,0.000134739
Central African Republic,far,0.420950634,0.131354406,0,0,0,0,0,0,0,0.55230504
Chad,far,0.475248875,0.727216919,2.376956785,3.244742484,1.207984336,0.708785016,0.229020313,0.177702265,0,9.147656994
Chile,far,0.024560086,0,0.0007353,0.047876787,0.06373046,0.079457218,0.058821194,0.035433295,0.13159918,0.44221352
China,far,2.424622213,1.496883957,0.754735778,0.134634012,0.014008548,0.074387741,0,0,0,4.899272249
Hong Kong,far,0,0,0,0,0,0,0,0,0,0
China,far,0,0,0,0,0,0,0,0,0,0
Colombia,far,0.346082164,0.091597029,0.022762651,0.022403736,0,0,0,0,0,0.482845579
Comoros,far,0,0,0,0,0,0,0,0,0,0
Congo,far,0.291014707,0.025119576,0.013894307,0,0,0,0,0,0,0.33002859
"Congo, the Democratic Republic of the",far,0.104922059,0,0,0,0,0,0,0,0,0.104922059
Costa Rica,far,0,0,0,0,0,0,0,0,0,0
Cote dIvoire,far,0.033737569,0.013071991,0,0,0,0,0,0,0,0.04680956
Croatia,far,0,0,0,0,0,0,0,0,0,0
Cuba,far,0,0,0,0,0,0,0,0,0,0
Cyprus,far,0,0,0,0,0,0,0,0,0,0
Czech Republic,far,0,0,0,0,0,0,0,0,0,0
Denmark,far,0,0,0,0,0,0,0,0.003998361,0,0.003998361
Djibouti,far,0,0,0,0,0,0,0,0,0,0
Dominican Republic,far,0,0,0,0,0,0,0,0,0,0
Ecuador,far,0.005809739,0,0,0,0,0,0,0,0,0.005809739
Egypt,far,0.248729097,2.106520841,2.122701288,0.970873791,0,0,0,0,0,5.448825018
El Salvador,far,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,far,0,0,0,0,0,0,0,0,0,0
Eritrea,far,0.00807249,0.035418339,0,0,0.000404151,0,0,0,0,0.04389498
Estonia,far,0,0,0,0,0.004941996,0.001440843,0,0,0,0.006382839
Ethiopia,far,0.095291579,0.078676858,0.269662579,0.312579988,0.60206943,0.573798278,0.042147813,0.041300657,0.024916559,2.040443741
Fiji,far,0,0,0.009611809,0,0,0,0,0,0,0.009611809
Finland,far,0,0,0.000320026,5.47E-05,0,0,0,0,0,0.000374747
France,far,0.004864567,0,0,0,0,0,0,0,0,0.004864567
French Polynesia,far,0,0,0,0,0,0,0,0,0,0
Gabon,far,0.044588125,0,0,0,0,0,0,0,0,0.044588125
Gambia,far,0,0,0,0,0,0,0,0,0,0
Georgia,far,0,0,0,0,0,0,0,0,0,0
Germany,far,0,0,0,0,0,0,0,0,0,0
Ghana,far,0,0,0,0,0,0,0,0,0,0
Greece,far,0,0,0,0,0,0,0,0,0,0
Guam,far,0,0,0,0,0,0,0,0,0,0
Guatemala,far,0.010837584,0,0,0,0,0,0,0,0,0.010837584
Guinea,far,0.058933966,0.001246701,0,0,0,0,0,0,0,0.060180667
Guinea-Bissau,far,0.002726992,0,0,0,0,0,0,0,0,0.002726992
Guyana,far,0.079448415,0.011657438,0.013503467,0.006126699,0.004909853,0,0,0,0,0.115645872
Haiti,far,0,0,0,0,0,0,0,0,0,0
Honduras,far,0.011959565,0.004470141,0.00392737,0,0,0,0,0,0,0.020357077
Hungary,far,0,0,0,0,0,0,0,0,0,0
Iceland,far,0,0,0,0,0,0,0.000786992,0.007953232,0,0.008740224
India,far,0.000162047,0,0,0.001051175,0,0,0,0,0,0.001213222
Indonesia,far,0.250768122,0.027413461,0.039474949,0.025604732,0,0,0,0,0,0.343261264
"Iran, Islamic Republic of",far,0.369312581,0.111966736,0.031741715,0.031472758,0,0,0,0,0,0.544493791
Iraq,far,0.02263937,0.200485526,0,0,0,0,0,0,0,0.223124896
Ireland,far,0,0,0,0,0,0,0,0,0,0
Israel,far,0,0,0,0,0,0,0,0,0,0
Italy,far,0,0,0,0,0,0,0,0,0,0
Jamaica,far,0,0,0,0,0,0,0,0,0,0
Japan,far,0,0,0.000873356,0,0.006708545,0,0,0,0,0.007581901
Jordan,far,0.02855369,0.026730593,0,0,0,0,0,0,0,0.055284283
Kazakhstan,far,0.186223582,0.909045889,8.330501968,1.688840566,0.004449753,0,0,0,0,11.11906176
Kenya,far,9.71E-05,0.025944101,0.250974977,0.516861266,0.386592715,0.135750618,0.119720614,0.251057317,0.556800924,2.243799646
"Korea, Democratic Peoples Republic of",far,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",far,0,0,0,0,0,0,0,0,0,0
Kuwait,far,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,far,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic,far,0,0,0,0,0,0,0,0,0,0
Latvia,far,0,0,0,0,0,0,0,0,0,0
Lebanon,far,0,0,0,0,0,0,0,0,0,0
Lesotho,far,0,0,0,0,0,0,0,0,0,0
Liberia,far,0.013454381,0,0,0,0,0,0,0,0,0.013454381
Libyan Arab Jamahiriya,far,0,3.243325404,6.521557402,2.628811091,0.094807808,0.006681008,0,0,0,12.49518271
Lithuania,far,0,0,0,0,0,0,0,0,0,0
Luxembourg,far,0,0,0,0,0,0,0,0,0,0
Madagascar,far,0.274949036,0.20616911,0.158346561,0.597206131,0.122170858,0.089201106,0.163478296,0.111668449,0.043831611,1.767021157
Malawi,far,0,0,0,0,0,0,0,0,0,0
Malaysia,far,0.008200385,0,0,0,0,0,0,0,0,0.008200385
Maldives,far,0,0,0,0,0,0,0,0,0,0
Mali,far,0.227130331,3.45612861,3.008340218,0,0,0,0,0,0,6.69159916
Malta,far,0,0,0,0,0,0,0,0,0,0
Mauritania,far,0,0.288462989,6.056464713,2.186091635,0.304239988,0.006689141,0,0,0,8.841948466
Mauritius,far,0,0,0,0,0,0,0,0,0,0
Mexico,far,0.08287536,0.385088189,0.08517157,0.011297337,0,0,0,0,0,0.564432456
Mongolia,far,1.2531066,2.903325926,1.977094662,0.521552279,0,0,0,0,0,6.655079466
Morocco,far,0.025642373,0.040065376,0.062173193,0.098542781,0.507852689,0.091322781,0.005267272,0,0,0.830866464
Mozambique,far,0.08307881,0.237031852,0.078286978,0.006024272,0.018403488,0,0,0,0,0.422825401
Myanmar,far,0.007612699,0,0,0,0,0,0,0,0,0.007612699
Namibia,far,1.870370087,1.802518144,0.719970823,0.140355614,0.040225022,0.048059227,0.017620985,0,0,4.639119902
Nepal,far,0.000112709,5.06E-05,0,0,0,0,0,0,0,0.000163339
Netherlands,far,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,far,0,0,0,0,0,0,0,0,0,0
New Caledonia,far,0,0.005018732,0.014852259,0,0.003045791,0,0,0,0,0.022916783
New Zealand,far,0,0,0.006266813,0.005461271,0.003496697,0,0,0,0.005193487,0.020418269
Nicaragua,far,0.012933554,0.060590137,0.004914601,0,0,0,0,0,0,0.078438292
Niger,far,0.61235642,2.664085353,2.111479944,0.749456414,0.537906513,0.068463123,0,0,0,6.743747768
Nigeria,far,0.00133843,0,0.024629554,0,0,0,0,0,0,0.025967984
Norway,far,0,0,0,0,0,0,0,0,0,0
"Palestinian Territory, Occupied",far,0,0,0,0,0,0,0,0,0,0
Oman,far,0.025075777,0.323202405,0.297177991,0.157188151,0.103691396,0.033308562,0,0,0,0.939644282
Pakistan,far,0.177314991,0.112652884,0.014080212,0.046040086,0,0,0,0,0,0.350088173
Panama,far,0.000338417,0,0,0,0,0,0,0,0,0.000338417
Papua New Guinea,far,0.282258485,0.06954238,0.048678399,0.022761525,0.030174385,0.002766561,0.002283363,0,0,0.458465098
Paraguay,far,9.34E-06,0.178178357,0.325232877,0,0,0,0,0,0,0.503420577
Peru,far,0.083254357,0,0,0,0,0,0,0,0,0.083254357
Philippines,far,0.000310508,0,0,0,0,0,0,0,0,0.000310508
Poland,far,0,0,0,0,0,0,0,0,0,0
Portugal,far,0,0,0,0,0,0,0,0,0,0
Puerto Rico,far,0,0,0,0,0,0,0,0,0,0
Qatar,far,0,0,0,0,0,0,0,0,0,0
"Moldova, Republic of",far,0,0,0,0,0,0,0,0,0,0
Romania,far,0,0,0,0,0,0,0,0,0,0
Russian Federation,far,0.012823712,0.036320466,0.342953743,2.62815407,0.778100058,0.177049211,0.025760307,0.00209428,0.000321925,4.003577773
Rwanda,far,0,0,0,0,0,0,0,0,0,0
Samoa,far,0,0.006006702,0,0,0,0,0,0,0,0.006006702
Saudi Arabia,far,2.324800517,2.925430633,0.044558734,0,0,0,0,0,0,5.294789884
Senegal,far,0.008666494,0.013968068,0.09958698,0,0,0,0,0,0,0.122221542
Sierra Leone,far,0,0,0,0,0,0,0,0,0,0
Singapore,far,0,0,0,0,0,0,0,0,0,0
Slovakia,far,0,0,0,0,0,0,0,0,0,0
Slovenia,far,0,0,0,0,0,0,0,0,0,0
Solomon Islands,far,0.008329919,0.0107651,0,0,0.00088237,0,0,0,0,0.019977389
Somalia,far,0,0,0.035056557,0.277233378,0.131116061,0.660825438,0.745069798,0.536122709,0.177337551,2.562761492
South Africa,far,0.070428269,1.727224575,1.077973184,0.368036923,0,0,0,0,0,3.24366295
Spain,far,0,0,0,0,0,0,0,0,0,0
Sri Lanka,far,0,0,0,0,0,0,0,0,0,0
Sudan,far,0.831178852,1.708832507,3.963623563,2.592286709,0.220108223,0.085058857,0,0,0,9.401088711
Suriname,far,0.057984257,0.000684364,0,0,0,0,0,0,0,0.058668621
Swaziland,far,0,0,0,0,0,0,0,0,0,0
Sweden,far,0,0,0,0,0,0,0,0,0,0
Switzerland,far,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,far,0,0,0,0,0,0,0,0,0,0
Taiwan,far,0,0,0,0,0,0,0,0,0,0
Tajikistan,far,0,0.000285262,0.001246218,0.000350261,0,0,0,0,0,0.001881741
"Tanzania, United Republic of",far,0.149369216,0.082358986,0.035850313,0.103356481,0.092508724,0.0673424,0,0,0,0.530786121
"Macedonia, the former Yugoslav Republic of",far,0,0,0,0,0,0,0,0,0,0
Thailand,far,0,2.46E-05,0,0,0,0,0,0,0,2.46E-05
Timor Leste,far,0,0.002898271,0,0,0,0,0,0,0,0.002898271
Togo,far,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,far,0,0,0,0,0,0,0,0,0,0
Tunisia,far,0,0,0.000295975,0,0,0,0,0,0,0.000295975
Turkey,far,0,0,0,0,0,0,0,0,0,0
Turkmenistan,far,0.002102243,0.576310637,0.105897767,0,0,0,0,0,0,0.684310648
Uganda,far,0,0,0,0.005179074,0.002713249,4.57E-05,0,0,0,0.007938045
Ukraine,far,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,far,0,0,0,0,0,0,0,0,0,0
United Kingdom,far,0,0,0,0,0,0,0.006827442,0.006884916,0,0.013712359
United States of America,far,0.108926751,0.377751071,0.073099383,0.302101833,0.212833916,0,0,0,0,1.074712954
Uruguay,far,0,0,0.145750742,0.015527558,0,0,0,0,0,0.161278301
Uzbekistan,far,0.017530525,0.537300806,0.302813789,0.028023063,0,0,0,0,0,0.885668183
Vanuatu,far,0,0,0,0.011910882,0.010498168,0.014506536,0,0,0,0.036915585
Venezuela,far,0.193007244,0.196457916,0.041796984,0.001616935,0,0,0,0,0,0.432879079
Viet Nam,far,0,0,0,0,0,0,0,0,0,0
Western Sahara,far,0,0,0.138463638,0.278744978,0.078470697,0.00360911,0,0,0,0.499288424
Yemen,far,0.250596671,0.523260323,0.413514593,0.230372408,0,0,0.033514823,0,0,1.451258817
"Yugoslavia, Federal Republic of",far,0,0,0,0,0,0,0,0,0,0
Zambia,far,0.144362501,0.233008708,0.051610449,0.020475955,0.00467735,0,0,0,0,0.454134964
Zimbabwe,far,0.047717711,0.061020646,0.036814032,0.026335638,0,0,0,0,0,0.171888026
