# File: EIA_RFO_intlship_kbbld.csv
# Title: EIA International Energy Statistics - Bunkering
# Description: Residual fuel oil (RFO) bunkering by international ships in thousand barrels of oil per day
# Units: Thousand barrels of oil per day
# Source: EIA
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cape Verde,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.291945205
Cayman Islands,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.7,1.3,5.4,5.425068493
China,1000 bbl/d,0,0,0,0,35,40,45,45,45,55,6.2,6.2,32,64,65,67,68,94,139,135,144,158,145,171,151,159,157,65,126.6129863
Colombia,1000 bbl/d,2.3,0.7,0.1,0.7,0.7,0.5,0.4,0.4,0.4,0.4,0.8,0.1,0.5,0.3,0.3,0.6,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.054739726,0.091232877,0.054739726,12,4.1,4.634630137
Comoros,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),1000 bbl/d,0.2,0.1,0.1,0.1,0.09123,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.8,0.8,0,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),1000 bbl/d,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.03639,0.03649,0.6,0.036493151,0.036393443,0.036493151,0.036493151,0.036493151,0.036393443,0.036493151,0.036493151,0.036493,0,0,0,0,0,0,0
Cook Islands,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,1000 bbl/d,0,0,1.8,1.5,1.4,0.7,1.2,1.1,1.1,1.1,1.1,1.1,1.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.072986301,0.018246575
Cote dIvoire (IvoryCoast),1000 bbl/d,0,0,0,0,0.01824,0.01824,0,0,0,0,2.9,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,0.9,0.9,0.4,0.4,0.3,0.2,0.4,0.4,0.255452055
Croatia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0.6,0.5,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.4,0.4,0.1,0.1,0.4,0,0,0
Cuba,1000 bbl/d,3.3,1.4,1.8,1.6,1.6,1.6,1.5,0,0,0,0,1.8,1.8,1.8,1.6,1.6,1,0.9,1,1.1,0.9,0.7,0.6,0,0,0,0,0,12.79084932
Cyprus,1000 bbl/d,0.3,0.7,0.7,0.9,0.6,0.6,0.7,0.6,0.9,1,1,1.3,1.1,2,2.6,2.6,1.9,1.6,0.5,4.1,3.5,3.1,3,2.7,2.4,2.6,2.3,2.9,2.791726027
Czech Republic,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,1000 bbl/d,5.3,9.2,12,12,12,10,9.2,16,17,17,15,14,12,12,14,11,7.5,8.9,7,8.9,14,15,12,4.7,6.8,8.3,4.9,6.6,7.916712329
Djibouti,1000 bbl/d,0.9,0.9,0.9,5.3,5.3,5.5,5.6,0,5.6,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8,1.7,1,1.2,1.2,1.2,1.2,1.2,0.2,0.200712329
Dominica,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018246575,0.018246575
Dominican Republic,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,1000 bbl/d,0.6,1.6,4.9,2.4,2.6,0.9,1.9,6,4.6,5.8,7.7,9.4,2.4,2.4,5.1,4.7,4.2,4.7,4.1,4.1,5.5,5,19,23,10,11,9.8,7.6,8.229205479
Egypt,1000 bbl/d,20,19,26,20,35,22,20,22,22,22,29,31,36,44,46,47,43,47,30,23,18,15,6.7,3.9,5.9,5.4,33,32,27.91726027
El Salvador,1000 bbl/d,0.9,1.1,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,0.09123,0.09098,0.09098,0.09123,0.09123,0.091232877,0,0.1,0.1,0.018246575,0,0,0,0,0,0,0,0,0,0,0
Estonia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,4.965616438
Ethiopia,1000 bbl/d,0.2,0,0,0,0,0,2.1,0.09123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),1000 bbl/d,0.01824,0.01824,0.01819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.27369863
Fiji,1000 bbl/d,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,NA,0.018246575,0.018246575,0.018246575,0.018246575,0.018246575,0.018246575,0.054739726,0.1,0.086671233,0.091232877,0.086671233,0.086671233,0,0
Finland,1000 bbl/d,7.9,6.9,6.7,7.6,8.1,7.7,10,7,4.8,0,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Czechoslovakia,1000 bbl/d,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Serbia and Montenegro,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former U.S.S.R.,1000 bbl/d,80,82,91,89,78,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Yugoslavia,1000 bbl/d,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1000 bbl/d,33,34,37,40,45,45,39,38,32,38,43,43,39,45,45,38,38,42,48,45,47,49,42,43,41,45,42,37,31.56082192
French Guiana,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,1000 bbl/d,0.03649,0.1,0.05459,0.03649,0.03649,0.03649,0.03639,0.03649,0.03649,0.03649,0.03639,0.03649,0.03649,0.036493151,0.036393443,0.036493151,0.054739726,0.054739726,0.054590164,0.054739726,0.072986301,0.072986301,0.066964931,0.04470411,0.036493151,0.04470411,0.04470411,0.036493151,0.036493151
Gabon,1000 bbl/d,1.6,0.8,0.8,0.9,0.8,0.9,0.8,0,0,0.8,0.8,1,4.4,4.4,1.3,0,2.4,1.8,1.9,2,2,2,2.4,2.4,2.2,2.2,2.1,2,1.988876712
"Gambia, The",1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,1000 bbl/d,NA,NA,NA,NA,NA,28,23,30,28,28,25,27,27,28,30,32,34,38,40,37,37,45,45,41,41,41,38,34,32.97452055
"Germany, East",1000 bbl/d,5.4,6.9,7,7.2,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany, West",1000 bbl/d,60,43,34,28,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,1000 bbl/d,6.1,5.7,7.3,6.9,7,7.2,14,14,14,14,14,14,16,14,35,17,17,18,19,19,20,20,21,21,41,43,44,64,47.53232877
Greece,1000 bbl/d,24,26,30,28,37,32,33,43,45,47,42,43,49,43,51,52,46,49,50,45,49,49,50,33,42,42,37,33,29.22821918
Greenland,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.200712329
Grenada,1000 bbl/d,0.01824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,1000 bbl/d,0.00821,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0
Guatemala,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,1000 bbl/d,0.05473,0.05473,0.05459,0.05473,0.05473,0.05473,0.05459,0.05473,0.05473,0,0.03639,0.03649,0.03649,0.036493151,0.036393443,0.036493151,0.036493151,0.036493151,0.036393443,0.054739726,0,0,0,0,0,0,0,0,0
Haiti,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,1000 bbl/d,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,1000 bbl/d,0,0,0,0,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018246575,0.018246575,0.018246575,0.018246575,0
Hong Kong,1000 bbl/d,14,18,15,17,21,13,20,23,24,30,31,30,29,29,37,49,49,55,82,76,93,115,105,121,167,121,130,138,114.7709589
Hungary,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1000 bbl/d,1.6,3.2,5.1,3.1,3.1,3.2,3.3,3.2,2.5,2.5,0,6.1,7,7,6.5,6.7,1.2,0.9,0.6,0.4,3.6,0.6,0,2.3,0.085758904,0.043791781,23,24,24.50515068
Indonesia,1000 bbl/d,3.2,2.9,3.2,3.7,6.6,2.4,4.9,2.4,4.6,2.6,1.1,2.9,3.1,5.5,1.1,4.1,1,1.1,5.2,2.4,1.4,1.6,1.6,1.7,1.8,1.9,2.1,2.2,2.262575342
Iran,1000 bbl/d,20,20,22,20,49,48,7.3,9.1,8.2,8.2,8.2,8.5,11,13,40,28,11,11,11,12,8.4,15,15,59,42,40,33,31,64.92131507
Iraq,1000 bbl/d,3.6,3.6,2.7,3.6,2.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3,3.3,3.3,3.430356164
Ireland,1000 bbl/d,0.2,0.2,0.2,0.1,0.2,0.4,0.2,0.4,0.4,0.8,1,0.9,0.9,0.8,0.7,0.6,0.9,1.1,0.8,0.4,0.9,1.2,0.8,0.6,0.7,0.3,0.4,0.3,0.353424658
Israel,1000 bbl/d,1.6,1.9,1.6,1.6,2.3,3,2.4,2.2,2.2,2.1,0.8,2,1.6,1.6,2.2,2.3,3.4,3.7,3.3,4.3,4.1,5.5,6.3,5.8,5.5,4.7,4.7,3.8,1.696438356
Italy,1000 bbl/d,51,47,44,40,37,35,33,33,33,34,32,31,34,31,33,35,40,44,48,49,48,44,56,48,49,52,44,35,32.69178082
Jamaica,1000 bbl/d,0.1,0.2,0.9,0,0.1,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.2,1.4,1.1,1.1,3.357369863
Japan,1000 bbl/d,100,90,81,85,89,100,100,116,120,109,75,92,101,94,86,83,82,89,97,104,105,98,92,84,80,74,72,68,63.73528767
Jordan,1000 bbl/d,0,0,0,0.2,0,0,0,0,0.05021,0,0,0,0.03649,0.1,0.6,0.072986301,0.072986301,0.1,0.7,0.8,0.5,0.5,0.3,0.4,0.2,0.054739726,0.2,0.091232877,0
Kazakhstan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,1000 bbl/d,3,2.5,1.6,2.4,2.7,2.2,2.3,2.7,2.3,0.9,0.9,3.5,1.2,1.4,1.4,1.4,1.4,0.2,0.4,0.4,0.5,0.5,0.018246575,0.5,0.091232877,0.4,0.2,0.6,0.693369863
Kiribati,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",1000 bbl/d,15,21,24,29,25,37,48,60,65,70,80,90,92,101,98,97,92,103,115,167,168,154,149,135,143,143,142,130,135.7545205
Kosovo,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
Kuwait,1000 bbl/d,14,14,15,15,13,0.4,4.5,7.3,2.6,2.7,2.7,2.7,8.9,9.2,8.5,7.1,7.6,7.8,8,7.3,9.5,8.3,17,6.4,9,18,18,19,18.97643836
Kyrgyzstan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1.8,2.2,2.1,2.4,3.2,2.5,2.2,3,4,3.4,2.6,2.9,3,3.047178082
Lebanon,1000 bbl/d,0.4,0.5,0.5,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.565643836
Lesotho,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,1000 bbl/d,1,1,0.9,0.9,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.182465753
Libya,1000 bbl/d,2.9,0.9,0.9,1.3,1.5,1.3,1.3,1.3,1.5,1.6,1.8,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.1,6.5,4.3,1.733424658
Lithuania,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0.5,0.9,1.3,1.5,1.5,1.7,1.7,2.4,2.3,2,1.4,2.1,2.3,2.3,1.9,1.4,0.054739726
Luxembourg,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,1000 bbl/d,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.3,0.328438356
Malawi,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,1000 bbl/d,0.3,0.5,0.6,0.9,1,1,1,1.1,0.7,4.1,4.2,2.5,7.5,6,3,2.3,0.4,0.5,0.6,0.4,0.3,0.9,0.8,0.4,0.4,3.4,1,6.4,3.777041096
Maldives,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,1000 bbl/d,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,8.9,13,15,23,18,18,20,19.54208219
Martinique,1000 bbl/d,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.364931507
Mauritania,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,1000 bbl/d,0.07298,0.3,0.07278,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.6,0.6,0.6,0.6,0.9,1.1,0.5,0.6,0.7,0.5,1.1,1.4,1.8,2,2.2,3.4,3,2.8,3.120164384
Mexico,1000 bbl/d,8,7.6,7.4,8,9.5,8,1.1,2,2.6,3.3,3.5,2.9,2,2.3,2.3,2,2.1,2.1,1.9,1.9,2,1.9,1.8,1.8,1.8,1.7,1.8,1.8,1.638328767
Micronesia,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
Montserrat,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,1000 bbl/d,0.00426,0,0.03639,0.03649,0,0.01824,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,2.1,2.1,2.1,2.1,2.080109589
Mozambique,1000 bbl/d,0,0,0,0.4,0.02,0,0,0,0,0,0,0,0,0,0.018196721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,1000 bbl/d,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072986301,0.072986301
