# File: ILO_ISIC_sector_mapping.csv
# Title: ILO ISIC sectors by version
# Units: NA
# Description: ISIC sector names and grouping by region
# Source: https://ilostat.ilo.org/methods/concepts-and-definitions/classification-economic-activities/
# Last update: Aug 2025 (XZ)
# Column types: ccc
ISIC_version,ISIC_division,GCAM_sector
ISIC4,"ISIC4_25 - Manufacture of fabricated metal products, except machinery and equipment",
ISIC4,"ISIC4_26 - Manufacture of computer, electronic and optical products",
ISIC4,ISIC4_27 - Manufacture of electrical equipment,
ISIC4,ISIC4_28 - Manufacture of machinery and equipment n.e.c.,
ISIC4,"ISIC4_29 - Manufacture of motor vehicles, trailers and semi-trailers",
ISIC4,ISIC4_30 - Manufacture of other transport equipment,
ISIC4,ISIC4_31 - Manufacture of furniture,
ISIC4,ISIC4_32 - Other manufacturing,
ISIC4,ISIC4_33 - Repair and installation of machinery and equipment,
ISIC4,"ISIC4_35 - Electricity, gas, steam and air conditioning supply",
ISIC4,"ISIC4_36 - Water collection, treatment and supply",
ISIC4,ISIC4_37 - Sewerage,
ISIC4,"ISIC4_38 - Waste collection, treatment and disposal activities; materials recovery",
ISIC4,ISIC4_39 - Remediation activities and other waste management services,
ISIC4,ISIC4_41 - Construction of buildings,
ISIC4,ISIC4_42 - Civil engineering,
ISIC4,ISIC4_43 - Specialized construction activities,
ISIC4,ISIC4_45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,
ISIC4,"ISIC4_46 - Wholesale trade, except of motor vehicles and motorcycles",
ISIC4,"ISIC4_47 - Retail trade, except of motor vehicles and motorcycles",
ISIC4,ISIC4_49 - Land transport and transport via pipelines,
ISIC4,ISIC4_50 - Water transport,
ISIC4,ISIC4_51 - Air transport,
ISIC4,ISIC4_52 - Warehousing and support activities for transportation,
ISIC4,ISIC4_53 - Postal and courier activities,
ISIC4,ISIC4_55 - Accommodation,
ISIC4,ISIC4_56 - Food and beverage service activities,
ISIC4,ISIC4_58 - Publishing activities,
ISIC4,"ISIC4_59 - Motion picture, video and television programme production, sound recording and music publishing activities",
ISIC4,ISIC4_60 - Programming and broadcasting activities,
ISIC4,ISIC4_61 - Telecommunications,
ISIC4,"ISIC4_62 - Computer programming, consultancy and related activities",
ISIC4,ISIC4_63 - Information service activities,
ISIC4,"ISIC4_64 - Financial service activities, except insurance and pension funding",
ISIC4,"ISIC4_65 - Insurance, reinsurance and pension funding, except compulsory social security",
ISIC4,ISIC4_66 - Activities auxiliary to financial service and insurance activities,
ISIC4,ISIC4_68 - Real estate activities,
ISIC4,ISIC4_69 - Legal and accounting activities,
ISIC4,ISIC4_70 - Activities of head offices; management consultancy activities,
ISIC4,ISIC4_71 - Architectural and engineering activities; technical testing and analysis,
ISIC4,ISIC4_72 - Scientific research and development,
ISIC4,ISIC4_73 - Advertising and market research,
ISIC4,"ISIC4_74 - Other professional, scientific and technical activities",
ISIC4,ISIC4_75 - Veterinary activities,
ISIC4,ISIC4_77 - Rental and leasing activities,
ISIC4,ISIC4_78 - Employment activities,
ISIC4,"ISIC4_79 - Travel agency, tour operator, reservation service and related activities",
ISIC4,ISIC4_80 - Security and investigation activities,
ISIC4,ISIC4_81 - Services to buildings and landscape activities,
ISIC4,"ISIC4_82 - Office administrative, office support and other business support activities",
ISIC4,ISIC4_84 - Public administration and defence; compulsory social security,
ISIC4,ISIC4_85 - Education,
ISIC4,ISIC4_86 - Human health activities,
ISIC4,ISIC4_87 - Residential care activities,
ISIC4,ISIC4_88 - Social work activities without accommodation,
ISIC4,"ISIC4_90 - Creative, arts and entertainment activities",
ISIC4,"ISIC4_91 - Libraries, archives, museums and other cultural activities",
ISIC4,ISIC4_92 - Gambling and betting activities,
ISIC4,ISIC4_93 - Sports activities and amusement and recreation activities,
ISIC4,ISIC4_94 - Activities of membership organizations,
ISIC4,ISIC4_95 - Repair of computers and personal and household goods,
ISIC4,ISIC4_96 - Other personal service activities,
ISIC4,ISIC4_97 - Activities of households as employers of domestic personnel,
ISIC4,ISIC4_98 - Undifferentiated goods- and services-producing activities of private households for own use,
ISIC4,ISIC4_99 - Activities of extraterritorial organizations and bodies,
ISIC4,ISIC4_Not elsewhere classified,
ISIC4,ISIC4_Total,total
