# File: Mueller_yield_levels.csv
# Title: Attainable yield levels by country and basin
# Units: tons/ha
# Description: Min, average, and max refer to the respective yields observed in grid cells within country, basin, and crop; count is the number of grid cells with harvested area for the given crop, country, and basin.
# Source: Mueller, N. D., Gerber, J. S., Johnston, M., Ray, D. K., Ramankutty, N. and Foley, J. A.: Closing yield gaps through nutrient and water management, Nature, 490(7419), 254–257, doi:10.1038/nature11420, 2012. Geospatial data processed by Yannick Le Page.
# https://github.com/JGCRI/lds
Country,Basin,crop,yield_level,min,average,max,Count
bra,187,maize,_02ndpercentileyield,0.13,0.5,0.71,3240
bra,192,maize,_02ndpercentileyield,0.13,0.46,1.09,6956
bra,195,maize,_02ndpercentileyield,0.13,0.58,1.09,8774
bra,206,maize,_02ndpercentileyield,0.37,0.71,1.09,16729
brb,143,maize,_02ndpercentileyield,NA,NA,NA,NA
brn,159,maize,_02ndpercentileyield,NA,NA,NA,NA
btn,110,maize,_02ndpercentileyield,0.85,1.45,2.12,119
bwa,188,maize,_02ndpercentileyield,0.13,0.13,0.13,94
bwa,194,maize,_02ndpercentileyield,0.13,0.13,0.13,217
bwa,197,maize,_02ndpercentileyield,0.13,0.13,0.13,1623
bwa,199,maize,_02ndpercentileyield,0.13,0.13,0.13,767
caf,87,maize,_02ndpercentileyield,0.47,0.52,0.56,7
caf,151,maize,_02ndpercentileyield,0.38,0.57,0.76,1943
caf,162,maize,_02ndpercentileyield,0.71,0.71,0.71,4
caf,183,maize,_02ndpercentileyield,0.43,0.54,0.76,3212
can,2,maize,_02ndpercentileyield,2.41,2.58,2.85,45
can,7,maize,_02ndpercentileyield,1.36,1.36,1.36,8
can,10,maize,_02ndpercentileyield,2.85,2.85,2.85,43
can,15,maize,_02ndpercentileyield,1.05,1.73,2.12,130
can,19,maize,_02ndpercentileyield,1.36,1.36,1.36,392
can,23,maize,_02ndpercentileyield,1.81,2.49,2.85,9035
can,27,maize,_02ndpercentileyield,1.05,2.31,2.85,82
can,34,maize,_02ndpercentileyield,NA,NA,NA,NA
can,40,maize,_02ndpercentileyield,1.36,1.53,2.12,288
can,223,maize,_02ndpercentileyield,2.41,2.41,2.41,129
can,227,maize,_02ndpercentileyield,1.05,1.61,3.34,3205
can,229,maize,_02ndpercentileyield,1.36,2.01,2.85,26
can,232,maize,_02ndpercentileyield,1.36,1.36,1.36,330
che,32,maize,_02ndpercentileyield,1.36,1.41,2.12,217
che,54,maize,_02ndpercentileyield,1.36,1.36,1.36,2
che,57,maize,_02ndpercentileyield,1.36,1.36,1.36,4
che,62,maize,_02ndpercentileyield,1.36,1.48,2.12,24
chi,41,maize,_02ndpercentileyield,NA,NA,NA,NA
chl,169,maize,_02ndpercentileyield,0.13,1.59,3.34,940
chl,180,maize,_02ndpercentileyield,NA,NA,NA,NA
chl,200,maize,_02ndpercentileyield,NA,NA,NA,NA
chl,205,maize,_02ndpercentileyield,NA,NA,NA,NA
chl,207,maize,_02ndpercentileyield,0.32,1.8,3.17,652
chl,212,maize,_02ndpercentileyield,NA,NA,NA,NA
chl,213,maize,_02ndpercentileyield,NA,NA,NA,NA
chl,215,maize,_02ndpercentileyield,NA,NA,NA,NA
chn,37,maize,_02ndpercentileyield,1.05,2.21,2.42,393
chn,42,maize,_02ndpercentileyield,0.32,2.33,3.17,5730
chn,43,maize,_02ndpercentileyield,1.05,2.43,3.17,11856
chn,56,maize,_02ndpercentileyield,2.14,2.61,3.17,479
chn,58,maize,_02ndpercentileyield,NA,NA,NA,NA
chn,66,maize,_02ndpercentileyield,1.05,2.25,3.34,4918
chn,68,maize,_02ndpercentileyield,1.93,2.4,3.17,449
chn,76,maize,_02ndpercentileyield,NA,NA,NA,NA
chn,77,maize,_02ndpercentileyield,0.32,1.96,3.17,5008
chn,78,maize,_02ndpercentileyield,0.37,1.07,2.6,5420
chn,79,maize,_02ndpercentileyield,0.32,2.29,3.34,8782
chn,85,maize,_02ndpercentileyield,1.52,1.8,3.17,2735
chn,89,maize,_02ndpercentileyield,NA,NA,NA,NA
chn,92,maize,_02ndpercentileyield,NA,NA,NA,NA
chn,106,maize,_02ndpercentileyield,0.28,1.16,3.34,19431
chn,108,maize,_02ndpercentileyield,0.37,0.86,2.6,4994
chn,109,maize,_02ndpercentileyield,0.37,0.86,2.14,931
chn,110,maize,_02ndpercentileyield,0.84,1.54,2.85,130
chn,112,maize,_02ndpercentileyield,0.43,0.71,1.09,680
chn,124,maize,_02ndpercentileyield,0.31,0.57,1.09,407
chn,125,maize,_02ndpercentileyield,0.37,1.08,2.85,1034
chn,127,maize,_02ndpercentileyield,0.37,0.99,2.42,423
chn,137,maize,_02ndpercentileyield,0.71,1.01,1.73,225
civ,142,maize,_02ndpercentileyield,0.4,0.57,0.71,3107
civ,149,maize,_02ndpercentileyield,0.48,0.55,0.63,244
civ,160,maize,_02ndpercentileyield,0.46,0.61,0.63,139
cmr,149,maize,_02ndpercentileyield,0.4,0.6,1.09,942
cmr,151,maize,_02ndpercentileyield,0.43,0.56,1.07,506
cmr,162,maize,_02ndpercentileyield,0.47,0.66,1.09,1056
cmr,183,maize,_02ndpercentileyield,0.49,0.65,0.76,124
cod,87,maize,_02ndpercentileyield,0.37,0.64,1.09,142
cod,162,maize,_02ndpercentileyield,0.46,0.53,0.65,43
cod,183,maize,_02ndpercentileyield,0.28,0.57,1.73,10425
cod,188,maize,_02ndpercentileyield,0.37,0.57,0.8,14
cog,162,maize,_02ndpercentileyield,0.46,0.57,0.76,141
cog,183,maize,_02ndpercentileyield,0.49,0.59,0.71,740
cok,201,maize,_02ndpercentileyield,NA,NA,NA,NA
col,135,maize,_02ndpercentileyield,NA,NA,NA,NA
col,143,maize,_02ndpercentileyield,0.37,0.6,2.14,526
col,156,maize,_02ndpercentileyield,0.37,0.62,2.58,878
col,157,maize,_02ndpercentileyield,0.37,0.89,1.7,152
col,166,maize,_02ndpercentileyield,0.37,0.77,3.34,1413
com,177,maize,_02ndpercentileyield,NA,NA,NA,NA
cpv,142,maize,_02ndpercentileyield,NA,NA,NA,NA
cri,135,maize,_02ndpercentileyield,0.4,0.52,1.09,152
cub,101,maize,_02ndpercentileyield,0.46,0.54,1.07,1236
cym,101,maize,_02ndpercentileyield,NA,NA,NA,NA
cyp,75,maize,_02ndpercentileyield,NA,NA,NA,NA
cze,29,maize,_02ndpercentileyield,1.05,1.36,2.42,94
cze,31,maize,_02ndpercentileyield,1.05,1.97,2.85,832
cze,54,maize,_02ndpercentileyield,1.05,1.94,2.42,366
deu,21,maize,_02ndpercentileyield,1.05,2.08,2.42,579
deu,28,maize,_02ndpercentileyield,1.05,1.58,2.42,1129
deu,29,maize,_02ndpercentileyield,2.41,2.42,2.42,95
deu,31,maize,_02ndpercentileyield,1.05,2.23,2.85,1663
deu,32,maize,_02ndpercentileyield,1.05,1.56,2.42,1834
deu,54,maize,_02ndpercentileyield,1.05,1.47,2.12,864
dji,100,maize,_02ndpercentileyield,0.13,0.3,0.47,3
dji,179,maize,_02ndpercentileyield,NA,NA,NA,NA
dma,101,maize,_02ndpercentileyield,NA,NA,NA,NA
dnk,12,maize,_02ndpercentileyield,NA,NA,NA,NA
dnk,21,maize,_02ndpercentileyield,NA,NA,NA,NA
dom,101,maize,_02ndpercentileyield,0.37,0.58,1.73,568
dza,80,maize,_02ndpercentileyield,0.32,1.52,1.93,10
dza,86,maize,_02ndpercentileyield,NA,NA,NA,NA
dza,144,maize,_02ndpercentileyield,1.52,1.85,2.14,15
dza,149,maize,_02ndpercentileyield,NA,NA,NA,NA
dza,151,maize,_02ndpercentileyield,NA,NA,NA,NA
ecu,156,maize,_02ndpercentileyield,0.37,1.32,3.34,242
ecu,157,maize,_02ndpercentileyield,0.13,0.7,3.34,862
ecu,169,maize,_02ndpercentileyield,NA,NA,NA,NA
ecu,180,maize,_02ndpercentileyield,0.13,0.69,2.6,133
egy,75,maize,_02ndpercentileyield,NA,NA,NA,NA
egy,80,maize,_02ndpercentileyield,NA,NA,NA,NA
egy,87,maize,_02ndpercentileyield,NA,NA,NA,NA
egy,95,maize,_02ndpercentileyield,NA,NA,NA,NA
egy,98,maize,_02ndpercentileyield,NA,NA,NA,NA
egy,100,maize,_02ndpercentileyield,NA,NA,NA,NA
egy,144,maize,_02ndpercentileyield,NA,NA,NA,NA
eri,87,maize,_02ndpercentileyield,0.13,0.36,0.47,283
eri,100,maize,_02ndpercentileyield,0.13,0.27,0.47,254
eri,179,maize,_02ndpercentileyield,0.13,0.45,1.09,11
esh,86,maize,_02ndpercentileyield,NA,NA,NA,NA
esh,144,maize,_02ndpercentileyield,NA,NA,NA,NA
esp,41,maize,_02ndpercentileyield,1.36,1.36,1.36,3
esp,60,maize,_02ndpercentileyield,0.84,1.64,3.34,474
esp,61,maize,_02ndpercentileyield,1.02,1.31,2.06,14
esp,63,maize,_02ndpercentileyield,0.32,1.01,1.86,69
esp,64,maize,_02ndpercentileyield,NA,NA,NA,NA
esp,67,maize,_02ndpercentileyield,0.13,1.43,3.34,1384
esp,71,maize,_02ndpercentileyield,0.32,1.76,3.17,772
esp,73,maize,_02ndpercentileyield,0.32,1.94,3.34,1216
esp,74,maize,_02ndpercentileyield,1.05,2.28,3.17,1213
esp,80,maize,_02ndpercentileyield,NA,NA,NA,NA
esp,81,maize,_02ndpercentileyield,0.13,1.33,2.42,840
esp,83,maize,_02ndpercentileyield,0.13,1.06,2.46,814
esp,86,maize,_02ndpercentileyield,NA,NA,NA,NA
est,20,maize,_02ndpercentileyield,NA,NA,NA,NA
est,22,maize,_02ndpercentileyield,NA,NA,NA,NA
est,25,maize,_02ndpercentileyield,NA,NA,NA,NA
eth,87,maize,_02ndpercentileyield,0.13,0.71,2.6,2728
eth,100,maize,_02ndpercentileyield,0.13,0.35,0.46,12
eth,170,maize,_02ndpercentileyield,0.13,0.45,2.6,1759
eth,179,maize,_02ndpercentileyield,0.13,0.62,2.35,1716
fin,8,maize,_02ndpercentileyield,NA,NA,NA,NA
fin,12,maize,_02ndpercentileyield,NA,NA,NA,NA
fin,13,maize,_02ndpercentileyield,NA,NA,NA,NA
fin,17,maize,_02ndpercentileyield,NA,NA,NA,NA
fji,176,maize,_02ndpercentileyield,NA,NA,NA,NA
fji,185,maize,_02ndpercentileyield,NA,NA,NA,NA
flk,215,maize,_02ndpercentileyield,NA,NA,NA,NA
fra,32,maize,_02ndpercentileyield,1.05,1.49,2.42,513
fra,36,maize,_02ndpercentileyield,1.05,1.59,2.12,123
fra,41,maize,_02ndpercentileyield,0.85,1.8,3.34,1630
fra,44,maize,_02ndpercentileyield,1.05,1.53,3.34,1900
fra,46,maize,_02ndpercentileyield,1.05,1.65,2.42,1338
fra,57,maize,_02ndpercentileyield,NA,NA,NA,NA
fra,60,maize,_02ndpercentileyield,0.85,1.02,1.36,6
fra,61,maize,_02ndpercentileyield,1.02,1.8,3.34,337
fra,62,maize,_02ndpercentileyield,1.05,1.97,3.34,1125
fra,63,maize,_02ndpercentileyield,1.02,1.76,3.34,40
fra,64,maize,_02ndpercentileyield,1.05,2.23,3.34,1015
fra,67,maize,_02ndpercentileyield,NA,NA,NA,NA
fra,73,maize,_02ndpercentileyield,1.36,1.36,1.36,1
fra,216,maize,_02ndpercentileyield,NA,NA,NA,NA
fro,16,maize,_02ndpercentileyield,NA,NA,NA,NA
fsm,150,maize,_02ndpercentileyield,NA,NA,NA,NA
gab,162,maize,_02ndpercentileyield,0.4,0.58,0.71,455
gab,183,maize,_02ndpercentileyield,0.71,0.71,0.71,5
gbr,16,maize,_02ndpercentileyield,NA,NA,NA,NA
gbr,24,maize,_02ndpercentileyield,NA,NA,NA,NA
gbr,26,maize,_02ndpercentileyield,NA,NA,NA,NA
gbr,129,maize,_02ndpercentileyield,NA,NA,NA,NA
gbr,216,maize,_02ndpercentileyield,NA,NA,NA,NA
geo,45,maize,_02ndpercentileyield,NA,NA,NA,NA
geo,47,maize,_02ndpercentileyield,1.36,1.36,1.36,2
geo,70,maize,_02ndpercentileyield,0.84,1.2,2.58,179
geo,72,maize,_02ndpercentileyield,0.32,1.7,3.34,353
gha,142,maize,_02ndpercentileyield,0.4,0.5,0.69,762
gha,160,maize,_02ndpercentileyield,0.46,0.6,0.71,1815
gin,142,maize,_02ndpercentileyield,0.4,0.55,0.71,832
gin,149,maize,_02ndpercentileyield,0.48,0.54,0.71,931
gin,152,maize,_02ndpercentileyield,0.48,0.6,0.71,302
glp,101,maize,_02ndpercentileyield,NA,NA,NA,NA
gmb,142,maize,_02ndpercentileyield,0.47,0.49,0.59,122
gnb,142,maize,_02ndpercentileyield,0.4,0.47,0.63,355
gnq,162,maize,_02ndpercentileyield,NA,NA,NA,NA
grc,55,maize,_02ndpercentileyield,0.13,1.49,3.34,1666
grc,75,maize,_02ndpercentileyield,0.46,0.46,0.46,2
grd,143,maize,_02ndpercentileyield,NA,NA,NA,NA
grl,1,maize,_02ndpercentileyield,NA,NA,NA,NA
gtm,111,maize,_02ndpercentileyield,0.28,0.63,1.73,168
gtm,133,maize,_02ndpercentileyield,0.37,0.95,1.73,134
gtm,135,maize,_02ndpercentileyield,0.37,0.67,1.73,184
guf,156,maize,_02ndpercentileyield,NA,NA,NA,NA
guf,161,maize,_02ndpercentileyield,0.43,0.56,0.58,218
gum,121,maize,_02ndpercentileyield,NA,NA,NA,NA
guy,156,maize,_02ndpercentileyield,0.4,0.5,0.76,166
guy,161,maize,_02ndpercentileyield,0.4,0.5,1.09,1053
hkg,78,maize,_02ndpercentileyield,NA,NA,NA,NA
hnd,111,maize,_02ndpercentileyield,0.43,0.69,1.07,30
hnd,135,maize,_02ndpercentileyield,0.28,0.63,1.09,1081
hrv,54,maize,_02ndpercentileyield,1.36,2.23,3.34,485
hrv,55,maize,_02ndpercentileyield,0.84,1.56,2.6,284
hti,101,maize,_02ndpercentileyield,0.38,0.62,1.09,308
hun,54,maize,_02ndpercentileyield,1.05,2.32,3.34,1548
idn,139,maize,_02ndpercentileyield,0.47,0.47,0.47,1
idn,158,maize,_02ndpercentileyield,0.4,0.52,0.71,588
idn,159,maize,_02ndpercentileyield,0.47,0.48,0.58,22
idn,163,maize,_02ndpercentileyield,0.4,0.51,1.09,1694
idn,164,maize,_02ndpercentileyield,0.4,0.58,1.09,1416
idn,165,maize,_02ndpercentileyield,0.4,0.48,0.71,1215
idn,167,maize,_02ndpercentileyield,0.4,0.49,1.07,842
idn,175,maize,_02ndpercentileyield,0.4,0.53,1.09,1346
idn,178,maize,_02ndpercentileyield,0.58,0.58,0.58,5
idn,181,maize,_02ndpercentileyield,NA,NA,NA,NA
imn,26,maize,_02ndpercentileyield,NA,NA,NA,NA
ind,89,maize,_02ndpercentileyield,0.13,0.83,3.34,1107
ind,107,maize,_02ndpercentileyield,0.13,0.39,0.8,3121
ind,110,maize,_02ndpercentileyield,0.13,0.53,2.42,11075
ind,113,maize,_02ndpercentileyield,0.28,0.49,0.63,491
ind,116,maize,_02ndpercentileyield,0.58,0.78,1.07,12
ind,117,maize,_02ndpercentileyield,0.13,0.48,0.76,836
ind,118,maize,_02ndpercentileyield,0.4,0.54,0.76,884
ind,120,maize,_02ndpercentileyield,0.4,0.54,0.76,678
ind,122,maize,_02ndpercentileyield,0.4,0.54,0.76,1775
ind,123,maize,_02ndpercentileyield,0.13,0.54,0.76,3810
ind,128,maize,_02ndpercentileyield,0.46,0.6,0.76,558
ind,129,maize,_02ndpercentileyield,0.38,0.51,0.71,183
ind,137,maize,_02ndpercentileyield,0.58,0.95,1.09,154
ind,140,maize,_02ndpercentileyield,0.13,0.45,0.76,3074
ind,141,maize,_02ndpercentileyield,NA,NA,NA,NA
ind,145,maize,_02ndpercentileyield,0.13,0.51,0.63,513
ind,147,maize,_02ndpercentileyield,0.13,0.43,0.59,558
ind,153,maize,_02ndpercentileyield,0.13,0.43,1.09,782
ind,155,maize,_02ndpercentileyield,0.4,0.56,1.09,250
ind,235,maize,_02ndpercentileyield,0.38,0.54,0.76,1277
irl,24,maize,_02ndpercentileyield,NA,NA,NA,NA
irn,52,maize,_02ndpercentileyield,0.13,1.18,3.17,802
irn,72,maize,_02ndpercentileyield,0.84,2.2,3.17,1765
irn,82,maize,_02ndpercentileyield,0.13,1.37,3.17,1536
irn,84,maize,_02ndpercentileyield,0.13,1.27,3.17,1718
irn,88,maize,_02ndpercentileyield,0.13,0.68,3.17,395
irn,90,maize,_02ndpercentileyield,0.13,1,1.52,5
irn,97,maize,_02ndpercentileyield,NA,NA,NA,NA
irn,102,maize,_02ndpercentileyield,NA,NA,NA,NA
irn,104,maize,_02ndpercentileyield,NA,NA,NA,NA
irq,84,maize,_02ndpercentileyield,0.13,0.66,2.46,691
irq,94,maize,_02ndpercentileyield,NA,NA,NA,NA
irq,99,maize,_02ndpercentileyield,NA,NA,NA,NA
isl,11,maize,_02ndpercentileyield,NA,NA,NA,NA
isr,75,maize,_02ndpercentileyield,0.13,0.15,0.46,63
isr,95,maize,_02ndpercentileyield,0.13,0.2,0.46,29
isr,98,maize,_02ndpercentileyield,NA,NA,NA,NA
ita,50,maize,_02ndpercentileyield,0.32,1.57,3.34,1042
ita,54,maize,_02ndpercentileyield,NA,NA,NA,NA
ita,55,maize,_02ndpercentileyield,0.85,1.11,1.73,22
ita,57,maize,_02ndpercentileyield,0.85,1.82,3.34,894
ita,59,maize,_02ndpercentileyield,0.13,1.65,3.34,918
ita,61,maize,_02ndpercentileyield,1.36,1.86,2.6,3
ita,62,maize,_02ndpercentileyield,NA,NA,NA,NA
ita,63,maize,_02ndpercentileyield,0.32,1.31,3.34,256
ita,69,maize,_02ndpercentileyield,1.02,1.88,3.34,283
jam,101,maize,_02ndpercentileyield,0.4,0.61,0.71,107
jor,84,maize,_02ndpercentileyield,NA,NA,NA,NA
jor,93,maize,_02ndpercentileyield,NA,NA,NA,NA
jor,95,maize,_02ndpercentileyield,0.13,0.38,1.93,62
jor,98,maize,_02ndpercentileyield,0.32,0.92,1.52,2
jor,99,maize,_02ndpercentileyield,0.32,0.82,1.93,8
jpn,51,maize,_02ndpercentileyield,0.71,1.23,2.12,2144
jpn,103,maize,_02ndpercentileyield,0.71,0.71,0.71,2
kaz,18,maize,_02ndpercentileyield,2.14,2.32,2.41,3
kaz,38,maize,_02ndpercentileyield,2.41,2.9,3.17,17
kaz,42,maize,_02ndpercentileyield,1.93,2.4,3.17,120
kaz,45,maize,_02ndpercentileyield,2.14,2.82,3.17,3
kaz,52,maize,_02ndpercentileyield,NA,NA,NA,NA
kaz,56,maize,_02ndpercentileyield,2.41,2.41,2.41,384
kaz,58,maize,_02ndpercentileyield,0.32,0.62,1.52,8
kaz,68,maize,_02ndpercentileyield,1.52,2.34,3.17,1513
kaz,76,maize,_02ndpercentileyield,0.32,1.72,3.17,2357
kaz,85,maize,_02ndpercentileyield,NA,NA,NA,NA
ken,87,maize,_02ndpercentileyield,0.37,0.82,1.73,499
ken,170,maize,_02ndpercentileyield,0.13,0.43,2.14,1422
ken,171,maize,_02ndpercentileyield,0.13,0.39,1.73,1838
ken,179,maize,_02ndpercentileyield,0.13,0.58,2.6,838
kgz,58,maize,_02ndpercentileyield,2.41,2.41,2.41,4
kgz,68,maize,_02ndpercentileyield,2.41,2.41,2.41,91
kgz,76,maize,_02ndpercentileyield,0.32,2.31,3.17,942
kgz,85,maize,_02ndpercentileyield,NA,NA,NA,NA
khm,125,maize,_02ndpercentileyield,0.4,0.49,0.71,1665
khm,126,maize,_02ndpercentileyield,0.4,0.45,0.58,81
khm,148,maize,_02ndpercentileyield,0.4,0.51,0.71,64
kir,176,maize,_02ndpercentileyield,NA,NA,NA,NA
kna,101,maize,_02ndpercentileyield,NA,NA,NA,NA
kor,65,maize,_02ndpercentileyield,0.84,1.08,2.14,1256
kwt,84,maize,_02ndpercentileyield,NA,NA,NA,NA
kwt,94,maize,_02ndpercentileyield,NA,NA,NA,NA
lao,109,maize,_02ndpercentileyield,0.71,0.83,1.09,17
lao,125,maize,_02ndpercentileyield,0.4,0.68,1.09,1787
lao,126,maize,_02ndpercentileyield,0.49,0.8,1.09,271
lao,146,maize,_02ndpercentileyield,0.49,0.69,0.8,8
lbn,75,maize,_02ndpercentileyield,0.32,1.15,3.17,93
lbn,95,maize,_02ndpercentileyield,0.46,1.36,3.03,39
lbn,99,maize,_02ndpercentileyield,2.06,2.06,2.06,2
lbr,142,maize,_02ndpercentileyield,NA,NA,NA,NA
lby,80,maize,_02ndpercentileyield,0.13,0.47,1.72,59
lby,144,maize,_02ndpercentileyield,0.32,1.23,1.93,9
lby,151,maize,_02ndpercentileyield,NA,NA,NA,NA
lca,143,maize,_02ndpercentileyield,NA,NA,NA,NA
lie,32,maize,_02ndpercentileyield,NA,NA,NA,NA
lka,154,maize,_02ndpercentileyield,0.4,0.5,1.07,613
lso,194,maize,_02ndpercentileyield,1.02,1.57,3.34,281
lso,198,maize,_02ndpercentileyield,NA,NA,NA,NA
ltu,20,maize,_02ndpercentileyield,NA,NA,NA,NA
ltu,25,maize,_02ndpercentileyield,NA,NA,NA,NA
ltu,33,maize,_02ndpercentileyield,NA,NA,NA,NA
ltu,35,maize,_02ndpercentileyield,NA,NA,NA,NA
lux,32,maize,_02ndpercentileyield,1.05,1.66,2.12,47
lva,20,maize,_02ndpercentileyield,NA,NA,NA,NA
lva,22,maize,_02ndpercentileyield,NA,NA,NA,NA
lva,25,maize,_02ndpercentileyield,NA,NA,NA,NA
lva,35,maize,_02ndpercentileyield,NA,NA,NA,NA
mac,108,maize,_02ndpercentileyield,NA,NA,NA,NA
mar,80,maize,_02ndpercentileyield,0.13,0.9,3.17,133
mar,86,maize,_02ndpercentileyield,0.13,0.61,3.34,1442
