# File: LDS_land_types.csv
# Title: Mapping from LDS land categories to specific categories in databases
# Units: NA
# Description: Mapping from LDS land categories to specific categories in databases
# Original source: land type area and pot veg carbon calc in: moirai
# Source: https://github.com/JGCRI/moirai
# Column types: iccc 
# ----------
Category,LT_SAGE,LT_HYDE,Status
606,BorealEvergreenForest/Woodland,Unmanaged,UnsuitableHighProtection
607,BorealEvergreenForest/Woodland,Unmanaged,UnsuitableLowProtection
610,BorealEvergreenForest/Woodland,Cropland,Unknown
611,BorealEvergreenForest/Woodland,Cropland,UnsuitableUnprotected
612,BorealEvergreenForest/Woodland,Cropland,SuitableUnprotected
613,BorealEvergreenForest/Woodland,Cropland,SuitableHighProtectionIntact
614,BorealEvergreenForest/Woodland,Cropland,SuitbaleHighProtectionDeforested
615,BorealEvergreenForest/Woodland,Cropland,SuitableLow Protection
616,BorealEvergreenForest/Woodland,Cropland,UnsuitableHighProtection
617,BorealEvergreenForest/Woodland,Cropland,UnsuitableLowProtection
620,BorealEvergreenForest/Woodland,Pasture,Unknown
621,BorealEvergreenForest/Woodland,Pasture,UnsuitableUnprotected
622,BorealEvergreenForest/Woodland,Pasture,SuitableUnprotected
623,BorealEvergreenForest/Woodland,Pasture,SuitableHighProtectionIntact
624,BorealEvergreenForest/Woodland,Pasture,SuitbaleHighProtectionDeforested
625,BorealEvergreenForest/Woodland,Pasture,SuitableLow Protection
626,BorealEvergreenForest/Woodland,Pasture,UnsuitableHighProtection
627,BorealEvergreenForest/Woodland,Pasture,UnsuitableLowProtection
630,BorealEvergreenForest/Woodland,UrbanLand,Unknown
631,BorealEvergreenForest/Woodland,UrbanLand,UnsuitableUnprotected
632,BorealEvergreenForest/Woodland,UrbanLand,SuitableUnprotected
633,BorealEvergreenForest/Woodland,UrbanLand,SuitableHighProtectionIntact
634,BorealEvergreenForest/Woodland,UrbanLand,SuitbaleHighProtectionDeforested
635,BorealEvergreenForest/Woodland,UrbanLand,SuitableLow Protection
636,BorealEvergreenForest/Woodland,UrbanLand,UnsuitableHighProtection
637,BorealEvergreenForest/Woodland,UrbanLand,UnsuitableLowProtection
700,BorealDeciduousForest/Woodland,Unmanaged,Unknown
701,BorealDeciduousForest/Woodland,Unmanaged,UnsuitableUnprotected
702,BorealDeciduousForest/Woodland,Unmanaged,SuitableUnprotected
703,BorealDeciduousForest/Woodland,Unmanaged,SuitableHighProtectionIntact
704,BorealDeciduousForest/Woodland,Unmanaged,SuitbaleHighProtectionDeforested
705,BorealDeciduousForest/Woodland,Unmanaged,SuitableLow Protection
706,BorealDeciduousForest/Woodland,Unmanaged,UnsuitableHighProtection
707,BorealDeciduousForest/Woodland,Unmanaged,UnsuitableLowProtection
710,BorealDeciduousForest/Woodland,Cropland,Unknown
711,BorealDeciduousForest/Woodland,Cropland,UnsuitableUnprotected
712,BorealDeciduousForest/Woodland,Cropland,SuitableUnprotected
713,BorealDeciduousForest/Woodland,Cropland,SuitableHighProtectionIntact
714,BorealDeciduousForest/Woodland,Cropland,SuitbaleHighProtectionDeforested
715,BorealDeciduousForest/Woodland,Cropland,SuitableLow Protection
716,BorealDeciduousForest/Woodland,Cropland,UnsuitableHighProtection
717,BorealDeciduousForest/Woodland,Cropland,UnsuitableLowProtection
720,BorealDeciduousForest/Woodland,Pasture,Unknown
721,BorealDeciduousForest/Woodland,Pasture,UnsuitableUnprotected
722,BorealDeciduousForest/Woodland,Pasture,SuitableUnprotected
723,BorealDeciduousForest/Woodland,Pasture,SuitableHighProtectionIntact
724,BorealDeciduousForest/Woodland,Pasture,SuitbaleHighProtectionDeforested
725,BorealDeciduousForest/Woodland,Pasture,SuitableLow Protection
726,BorealDeciduousForest/Woodland,Pasture,UnsuitableHighProtection
727,BorealDeciduousForest/Woodland,Pasture,UnsuitableLowProtection
730,BorealDeciduousForest/Woodland,UrbanLand,Unknown
731,BorealDeciduousForest/Woodland,UrbanLand,UnsuitableUnprotected
732,BorealDeciduousForest/Woodland,UrbanLand,SuitableUnprotected
733,BorealDeciduousForest/Woodland,UrbanLand,SuitableHighProtectionIntact
734,BorealDeciduousForest/Woodland,UrbanLand,SuitbaleHighProtectionDeforested
735,BorealDeciduousForest/Woodland,UrbanLand,SuitableLow Protection
736,BorealDeciduousForest/Woodland,UrbanLand,UnsuitableHighProtection
737,BorealDeciduousForest/Woodland,UrbanLand,UnsuitableLowProtection
800,Evergreen/DeciduousMixedForest/Woodland,Unmanaged,Unknown
801,Evergreen/DeciduousMixedForest/Woodland,Unmanaged,UnsuitableUnprotected
802,Evergreen/DeciduousMixedForest/Woodland,Unmanaged,SuitableUnprotected
803,Evergreen/DeciduousMixedForest/Woodland,Unmanaged,SuitableHighProtectionIntact
804,Evergreen/DeciduousMixedForest/Woodland,Unmanaged,SuitbaleHighProtectionDeforested
805,Evergreen/DeciduousMixedForest/Woodland,Unmanaged,SuitableLow Protection
806,Evergreen/DeciduousMixedForest/Woodland,Unmanaged,UnsuitableHighProtection
807,Evergreen/DeciduousMixedForest/Woodland,Unmanaged,UnsuitableLowProtection
810,Evergreen/DeciduousMixedForest/Woodland,Cropland,Unknown
811,Evergreen/DeciduousMixedForest/Woodland,Cropland,UnsuitableUnprotected
812,Evergreen/DeciduousMixedForest/Woodland,Cropland,SuitableUnprotected
813,Evergreen/DeciduousMixedForest/Woodland,Cropland,SuitableHighProtectionIntact
814,Evergreen/DeciduousMixedForest/Woodland,Cropland,SuitbaleHighProtectionDeforested
815,Evergreen/DeciduousMixedForest/Woodland,Cropland,SuitableLow Protection
816,Evergreen/DeciduousMixedForest/Woodland,Cropland,UnsuitableHighProtection
817,Evergreen/DeciduousMixedForest/Woodland,Cropland,UnsuitableLowProtection
820,Evergreen/DeciduousMixedForest/Woodland,Pasture,Unknown
821,Evergreen/DeciduousMixedForest/Woodland,Pasture,UnsuitableUnprotected
822,Evergreen/DeciduousMixedForest/Woodland,Pasture,SuitableUnprotected
823,Evergreen/DeciduousMixedForest/Woodland,Pasture,SuitableHighProtectionIntact
824,Evergreen/DeciduousMixedForest/Woodland,Pasture,SuitbaleHighProtectionDeforested
825,Evergreen/DeciduousMixedForest/Woodland,Pasture,SuitableLow Protection
826,Evergreen/DeciduousMixedForest/Woodland,Pasture,UnsuitableHighProtection
827,Evergreen/DeciduousMixedForest/Woodland,Pasture,UnsuitableLowProtection
830,Evergreen/DeciduousMixedForest/Woodland,UrbanLand,Unknown
831,Evergreen/DeciduousMixedForest/Woodland,UrbanLand,UnsuitableUnprotected
832,Evergreen/DeciduousMixedForest/Woodland,UrbanLand,SuitableUnprotected
833,Evergreen/DeciduousMixedForest/Woodland,UrbanLand,SuitableHighProtectionIntact
834,Evergreen/DeciduousMixedForest/Woodland,UrbanLand,SuitbaleHighProtectionDeforested
835,Evergreen/DeciduousMixedForest/Woodland,UrbanLand,SuitableLow Protection
836,Evergreen/DeciduousMixedForest/Woodland,UrbanLand,UnsuitableHighProtection
837,Evergreen/DeciduousMixedForest/Woodland,UrbanLand,UnsuitableLowProtection
900,Savanna,Unmanaged,Unknown
901,Savanna,Unmanaged,UnsuitableUnprotected
902,Savanna,Unmanaged,SuitableUnprotected
903,Savanna,Unmanaged,SuitableHighProtectionIntact
904,Savanna,Unmanaged,SuitbaleHighProtectionDeforested
905,Savanna,Unmanaged,SuitableLow Protection
906,Savanna,Unmanaged,UnsuitableHighProtection
907,Savanna,Unmanaged,UnsuitableLowProtection
910,Savanna,Cropland,Unknown
911,Savanna,Cropland,UnsuitableUnprotected
912,Savanna,Cropland,SuitableUnprotected
913,Savanna,Cropland,SuitableHighProtectionIntact
914,Savanna,Cropland,SuitbaleHighProtectionDeforested
915,Savanna,Cropland,SuitableLow Protection
916,Savanna,Cropland,UnsuitableHighProtection
917,Savanna,Cropland,UnsuitableLowProtection
920,Savanna,Pasture,Unknown
921,Savanna,Pasture,UnsuitableUnprotected
922,Savanna,Pasture,SuitableUnprotected
923,Savanna,Pasture,SuitableHighProtectionIntact
924,Savanna,Pasture,SuitbaleHighProtectionDeforested
925,Savanna,Pasture,SuitableLow Protection
926,Savanna,Pasture,UnsuitableHighProtection
927,Savanna,Pasture,UnsuitableLowProtection
930,Savanna,UrbanLand,Unknown
931,Savanna,UrbanLand,UnsuitableUnprotected
932,Savanna,UrbanLand,SuitableUnprotected
933,Savanna,UrbanLand,SuitableHighProtectionIntact
934,Savanna,UrbanLand,SuitbaleHighProtectionDeforested
935,Savanna,UrbanLand,SuitableLow Protection
936,Savanna,UrbanLand,UnsuitableHighProtection
937,Savanna,UrbanLand,UnsuitableLowProtection
1000,Grassland/Steppe,Unmanaged,Unknown
1001,Grassland/Steppe,Unmanaged,UnsuitableUnprotected
1002,Grassland/Steppe,Unmanaged,SuitableUnprotected
1003,Grassland/Steppe,Unmanaged,SuitableHighProtectionIntact
1004,Grassland/Steppe,Unmanaged,SuitbaleHighProtectionDeforested
1005,Grassland/Steppe,Unmanaged,SuitableLow Protection
1006,Grassland/Steppe,Unmanaged,UnsuitableHighProtection
1007,Grassland/Steppe,Unmanaged,UnsuitableLowProtection
1010,Grassland/Steppe,Cropland,Unknown
1011,Grassland/Steppe,Cropland,UnsuitableUnprotected
1012,Grassland/Steppe,Cropland,SuitableUnprotected
1013,Grassland/Steppe,Cropland,SuitableHighProtectionIntact
1014,Grassland/Steppe,Cropland,SuitbaleHighProtectionDeforested
1015,Grassland/Steppe,Cropland,SuitableLow Protection
1016,Grassland/Steppe,Cropland,UnsuitableHighProtection
1017,Grassland/Steppe,Cropland,UnsuitableLowProtection
1020,Grassland/Steppe,Pasture,Unknown
1021,Grassland/Steppe,Pasture,UnsuitableUnprotected
1022,Grassland/Steppe,Pasture,SuitableUnprotected
1023,Grassland/Steppe,Pasture,SuitableHighProtectionIntact
1024,Grassland/Steppe,Pasture,SuitbaleHighProtectionDeforested
1025,Grassland/Steppe,Pasture,SuitableLow Protection
1026,Grassland/Steppe,Pasture,UnsuitableHighProtection
1027,Grassland/Steppe,Pasture,UnsuitableLowProtection
1030,Grassland/Steppe,UrbanLand,Unknown
1031,Grassland/Steppe,UrbanLand,UnsuitableUnprotected
1032,Grassland/Steppe,UrbanLand,SuitableUnprotected
1033,Grassland/Steppe,UrbanLand,SuitableHighProtectionIntact
1034,Grassland/Steppe,UrbanLand,SuitbaleHighProtectionDeforested
1035,Grassland/Steppe,UrbanLand,SuitableLow Protection
1036,Grassland/Steppe,UrbanLand,UnsuitableHighProtection
1037,Grassland/Steppe,UrbanLand,UnsuitableLowProtection
1100,DenseShrubland,Unmanaged,Unknown
1101,DenseShrubland,Unmanaged,UnsuitableUnprotected
1102,DenseShrubland,Unmanaged,SuitableUnprotected
1103,DenseShrubland,Unmanaged,SuitableHighProtectionIntact
1104,DenseShrubland,Unmanaged,SuitbaleHighProtectionDeforested
1105,DenseShrubland,Unmanaged,SuitableLow Protection
1106,DenseShrubland,Unmanaged,UnsuitableHighProtection
1107,DenseShrubland,Unmanaged,UnsuitableLowProtection
1110,DenseShrubland,Cropland,Unknown
1111,DenseShrubland,Cropland,UnsuitableUnprotected
1112,DenseShrubland,Cropland,SuitableUnprotected
1113,DenseShrubland,Cropland,SuitableHighProtectionIntact
1114,DenseShrubland,Cropland,SuitbaleHighProtectionDeforested
1115,DenseShrubland,Cropland,SuitableLow Protection
1116,DenseShrubland,Cropland,UnsuitableHighProtection
1117,DenseShrubland,Cropland,UnsuitableLowProtection
1120,DenseShrubland,Pasture,Unknown
1121,DenseShrubland,Pasture,UnsuitableUnprotected
1122,DenseShrubland,Pasture,SuitableUnprotected
1123,DenseShrubland,Pasture,SuitableHighProtectionIntact
1124,DenseShrubland,Pasture,SuitbaleHighProtectionDeforested
1125,DenseShrubland,Pasture,SuitableLow Protection
1126,DenseShrubland,Pasture,UnsuitableHighProtection
1127,DenseShrubland,Pasture,UnsuitableLowProtection
1130,DenseShrubland,UrbanLand,Unknown
1131,DenseShrubland,UrbanLand,UnsuitableUnprotected
1132,DenseShrubland,UrbanLand,SuitableUnprotected
1133,DenseShrubland,UrbanLand,SuitableHighProtectionIntact
1134,DenseShrubland,UrbanLand,SuitbaleHighProtectionDeforested
1135,DenseShrubland,UrbanLand,SuitableLow Protection
1136,DenseShrubland,UrbanLand,UnsuitableHighProtection
1137,DenseShrubland,UrbanLand,UnsuitableLowProtection
1200,OpenShrubland,Unmanaged,Unknown
1201,OpenShrubland,Unmanaged,UnsuitableUnprotected
1202,OpenShrubland,Unmanaged,SuitableUnprotected
1203,OpenShrubland,Unmanaged,SuitableHighProtectionIntact
1204,OpenShrubland,Unmanaged,SuitbaleHighProtectionDeforested
1205,OpenShrubland,Unmanaged,SuitableLow Protection
1206,OpenShrubland,Unmanaged,UnsuitableHighProtection
1207,OpenShrubland,Unmanaged,UnsuitableLowProtection
1210,OpenShrubland,Cropland,Unknown
1211,OpenShrubland,Cropland,UnsuitableUnprotected
1212,OpenShrubland,Cropland,SuitableUnprotected
1213,OpenShrubland,Cropland,SuitableHighProtectionIntact
1214,OpenShrubland,Cropland,SuitbaleHighProtectionDeforested
1215,OpenShrubland,Cropland,SuitableLow Protection
1216,OpenShrubland,Cropland,UnsuitableHighProtection
