BLDGID6  ,REGION6  ,CENDIV6  ,SQFT6    ,SQFTC6   ,YRCONC6  ,PBA6     ,ELUSED6  ,NGUSED6  ,FKUSED6  ,STUSED6  ,HWUSED6  ,ADJWT6   ,PAIR6    ,STRATUM6 ,ELHTBTU6 ,ELCLBTU6 ,ELVNBTU6 ,ELWTBTU6 ,ELLTBTU6 ,ELCKBTU6 ,ELRFBTU6 ,ELOFBTU6 ,ELMSBTU6
00045,4,9,  1300000,10,06,02,1,2,1,1,2,    8.15,2,18,             0,      11156791,      10505579,             0,      28827287,             0,        854668,      30105895,       7171021
00046,3,5,  1600000,10,06,13,1,2,2,2,1,    8.15,1,22,        324616,       1542015,      14595184,       8794363,      62447188,       8453274,       3829595,      13189572,       6046047
00047,4,8,    23750,04,08,26,1,1,2,2,2,  355.88,2,42,         13894,        252921,         58669,             0,        822204,             0,         32007,        121744,         43857
00048,2,3,   500000,08,03,16,1,1,1,2,2,   13.84,2,07,       2445907,       4436265,        461705,             0,      22129182,             0,       3902808,       9464360,       9362933
00051,3,7,   225000,08,05,13,1,1,2,1,2,   27.75,1,42,             0,       5550635,       5741384,             0,      22254057,             0,       1699265,       2880011,       3752771
00052,3,6,     2250,02,03,25,1,1,2,2,2, 6308.52,1,24,             0,         54864,         30419,             0,        179591,          6878,          8749,         34899,         13960
00054,3,7,    16250,04,07,05,1,2,2,2,2,  114.43,2,27,         13286,          4772,           867,         26873,        597605,             0,         42895,        318727,        211525
00055,2,3,     7000,03,04,05,1,1,2,2,2,  546.18,1,26,             0,        100350,        100135,             0,        170124,             0,         46123,        345290,        206095
00056,3,7,    45000,05,06,05,1,1,2,2,2,  207.50,1,39,             0,         19100,          3177,             0,        355873,             0,         25000,        194242,        104626
00057,3,6,    20000,04,04,12,1,1,2,2,2,  189.21,1,39,             0,        102721,         85728,        112767,        156877,             0,         52485,         38187,        106448
00059,3,7,    13750,04,07,05,1,1,2,2,2,  474.50,2,03,             0,         17299,          1097,          5676,         78215,             0,          7951,         57661,         37391
00060,3,7,    10000,03,06,13,1,1,2,2,2,  488.82,2,03,             0,          2807,          5109,             0,         17289,          1867,          2839,           969,          4748
00061,4,8,    80000,06,07,05,1,2,2,2,2,  109.94,2,19,         52025,         49426,         30177,          4400,        327439,             0,         22993,        165323,        121218
00062,1,1,   100001,07,03,02,1,1,2,2,2,  128.46,2,10,             0,        273619,        267944,         25687,       1581543,             0,         10568,        334270,        141600
00063,2,4,   650000,09,04,05,1,1,2,2,2,   15.41,1,04,        811825,        255114,             0,         23926,       1626634,             0,        117730,        807978,        619515
00065,4,8,    47500,05,07,02,1,1,2,2,2,  170.59,2,10,         92367,        528611,        162747,             0,       1305804,             0,         25496,        952130,        177966
00066,3,5,  1600000,10,06,24,1,1,2,2,2,  114.43,1,11,       1991082,      22199475,      11122776,        533696,      75503939,        606135,       1542178,       2585962,       6025863
00067,1,1,     8000,03,07,13,1,2,1,2,2,  484.14,1,25,             0,             0,         10541,             0,         71755,          5125,         11723,          6322,         12271
00068,3,6,   500000,08,07,12,1,1,2,2,2,    6.92,2,24,             0,        756583,        197577,         74421,       1364207,         97398,         88249,        111022,        332241
00069,3,7,    55000,06,04,14,1,1,2,2,2,  121.19,1,15,             0,        451861,        106014,             0,        779196,         19601,         56046,         79398,         37484
00070,3,5,   190000,07,07,02,1,1,1,2,2,   30.67,2,08,        342949,       2245496,       1800076,        196338,       9591409,         72233,        113116,       4262625,        814791
00071,1,1,    70000,06,02,01,1,2,2,2,2,  125.89,1,20,             0,             0,             0,             0,         52851,             0,          6017,          8024,         46639
00072,4,9,   325000,08,04,18,1,1,1,2,2,   44.23,1,36,         48887,        990810,        599857,             0,       5564243,             0,        557515,        674676,       1612653
00074,1,1,    30000,05,04,14,1,1,1,2,2,  230.31,1,42,             0,         52911,           959,             0,        203910,          2654,          7308,         10329,          5297
00075,1,2,    90000,06,05,18,1,2,2,2,1,  121.19,1,20,             0,             0,         18733,             0,       1611937,             0,        121305,         78614,        419068
00076,2,3,    70000,06,05,14,1,2,2,1,1,   29.31,2,26,             0,             0,         16261,             0,       2488105,             0,        130211,        238579,        171228
00077,2,3,     8500,03,07,02,1,1,2,2,2,  105.20,2,26,         70843,             0,         49222,             0,        360579,             0,          8170,        324826,         35009
00078,3,5,    20000,04,02,02,1,2,2,2,2,  159.06,1,40,         39037,         72846,         18830,             0,        117872,             0,          2958,         99207,         23881
00081,4,9,  1300000,10,07,24,1,1,1,2,2,    4.00,1,29,       2251249,      12019602,       2874845,       1439954,      41639907,        704000,       1748278,       3771292,       6102494
00082,1,2,     5500,03,05,26,1,2,1,2,2,  367.06,1,09,             0,             0,         13748,          9250,         65397,             0,          5140,         17729,          5624
00083,4,8,   550000,09,04,16,1,1,1,2,2,   13.84,2,10,          9809,         23809,          4203,             0,        213570,          2503,         30514,        100831,         46369
00086,2,3,     1500,02,01,12,1,2,1,2,2,  488.82,2,28,             0,          7558,          3566,             0,         17324,             0,          1304,           383,          1874
00087,1,2,    22500,04,05,14,1,1,2,2,2,  151.31,1,37,             0,        112353,         18349,         33958,        322887,          6895,         13319,         28895,          7668
00089,4,9,   275000,08,06,13,1,1,1,2,2,  100.52,1,29,         22327,       2284464,       2304821,             0,      18859501,        562608,        667336,       1069057,       1607586
00090,2,3,   225000,08,06,13,1,2,2,1,2,   27.75,2,34,             0,       2037927,       2496686,             0,      14391790,             0,        823451,       2352225,        879799
00091,3,5,    27500,05,08,05,1,1,2,2,2,  107.01,2,14,             0,         48386,         19733,             0,        184583,             0,         22419,        174466,        101162
00094,3,5,    27500,05,07,02,1,2,2,2,2,   98.67,1,14,         76905,        538135,        141695,         24946,       1155364,             0,         17830,        725293,         42216
00095,2,4,   100000,06,05,02,1,1,1,2,2,   33.31,1,40,             0,        537912,        676516,             0,       2018626,             0,         46293,       1593025,        426088
00096,3,6,    11250,04,06,26,1,1,1,2,2, 5849.83,1,24,         56684,        259151,         89476,             0,       1268271,             0,         28180,        160979,         43192
00097,3,6,    21250,04,05,14,1,1,2,2,2,   88.46,2,02,         36272,        204326,         33278,             0,        263402,             0,         21107,         24105,         19913
00098,4,9,   140000,07,06,91,1,2,1,1,2,   31.54,2,18,         19292,        183284,         91090,             0,       6595999,          7198,         93300,        674745,        354742
00099,4,8,     5001,03,03,05,1,1,2,2,2,  484.14,2,06,             0,             0,           382,             0,           514,             0,            93,           773,           589
00101,2,3,    50000,05,04,14,1,1,1,2,2,  222.08,2,34,             0,        146568,          2299,             0,        382907,         22138,         19330,         23241,         33992
00102,2,3,   190000,07,05,14,1,1,2,2,2,   88.46,1,28,        150783,        218209,          3640,             0,        635141,             0,         53907,         65946,         42170
00103,3,6,    22500,04,08,25,1,1,2,2,2,   92.00,1,12,             0,         72798,         23586,          5119,        324955,             0,          8829,         30596,         11340
00105,3,5,    30000,05,07,05,1,2,2,2,2,  107.01,1,24,         29256,         45383,          5404,          7496,        284794,             0,         21112,        165304,         97797
00106,3,6,    12500,04,04,01,1,1,2,2,2,  370.61,1,12,             0,         22288,         32340,         18550,        131019,             0,         12493,         26132,         86410
00107,3,6,   120000,07,03,16,1,1,1,1,2,   27.75,2,02,             0,       6061170,       1326536,             0,      11410151,             0,       1627850,       4530399,       3322413
00108,3,7,     3000,02,07,15,1,1,2,2,2,  405.64,2,15,             0,        188153,         33866,             0,        161872,             0,        214926,         18220,         87691
00110,2,3,    30000,05,09,23,1,1,2,2,2,  134.32,2,13,             0,         62305,        110825,             0,        335163,             0,         42619,        194196,         71963
00111,1,2,    16250,04,03,08,1,1,1,2,2, 3003.97,2,03,             0,         32838,           673,             0,        100450,             0,           874,         38551,         13186
00116,4,9,    50001,06,05,05,1,2,2,2,2,  218.87,2,36,          8213,          7803,             0,          1583,         50755,             0,          3601,         25428,         18233
00117,4,9,    37500,05,06,24,1,1,2,2,2,  474.50,2,37,             0,        908179,        238938,         26571,       3477370,         24051,         72712,         90489,        285723
00118,1,2,   500000,08,03,02,1,1,1,2,2,    8.15,1,05,          1093,       8229904,       4440527,             0,      17220483,             0,        136735,       6776029,       1317989
00119,2,3,   180000,07,07,05,1,1,2,2,2,  100.52,1,13,             0,         92604,         95565,         24522,        844538,             0,         75964,        629995,        431703
00120,4,9,     2500,02,05,04,1,2,2,2,2, 3003.97,1,39,          4909,         30702,         28957,             0,         26016,             0,           980,         74060,         20396
00122,4,9,    10000,03,06,26,1,2,2,2,2,  174.25,2,38,             0,          9888,           200,          3291,         71562,             0,          4516,         15813,          5531
00123,3,5,     8000,03,07,26,1,1,2,2,2, 5849.83,2,14,             0,          6548,          5249,             0,         39051,             0,          1859,          6875,          2332
00124,3,5,   300000,08,07,18,1,1,1,2,2,    1.04,2,08,             0,       2449254,        810499,             0,      14466282,             0,       1434863,       1807616,       4079234
00125,3,5,   140000,07,07,16,1,2,1,2,2,   88.46,1,14,             0,       2438887,       1337149,             0,       8979982,         96225,       1173010,       2394152,       3264494
00126,3,5,    65000,06,08,14,1,1,2,2,2,  116.86,1,31,             0,        146326,          1529,             0,       2236838,             0,        148016,        220268,         68641
00127,2,3,     2500,02,06,05,1,1,2,2,2,  414.10,1,07,             0,            88,          1971,             0,         25758,             0,          1461,         12133,          5581
00128,3,7,     2500,02,07,15,1,1,2,2,2, 3003.97,1,03,             0,        207287,         45475,             0,        336167,         58600,        227025,          9286,        103934
00132,3,7,     2500,02,05,06,1,2,2,2,2, 5849.83,2,15,          9926,         38249,          3647,          9119,         42456,          4301,        195867,          1211,         11278
00135,2,4,   130000,07,03,14,2,1,2,2,2,  428.01,1,31,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00138,3,6,     2750,02,07,23,1,2,2,2,2,  105.20,1,39,         92734,          6705,          4708,          5997,         16988,             0,          3126,         10403,          4161
00140,3,6,    90000,06,07,23,1,1,2,2,2,  130.39,2,39,         49072,        862897,        178904,         48460,       1895151,             0,         45344,        117978,        210548
00141,3,6,    65000,06,04,05,1,2,2,2,2,   97.15,2,01,             0,             0,             0,             0,        124626,             0,         13123,         89042,         67842
00143,2,4,    15000,04,04,26,1,1,2,2,2,  546.18,1,36,         19900,         39023,         25061,         11056,        236754,             0,          6670,         32711,          7182
00146,4,9,    15000,04,04,23,1,1,2,2,2,  114.43,1,44,             0,         74001,         36776,             0,        353639,             0,         26868,         93556,         33446
00147,2,3,     5500,03,04,02,1,2,2,2,2,  171.40,1,15,         64971,         13808,          3067,          2337,         34131,             0,           604,         24110,          1890
00148,3,6,   100001,07,04,02,1,1,1,1,2,  119.21,1,24,         42640,        113101,       1085231,             0,       3744912,         35837,         46406,       2136478,        266976
00149,4,9,     6500,03,05,13,1,2,2,2,2, 6308.52,2,11,        167076,         27439,         14625,             0,         55190,             0,          6257,          9329,          5813
00150,2,3,     7500,03,05,15,1,1,2,2,2,  414.10,1,13,             0,        131108,         32791,             0,        313024,         34431,        120937,          7926,         54582
00151,1,2,    13750,04,05,26,1,1,2,1,2,  100.52,1,38,             0,             0,         30569,             0,        277664,             0,         11663,         50476,         14406
00152,3,5,   140000,07,07,05,1,1,2,2,2,   28.87,2,44,             0,             0,          3314,             0,        899838,             0,         20359,        138138,        105248
00154,3,7,     1750,02,07,26,1,2,2,2,2, 6308.52,2,04,         16461,          3017,          1292,           955,          1675,             0,           362,          1247,           294
00155,3,5,     3000,02,07,06,1,2,2,2,2, 3003.97,2,24,         32840,         81332,         21534,         37945,        226399,         16670,        592566,          4072,         37907
00156,4,9,     1250,02,07,14,1,2,2,2,2, 3003.97,1,43,        113738,             0,          4662,             0,         25398,             0,          2181,          2784,          1472
00157,4,9,  1300000,10,06,02,1,1,1,2,2,    4.89,1,40,         16703,      15401954,      10442045,        810974,      52718793,             0,        902162,      34027803,       5959625
00158,2,4,    20000,04,05,12,1,1,2,2,2,   95.04,2,18,             0,             0,             0,             0,        524077,         29139,         35295,         33520,         49078
00160,3,5,    90000,06,05,04,1,2,1,1,2,   29.31,1,22,             0,             0,      23353696,             0,      21456712,             0,        778892,      54264207,      20443234
00162,3,5,    11250,04,03,02,1,1,2,2,2,  370.61,1,31,         23605,        232571,         66806,         18436,        478756,             0,          8681,        348837,         18596
00163,4,8,    22500,04,08,05,1,2,2,2,2,  130.59,2,19,         14335,         47639,          6597,          4983,        145235,             0,          6933,         77454,         33929
00164,2,4,    32500,05,06,91,1,1,2,2,2,  177.95,1,08,             0,         46524,         33030,         11496,        588777,             0,          7643,         21957,         62372
00166,4,8,    25001,05,07,12,1,1,2,2,2,  189.21,2,10,             0,         29858,         20483,             0,        107542,             0,         21761,         16034,         24737
00167,2,3,     5500,03,03,13,1,1,2,2,2,  487.36,2,09,             0,             0,             0,             0,         34114,             0,          3292,          1124,          5505
00168,1,2,    13750,04,04,01,1,1,2,2,2,  370.61,2,06,             0,             0,         25051,             0,        247580,             0,          7837,         15488,         53303
00169,1,2,    50000,05,07,14,1,2,2,2,2,  168.44,1,06,             0,        281395,          5320,             0,        664849,             0,         38447,         60734,         48526
00170,4,9,    40000,05,08,02,1,1,2,2,2,  170.59,1,11,             0,        602667,        192866,             0,       1098866,             0,         24098,        748460,        302578
00171,4,8,    60000,06,06,02,1,2,2,2,2,  455.88,2,19,         16320,        867222,        244021,         33993,       1029841,             0,         26721,        763961,        367062
00172,4,9,     7000,03,05,14,1,1,2,2,2,  174.25,1,28,             0,             0,          6673,             0,         87581,             0,          5555,          8458,          6386
00173,4,9,     8500,03,06,12,1,1,2,2,2,  488.82,1,21,             0,         14280,         12743,             0,        152156,             0,          7536,          5720,         11513
00174,1,2,   600000,09,07,16,1,1,1,1,2,   13.84,2,10,             0,       4381802,       6096836,             0,      20774009,        180929,       3308354,       6879379,       9080248
00177,2,3,    85000,06,06,14,1,2,1,2,2,  233.72,1,16,             0,        559603,        244881,             0,       2048956,             0,        181382,        214850,        148929
00179,4,8,     4000,02,09,17,1,1,2,2,2, 3003.97,2,10,             0,         17519,          6092,             0,         48002,          5916,          4893,          9534,         10541
00180,4,9,     7000,03,03,25,1,2,1,2,2,  474.50,2,35,          2407,          3882,         10471,          5101,        140376,             0,          3156,         13081,          4342
00181,4,8,    17500,04,03,25,1,1,2,2,2,  469.96,1,30,         11518,          7481,          5032,          4174,         47603,             0,          3506,         11982,          4349
00183,2,3,   250000,08,07,05,1,1,2,2,2,  119.21,2,32,             0,        281364,         28098,         72504,       1802200,             0,        143228,       1326482,        974700
00184,1,1,   225000,08,07,05,1,2,1,2,2,  100.52,1,25,        440189,        553248,         83643,        126838,       6888191,             0,        281630,       2957843,       1566994
00185,3,6,     2000,02,08,15,1,2,2,2,2, 3003.97,2,39,         29632,        211286,         45162,         72308,        422036,        133269,        245985,         26304,         98517
00186,3,5,  1000000,09,07,02,1,2,1,2,2,    6.67,1,38,       1059242,      14462529,       9784431,       1262955,      39771395,        918327,        719039,      25378169,       6897325
00188,3,7,    32500,05,08,05,1,1,2,2,2,  123.98,2,27,             0,          2418,           530,             0,        168013,             0,         23091,        191288,         92599
00189,4,9,   100001,07,04,16,1,1,1,1,2,  114.76,2,08,             0,        106792,       1207250,             0,       3265602,         42884,        522765,       1020627,       1501209
00190,3,5,    47500,05,05,18,1,2,1,2,2,   29.49,2,01,             0,        949275,        140144,             0,       1257024,             0,         62769,        119875,        137647
00192,2,4,    60000,06,06,01,2,2,2,2,2,  100.36,1,41,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00196,2,3,    15000,04,06,01,1,1,2,2,2,  546.18,1,25,             0,             0,          3572,             0,           780,             0,          1206,          1605,          9330
00197,3,7,     1750,02,06,06,1,1,2,2,2, 3003.97,1,15,         70116,         49230,         15630,             0,         81669,          5904,        246543,          1579,         14703
00198,4,8,     5000,02,05,26,1,1,2,2,2,  469.96,2,10,             0,          5443,         36909,             0,        112948,             0,          4368,         17170,          5524
00199,1,1,    12500,04,08,25,1,1,2,2,2,  432.00,1,10,             0,         87807,         32348,         15831,        509184,             0,         20879,         82646,         33059
00201,1,2,   375000,08,03,02,1,2,2,1,2,   19.06,1,44,             0,        633466,       2042913,             0,       6507612,             0,         49383,       2064291,        858929
00204,4,8,     2000,02,07,26,1,1,2,2,2,  370.61,2,30,             0,        123670,         55661,         37324,        252913,             0,         15078,         57075,         14196
00205,4,9,    95000,06,05,14,1,1,2,2,2,  197.70,2,43,             0,       1555166,        671950,             0,       4585293,             0,        143329,        382355,        315895
00206,3,6,     6500,03,05,26,1,1,2,2,2,  474.50,1,12,         83733,          8890,          5607,          3312,         31067,             0,          2057,          7254,          2377
00208,3,7,    47500,05,07,14,1,1,2,2,2,  162.42,1,04,             0,        364718,         85327,             0,        894578,             0,         85494,         87949,         67306
00209,3,6,     1250,02,09,06,1,2,2,2,2, 5742.51,2,01,             0,         19665,          6447,          4683,         34834,             0,        130043,           784,          7302
00210,1,2,     7000,03,04,07,1,1,1,2,2,  189.21,2,17,             0,             0,            93,             0,         39850,             0,           739,         12321,         34289
00211,4,8,    25001,05,06,12,1,1,2,2,2,  189.21,1,30,         55266,         43296,         27203,             0,        193522,             0,         19942,         26558,         40976
00212,1,2,   225000,08,03,02,1,2,2,1,2,   31.54,1,34,        114024,         95540,         13648,             0,        136236,             0,         17436,        284927,        440500
00213,2,4,     8000,03,07,13,1,1,2,2,2,  363.67,2,13,             0,          3946,          3687,             0,          9515,             0,          1162,           347,          1698
00214,3,5,   150000,07,07,02,1,2,1,2,2,   92.00,2,38,        761612,       2196635,        890473,        121760,       4283160,             0,         68118,       2390194,        724526
00216,1,2,     3000,02,01,02,1,2,1,2,2,  189.21,2,17,             0,         22122,          7496,          5306,         83813,             0,           840,         32658,          2894
00217,3,7,     4500,02,06,14,1,1,2,2,2,  189.21,1,42,             0,         49701,          5742,             0,         37279,             0,          3945,          3477,          5167
00218,2,3,    30000,05,07,01,1,2,2,2,2,  189.21,1,26,        144306,             0,          4131,             0,          2737,             0,          2821,          3754,         21818
00219,2,3,    30000,05,04,06,1,1,2,2,2,  105.20,1,32,             0,        335912,         86929,             0,        811180,         66264,       2825219,         27495,        157501
00220,4,9,    27500,05,06,01,1,2,2,2,2,  189.21,1,21,         68354,         10795,          2278,          3064,         95702,             0,          4990,          8833,         35158
00221,2,4,     7500,03,04,05,1,1,2,2,2,  363.67,1,31,         67150,             0,          1948,          2190,         45223,             0,          1040,          8368,          5068
00222,4,8,    10000,03,08,05,1,2,2,2,2,  569.41,2,19,          1456,         10923,         11655,          3270,         65747,             0,          5061,         43030,         19194
00224,2,4,  1200000,10,05,91,1,1,1,2,2,   50.26,1,08,             0,       2742150,       1437702,             0,      37772672,         20060,        520005,       3497535,       2240271
00225,4,9,     4000,02,04,05,1,2,2,2,2,  114.43,2,38,             0,             0,             0,             0,          5587,             0,           795,          5396,          4112
00227,1,2,   275000,08,07,02,1,1,2,2,2,   19.06,2,05,             0,       5715314,       7428975,        722839,      26677063,        177094,        193428,       9375413,       2074565
00228,1,2,    20000,04,05,14,1,1,1,2,2,  151.31,2,05,             0,             0,             0,         26477,         81285,             0,          7340,          3519,          9811
00229,3,5,     5000,02,07,25,1,2,2,2,2,  598.31,1,38,         14490,        399824,         90095,             0,        903207,             0,         32478,        128752,         41424
00230,3,5,    45000,05,07,25,1,2,2,2,2,   90.82,1,14,         16377,        745417,        181974,         49033,       2521579,             0,         56672,        219425,        125325
00231,3,6,   750000,09,05,24,1,1,1,2,2,  123.48,2,02,        144642,       4071595,        964850,        122401,       7773965,             0,        123169,        357062,        299024
00232,3,7,    17500,04,05,05,1,1,2,2,2,  488.82,2,03,             0,         55210,         15577,         25610,        442770,             0,         25375,        218143,         85212
00233,2,4,     3500,02,05,18,1,2,2,2,2, 6044.75,1,41,             0,         25594,          4521,             0,         55173,             0,          2962,          1314,         10839
00234,4,8,    40000,05,02,13,1,1,2,2,2,  367.06,2,10,             0,         20104,         30863,             0,        154417,             0,         20858,         16407,         34065
00236,4,9,     6000,03,06,18,1,1,2,2,2, 3003.97,2,29,        105577,             0,          4066,             0,        163233,             0,          9177,          4070,         33581
00237,4,9,    16250,04,04,02,1,1,2,2,2,  159.06,1,11,          9942,        189602,         52425,             0,        369124,             0,          8416,        334516,         21722
00238,1,1,    17500,04,01,02,1,1,2,2,2,  114.43,2,10,             0,         39730,         15980,         10115,        180727,             0,          3655,        122061,         42023
00240,4,9,     3500,02,03,02,1,1,2,2,2,  370.61,2,41,             0,             0,             8,             0,         20540,             0,           134,          4348,          1242
00241,3,7,    30000,05,05,14,1,1,2,2,2,  162.42,1,33,        189435,        365822,         77945,             0,        144208,             0,         34491,         36353,         63314
00242,3,5,    80000,06,06,14,1,2,1,2,2,   93.41,2,31,             0,        506586,        483892,             0,       2380863,        125611,        172934,        223046,        146736
00243,1,2,   650000,09,04,14,1,1,1,1,2,    6.92,1,15,             0,       8603343,       2067610,             0,      33212119,        944391,        891608,       2046862,       2296750
00245,4,8,    10001,04,06,13,1,1,2,2,2,  189.21,1,30,          8573,          9027,          4800,             0,         14213,           546,          1865,          1185,          2309
00246,1,1,    11250,04,06,25,1,1,2,2,2,  114.43,2,42,             0,         62954,         27787,         12435,        392084,             0,         13310,         63595,         12137
00249,1,1,    80000,06,01,02,1,2,1,1,2,   10.11,1,19,             0,        125987,        125461,             0,       6924027,             0,         53805,       1524798,       1660209
00250,3,5,    45000,05,05,25,1,1,2,2,2,  105.20,2,44,             0,         86823,         53074,             0,        317963,             0,         39103,         64180,        127726
00252,2,4,    40000,05,03,14,1,2,2,1,2,  237.54,1,23,             0,        353197,          5888,             0,        952222,             0,         50449,         91146,         67632
00254,4,9,    11250,04,04,26,1,1,2,2,2,  208.22,2,41,             0,         77922,         32491,             0,        348452,             0,         20458,         90493,         12647
00255,3,5,    50001,06,06,02,1,2,1,2,2,   33.17,2,44,         41337,       1049779,        451556,         54810,       2632761,             0,         18636,        648950,        454199
00256,3,6,    20000,04,03,14,1,1,2,2,2, 3003.97,2,02,         16153,         70795,         18260,             0,         59503,             0,          6556,          3378,          9418
00257,2,3,   160000,07,05,05,1,2,2,2,1,  119.21,1,26,        194952,        127967,         40723,         13054,        543650,             0,         58816,        419343,        283785
00258,3,7,    23750,04,03,14,1,1,2,2,2,   88.46,2,33,         10770,         81090,         20398,         18479,        109059,          3554,         11256,          8302,         13668
00259,3,5,    55000,06,06,14,1,1,1,2,2,  121.19,2,27,         56929,         54086,        344152,        124027,       2173587,         21235,         58081,         90665,         75780
00263,4,9,     4000,02,04,26,1,2,2,2,2,  114.43,2,38,             0,             0,             0,             0,         31339,             0,          6211,         20969,          8387
00264,2,3,    17500,04,06,02,1,1,2,2,2,  414.10,2,14,             0,        133509,         38120,             0,        536100,             0,          8417,        362481,         32882
00265,1,2,   650000,09,05,07,1,1,1,1,2,  100.52,2,28,             0,       3557511,       2338620,             0,      15973558,             0,         77539,       2739425,       2151229
00266,3,7,    16250,04,04,25,1,1,2,2,2,  105.20,2,04,             0,        107231,         28764,         16689,        208124,             0,         12927,         45561,         16423
00267,1,2,   110000,07,07,17,1,1,1,2,2,  178.91,1,33,       2393153,       3504008,        822983,             0,      10090565,             0,       1225842,       1609602,       3419689
00269,4,9,   700000,09,06,02,1,1,1,2,2,   15.28,2,16,        440600,       5651040,       2398204,        246204,      11900497,        153716,        244896,       8417770,       2436990
00270,2,4,    85000,06,04,01,2,2,2,2,2,  100.36,1,41,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
