BLDGID5,REGION5,CENDIV5,SQFT5,SQFTC5,YRCONC5,PBA5,ADJWT5,PAIR5,STRATUM5,ELSUPL5,NGSUPL5,FKSUPL5,STSUPL5,HWSUPL5,ELHTBTU5,ELCLBTU5,ELVNBTU5,ELWTBTU5,ELLTBTU5,ELCKBTU5,ELRFBTU5,ELOFBTU5,ELMSBTU5
63,4,9,25000,4,6,5,160.98,2,1,1,2,2,2,2,6567,26411,1743,74464,212801,0,1360,11903,7022
64,4,9,45000,5,9,2,435.97,2,11,1,2,2,2,2,43497,0,134082,373889,852528,0,18097,650438,222535
65,4,8,5000,2,4,12,2115.72,1,20,1,2,2,2,2,69221,0,2493,2254,5586,0,861,166,812
66,2,3,10001,4,2,2,222.14,1,10,1,1,2,2,2,0,28594,601,61773,41637,0,760,41762,4795
67,4,9,25000,4,6,2,10.29,1,11,1,1,2,2,2,17854,245778,57799,0,506004,0,2559,129352,22129
68,4,9,2000,2,5,18,1279.77,1,22,1,2,2,2,2,0,0,0,0,50215,0,3107,1378,11367
69,3,5,1500,2,5,17,1724.46,1,3,1,2,2,2,2,2601,0,82,50717,13246,0,843,374,3083
70,3,5,140000,7,5,2,279.33,2,13,1,1,1,2,2,0,660316,742549,0,1485150,0,26875,975195,370131
71,4,9,30000,5,4,14,440.57,1,16,1,2,2,2,1,0,0,0,0,360671,0,12455,20683,20500
72,3,5,2000,2,5,2,2014.77,2,3,1,2,2,2,2,28606,54095,15285,45411,85003,0,1370,51534,8235
73,3,7,3000,2,7,15,1262.19,2,15,1,1,2,2,2,0,0,13960,33899,88168,0,66295,670,7497
74,3,7,500000,8,7,2,10.87,2,10,1,2,1,2,1,749764,0,4990609,1388337,5241227,0,201995,7242369,2695004
75,2,3,70000,6,5,18,8.18,1,20,1,1,2,1,2,0,0,596,0,28424,11964,1979,1913,6207
76,3,5,1500,2,9,3,1880.68,2,3,1,2,1,2,2,0,803,516,0,2362,0,173,584,234
77,2,3,100000,6,4,14,367.48,2,21,1,1,2,2,2,0,452303,10713,0,878996,0,70089,25163,111641
78,1,2,60000,6,4,14,435.97,1,16,1,1,1,2,2,0,170850,4331,0,365600,0,31999,11775,50684
79,3,6,250000,8,4,5,1.83,1,9,1,1,1,2,2,31837,554376,25961,0,6983416,0,46429,390949,263691
80,3,6,4500,2,6,18,461.25,1,7,1,1,2,2,2,13384,75288,6805,0,35665,0,2357,1046,8626
81,1,1,50000,5,6,5,410.38,2,21,1,1,1,2,2,0,242707,20904,0,3144763,0,24915,222698,137748
82,4,9,25001,5,4,5,138.47,2,1,1,1,2,2,2,0,34851,2247,0,141502,0,1621,11834,8363
83,1,2,300000,8,6,16,2.03,2,4,1,1,1,2,2,1250992,3054846,3051762,0,13499985,1472647,1795192,3859085,4800989
84,2,3,700000,9,5,20,5.28,1,18,1,2,2,2,2,1332,239170,52762,759232,967503,0,1610,2346,13634
85,3,5,4500,2,4,12,1882.46,1,3,1,2,1,2,2,0,0,131,4677,4891,0,971,751,3681
86,3,5,3500,2,7,3,1882.46,2,3,1,2,1,2,2,0,0,2337,0,18390,0,1159,3528,1411
87,3,7,17500,4,7,5,300.02,1,14,1,1,2,2,2,0,54310,2934,0,154899,0,1874,14275,9210
88,2,4,450000,8,2,4,93.11,2,2,1,3,2,1,2,0,2052864,1983111,0,5500005,0,5904,873732,5078569
89,2,4,300000,8,7,3,260.87,1,11,1,1,2,2,2,886338,886380,445648,2241719,5748170,0,206989,194372,1052110
90,4,9,2000,2,6,14,440.57,2,21,1,1,2,2,2,11364,87417,24915,0,122999,0,6098,2937,14391
91,1,2,17500,4,7,3,299.07,1,10,1,1,2,2,2,65720,80232,40111,0,275710,0,19096,79022,11244
92,3,7,1500,2,6,5,1711.39,2,15,1,1,2,2,2,6886,82034,5368,0,119586,0,1350,10515,6225
93,3,5,60000,6,7,5,1593.18,1,12,1,2,2,2,2,73415,443428,20178,185969,563370,0,10324,81006,46964
94,1,2,3500,2,3,3,1421.18,2,10,1,2,2,2,2,47202,5645,8891,0,65397,0,1773,6939,2776
95,3,7,80000,6,6,3,21.73,1,9,1,1,2,2,2,186721,451311,244899,1444331,1786408,23181,74620,75129,301073
96,3,7,30000,5,8,7,378.36,1,5,1,1,2,2,2,0,43463,13258,0,73046,0,42,393,2285
97,4,8,4000,2,4,14,1.02,0,0,1,2,2,1,1,14135,911,15751,15311,34243,0,1478,1076,3300
98,3,6,10000,3,8,5,830.57,2,7,1,2,1,2,2,9481,76044,3433,127470,340614,0,1648,14936,10371
99,2,4,15000,4,3,3,1379.42,2,11,1,1,2,2,2,0,7281,10840,0,155879,0,128010,164129,32521
100,4,9,120000,7,7,1,1496.57,2,22,1,1,2,2,2,0,112908,39092,1562388,3652134,0,15061,20624,119874
101,4,8,6000,3,5,12,225.18,2,19,1,1,2,2,2,0,13503,14437,0,58986,0,9519,2013,9087
102,3,5,45000,5,5,12,150.01,1,9,1,1,2,2,2,0,172761,77080,0,607808,0,12339,7405,34095
103,2,3,10000,3,2,13,444.28,2,13,1,1,2,2,2,0,29780,24454,0,20591,9431,16136,3681,18036
104,3,7,1001,2,2,3,1865.67,2,5,1,1,2,2,2,0,0,0,0,105025,0,7843,26098,10439
105,3,6,3500,2,4,2,1684.34,1,11,1,2,1,2,2,0,18394,4558,14696,15450,0,240,7700,2649
106,1,2,500001,9,7,3,12.03,1,9,1,1,2,2,2,1746237,2392953,2037529,9483311,21494223,0,1039434,824566,4689634
107,4,9,15000,4,7,8,1345.78,1,9,1,2,2,2,2,11524,122911,28814,73003,114936,0,2256,78754,19967
108,4,9,2000,2,6,6,1348.96,1,20,1,2,2,2,2,0,0,0,12161,23416,0,94638,590,5491
109,1,1,1500000,10,5,2,6.92,2,21,1,1,1,1,2,11742000,4639207,1051496,3960020,41541985,471268,760761,27533665,9818364
110,3,7,1500,2,4,8,2014.77,1,12,1,1,2,2,2,0,16332,3356,0,9225,0,159,5078,1747
111,1,2,8000,3,6,3,208.05,2,16,1,2,1,2,2,92888,50424,0,0,190778,0,6895,27501,11000
112,2,3,1000000,9,9,2,1.15,0,0,1,1,1,2,2,7379573,2604881,3968578,1183520,5413701,204486,155501,6081686,1870586
113,2,3,180000,7,3,2,297.97,1,21,1,1,2,1,2,2867581,4141661,175630,0,4083829,0,71768,1718271,1401757
114,3,7,5000,2,4,5,1678.97,1,16,1,2,2,2,2,0,0,0,0,866,0,84,512,390
115,2,4,45000,5,5,14,440.99,2,12,1,1,2,2,2,128650,125796,52736,0,288588,0,12890,6651,31514
116,2,4,25000,4,2,2,92.63,1,2,1,1,2,2,2,0,81862,1612,0,63459,0,1188,62424,7978
117,4,8,1300000,10,9,3,12.08,2,4,1,1,1,2,2,0,1639955,185207,7488631,9324589,0,9919854,2666155,12218862
118,3,6,30000,5,6,14,388.31,2,11,1,1,2,2,2,0,196476,53353,219978,422537,0,21391,10347,45225
119,2,3,70000,6,6,14,437.24,1,20,1,1,2,1,2,0,71492,352063,0,2239101,0,85411,132281,130605
120,1,2,10001,4,2,12,460.39,2,17,1,1,1,2,2,0,16723,430,0,19681,0,1523,371,1820
121,3,5,45000,5,7,5,217.98,2,9,1,1,2,2,2,0,217330,10227,0,629668,0,11159,77867,59327
122,1,2,1001,2,3,3,1566.43,2,9,1,1,2,2,2,0,17089,0,0,31665,0,1061,4716,419
123,3,5,60000,6,9,5,1.07,0,0,1,2,2,2,2,346,83140,3983,55581,294171,0,1276,10009,7307
124,1,1,140000,7,7,2,21.29,2,14,1,2,2,2,2,1180774,3879502,7759503,2304087,13081882,296802,162089,7865509,2497762
125,4,9,20000,4,6,12,450.2,1,20,1,1,2,2,2,4020,5677,1631,0,15093,0,668,228,1118
126,2,3,12500,4,4,12,475.37,2,20,1,1,2,2,2,0,185089,5049,172647,463889,0,41748,10178,49873
127,3,7,10001,4,4,18,549.98,1,5,1,2,1,1,2,0,264991,30088,257965,104343,0,7291,4903,25011
128,3,7,70000,6,5,3,456.77,2,15,1,1,2,2,2,0,553917,344495,1796925,2762182,0,114076,95830,469125
129,3,7,4000,2,3,3,1426.16,2,21,1,1,2,2,2,0,10447,10952,0,31896,0,1090,4182,1673
130,3,5,80000,6,7,5,22.22,2,9,1,1,1,2,2,81518,187240,5581,362625,1242139,0,15960,120472,75752
131,4,8,15000,4,8,2,148.07,2,8,1,2,2,2,2,39,362600,58743,111369,232779,0,5260,186400,40005
132,2,3,60000,6,2,2,291.24,1,2,1,2,2,2,2,2356204,545399,516165,113923,597254,0,12711,292825,245216
133,1,1,1500,2,7,5,1311.15,2,14,1,2,2,2,2,53369,2875,1276,13744,34765,6,319,2226,1696
134,4,9,60000,6,9,3,288.1,2,6,1,2,2,2,2,167825,56507,0,1115562,950391,0,109097,109823,526903
135,3,5,100000,6,6,1,225.04,1,7,1,2,1,2,2,444343,80975,26887,1055201,1097977,288,6255,8600,49985
136,4,9,3000,2,4,2,1855.16,2,6,1,1,2,2,2,7986,9012,2222,0,9737,0,87,3323,872
137,2,3,5000,2,3,3,1799.29,1,18,1,1,2,2,2,0,16880,26529,0,171152,0,5057,20992,4726
138,3,7,6000,3,6,6,1345.78,1,15,1,1,2,2,2,0,25192,8330,0,45962,0,186391,1162,10816
139,2,4,120000,7,8,18,13.63,1,22,1,2,2,1,2,0,0,12729,0,1556571,1484153,122761,54448,449197
140,1,1,30000,5,4,18,1.06,0,0,1,1,2,1,2,0,0,0,0,4603156,0,293876,287031,918664
141,1,1,2000,2,5,3,1421.18,2,11,1,2,1,2,2,18958,0,1462,7583,13868,0,570,2116,846
142,4,9,3000,2,6,2,1499.83,2,6,1,1,2,2,2,156297,127307,37108,23797,83164,0,1194,44766,7800
143,2,3,6000,3,8,5,523.39,1,2,1,2,2,2,2,0,0,0,0,38300,0,75,683,521
144,3,7,20000,4,7,1,215.34,1,5,1,1,2,2,2,5265,20060,2455,0,103020,0,256,414,2407
145,2,4,600000,9,5,3,12,1,12,1,1,2,2,2,0,984967,969411,0,5263031,0,3937501,848167,4935364
146,1,2,400000,8,7,14,10.15,2,21,1,1,1,2,2,0,0,131415,0,18545380,0,709361,490852,2088772
147,3,5,180000,7,5,11,21.73,1,6,1,2,2,2,2,68654,1686704,92305,1287974,5143459,0,6428851,265979,202650
148,4,9,9000,3,6,2,435.97,1,13,1,2,2,2,2,38326,48831,12279,0,20737,0,355,11361,3909
149,4,8,1500,2,4,3,2115.72,2,20,1,1,2,2,2,0,245,5421,0,6885,0,396,1303,521
150,3,6,90000,6,5,1,10.03,2,7,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
151,3,7,8000,3,3,2,1438.51,1,14,1,1,2,2,2,0,86141,65166,0,529,0,29,272,94
152,3,5,8000,3,6,5,1678.97,1,1,1,2,2,2,2,9379,69922,3085,0,100680,0,2126,17234,11609
153,2,3,7000,3,3,13,412.37,2,13,1,1,2,2,2,0,0,29911,0,36594,0,3681,804,3938
154,2,4,5001,3,3,1,1837.42,2,16,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
155,2,4,4500,2,6,15,1349.78,2,18,1,1,2,2,2,0,131089,25102,0,209208,470368,86881,940,10525
156,3,7,6000,3,8,5,2030.18,1,10,1,1,2,2,2,695,57600,2977,34651,143317,0,1294,10362,5548
157,4,9,500001,9,9,2,1.51,2,13,1,1,1,2,2,4953047,3882949,6753102,0,2784423,0,100560,2693855,1791624
158,4,9,90000,6,6,5,207.73,2,1,1,1,2,2,2,0,1374,141,0,892390,0,13591,116246,64697
159,4,9,6000,3,1,15,1349.78,2,13,1,2,2,2,2,36759,545414,31885,85608,17136,0,8959,4345,48635
160,3,5,30000,5,2,2,419.05,2,13,1,1,2,2,2,0,0,197671,0,191324,0,3614,85918,67062
161,4,8,5000,2,7,5,444.28,2,8,1,1,2,2,2,4478,7519,19446,0,67793,0,834,6168,4088
162,4,9,50001,6,7,2,296.15,1,14,1,2,2,2,2,33409,497740,323316,108341,1158745,0,19081,707266,220057
163,3,7,35000,5,3,15,439.81,2,15,1,1,2,2,2,0,5151889,463156,0,158767,0,112698,1577,11964
164,2,3,20000,4,3,13,419.05,2,13,1,1,2,2,2,0,37561,0,0,13907,0,4711,1077,5276
165,3,5,12500,4,4,5,587.68,2,3,1,2,2,2,2,0,0,0,0,35288,0,213,1489,1135
166,2,3,6000,3,1,15,556.45,2,14,1,1,2,2,2,59611,107643,664,0,14484,38565,6972,4738,34527
167,4,8,50000,5,7,6,446.86,1,9,1,1,2,2,2,0,767201,261698,0,2248496,77870,5536133,62192,330000
168,2,3,35000,5,6,12,450.35,2,10,1,1,2,2,2,0,0,262,21129,89934,0,4688,1666,8162
169,4,8,15000,4,5,12,222.14,2,19,1,1,2,2,2,0,2666,2542,9359,51560,0,1751,977,4789
170,4,9,8000,3,9,5,435.97,2,9,1,2,2,2,2,1675,0,36,24194,36435,0,544,3747,2855
171,2,3,7000,3,6,15,1379.42,2,12,1,1,2,2,2,0,417746,50269,0,180905,0,126898,1860,13773
172,3,5,10000,3,3,18,460.67,2,2,1,2,2,2,2,14960,461226,33714,0,108353,0,7062,3132,25842
173,1,2,4500,2,3,13,1465.67,2,18,1,2,2,2,2,0,0,0,0,137974,0,3882,2151,10540
174,1,1,4000,2,6,5,1445.54,2,14,1,2,2,2,2,0,1139,0,0,8626,0,122,874,666
175,2,4,2000,2,7,5,20.04,2,8,1,1,1,2,2,178193,8272,3671,0,73231,0,615,4652,2903
176,3,6,25000,4,5,3,541.42,1,17,1,1,2,2,2,77873,177187,98215,460970,1010169,0,27096,132830,24183
177,4,8,35000,5,5,5,139.66,1,19,1,1,2,2,2,0,33466,7667,0,834134,0,6031,50778,30285
178,4,9,4000,2,6,13,1525.12,2,6,1,1,2,2,2,0,59009,21002,0,133883,0,2645,1570,7694
179,4,8,20000,4,7,2,581.23,2,20,1,1,2,2,2,26045,227733,52592,0,331883,0,5615,248740,28922
180,3,5,400000,8,9,2,1.07,0,0,1,2,1,2,2,4373397,3983239,4469587,1343813,5560176,0,147376,3776446,3064526
181,1,1,30000,5,4,14,275.92,2,17,1,1,1,2,2,0,0,0,0,261059,0,17364,6954,31540
182,3,5,3500,2,8,5,435.97,1,9,1,2,2,2,2,0,0,0,0,8829,0,168,1529,1165
183,1,2,900000,9,7,2,10.06,2,19,1,1,1,1,2,0,11313246,1044626,0,17118385,0,574157,21430670,7170213
184,2,3,8000,3,6,15,1327.4,2,18,1,1,2,2,2,33173,0,28895,83888,111092,169278,90956,865,9678
185,4,8,8000,3,5,3,1361.3,1,7,1,1,2,2,2,28910,28789,18003,55393,97277,0,4335,17340,4029
186,2,3,2000,2,4,2,1349.78,1,18,1,1,2,2,2,0,19681,6446,25084,48364,0,603,22347,4785
187,3,7,5000,2,7,2,1543.02,1,12,1,2,2,2,2,31010,54429,12252,9370,12980,0,260,8340,2870
188,1,2,1001,2,4,3,1421.18,2,17,1,2,2,2,2,142016,35972,29187,100555,205274,36710,54020,69176,27670
189,4,9,45000,5,4,1,279.33,1,18,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
190,3,6,120000,7,7,5,96.77,1,11,1,1,1,1,2,0,0,0,0,2950181,0,81589,561481,427795
191,3,5,12500,4,6,2,116.99,1,6,1,1,2,2,2,35265,75101,18861,34521,48071,0,669,23587,5225
192,4,9,25000,4,6,3,321.96,2,4,1,1,2,2,2,0,5756,2607,0,24074,0,906,3658,1032
193,1,2,180000,7,4,14,292.29,2,17,1,1,1,2,2,0,1076483,26613,0,2486548,102876,127644,55630,237263
194,3,5,1500,2,6,3,2260.19,1,3,1,2,2,2,2,14913,22249,9896,0,55742,0,2248,9393,1587
195,2,3,100001,7,3,2,218.62,2,20,1,1,2,2,2,0,685499,49986,0,332616,0,5614,127787,121823
196,3,6,6000,3,7,18,468.66,1,7,1,2,2,2,2,33488,112253,9069,0,65362,0,4677,2074,17113
197,3,5,40000,5,5,14,456.77,1,1,1,1,2,2,2,0,521367,138998,0,1740680,0,78665,103476,106712
198,3,5,300000,8,5,5,139.66,1,1,1,2,2,2,2,86162,777815,31909,337989,842757,0,10926,77076,57257
199,4,9,7000,3,6,2,444.28,1,13,1,2,2,2,2,20277,37540,8232,0,23846,0,336,11677,3265
200,2,3,15000,4,3,2,1426.16,2,18,1,2,2,1,2,0,17085,382,32818,40630,0,729,24632,6245
201,3,5,1500,2,7,5,1337.55,2,9,1,2,2,2,2,0,0,0,0,518038,0,4464,27161,20694
202,1,1,4000,2,4,3,1682.09,2,11,1,2,2,2,2,7957,11027,8202,81914,152453,0,2543,13163,5265
203,2,3,900000,9,5,2,218.46,1,14,1,2,2,1,2,0,14525919,25233986,0,43322677,0,537389,21621186,7311592
204,1,2,7000,3,3,3,163.17,1,18,1,1,2,2,2,0,19141,14826,0,145602,0,5347,21995,3644
205,2,3,80000,6,5,3,517.24,2,18,1,1,2,2,2,0,274170,265223,0,3508353,85476,107854,102240,502326
206,1,1,100000,6,6,2,12.03,2,4,1,1,1,2,2,1909778,2332429,1349748,725666,3702911,90739,77024,2790985,854748
207,1,2,30000,5,3,3,287.68,2,18,1,1,2,2,2,0,87941,6465,0,1312405,0,65099,255190,48067
208,1,2,50000,5,4,14,424.75,2,4,1,1,1,2,2,145591,201059,5425,0,449925,0,26968,10934,48849
209,1,2,2500,2,4,15,1421.18,2,2,1,1,2,2,2,27264,243232,34995,0,196833,0,94556,995,11135
210,2,4,400000,8,9,20,10.69,2,8,1,2,2,2,2,0,0,0,0,1672873,0,4660,7544,43852
211,1,2,60000,6,6,14,21.37,2,17,1,1,2,2,2,0,276846,80961,461137,897845,0,30959,42085,60283
212,3,5,50001,6,2,1,279.33,1,1,2,2,2,3,2,              ,              ,              ,              ,              ,              ,              ,              ,
213,2,3,10000,3,4,5,563.63,2,15,1,2,2,2,2,0,0,0,0,215720,0,7790,48994,37329
214,2,3,50000,5,5,12,436.92,2,21,1,1,2,2,2,25046,10651,0,0,62398,0,2853,1202,5702
215,3,5,12500,4,6,3,1914.28,2,3,1,1,2,2,2,0,21439,9047,36291,102405,0,4601,19357,2911
216,3,7,1500,2,5,14,1423.83,2,15,1,1,2,2,2,0,313,8979,0,15062,0,672,333,1414
217,4,9,1500,2,9,3,1440.92,2,11,1,2,2,2,2,0,0,0,0,31370,0,3496,11804,4722
218,4,8,22500,4,3,13,412.43,1,12,1,1,2,2,2,95622,10283,106295,0,270290,0,7482,4413,18432
219,4,9,250000,8,9,20,76.94,1,14,1,2,2,2,2,0,590028,18349,5062150,8588293,0,17617,28529,165824
220,2,4,1500,2,5,12,4283.14,1,2,1,2,2,2,2,0,3888,2136,0,1460,0,458,83,408
221,2,3,140000,7,2,2,319.58,1,21,1,1,2,2,2,0,1289637,62833,0,955722,0,19248,413979,414571
222,3,7,80000,6,6,14,3.94,1,16,1,1,2,2,2,0,688733,431215,0,2053842,0,124406,55684,236171
223,4,9,35000,5,2,13,1.09,0,0,1,1,2,1,2,35527,0,0,0,1570008,20133,24692,16859,79523
224,3,5,120000,7,5,2,10.87,2,12,1,2,2,2,2,740791,900685,1354553,542058,4269124,0,58603,2223224,628922
225,1,2,9000,3,6,3,1896.5,2,4,1,1,2,2,2,9428,18236,10907,0,94482,0,3600,14596,3551
226,4,9,250000,8,4,2,241.5,2,12,1,1,1,2,2,43537,4692843,6077047,755967,12026428,0,67910,2026280,1993666
227,3,5,10000,3,5,18,389,2,3,1,1,2,2,2,15394,296556,24693,0,162988,0,10633,4716,38908
228,3,7,500000,8,9,2,1.04,0,0,1,2,1,2,2,362139,3923379,3013602,717953,3428852,0,116169,4220790,1565795
229,2,3,1500,2,4,2,1854.51,2,15,1,1,2,2,2,18572,6829,2930,0,9346,0,137,4330,1630
230,3,5,450000,8,6,16,21.91,2,13,1,1,1,2,2,942833,11617968,3455130,0,13541613,2267424,1382025,2885328,3781612
231,3,5,160000,7,7,5,153.93,2,4,1,1,2,2,2,0,14280,644,0,118933,0,1720,12181,8965
232,3,7,20000,4,3,2,553.72,1,19,1,1,2,2,2,0,103161,43449,0,58714,0,1053,35922,8641
233,3,7,2000,2,3,3,541.42,1,12,1,1,2,2,2,0,7756,4895,12645,14713,0,777,2625,1050
234,4,9,10000,3,6,18,435.97,2,22,1,1,2,2,2,5945,178907,18482,0,74700,0,4726,2096,17293
