BLDGID6  ,REGION6  ,CENDIV6  ,SQFT6    ,SQFTC6   ,YRCONC6  ,VACP6    ,OFCP6    ,LABP6    ,WRHSNP6  ,FDSLSP6  ,PORDP6   ,HCOUTP6  ,INDUSP6  ,AGRICP6  ,WRHSRP6  ,WORSHP6  ,PUBLCP6  ,EDUCP6   ,FDSVCP6  ,HCINP6   ,NURSEP6  ,LODGEP6  ,RESP6    ,PARKP6   ,STRIPP6  ,MALLP6   ,RETLP6   ,SERVP6   ,OTACTP6  ,PBA6     ,VACBA16  ,VACBA26  ,RWSEAT6  ,PBSEAT6  ,EDSEAT6  ,FDSEAT6  ,HCBED6   ,NRSBED6  ,LODGRM6  ,ELUSED6  ,NGUSED6  ,FKUSED6  ,STUSED6  ,HWUSED6  ,ADJWT6   ,PAIR6    ,STRATUM6
00030,3,6,   900000,09,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16,99,99,99999,99999,99999,99999,  600,99999,99999,1,1,1,1,1,   13.84,2,39
00031,2,4,    10000,03,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2, 6241.10,2,36
00032,1,2,    35000,05,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12,99,99,  450,99999,99999,99999,99999,99999,99999,1,1,2,2,2,   93.89,1,17
00033,1,2,    75000,06,05,999,999,999,999,999,999,999,999,999,999,999,999,100,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999, 1000,99999,99999,99999,99999,1,1,1,2,2,  165.71,2,18
00035,4,8,    15000,04,07,999, 35,999, 45,999,999,999, 20,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  569.41,2,19
00036,2,4,    12500,04,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,   50,99999,99999,99999,99999,99999,1,1,2,2,2,  182.05,1,18
00038,3,5,   300000,08,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,1,1,2,    4.15,2,35
00040,1,2,     8000,03,01,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,01,09,93,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2, 5849.83,2,05
00041,1,1,     9000,03,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,15,99,99,99999,99999,99999,  250,99999,99999,99999,1,1,2,2,2,  432.00,2,15
00045,4,9,  1300000,10,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,1,1,2,    8.15,2,18
00046,3,5,  1600000,10,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,99996,99999,99999,99999,99999,99999,1,2,2,2,1,    8.15,1,22
00047,4,8,    23750,04,08,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,100,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  355.88,2,42
00048,2,3,   500000,08,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16,99,99,99999,99999,99999,99999,  400,99999,99999,1,1,1,2,2,   13.84,2,07
00051,3,7,   225000,08,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999, 3000,99999,99999,99999,99999,99999,1,1,2,1,2,   27.75,1,42
00052,3,6,     2250,02,03,999,999,999,999,999,999,999,999,999,999,999,999,999, 30,999,999,999,999,999,999,999, 70,999,999,25,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2, 6308.52,1,24
00054,3,7,    16250,04,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  114.43,2,27
00055,2,3,     7000,03,04,999,999,999,100,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  546.18,1,26
00056,3,7,    45000,05,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  207.50,1,39
00057,3,6,    20000,04,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12,99,99,  300,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  189.21,1,39
00059,3,7,    13750,04,07,999,999,999, 50,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999, 50,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  474.50,2,03
00060,3,7,    10000,03,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,99996,99999,99999,99999,99999,99999,1,1,2,2,2,  488.82,2,03
00061,4,8,    80000,06,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  109.94,2,19
00062,1,1,   100001,07,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  128.46,2,10
00063,2,4,   650000,09,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,   15.41,1,04
00065,4,8,    47500,05,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  170.59,2,10
00066,3,5,  1600000,10,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  114.43,1,11
00067,1,1,     8000,03,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,  400,99999,99999,99999,99999,99999,1,2,1,2,2,  484.14,1,25
00068,3,6,   500000,08,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12,99,99, 7000,99999,99999,99999,99999,99999,99999,1,1,2,2,2,    6.92,2,24
00069,3,7,    55000,06,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,99998,99999,99999,99999,99999,1,1,2,2,2,  121.19,1,15
00070,3,5,   190000,07,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2,   30.67,2,08
00071,1,1,    70000,06,02, 77,999,999, 23,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,01,09,93,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  125.89,1,20
00072,4,9,   325000,08,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,18,99,99,99999,99999,99999,99999,99999,99999,  600,1,1,1,2,2,   44.23,1,36
00074,1,1,    30000,05,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,  350,99999,99999,99999,99999,1,1,1,2,2,  230.31,1,42
00075,1,2,    90000,06,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,18,99,99,99999,99999,99999,99999,99999,99999,  400,1,2,2,2,1,  121.19,1,20
00076,2,3,    70000,06,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999, 1500,99999,99999,99999,99999,1,2,2,1,1,   29.31,2,26
00077,2,3,     8500,03,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  105.20,2,26
00078,3,5,    20000,04,02,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  159.06,1,40
00081,4,9,  1300000,10,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2,    4.00,1,29
00082,1,2,     5500,03,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,1,2,2,  367.06,1,09
00083,4,8,   550000,09,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16,99,99,99999,99999,99999,99999,  400,99999,99999,1,1,1,2,2,   13.84,2,10
00086,2,3,     1500,02,01,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12,99,99,  150,99999,99999,99999,99999,99999,99999,1,2,1,2,2,  488.82,2,28
00087,1,2,    22500,04,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,  400,99999,99999,99999,99999,1,1,2,2,2,  151.31,1,37
00089,4,9,   275000,08,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999, 1000,99999,99999,99999,99999,99999,1,1,1,2,2,  100.52,1,29
00090,2,3,   225000,08,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,99998,99999,99999,99999,99999,99999,1,2,2,1,2,   27.75,2,34
00091,3,5,    27500,05,08,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  107.01,2,14
00094,3,5,    27500,05,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,   98.67,1,14
00095,2,4,   100000,06,05, 33, 67,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2,   33.31,1,40
00096,3,6,    11250,04,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2, 5849.83,1,24
00097,3,6,    21250,04,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,  200,99999,99999,99999,99999,1,1,2,2,2,   88.46,2,02
00098,4,9,   140000,07,06,  3,999,999,999,999,999, 30,999,999,999,999,999,999,  2, 20,999,999,999, 41,999,999,  4,999,999,91,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,1,1,2,   31.54,2,18
00099,4,8,     5001,03,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  484.14,2,06
00101,2,3,    50000,05,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,  300,99999,99999,99999,99999,1,1,1,2,2,  222.08,2,34
00102,2,3,   190000,07,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999, 1500,99999,99999,99999,99999,1,1,2,2,2,   88.46,1,28
00103,3,6,    22500,04,08,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,25,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,   92.00,1,12
00105,3,5,    30000,05,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  107.01,1,24
00106,3,6,    12500,04,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,01,25,93,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  370.61,1,12
00107,3,6,   120000,07,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16,99,99,99999,99999,99999,99999,  100,99999,99999,1,1,1,1,2,   27.75,2,02
00108,3,7,     3000,02,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,15,99,99,99999,99999,99999,  200,99999,99999,99999,1,1,2,2,2,  405.64,2,15
00110,2,3,    30000,05,09,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  134.32,2,13
00111,1,2,    16250,04,03,999,999,999,999,999,999, 50,999,999,999,999,999, 10,999,999,999, 40,999,999,999,999,999,999,999,08,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2, 3003.97,2,03
00116,4,9,    50001,06,05,999, 30,999, 70,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  218.87,2,36
00117,4,9,    37500,05,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  474.50,2,37
00118,1,2,   500000,08,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2,    8.15,1,05
00119,2,3,   180000,07,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  100.52,1,13
00120,4,9,     2500,02,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,04,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2, 3003.97,1,39
00122,4,9,    10000,03,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  174.25,2,38
00123,3,5,     8000,03,07,999, 40,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999, 60,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2, 5849.83,2,14
00124,3,5,   300000,08,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,18,99,99,99999,99999,99999,99999,99999,99999,  400,1,1,1,2,2,    1.04,2,08
00125,3,5,   140000,07,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16,99,99,99999,99999,99999,99999,  100,99999,99999,1,2,1,2,2,   88.46,1,14
00126,3,5,    65000,06,08,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,  800,99999,99999,99999,99999,1,1,2,2,2,  116.86,1,31
00127,2,3,     2500,02,06,999, 35,999, 65,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  414.10,1,07
00128,3,7,     2500,02,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,15,99,99,99999,99999,99999,   80,99999,99999,99999,1,1,2,2,2, 3003.97,1,03
00132,3,7,     2500,02,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,06,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2, 5849.83,2,15
00135,2,4,   130000,07,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999, 1000,99999,99999,99999,99999,2,1,2,2,2,  428.01,1,31
00138,3,6,     2750,02,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  105.20,1,39
00140,3,6,    90000,06,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  130.39,2,39
00141,3,6,    65000,06,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,   97.15,2,01
00143,2,4,    15000,04,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  546.18,1,36
00146,4,9,    15000,04,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  114.43,1,44
00147,2,3,     5500,03,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  171.40,1,15
00148,3,6,   100001,07,04,999,100,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,1,2,  119.21,1,24
00149,4,9,     6500,03,05,999, 40,999,999,999,999,999,999,999,999,999, 60,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,  250,99999,99999,99999,99999,99999,1,2,2,2,2, 6308.52,2,11
00150,2,3,     7500,03,05,999,999,999,999,999,999,999,999,999,999,999,999,999, 90,999,999,999,999,999,999,999,  7,  3,999,15,99,99,99999,99999,99999,  300,99999,99999,99999,1,1,2,2,2,  414.10,1,13
00151,1,2,    13750,04,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,1,2,  100.52,1,38
00152,3,5,   140000,07,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,   28.87,2,44
00154,3,7,     1750,02,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2, 6308.52,2,04
00155,3,5,     3000,02,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,06,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2, 3003.97,2,24
00156,4,9,     1250,02,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,   30,99999,99999,99999,99999,1,2,2,2,2, 3003.97,1,43
00157,4,9,  1300000,10,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2,    4.89,1,40
00158,2,4,    20000,04,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12,99,99, 1000,99999,99999,99999,99999,99999,99999,1,1,2,2,2,   95.04,2,18
00160,3,5,    90000,06,05,999, 50, 50,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,04,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,1,1,2,   29.31,1,22
00162,3,5,    11250,04,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  370.61,1,31
00163,4,8,    22500,04,08,999, 25,999, 75,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  130.59,2,19
00164,2,4,    32500,05,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,91,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  177.95,1,08
00166,4,8,    25001,05,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12,99,99,  400,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  189.21,2,10
00167,2,3,     5500,03,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,  500,99999,99999,99999,99999,99999,1,1,2,2,2,  487.36,2,09
00168,1,2,    13750,04,04, 70, 30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,01,02,93,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  370.61,2,06
00169,1,2,    50000,05,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,   90,99999,99999,99999,99999,1,2,2,2,2,  168.44,1,06
00170,4,9,    40000,05,08,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  170.59,1,11
00171,4,8,    60000,06,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,2,2,2,  455.88,2,19
00172,4,9,     7000,03,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,  250,99999,99999,99999,99999,1,1,2,2,2,  174.25,1,28
00173,4,9,     8500,03,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12,99,99,  400,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  488.82,1,21
00174,1,2,   600000,09,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16,99,99,99999,99999,99999,99999,  350,99999,99999,1,1,1,1,2,   13.84,2,10
