BLDGID5,REGION5,CENDIV5,MSA5,CLIMATE5,SQFT5,SQFTC5,NFLOOR5,PORBLG5,NUMBLG5,YRCON5,MONCON5,YRCONC5,EXPRED5,AMTDIF5,PBA5,HT15,HT25,COOL5,WATR5,COOK5,MANU5,GENR5,HEATP5,COOLP5,WKHRS5,WKHRSC5,TOTWK5,TOTWKC5,NWKER5,NWKERC5,WLCNS5,RFCNS5,BLDSHP5,BLDLEN5,BLDWID5,ATTWLL5,GLSSPC5,LTOHRP5,ADJWT5,PAIR5,STRATUM5,ELSUPL5,NGSUPL5,FKSUPL5,STSUPL5,HWSUPL5,ELBTU5,NGBTU5,FKBTU5,STBTU5,HWBTU5,MFBTU5
34,2,4,2,2,10000,3,1,2,   ,1948,  ,4,3,         ,3,1,2,1,1,2,2,2,100,14,45,2,14,3,14,3,5,6,3,     ,     , ,1,100,1826.41,2,12,1,1,2,2,2,160378,551544,              ,              ,              ,711922
35,2,3,2,2,600000,9,995, ,1,1989,  ,8, ,         ,2,1,2,1,1,1,2,2,100,100,61,4,900,8,900,8,1,6,3,     ,     , ,4,100,11.47,2,8,1,1,2,2,2,24422236,15428929,              ,              ,              ,39851165
36,4,9,2,4,17500,4,1,2,   ,1982,  ,7,3,         ,5,1,2,1,1,2,2,2,50,75,48,2,11,3,11,3,4,3,2,170,80,0,1,90,138.47,2,22,1,2,2,2,2,357011,              ,              ,              ,              ,357011
37,3,7,2,4,1500,2,1,2,   ,1970,  ,6,3,         ,3,1,2,1,2,2,2,2,100,100,54,3,4,1,4,1,6,17,2,30,50,1,1,100,1795.89,2,15,1,1,2,2,2,13610,181927,              ,              ,              ,195537
38,4,8,2,5,2000,2,1,2,   ,1964,  ,5,2,400,14,1,2,1,2,2,2,2,85,85,47,2,10,3,4,1,5,3,2,70,30,0,1,80,1387.55,2,22,1,2,2,2,2,87258,              ,              ,              ,              ,87258
39,4,9,2,4,30000,5,4, ,1,1948,  ,4,3,         ,11,1,1,1,1,2,1,2,5,1,45,2,13,3,13,3,5,4,3,     ,     , ,1,100,145.62,1,19,1,1,2,2,2,2530592,37559,              ,              ,              ,2568151
40,2,3,1,3,7000,3,1,2,   ,1978,  ,6,3,         ,3,1,2,1,1,2,2,2,100,100,64,4,5,2,4,1,3,3,2,60,35,0,1,100,2300.89,2,21,1,1,2,2,2,179782,162067,              ,              ,              ,341849
41,1,2,2,2,50000,5,3, ,0,1979,  ,6,3,         ,2,1,2,1,1,2,2,2,100,100,45,2,200,6,200,6,5,4,2,250,60,0,2,100,21.29,2,4,1,2,2,2,2,6465481,              ,              ,              ,              ,6465481
42,1,2,1,2,9000,3,2, ,0,1975,  ,6,3,         ,1,1,2,1,1,2,2,2,50,50,60,3,2,1,2,1,1,6,2,40,25,0,3,50,2524.42,2,8,1,1,2,2,2,21902,69149,              ,              ,              ,91051
43,4,9,2,4,50000,5,2, ,0,1930,  ,3,3,         ,14,1,2,2,1,1,2,2,80,   ,55,3,8,2,8,2,5,3,2,275,225,0,1,80,1341.63,1,20,1,1,2,2,2,232224,487952,              ,              ,              ,720176
44,3,6,2,4,20000,4,2, ,0,1986,  ,7,3,         ,18,1,2,1,1,2,2,2,100,100,168,6,15,3,15,3,5,3,2,192,52,0,5,100,962.35,2,7,1,1,2,2,2,2008685,388756,              ,              ,              ,2397441
45,3,7,2,4,3000,2,2, ,1,1937,  ,3,3,         ,12,1,1,1,1,2,2,2,30,30,4,1,1,1,1,1,5,3,2,60,42,0,1,30,1511.3,2,15,1,1,2,2,2,26242,158878,              ,              ,              ,185120
46,3,6,2,4,10001,4,1,2,   ,1972,  ,6,3,         ,5,1,2,1,1,2,2,2,100,45,49,3,12,3,12,3,5,5,2,201,150,0,1,100,1426.16,2,9,1,1,2,2,2,890866,586118,              ,              ,              ,1476984
47,2,3,2,2,5001,3,1,2,   ,1988,  ,8, ,         ,15,1,2,1,1,1,2,2,100,80,119,5,55,5,55,5,5,5,2,75,65,0,3,100,423.48,1,13,1,1,2,2,2,1614780,3924091,              ,              ,              ,5538871
48,3,5,2,4,50001,6,4, ,0,1990,  ,9, ,         ,18,1,2,1,1,2,2,2,100,96,168,6,25,4,18,3,5,6,3,     ,     , ,3,70,1.77,1,13,1,1,2,2,2,2337793,1518495,              ,              ,              ,3856288
49,3,7,2,5,3000,2,1,1,   ,1974,  ,6,3,         ,5,2,2,2,2,2,2,2,   ,   ,168,6,0,0,0,0,3,5,2,72,40,0,1,0,1678.97,2,12,2,2,2,2,2,              ,              ,              ,              ,              ,0
50,3,7,2,5,50000,5,2, ,0,1950,  ,4,3,         ,5,1,2,1,1,2,2,2,7,7,50,3,24,4,24,4,5,6,2,200,160,0,1,35,225.04,2,10,1,1,2,2,2,613802,118849,              ,              ,              ,732651
51,4,9,2,4,20000,4,1,1,   ,1959,  ,4,3,         ,2,1,2,1,1,2,2,2,100,100,43,2,40,4,30,4,5,2,3,     ,     , ,1,100,444.28,1,13,1,1,2,2,2,919292,229467,              ,              ,              ,1148759
52,4,9,2,4,500001,9,8, ,0,1988,  ,8, ,         ,20,1,2,1,1,2,2,2,25,25,168,6,7,2,7,2,5,7,2,400,100,0,1,100,10.69,2,9,1,2,2,2,2,687702,              ,              ,              ,              ,687702
53,3,5,2,3,9000,3,1,2,   ,1967,  ,5,3,         ,3,1,2,2,1,2,1,2,100,   ,55,3,4,1,4,1,5,4,2,100,60,0,3,100,1911.82,2,5,1,1,2,2,2,95748,150748,              ,              ,              ,246496
54,3,7,1,5,4000,2,1,2,   ,1930,  ,3,3,         ,1,1,2,1,2,2,2,2,5,5,49,3,1,1,1,1,6,3,2,100,50,0,1,5,2416.46,1,5,1,1,2,2,2,9247,30356,              ,              ,              ,39603
55,3,7,2,5,1500,2,1,2,   ,1928,  ,3,3,         ,15,1,2,1,1,2,2,2,100,100,98,5,2,1,1,1,6,3,2,75,50,0,1,100,1262.19,2,12,1,1,2,2,2,69011,45585,              ,              ,              ,114596
56,3,7,2,5,8000,3,1,2,   ,1946,  ,4,3,         ,3,1,2,1,1,2,2,2,5,8,51,3,5,2,5,2,3,5,1,90,90,0,1,100,415.45,2,10,1,2,2,2,2,155516,              ,              ,              ,              ,155516
57,1,1,2,2,1500000,10,2, ,0,1979,  ,6,2,215000,5,1,1,1,1,1,2,2,100,50,85,5,400,7,300,7,4,4,1,400,400,0,1,100,21.29,1,6,1,1,1,2,2,47644318,20814097,29409076,              ,              ,97867491
58,3,6,2,4,90000,6,1,2,   ,1992,1,9, ,         ,3,1,2,1,1,2,2,2,100,90,99,5,70,6,40,4,5,7,2,310,240,1,1,100,217.98,2,9,1,1,2,2,2,7728357,612872,              ,              ,              ,8341229
59,2,4,1,1,4500,2,2, ,1,1968,  ,5,3,         ,2,1,2,1,1,2,2,2,100,100,45,2,15,3,10,3,5,4,2,56,40,0,2,100,2145.39,1,22,1,1,2,2,2,126425,35398,              ,              ,              ,161823
60,1,2,2,3,17500,4,1,2,   ,1955,  ,4,3,         ,21,1,2,2,1,2,2,2,10,   ,56,3,30,4,30,4,6,3,2,50,350,0,3,100,1.81,1,10,1,1,2,2,2,577,105472,              ,              ,              ,106049
61,4,9,2,4,250000,8,5, ,1,1991,  ,9, ,         ,20,1,2,1,1,2,2,1,1,1,168,6,13,3,2,1,4,7,2,436,120,0,1,100,21.37,1,22,1,2,1,2,2,1276136,              ,32870,              ,              ,1309006
62,3,5,1,3,30000,5,2, ,0,1989,  ,8,3,         ,3,1,2,1,2,2,2,2,37,37,49,3,5,2,5,2,3,5,2,130,100,0,1,100,2257.27,1,3,1,2,2,2,2,264843,              ,              ,              ,              ,264843
63,4,9,2,4,25000,4,1,2,   ,1972,  ,6,3,         ,5,1,2,1,1,2,2,2,10,10,95,5,25,4,25,4,5,4,3,     ,     , ,1,100,160.98,2,1,1,2,2,2,2,342271,              ,              ,              ,              ,342271
64,4,9,2,4,45000,5,3, ,0,1990,  ,9, ,         ,2,1,2,1,1,2,2,2,90,90,50,3,200,6,200,6,5,4,3,     ,     , ,4,90,435.97,2,11,1,2,2,2,2,2295065,              ,              ,              ,              ,2295065
65,4,8,1,2,5000,2,1,2,   ,1959,  ,4,1,1500,12,1,2,2,1,2,2,2,60,   ,10,1,6,2,6,2,5,4,2,90,50,0,2,100,2115.72,1,20,1,2,2,2,2,81393,              ,              ,              ,              ,81393
66,2,3,2,3,10001,4,3, ,1,1915,  ,2,3,         ,2,1,2,1,1,2,2,2,60,60,45,2,13,3,13,3,5,3,2,110,35,0,1,50,222.14,1,10,1,1,2,2,2,179922,59785,              ,              ,              ,239707
67,4,9,2,4,25000,4,2, ,0,1973,  ,6,3,         ,2,1,2,1,1,2,2,2,95,95,168,6,55,4,35,4,5,4,3,150,90,0,2,95,10.29,1,11,1,1,2,2,2,981475,317344,              ,              ,              ,1298819
68,4,9,2,4,2000,2,2, ,0,1969,  ,5,3,         ,18,2,2,2,1,2,2,2,   ,   ,168,6,2,1,2,1,6,4,2,48,16,0,2,100,1279.77,1,22,1,2,2,2,2,66067,              ,              ,              ,              ,66067
69,3,5,1,3,1500,2,1,2,   ,1960,  ,5,1,840,17,1,2,2,1,2,2,2,100,   ,168,6,3,1,3,1,6,9,3,     ,     , ,1,25,1724.46,1,3,1,2,2,2,2,70946,              ,              ,              ,              ,70946
70,3,5,2,3,140000,7,7, ,1,1962,  ,5,3,         ,2,1,1,1,1,1,1,2,100,75,48,2,225,6,225,6,5,4,3,     ,     , ,3,75,279.33,2,13,1,1,1,2,2,4260216,3200602,879017,              ,              ,8339835
71,4,9,2,4,30000,5,2, ,0,1951,  ,4,3,         ,14,1,2,2,2,2,2,2,100,   ,92,5,65,6,60,5,5,4,2,300,100,0,2,100,440.57,1,16,1,2,2,2,1,414309,              ,              ,              ,2587000,3001309
72,3,5,2,4,2000,2,2, ,1,1962,  ,5,3,         ,2,1,2,1,1,2,2,2,80,80,46,2,18,3,18,3,5,4,2,60,40,0,1,80,2014.77,2,3,1,2,2,2,2,289539,              ,              ,              ,              ,289539
73,3,7,2,4,3000,2,1,2,   ,1985,  ,7,3,         ,15,1,2,1,1,1,2,2,85,100,86,5,17,3,12,3,5,3,2,50,35,0,1,100,1262.19,2,15,1,1,2,2,2,210490,377026,              ,              ,              ,587516
74,3,7,2,5,500000,8,994, ,1,1982,  ,7,3,         ,2,1,1,1,1,2,2,1,98,99,49,3,1100,9,1100,9,4,20,2,200,100,0,3,98,10.87,2,10,1,2,1,2,1,22509305,              ,22745,              ,22103000,44635050
75,2,3,2,2,70000,6,4, ,0,1964,  ,5,3,         ,18,1,1,2,1,1,2,2,100,   ,168,6,0,0,0,0,5,4,3,     ,     , ,1,100,8.18,1,20,1,1,2,1,2,51084,30356,              ,6774000,              ,6855440
76,3,5,1,4,1500,2,1,2,   ,1992,3,9, ,         ,3,1,2,1,2,2,2,1,100,100,45,2,1,1,1,1,3,3,2,60,30,0,1,100,1880.68,2,3,1,2,1,2,2,4671,              ,37585,              ,              ,42256
77,2,3,1,3,100000,6,4, ,1,1955,  ,4,3,         ,14,1,2,1,1,1,2,2,100,4,37,1,65,5,65,5,5,6,3,     ,     , ,3,95,367.48,2,21,1,1,2,2,2,1548905,7437715,              ,              ,              ,8986620
78,1,2,2,3,60000,6,3, ,1,1950,  ,4,3,         ,14,1,1,1,1,1,2,2,100,1,35,1,45,4,45,4,5,4,3,     ,     , ,4,100,435.97,1,16,1,1,1,2,2,635239,194893,2624292,              ,              ,3454424
79,3,6,2,3,250000,8,1,2,   ,1956,  ,4,3,         ,5,1,1,1,1,1,2,1,10,35,102,5,40,4,30,4,4,6,2,280,800,0,1,100,1.83,1,9,1,1,1,2,2,8296660,2837982,114835,              ,              ,11249477
80,3,6,2,4,4500,2,2, ,0,1974,  ,6,3,         ,18,1,2,1,1,2,2,2,97,97,168,6,8,2,5,2,5,4,2,150,25,0,2,100,461.25,1,7,1,1,2,2,2,143171,307156,              ,              ,              ,450327
81,1,1,2,2,50000,5,2, ,0,1973,  ,6,3,         ,5,1,2,1,1,2,1,2,100,13,109,5,40,4,28,4,5,6,3,     ,     , ,1,100,410.38,2,21,1,1,1,2,2,3793735,10914603,1571496,              ,              ,16279834
82,4,9,2,4,25001,5,1,2,   ,1950,  ,4,3,         ,5,1,2,1,1,2,2,2,10,10,50,3,9,2,9,2,5,4,3,     ,     , ,1,100,138.47,2,1,1,1,2,2,2,200417,45791,              ,              ,              ,246208
83,1,2,2,2,300000,8,8, ,2,1973,  ,6,1,9000,16,1,1,1,1,1,2,1,100,86,168,6,1250,9,946,8,5,4,3,     ,     , ,2,87,2.03,2,4,1,1,1,2,2,32785499,81169372,357127,              ,              ,114311998
84,2,3,2,2,700000,9,6, ,1,1966,  ,5,3,         ,20,1,2,1,1,2,2,2,1,1,107,5,4,1,2,1,5,7,2,305,160,0,1,100,5.28,1,18,1,2,2,2,2,2037588,              ,              ,              ,              ,2037588
85,3,5,1,3,4500,2,2, ,1,1949,  ,4,3,         ,12,1,2,2,1,2,2,2,100,   ,6,1,3,1,1,1,5,3,2,90,25,0,1,100,1882.46,1,3,1,2,1,2,2,15102,              ,98193,              ,              ,113295
86,3,5,1,4,3500,2,1,2,   ,1980,  ,7,3,         ,3,1,2,2,2,2,2,2,100,   ,45,2,4,1,4,1,3,5,2,70,50,0,1,100,1882.46,2,3,1,2,1,2,2,26825,              ,26906,              ,              ,53731
87,3,7,2,5,17500,4,1,2,   ,1986,  ,7,3,         ,5,1,2,1,1,2,2,2,100,10,55,3,15,3,15,3,5,3,2,80,150,1,1,100,300.02,1,14,1,1,2,2,2,237502,574902,              ,              ,              ,812404
88,2,4,1,2,450000,8,5, ,1,1914,  ,2,3,         ,4,1,2,1,1,2,2,1,100,95,168,6,500,8,500,8,5,6,3,     ,     , ,2,90,93.11,2,2,1,3,2,1,2,15494185,              ,              ,6612000,              ,22106185
89,2,4,2,1,300000,8,1,2,   ,1986,  ,7,3,         ,3,1,1,1,1,1,2,2,100,99,105,5,400,7,400,7,5,6,3,     ,     , ,2,100,260.87,1,11,1,1,2,2,2,11661725,6719370,              ,              ,              ,18381095
90,4,9,2,5,2000,2,1,2,   ,1978,  ,6,3,         ,14,1,1,1,2,2,2,2,100,100,70,4,9,2,5,2,5,3,2,60,30,0,1,100,440.57,2,21,1,1,2,2,2,270121,9981,              ,              ,              ,280102
91,1,2,2,2,17500,4,2, ,0,1983,  ,7,3,         ,3,1,1,1,1,2,2,2,100,100,47,2,45,4,45,4,5,3,3,     ,     , ,2,98,299.07,1,10,1,1,2,2,2,571135,484247,              ,              ,              ,1055382
92,3,7,2,5,1500,2,1,2,   ,1976,  ,6,3,         ,5,1,2,1,1,2,2,2,100,100,48,2,12,3,12,3,4,5,2,100,50,0,1,100,1711.39,2,15,1,1,2,2,2,231965,70178,              ,              ,              ,302143
93,3,5,2,5,60000,6,2, ,0,1982,  ,7,3,         ,5,1,2,1,1,2,2,2,52,52,46,2,60,5,60,5,5,4,3,212,200,0,2,85,1593.18,1,12,1,2,2,2,2,1424653,              ,              ,              ,              ,1424653
94,1,2,2,3,3500,2,2, ,0,1930,  ,3,3,         ,3,1,2,1,2,2,2,2,75,25,84,4,2,1,2,1,5,3,2,70,35,2,2,100,1421.18,2,10,1,2,2,2,2,138623,              ,              ,              ,              ,138623
95,3,7,2,5,80000,6,2, ,0,1979,  ,6,3,         ,3,1,1,1,1,1,2,2,100,99,59,3,83,5,50,5,4,4,3,     ,     , ,3,100,21.73,1,9,1,1,2,2,2,4587673,1935137,              ,              ,              ,6522810
96,3,7,1,5,30000,5,2, ,0,1989,  ,8, ,         ,7,1,2,1,1,2,2,2,100,1,168,6,10,3,7,2,5,5,3,     ,     , ,2,100,378.36,1,5,1,1,2,2,2,132488,3699152,              ,              ,              ,3831640
97,4,8,2,5,4000,2,1,2,   ,1959,  ,4,3,         ,14,1,1,1,1,2,2,2,100,100,75,4,8,2,6,2,5,3,2,90,40,0,1,85,1.02,0,0,1,2,2,1,1,86204,              ,              ,342000,38000,466204
98,3,6,2,4,10000,3,4, ,1,1988,  ,8, ,         ,5,1,1,1,1,2,2,1,100,60,150,5,3,1,3,1,5,4,2,206,48,0,1,100,830.57,2,7,1,2,1,2,2,583998,              ,7073,              ,              ,591071
99,2,4,2,1,15000,4,1,2,   ,1940,  ,3,3,         ,3,1,2,1,1,1,2,2,100,100,77,4,101,4,22,4,5,4,2,181,75,0,1,100,1379.42,2,11,1,1,2,2,2,498660,224116,              ,              ,              ,722776
100,4,9,2,4,120000,7,2, ,0,1980,  ,7,3,         ,1,1,2,1,1,2,2,2,100,100,66,4,150,6,150,6,10,4,3,     ,     , ,3,40,1496.57,2,22,1,1,2,2,2,5522080,2683220,              ,              ,              ,8205300
101,4,8,2,2,6000,3,3, ,0,1960,  ,5,3,         ,12,1,2,1,1,2,2,2,100,30,9,1,1,1,1,1,5,4,2,150,75,0,2,30,225.18,2,19,1,1,2,2,2,107546,754977,              ,              ,              ,862523
102,3,5,2,4,45000,5,3, ,1,1961,  ,5,3,         ,12,1,2,1,1,2,2,2,100,100,86,5,17,3,17,3,5,4,3,150,100,0,1,100,150.01,1,9,1,1,2,2,2,911489,526333,              ,              ,              ,1437822
103,2,3,2,2,10000,3,2, ,1,1900,  ,2,3,         ,13,1,2,1,1,1,2,2,30,100,12,1,20,4,1,1,5,6,1,80,80,0,1,30,444.28,2,13,1,1,2,2,2,122109,139224,              ,              ,              ,261333
104,3,7,1,5,1001,2,1,2,   ,1912,  ,2,3,         ,3,2,2,2,2,2,2,2,   ,   ,42,2,3,2,3,1,6,5,2,100,60,0,1,100,1865.67,2,5,1,1,2,2,2,149405,25005,              ,              ,              ,174410
105,3,6,1,3,3500,2,2, ,1,1950,  ,4,3,         ,2,1,2,1,1,2,2,2,100,60,45,2,3,1,2,1,5,3,2,50,30,0,1,60,1684.34,1,11,1,2,1,2,2,63688,              ,34673,              ,              ,98361
106,1,2,2,2,500001,9,3, ,1,1982,  ,7,3,         ,3,1,1,1,1,1,2,2,95,97,74,4,1400,9,1000,9,5,6,2,560,400,0,1,97,12.03,1,9,1,1,2,2,2,43707887,3963914,              ,              ,              ,47671801
107,4,9,2,4,15000,4,4, ,1,1984,  ,7,3,         ,8,1,2,1,1,2,2,2,75,100,52,3,25,4,25,4,6,4,2,50,30,0,3,100,1345.78,1,9,1,2,2,2,2,452165,              ,              ,              ,              ,452165
108,4,9,2,4,2000,2,1,2,   ,1978,  ,6,3,         ,6,2,2,2,1,2,2,2,   ,   ,81,4,10,3,10,3,5,1,2,90,30,0,1,100,1348.96,1,20,1,2,2,2,2,136296,              ,              ,              ,              ,136296
109,1,1,2,2,1500000,10,995, ,1,1965,  ,5,3,         ,2,1,1,1,1,1,2,1,100,100,50,3,4000,10,4000,10,2,4,2,175,150,0,5,90,6.92,2,21,1,1,1,1,2,101518765,5284018,314272,101748000,              ,208865055
110,3,7,2,5,1500,2,1,2,   ,1955,  ,4,3,         ,8,1,2,1,1,2,2,2,90,90,43,2,1,1,1,1,3,4,2,60,40,0,1,90,2014.77,1,12,1,1,2,2,2,35898,10393,              ,              ,              ,46291
