BLDGID4,REGION4,CENDIV4,MSA4,CLIMATE4,SQFT4,SQFTC4,PBA4,HT14,HT24,COOL4,WATR4,COOK4,MANU4,GENR4,HEATP4,COOLP4,WKHRS4,WKHRSC4,NWKER4,NWKERC4,YRCON4,YRCONC4,NFLOOR4,LTOHRP4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,ELBTU4,NGBTU4,FKBTU4,STBTU4,HWBTU4,MFBTU4
34,2,4,1,2,1001,2,2,1,2,1,1,2,2,2,100,100,50,3,1,1,1960,5,1,100,2082.26,15,2,1,2,2,2,2,3078,0,0,0,0,3078
35,2,3,2,2,35000,5,3,1,2,1,1,1,2,2,100,100,119,5,65,5,1962,5,1,100,21.19,6,1,1,1,2,2,2,5205425,749256,0,0,0,5954681
36,3,5,2,5,40000,5,12,2,2,1,1,1,2,2,0,20,168,7,25,4,1976,6,2,100,235.53,6,2,1,2,2,2,2,3630256,0,0,0,0,3630256
37,2,3,2,2,60000,6,12,1,2,1,1,2,2,2,20,3,50,3,5,2,1900,2,5,20,610.82,14,2,1,1,2,2,2,722723,2490189,0,0,0,3212912
38,3,7,2,5,6000,3,12,2,2,2,2,2,2,2,0,0,45,2,3,1,1977,6,1,0,1595.2,10,2,2,2,2,2,2,0,0,0,0,0,0
39,2,4,2,3,1500,2,2,1,2,1,1,2,2,2,100,100,49,3,3,1,1955,4,1,80,1636.1,17,1,1,1,2,2,2,41433,84687,0,0,0,126120
40,1,2,2,3,12500,4,12,1,2,1,1,2,1,2,100,15,47,2,25,4,1973,6,1,95,597.34,5,1,1,2,1,2,2,403489,0,416070,0,0,819559
41,3,7,1,5,10000,3,3,1,2,1,1,2,2,2,75,75,54,3,2,1,1953,4,1,75,1932.25,20,2,1,2,2,2,2,586766,0,0,0,0,586766
42,3,5,2,5,6000,3,13,1,2,1,2,2,2,2,100,100,41,2,14,3,1966,5,1,100,320.86,4,2,1,2,1,2,2,178608,0,644983,0,0,823591
43,4,9,2,4,3500,2,20,1,2,1,1,2,1,2,100,100,52,3,13,3,1962,5,2,90,657.7,5,2,1,1,2,2,2,91254,82892,0,0,0,174146
44,3,5,2,5,20000,4,17,2,2,1,1,1,1,2,0,100,168,7,2,1,1959,4,2,45,1472.34,8,2,1,1,2,2,2,423157,51005,0,0,0,474162
45,4,8,2,5,3500,2,12,1,2,1,1,2,2,2,25,100,55,3,1,1,1975,6,1,80,1654.83,3,2,1,2,2,2,2,62013,0,0,0,0,62013
46,2,3,1,1,10000,3,4,1,2,2,1,2,2,2,100,0,16,1,4,1,1890,1,1,75,412.5,3,1,1,1,2,2,2,66218,1013994,0,0,0,1080212
47,1,2,2,2,8000,3,4,1,2,2,1,1,2,2,100,0,168,7,6,2,1958,4,2,33,490.89,1,1,1,2,1,2,2,75839,0,755999,0,0,831838
48,2,3,2,2,10000,3,3,1,2,1,1,2,2,2,100,100,49,3,4,1,1920,3,1,100,1904.68,7,1,1,1,2,2,2,226295,781622,0,0,0,1007917
49,2,3,2,2,35000,5,12,1,1,1,1,2,2,2,100,10,54,3,12,3,1977,6,1,100,263.93,5,1,1,1,2,2,2,372644,1924496,0,0,0,2297140
50,2,3,2,2,120000,7,4,1,2,1,1,1,2,2,100,50,82,4,50,5,1980,7,3,100,5.03,8,2,1,1,2,2,2,7078809,6784864,0,0,0,13863673
51,1,2,2,3,2000,2,3,1,2,1,1,2,2,2,50,40,30,1,1,1,1962,5,2,50,2039.07,14,2,1,1,2,2,2,18855,108841,0,0,0,127696
52,1,2,2,2,7000,3,12,1,2,2,1,2,2,2,8,0,56,3,1,1,1964,5,1,10,469.94,1,1,1,2,2,2,2,26602,0,0,0,0,26602
53,3,7,1,5,2000,2,14,1,2,1,1,1,2,2,100,100,105,5,10,3,1970,6,1,100,1932.25,9,2,1,1,2,2,2,380674,220914,0,0,0,601588
54,3,7,2,5,25000,4,12,1,2,1,1,2,2,2,20,20,50,3,10,3,1978,6,2,100,498.98,8,2,1,1,2,2,2,415525,508560,0,0,0,924085
55,3,7,2,5,1500,2,2,1,2,1,1,2,1,2,50,50,64,4,11,3,1984,8,1,100,1597.65,10,1,1,2,2,2,2,94763,0,0,0,0,94763
56,3,7,2,5,2000,2,12,1,2,2,1,2,2,2,100,0,40,2,0,0,1958,4,2,100,1472.34,13,2,1,1,2,2,2,19124,1171910,0,0,0,1191034
57,4,9,2,4,1500,2,2,1,2,1,2,2,2,2,100,100,48,2,1,1,1979,6,1,100,502.74,15,1,1,1,2,2,2,57604,65202,0,0,0,122806
58,4,9,2,4,12500,4,12,2,2,1,2,2,2,2,0,50,45,2,1,1,1971,6,1,100,268.52,7,1,1,2,2,2,2,211865,0,0,0,0,211865
59,3,5,2,5,3000,2,7,1,2,1,1,2,2,2,100,100,85,5,3,1,1928,3,2,90,1472.34,4,2,1,2,2,2,2,144468,0,0,0,0,144468
60,3,5,2,4,250000,8,13,1,2,1,1,1,2,2,100,100,101,5,40,4,1979,6,1,100,20.14,4,1,1,2,2,2,2,26929595,0,0,0,0,26929595
61,2,4,2,3,5000,2,3,1,2,1,1,2,2,2,100,33,76,4,9,2,1974,6,2,100,610.82,17,1,1,1,2,2,2,405280,461685,0,0,0,866965
62,3,5,1,3,3000,2,4,1,2,1,2,2,2,2,100,100,18,1,6,2,1986,8,2,75,2124.65,6,1,1,2,2,2,2,3474,0,0,0,0,3474
63,1,2,2,3,25000,4,13,1,2,1,1,1,2,2,100,20,40,2,21,4,1912,2,3,50,1377.41,11,2,1,1,2,2,2,422994,1133270,0,0,0,1556264
64,3,6,1,4,140000,7,1,2,2,2,2,2,2,2,0,0,0,,0,,1957,4,1,997,98.36,11,2,2,2,2,2,2,0,0,0,0,0,0
65,4,8,2,5,17500,4,2,1,2,1,1,2,2,2,100,100,50,3,24,4,1981,7,2,100,1509.24,9,1,1,2,2,2,2,1073943,0,0,0,0,1073943
66,3,6,1,4,200000,7,13,1,2,1,1,1,2,2,100,100,45,2,140,6,1972,6,3,100,16.54,11,2,1,1,2,2,2,7885879,11732967,0,0,0,19618846
67,2,4,2,1,60000,6,13,1,2,2,1,1,2,2,100,0,80,4,75,5,1921,3,2,95,324.11,20,2,1,1,2,2,2,362403,3912616,0,0,0,4275019
68,2,3,2,2,1000000,9,2,1,2,1,1,1,2,2,90,90,67,4,3500,10,1983,7,995,90,10.74,11,1,1,1,2,2,2,46248845,691842,0,0,0,46940687
69,3,5,1,3,5000,2,4,1,2,2,2,2,2,2,25,0,45,2,5,2,1960,5,3,25,2170.72,6,1,1,2,2,2,2,116759,0,0,0,0,116759
70,1,1,2,2,6000,3,3,1,2,2,1,2,2,2,100,0,64,4,6,2,1959,4,1,100,1468.67,7,1,1,1,2,2,2,97470,1483021,0,0,0,1580491
71,3,7,2,5,1500,2,1,2,2,2,2,2,2,2,0,0,0,,0,,1984,8,1,997,1472.34,10,2,2,2,2,2,2,0,0,0,0,0,0
72,2,3,2,2,15000,4,12,1,2,2,1,2,2,2,50,0,0,0,2,1,1953,4,2,20,1508.84,5,2,1,1,2,2,2,11996,34372,0,0,0,46368
73,3,6,2,5,2000,2,3,1,2,1,2,2,2,2,100,100,60,3,2,1,1970,6,1,100,1472.34,3,2,1,2,2,2,2,120219,0,0,0,0,120219
74,2,4,1,1,60000,6,4,1,2,2,1,1,2,2,100,0,45,2,4,1,1916,2,3,20,584.61,12,1,1,1,2,2,2,155788,1995383,0,0,0,2151171
75,3,5,2,4,6000,3,2,1,1,1,1,2,2,2,100,100,43,2,14,3,1986,8,1,95,1616.48,16,1,1,1,2,2,2,305448,134224,0,0,0,439672
76,1,1,1,1,10000,3,4,1,2,2,1,1,2,2,25,0,21,1,3,1,1906,2,3,10,654.5,12,1,1,2,1,2,2,31765,0,399835,0,0,431600
77,2,3,2,2,600000,9,2,1,2,1,1,2,2,2,100,100,60,3,700,8,1988,9,995,65,10.09,5,1,1,2,2,1,2,19884505,0,0,7604300,0,27488805
78,1,2,2,2,6000,3,12,2,2,2,2,2,2,2,0,0,168,7,0,0,1942,3,1,100,157.78,20,2,1,2,2,2,2,37350,0,0,0,0,37350
79,1,2,2,3,12500,4,12,2,2,2,2,2,2,2,0,0,25,1,0,0,1930,3,1,100,459.35,14,1,1,2,2,2,2,16305,0,0,0,0,16305
80,2,3,2,2,300000,8,13,1,2,1,1,1,2,2,90,60,50,3,125,6,1969,5,3,75,20.14,5,2,1,1,2,2,2,7790317,16434362,0,0,0,24224679
81,3,6,2,4,8000,3,14,1,2,1,1,1,2,2,100,100,168,7,1,1,1983,7,1,100,2944.67,10,2,1,2,2,1,2,2262002,0,0,78810,0,2340812
82,3,5,2,5,300000,8,3,1,1,1,1,2,2,2,1,1,45,2,12,3,1967,5,1,20,22.3,8,1,1,1,2,2,2,1352561,79941,0,0,0,1432502
83,4,8,2,5,700000,9,2,1,2,1,1,1,1,2,90,90,168,7,1800,9,1978,6,2,100,20.41,19,2,1,1,2,2,2,193189831,3937942,0,0,0,197127773
84,3,5,2,4,1300000,10,3,1,2,1,1,1,2,1,70,100,75,4,1500,9,1984,8,3,100,5.74,7,2,1,1,1,2,2,78518606,8451423,336642,0,0,87306671
85,4,9,2,4,400000,8,2,1,1,1,1,2,2,2,81,81,55,3,580,8,1987,9,994,54,20.41,2,2,1,2,1,2,2,9099375,0,61440,0,0,9160815
86,3,7,2,5,20000,4,2,1,2,1,1,1,2,2,100,100,70,4,60,5,1978,6,1,100,470.24,13,1,1,2,2,2,2,2294269,0,0,0,0,2294269
87,2,3,2,2,40000,5,12,1,2,1,1,2,2,2,100,20,49,3,8,2,1969,5,2,90,306.28,17,1,1,1,2,2,2,128967,2057370,0,0,0,2186337
88,1,2,2,3,120000,7,12,1,1,1,1,2,1,2,100,15,48,2,19,3,1979,6,1,85,157.78,15,1,1,2,1,2,2,325216,0,1481684,0,0,1806900
89,2,3,2,2,350000,8,2,1,2,1,1,1,2,2,80,40,61,4,500,8,1930,3,1,70,21.48,19,2,1,1,2,1,2,16876893,3464777,0,4205000,0,24546670
90,1,2,2,3,8000,3,12,1,2,2,2,2,2,2,100,0,72,4,15,3,1940,3,1,100,490.89,10,2,1,2,2,2,2,890109,0,0,0,0,890109
91,3,5,2,4,700000,9,3,1,2,1,1,1,2,2,100,100,71,4,24,4,1979,6,1,100,22.79,16,2,1,2,2,2,2,32684758,0,0,0,0,32684758
92,4,9,2,5,25000,4,17,1,2,1,1,1,2,2,90,90,168,7,4,1,1960,5,2,100,497.58,12,2,1,1,2,2,2,1066692,1076269,0,0,0,2142961
93,4,9,2,5,60000,6,17,1,1,1,1,1,2,2,100,100,168,7,12,3,1950,4,3,65,1.1,,0,1,1,1,1,1,778120,17796904,554437,23267628,0,42397089
94,3,5,2,5,25000,4,1,1,2,1,1,2,1,2,16,16,45,2,15,3,1966,5,1,100,259.98,8,1,1,2,2,2,2,93179,0,0,0,0,93179
95,1,2,2,3,40000,5,12,1,2,1,1,2,2,2,50,50,132,5,31,4,1972,6,1,50,157.78,14,1,1,1,2,2,2,1914424,1942627,0,0,0,3857051
96,1,1,2,2,60000,6,13,1,2,1,1,2,2,2,100,1,40,2,30,4,1989,9,1,100,331.09,9,1,1,2,2,2,2,1066572,0,0,0,0,1066572
97,1,1,1,1,1500,2,3,1,2,1,1,2,2,2,100,60,68,4,3,1,1969,5,2,60,2718.69,12,1,1,2,1,2,2,46895,0,460552,0,0,507447
98,4,9,2,4,50001,6,13,1,1,1,1,2,2,2,100,100,52,3,100,6,1985,8,2,90,336.81,13,1,1,1,2,2,2,2967190,1430331,0,0,0,4397521
99,2,3,2,2,1001,2,2,1,2,1,1,2,2,2,100,100,50,3,2,1,1978,6,1,100,1636.1,6,1,1,1,2,2,2,18462,160192,0,0,0,178654
100,2,3,2,2,25000,4,4,1,2,1,1,1,2,2,100,75,117,5,1,1,1947,4,2,50,487.36,15,1,1,1,2,2,2,220583,702723,0,0,0,923306
101,4,9,2,5,4500,2,13,1,2,1,2,2,2,2,100,100,43,2,5,2,1985,8,1,100,307.35,18,2,1,1,2,2,2,163139,222736,0,0,0,385875
102,4,8,2,2,250000,8,2,1,2,1,1,1,2,2,75,75,62,4,100,6,1987,9,995,75,10.27,18,2,1,2,2,2,2,41002863,0,0,0,0,41002863
103,3,7,1,5,40000,5,12,1,2,1,1,2,2,2,10,9,73,4,7,2,1984,8,2,33,652.28,20,2,1,1,2,2,2,288497,84366,0,0,0,372863
104,2,3,2,1,40000,5,13,1,2,2,1,1,2,2,85,0,48,2,25,4,1987,9,2,85,509.17,17,2,1,2,1,2,2,631030,0,2011005,0,0,2642035
105,3,5,2,4,6000,3,14,1,2,1,1,2,2,2,50,50,98,5,6,2,1983,7,3,50,1595.2,16,2,1,2,2,2,2,184195,0,0,0,0,184195
106,3,6,1,3,10000,3,4,1,2,1,1,1,2,2,100,50,168,7,4,1,1830,1,6,50,1836.5,18,1,1,2,2,2,2,260124,0,0,0,0,260124
107,4,8,2,5,22500,4,12,1,2,1,1,2,2,2,25,25,50,3,18,3,1986,8,2,100,268.52,3,2,1,2,2,2,2,612560,0,0,0,0,612560
108,1,2,2,2,45000,5,13,1,2,1,1,1,2,2,100,5,42,2,45,4,1961,5,3,60,23.73,1,1,1,1,1,2,2,783932,146542,4139896,0,0,5070370
109,1,1,2,1,4000,2,4,1,2,2,2,2,2,2,100,0,66,4,3,1,1966,5,1,100,317.29,12,2,1,2,2,2,1,68921,0,0,0,326485,395406
110,1,1,2,2,15000,4,3,1,2,1,1,2,2,2,100,10,168,7,110,6,1974,6,2,100,10.28,17,1,1,1,2,2,2,6507265,9556383,0,0,0,16063648
111,4,9,2,4,35000,5,2,1,2,1,1,2,2,2,100,100,43,2,149,6,1982,7,2,100,323.85,15,1,1,1,2,2,2,1607724,579665,0,0,0,2187389
112,3,6,1,3,15000,4,20,1,2,1,1,2,2,2,33,33,84,4,4,1,1981,7,2,50,652.28,18,1,1,2,2,2,2,478226,0,0,0,0,478226
113,3,5,2,4,450000,8,12,1,2,1,1,2,2,1,100,66,88,5,1000,9,1988,9,2,100,10.09,4,1,1,1,2,2,2,22318198,9859465,0,0,0,32177663
114,3,7,2,5,90000,6,13,1,2,1,1,2,2,2,100,100,92,5,4,1,1976,6,2,100,306.28,8,1,1,2,2,1,2,9526529,0,0,6285704,0,15812233
115,3,6,2,4,4500,2,3,1,1,1,1,2,2,2,100,50,54,3,5,2,1961,5,1,30,1597.65,1,2,1,1,2,2,2,50606,173074,0,0,0,223680
116,2,3,2,1,30000,5,13,1,2,1,1,1,2,2,100,100,50,3,23,4,1976,6,1,100,324.11,17,1,1,1,2,2,2,887701,1570518,0,0,0,2458219
117,3,5,2,3,35000,5,13,1,2,1,1,1,2,2,100,3,43,2,30,4,1918,2,3,100,320.86,4,2,1,1,2,2,2,491556,2466703,0,0,0,2958259
118,3,7,2,5,35000,5,3,1,2,2,2,2,2,2,10,0,57,3,3,1,1983,7,1,90,235.53,11,1,1,2,2,2,2,67388,0,0,0,0,67388
119,1,2,2,3,3000,2,5,1,2,1,1,2,2,2,100,100,49,3,3,1,1970,6,1,100,1468.67,5,2,1,2,2,2,2,532596,0,0,0,0,532596
120,1,1,2,2,140000,7,12,1,2,1,1,2,2,2,100,5,50,3,100,6,1910,2,4,90,157.78,3,2,1,1,1,2,2,412429,4327,5131807,0,0,5548563
121,1,2,2,2,1500000,10,3,1,2,1,1,1,2,2,30,30,83,4,180,6,1968,5,5,100,20.83,1,1,1,1,2,1,2,34793568,3648488,0,12875157,0,51317213
122,2,4,1,1,15000,4,12,2,2,2,2,2,2,2,0,0,45,2,0,0,1967,5,1,100,1991.37,12,2,1,2,2,2,2,20773,0,0,0,0,20773
123,1,1,2,1,30000,5,17,1,2,1,1,1,2,2,100,95,168,7,25,4,1986,8,2,100,319.01,12,2,1,2,2,2,2,2571842,0,0,0,0,2571842
124,3,6,2,5,12500,4,2,1,2,1,1,2,2,2,100,100,45,2,60,5,1975,6,1,90,470.24,3,2,1,2,2,2,2,1074636,0,0,0,0,1074636
125,3,7,2,5,10000,3,10,1,2,1,1,2,2,2,95,95,168,7,22,4,1989,9,1,100,1472.34,13,1,1,1,2,1,2,1825270,103427,0,1991842,0,3920539
126,1,1,2,2,3000,2,3,1,1,1,1,2,2,2,100,33,45,2,3,1,1900,2,1,100,2039.07,2,1,1,1,1,2,2,37117,61956,20804,0,0,119877
127,3,5,2,5,600000,9,15,2,2,1,1,1,2,1,0,95,168,7,1200,9,1974,6,13,100,10.04,14,2,1,1,1,2,2,28952307,22570287,265667,0,0,51788261
128,3,6,2,4,600000,9,15,1,1,1,1,1,2,2,100,97,168,7,2000,9,1981,7,8,100,10.04,10,2,1,1,1,1,2,75525797,66727391,2041517,31343627,0,175638332
129,3,6,1,3,2000,2,3,1,2,2,2,2,2,2,100,0,36,1,1,1,1964,5,1,100,2650.99,11,1,1,2,2,2,2,5933,0,0,0,0,5933
130,4,9,2,4,10000,3,6,1,2,1,1,1,2,2,100,100,168,7,7,2,1978,6,1,50,1654.84,13,1,1,1,2,2,2,174242,123377,0,0,0,297619
131,2,4,1,3,3000,2,4,1,1,1,2,2,2,2,100,100,12,1,1,1,1927,3,1,100,1991.37,18,1,1,2,2,2,2,27286,0,0,0,0,27286
132,3,6,2,4,180000,7,12,1,1,1,1,2,2,2,100,15,45,2,30,4,1976,6,1,40,6.23,10,2,1,1,2,2,2,7771025,707393,0,0,0,8478418
133,4,8,2,5,8000,3,12,1,2,1,1,2,2,2,20,20,61,4,10,3,1986,8,1,100,502.74,3,2,1,2,2,2,2,380929,0,0,0,0,380929
134,3,7,1,5,4000,2,4,1,2,1,1,1,2,2,100,100,38,1,20,4,1975,6,1,100,652.28,9,2,1,1,2,2,2,109596,47578,0,0,0,157174
135,4,9,2,5,35000,5,13,1,2,1,1,2,2,2,100,100,75,4,50,5,1966,5,3,50,20,17,2,1,1,2,2,1,1560093,101593,0,0,2676707,4338393
136,2,3,2,2,80000,6,3,1,2,1,1,2,2,2,100,100,82,4,25,4,1989,9,1,100,248.34,19,2,1,1,2,2,2,1285481,1435804,0,0,0,2721285
137,4,9,2,3,7000,3,3,1,2,1,1,2,2,2,100,25,60,3,16,3,1942,3,2,100,1735.25,7,1,1,1,2,2,2,353197,216184,0,0,0,569381
138,2,4,2,3,70000,6,12,1,2,2,1,2,2,2,25,0,56,3,2,1,1920,3,4,6,513.05,13,1,1,2,2,2,2,26674,0,0,0,0,26674
139,3,7,1,5,6000,3,3,1,2,1,1,1,2,2,80,80,45,2,4,1,1910,2,2,80,652.28,20,2,1,3,2,2,2,51651,0,0,0,0,51651
140,2,3,2,2,30000,5,4,1,2,1,1,2,2,2,75,1,33,1,3,1,1956,4,2,75,263.93,7,2,1,1,2,2,2,68652,1405207,0,0,0,1473859
141,3,6,2,4,22500,4,10,1,1,1,1,2,1,2,75,30,66,4,6,2,1983,7,2,90,3185.53,10,2,1,2,2,1,2,6204349,0,0,78810,0,6283159
142,2,3,1,1,3000,2,3,1,2,2,2,2,2,2,50,0,43,2,1,1,1958,4,2,50,682.05,6,1,1,1,2,2,2,7769,76297,0,0,0,84066
143,1,2,2,2,2500,2,2,1,2,1,1,2,2,2,100,100,45,2,12,3,1955,4,2,100,157.78,1,1,1,2,2,1,2,835906,0,0,276630,0,1112536
144,1,2,2,2,2500,2,13,1,2,2,1,2,2,2,90,0,106,5,6,2,1918,2,3,90,1468.67,1,1,1,2,1,3,2,36125,0,128407,0,0,164532
145,3,7,2,5,120000,7,17,1,2,1,1,2,2,2,100,100,168,7,5,2,1940,3,2,80,496.13,4,1,1,1,2,2,2,1088319,1176180,0,0,0,2264499
146,1,2,2,3,22500,4,2,1,2,1,1,2,2,2,100,100,45,2,120,6,1972,6,3,80,20.83,10,1,1,1,2,2,2,1098170,832680,0,0,0,1930850
147,4,9,2,4,80000,6,2,1,2,1,1,2,2,2,100,100,66,4,1200,9,1965,5,2,100,10.27,1,1,1,1,2,2,2,12996718,2506085,0,0,0,15502803
148,4,9,2,4,3500,2,2,1,2,1,1,2,2,2,100,100,83,4,10,3,1983,7,1,100,492.68,20,2,1,1,2,2,2,321754,18279,0,0,0,340033
149,2,3,1,3,10000,3,12,1,2,2,2,2,2,2,50,0,30,1,1,1,1946,4,1,100,603.64,8,2,1,2,2,2,2,7486,0,0,0,0,7486
150,3,5,2,5,800000,9,17,1,2,1,1,2,2,2,80,80,168,7,30,4,1986,8,2,80,156.48,4,1,1,2,2,2,2,21314439,0,0,0,0,21314439
151,2,3,1,3,1001,2,12,2,2,2,2,2,2,2,0,0,0,0,0,0,1960,5,1,0,1991.37,8,2,2,2,2,2,2,0,0,0,0,0,0
152,1,1,2,2,1000000,9,2,1,1,1,1,1,2,2,100,100,59,3,550,8,1980,7,994,100,20.83,13,1,1,1,1,2,2,27103555,486076,7805612,0,0,35395243
153,3,7,2,5,1500,2,1,2,2,2,2,2,2,2,0,0,0,,0,,1985,8,1,997,1597.65,10,1,2,2,2,2,2,0,0,0,0,0,0
154,4,9,2,3,22500,4,4,1,2,2,1,1,2,2,100,0,59,3,6,2,1902,2,3,70,502.74,10,2,1,1,2,1,2,363172,63723,0,1144325,0,1571220
155,2,3,2,2,9000,3,17,1,2,1,1,2,2,2,100,100,168,7,3,1,1920,3,1,60,509.17,19,2,1,1,2,2,2,241546,124303,0,0,0,365849
156,2,3,2,2,100000,6,14,1,1,1,1,1,2,2,50,55,134,5,12,3,1969,5,3,5,487.36,5,2,1,1,2,2,2,521270,2818352,0,0,0,3339622
