PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
00015,3,6,  13750.00,04,06,05,1,1,2,1,2,2,4,  1,1988,  ,2, ,    1,02,1, ,12,2,2,1,1, 95,6,    45,05,1,2,1,1,2,2,2,100, ,100,100,  493.51,2,39
00016,3,5,  50001.00,06,02,14,1,1,2,2,2,2,5,  2,1921,  ,1,3,    1,02,1, ,10,2,2,1,2, 52,4,    48,05,1,2,1,1,1,2,2,100, ,100, 80,  118.21,2,40
00017,2,4,   6500.00,03,03,05,1,1,2,2,2,2,1,  1,1950,  ,2, ,    1,02,1, ,12,2,2,1,1, 50,4,     9,03,1,2,1,2,2,1,2,100, , 20,100,  475.78,1,18
00018,2,3,  18750.00,04,06,17,1,1,2,2,2,2,2,  2,1986,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    55,06,1,2,1,1,1,2,1,100, ,100,100,  497.28,1,14
00019,3,7,  75000.00,06,04,14,1,1,2,2,2,2,5,  2,1964,  ,1,3,    1,02,1, ,12,1,2,1,1, 42,3,    32,05,1,1,1,2,1,2,2,100, ,100,100,  118.21,1,33
00020,2,4,   5000.00,02,06,05,1,2,2,2,2,2,1,  1,1985,  ,1,3,    1,02,1, ,12,2,2,1,2, 40,3,     4,02,1,2,1,1,2,2,2, 50, , 10, 50, 6693.58,1,31
00021,3,5,   1250.00,02,03,25,1,2,2,1,2,2,3,  1,1950,  ,2, ,    1,02,1, ,12,2,2,1,1, 45,3,     1,02,1,2,1,2,2,2,2,100, ,100,100, 5764.94,1,43
00022,2,4,   5500.00,03,01,01,2,2,2,2,2,2,3,  2,1900,  ,2, ,    0,01, , , 0,1, , , ,  0,1,     0,01,2,2,2,2,2,2,2,   , ,   ,   , 5685.60,2,23
00023,2,4,  17500.00,04,04,25,1,1,2,2,2,2,2,  1,1969,  ,2, ,    1,02,1, ,12,2,2,1,1, 48,3,     9,03,1,1,1,1,2,2,2, 26, , 26,100,  478.12,1,13
00024,3,5,  40000.00,05,07,25,1,2,2,2,2,2,5,  2,1994,  ,2, ,    1,02,1, ,12,2,2,1,1, 60,4,    15,04,1,2,1,1,2,2,2,100, ,100,100,  662.11,1,38
00025,3,7,   2500.00,02,05,13,1,1,2,2,2,2,5,  1,1979,  ,2, ,    1,02,2,2,12,2,2,1,1, 70,5,     1,02,1,1,1,2,2,2,2,100, ,100, 90, 5984.84,2,33
00026,3,5,  47500.00,05,06,91,1,2,2,2,2,2,3,  2,1986,  ,2, ,   18,05,2,2,12,2,2,1,2, 50,4,   120,07,1,2,1,1,2,2,2, 80, ,100,100,  186.76,2,26
00027,3,7, 120000.00,07,02,05,1,2,2,2,2,2,5,  2,1945,  ,2, ,    1,02,2,2,12,2,2,1,1, 63,5,    35,05,1,2,1,1,2,2,2,  5, ,  5,100,   91.15,1,21
00028,3,5,   6500.00,03,05,05,1,1,1,2,2,2,3,  1,1972,  ,2, ,    1,02,2,2,12,2,2,1,1, 50,4,     6,03,1,1,1,1,2,2,2,100, , 30,100,  391.42,2,14
00029,3,5,  35000.00,05,03,05,1,2,2,2,2,2,5,  1,1947,  ,2, ,    1,02,1, ,12,2,2,1,1, 45,3,    27,05,1,2,1,1,2,2,2,100, ,100,100,  294.87,2,38
00030,4,9,  60000.00,06,08,05,1,1,2,2,2,2,4,  3,1999,01,2, ,    1,02,1, ,11,2,2,1,1, 84,5,     3,02,1,2,1,1,2,2,2,  5, ,  5,100,  162.06,1,15
00031,4,9,  23750.00,04,03,05,1,1,2,2,2,2,4,  1,1948,  ,2, ,    2,03,1, ,12,2,2,1,2, 43,3,    13,04,1,2,1,1,2,2,2, 10, , 10, 10,  171.45,2,36
00032,3,5,   3000.00,02,02,12,1,1,2,2,2,2,4,  2,1942,  ,2, ,    1,02,1, ,12,2,2,2,1,  4,2,     1,02,1,2,1,1,2,2,2,100, ,100, 33, 5670.63,2,43
00033,4,8,  45000.00,05,02,14,1,1,2,2,2,2,2,  4,1924,  ,1,2,    1,02,1, , 9,1,2,1,2, 35,2,    35,05,1,1,2,1,2,2,2, 68, ,   ,100,  400.44,2,35
00034,4,9,   6500.00,03,03,14,1,1,2,2,2,2,4,  1,1956,  ,1,3,    1,02,1, ,10,2,2,1,2, 35,2,    11,04,1,1,2,2,2,2,2,100, ,   ,100, 2741.21,1,21
00035,1,2, 325000.00,08,04,13,1,2,1,2,1,2,3,991,1964,  ,1,2,    5,03,2,1,12,2,2,2,1, 40,3,   166,07,1,1,1,1,1,1,1,100, , 75, 90,   34.17,1,17
00036,4,9,  10000.00,03,04,02,1,2,2,2,2,1,4,  1,1960,  ,2, ,    2,03,2,2,12,2,2,1,1, 48,3,     8,03,1,1,1,1,1,2,2, 85, , 85,100,  352.83,2,03
00037,1,2,  50001.00,06,04,13,1,2,2,2,2,2,2,  3,1969,  ,2, ,    5,03,1, ,12,2,1, , ,168,7,    60,06,1,2,1,1,2,2,2,100, ,100,100,  436.16,1,09
00038,4,8,  32500.00,05,05,08,1,2,2,2,2,2,5,  1,1978,  ,2, ,    1,02,1, ,12,2,2,1,2, 40,3,   195,07,1,2,1,1,2,2,2,100, ,100,100,  401.51,2,42
00039,1,2,  30000.00,05,07,08,1,2,1,2,1,2,2,  3,1995,  ,1,2,    1,02,1, ,12,2,1, , ,168,7,    35,05,1,2,1,2,2,2,1,100, ,100,100,  142.40,2,27
00040,3,7,  12500.00,04,06,15,1,2,2,2,2,2,5,  2,1983,  ,2, ,    1,02,1, ,12,2,2,1,1, 55,4,    12,04,1,2,1,1,1,2,2,100, ,100, 50,  497.28,1,42
00041,2,3,  30000.00,05,06,23,1,1,2,2,2,2,2,  1,1985,  ,2, ,   16,05,2,2,12,1,2,1,1, 85,6,    41,05,1,2,1,1,1,2,2,100, , 90, 90,  136.39,1,25
00042,4,8,1400000.00,10,06,02,1,2,1,2,1,2,2,992,1983,  ,2, ,   80,07,1, ,12,1,2,1,1, 60,4,  4000,11,1,1,1,1,2,2,1, 97, , 95, 98,    5.27,1,34
00043,4,8,  55000.00,06,04,12,1,1,2,2,2,2,2,  3,1962,  ,2, ,    1,02,1, ,12,2,2,1,1, 88,6,     0,01,1,1,1,1,2,2,2,100, , 40, 90,  282.26,2,10
00044,4,8,   1250.00,02,07,06,1,1,2,2,2,2,1,  1,1991,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,     2,02,1,2,1,1,2,2,2, 90, , 90,100,12791.31,1,22
00045,3,5,  32500.00,05,06,02,1,2,2,2,2,2,4,  2,1984,  ,2, ,   12,05,1, ,12,1,2,1,2, 60,4,    75,06,1,2,1,1,2,2,2,100, ,100,100,  181.86,1,44
00046,1,2, 110000.00,07,01,02,1,2,1,2,2,2,3,991,1917,  ,2, ,   15,05,2,1,12,2,1, , ,168,7,   700,09,1,1,1,1,1,2,2,100, ,  4,100,   36.68,1,34
00047,3,6,  30000.00,05,05,05,1,1,2,2,2,2,4,  2,1973,  ,2, ,    1,02,2,2,12,2,2,1,2, 50,4,    15,04,1,1,1,1,2,2,2, 25, , 25,100,  159.46,1,39
00048,2,3,   3750.00,02,02,01,2,2,2,2,2,2,3,  1,1945,  ,2, ,    0,01, , , 0,1, , , ,  0,1,     0,01,2,2,2,2,2,2,2,   , ,   ,   , 7197.04,2,16
00049,1,1,  75000.00,06,02,02,1,2,1,2,2,2,2,  2,1941,  ,1,3,    4,03,2,1,12,2,2,1,1, 40,3,    50,06,1,1,1,1,2,2,2,100, ,  1, 80,  488.62,2,36
00050,2,3,1000000.00,09,04,16,1,1,1,2,2,2,2, 12,1966,  ,2, ,    1,02,2,2,12,2,1, , ,168,7,  1500,10,1,1,1,1,1,2,1,100, , 80, 98,   14.51,2,32
00051,3,5, 275000.00,08,05,13,1,1,1,2,2,2,5,  3,1976,  ,1,3,    1,02,1, ,12,2,1, , ,168,7,   125,07,2,2,1,2,1,2,1,   , ,100,100,  108.91,1,13
00052,3,7,  70000.00,06,04,16,1,2,2,2,1,1,5,  1,1961,  ,2, ,    2,03,2,1,12,2,1, , ,168,7,   200,07,1,1,1,1,1,2,2,100, ,100,100,  181.07,2,11
00053,3,6,  13750.00,04,08,08,1,2,1,2,2,2,4,  1,1999,02,2, ,    1,02,2,2, 8,2,2,1,2, 52,4,    15,04,1,2,1,1,2,2,1,100, ,100,100,  452.42,1,39
00054,4,8,   1750.00,02,03,02,1,1,2,2,2,2,4,  1,1953,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    12,04,1,1,1,1,2,2,2,100, ,100,100,  428.68,2,30
00055,2,3,  11250.00,04,05,26,1,1,2,2,2,2,1,  1,1970,  ,2, ,    1,02,1, ,12,2,2,1,2, 55,4,    12,04,1,2,1,1,2,2,2,100, ,  8,100,  648.22,2,23
00056,3,6, 350000.00,08,07,13,1,1,1,1,2,2,5,  4,1994,  ,2, ,    4,03,1, ,12,2,1, , ,168,7,  2750,11,1,2,1,1,1,2,1, 96, , 96, 98,   16.64,2,02
00057,2,4, 150000.00,07,06,05,1,1,1,2,2,2,2,  4,1987,  ,2, ,    1,02,1, ,12,2,2,1,1,100,6,   145,07,1,1,1,1,2,1,2,100, , 15,100,  515.96,2,36
00058,3,7, 110000.00,07,03,91,1,1,1,2,2,2,4,  5,1952,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,   180,07,1,2,1,1,2,2,1,100, ,100, 90,   96.61,1,03
00059,3,5,  50001.00,06,08,02,1,2,2,2,2,2,5,  1,1998,  ,2, ,    6,04,1, ,12,2,2,1,2, 45,3,    50,06,2,2,1,1,2,2,2,   , ,100, 90,  152.41,2,40
00060,1,2,  20000.00,04,06,23,1,2,2,1,2,2,2,  2,1982,  ,2, ,    7,04,2,2,12,1,2,1,1, 60,4,    18,04,1,2,1,1,1,2,2, 50, , 90,100,  432.28,1,37
00061,3,5,   4750.00,02,05,26,1,2,2,2,2,2,5,  1,1974,  ,2, ,    1,02,2,2,12,2,2,1,2, 50,4,    10,04,1,2,1,1,2,2,2,100, ,100,100,  508.07,1,40
00062,4,8,  90000.00,06,01,13,1,1,2,2,2,2,2,  4,1901,  ,1,3,    3,03,2,2,12,2,2,1,1, 45,3,     7,03,1,2,1,1,1,2,2,100, , 50, 50,  158.01,2,10
00063,3,6, 180000.00,07,04,05,1,1,2,2,2,2,5,  2,1965,  ,1,1,    3,03,2,2,12,2,2,1,2, 40,3,    66,06,1,1,1,1,2,2,2,100, , 75,100,   27.35,2,02
00064,2,4,  75000.00,06,06,13,1,1,2,2,2,2,1,  2,1984,  ,2, ,    3,03,1, ,12,2,2,1,1,112,6,    12,04,1,1,1,1,2,2,2, 18, , 18, 95,  130.15,2,18
00065,3,7, 350000.00,08,08,02,1,2,1,2,2,2,5, 14,1999,04,2, ,   10,04,2,1, 8,1,2,1,1, 61,5,   950,09,1,2,1,1,2,2,1, 90, , 90, 90,   20.92,2,25
00066,2,3, 400000.00,08,08,05,1,1,2,2,2,2,2,  1,1999,03,2, ,    1,02,2,2, 4,1,2,1,1, 50,4,    40,05,1,2,1,2,2,2,2,100, ,100,100,   21.41,1,07
00067,2,3, 475000.00,08,07,02,1,2,2,2,2,2,2,992,1990,  ,2, ,   20,05,2,1,12,1,2,1,2, 60,4,  1500,10,1,2,1,1,2,2,2,100, ,100,100,   15.37,1,44
00068,4,9,   7500.00,03,07,05,1,1,2,2,2,2,3,  2,1990,  ,2, ,    2,03,1, ,12,2,2,1,1,112,6,     2,02,1,1,2,1,2,2,2,  3, ,   ,  1,  937.32,1,43
00069,3,7, 150000.00,07,07,02,1,2,1,2,2,2,5,  7,1993,  ,2, ,    1,02,1, ,12,2,2,1,2, 45,3,   556,09,1,2,1,1,2,2,1,100, ,100,100,   99.49,2,21
00070,3,5, 500000.00,08,08,02,1,1,1,2,2,2,4,  5,1997,  ,1,1,    1,02,2,1,12,2,2,1,2, 40,3,   900,09,1,2,1,1,1,2,1, 50, , 50,100,    9.03,1,01
00071,4,8,  17500.00,04,06,14,1,2,2,2,2,2,5,  1,1980,  ,2, ,    2,03,2,1,12,2,2,1,1, 75,5,    35,05,1,2,1,1,2,2,2,100, ,100,100,  221.07,1,32
00072,4,9,  50001.00,06,03,05,1,1,2,2,2,2,4,  1,1957,  ,2, ,    1,02,2,2,12,2,2,1,1, 65,5,    35,05,1,2,1,2,2,2,2, 13, , 13,100,  142.27,2,36
00073,1,2,   7500.00,03,01,13,1,1,2,2,2,2,2,  4,1754,  ,2, ,    1,02,1, ,12,2,2,1,1, 44,3,     2,02,1,2,1,1,1,2,2,100, ,100, 20, 2741.21,1,37
00074,4,8,  35000.00,05,08,05,1,1,2,2,2,2,5,  1,1998,  ,2, ,    1,02,2,2,12,2,2,1,1, 75,5,    60,06,1,2,1,1,2,2,2,100, , 10,100,  202.10,2,31
00075,3,7,   7500.00,03,05,02,1,2,2,2,2,2,5,  1,1975,  ,2, ,    4,03,2,2,12,2,2,1,1, 44,3,    20,05,1,2,1,1,2,2,2,100, ,100,100,  485.29,1,33
00076,1,2,1800000.00,10,03,13,1,1,1,2,1,2,3,  9,1950,  ,1,2,   40,06,1, ,12,1,1, , ,168,7,   415,08,1,2,1,1,1,2,1, 70, , 85, 85,   40.15,1,34
00077,4,8,   1750.00,02,04,05,1,1,2,2,2,2,4,  1,1965,  ,2, ,    1,02,2,2,12,2,2,1,1, 50,4,     3,02,1,2,1,2,2,2,2, 55, , 22, 55, 5984.84,2,30
00078,3,6, 190000.00,07,06,02,1,1,1,1,2,2,4,  3,1986,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,   400,08,1,1,1,1,1,1,1,100, , 95,100,   91.57,2,39
00079,4,8,   2750.00,02,04,01,1,1,2,2,2,2,2,  1,1960,  ,1,3,    0,01, , , 0,1, , , ,  0,1,     0,01,1,1,1,1,2,2,2,100, ,100,   , 6693.58,1,10
00080,1,2,  65000.00,06,03,18,1,2,2,2,1,2,2,  4,1958,  ,1,2,    1,02,1, ,11,2,1, , ,168,7,     2,02,1,2,1,1,2,2,2, 95, , 95, 30,  185.83,2,09
00081,2,3, 170000.00,07,04,14,1,1,2,2,2,2,3,  3,1968,  ,2, ,    2,03,2,2, 6,2,2,1,2, 45,3,    30,05,1,2,1,1,2,2,2, 60, , 20, 60,   96.65,2,22
00082,4,8,   1250.00,02,05,25,1,1,2,2,2,2,4,  1,1976,  ,2, ,    1,02,2,2,12,2,2,1,1, 50,4,     2,02,1,2,1,1,2,2,2,100, ,100,100, 6071.45,2,30
00083,4,9, 850000.00,09,03,16,1,2,1,2,1,2,3, 10,1959,  ,1,2,    1,02,1, ,12,1,1, , ,168,7,   238,07,1,2,1,1,1,2,1,100, ,100,100,    7.77,1,01
00084,2,4,  20000.00,04,02,14,1,1,2,2,2,2,3,  2,1928,  ,1,3,    1,02,1, ,12,2,2,1,1, 60,4,    27,05,1,2,1,1,1,2,2,100, ,  3,100,  173.78,2,42
00085,3,5, 200000.00,07,08,02,1,1,1,2,2,2,3, 11,1999,04,2, ,    1,02,1, , 1,1,2,1,1, 65,5,   750,09,1,2,1,1,1,2,1,100, ,100,100,   43.63,2,17
00086,4,9,   3250.00,02,04,18,1,1,2,2,2,2,4,  2,1964,  ,2, ,    1,02,1, ,12,1,1, , ,168,7,     2,02,1,2,1,1,2,2,2, 90, ,100, 10,  524.16,2,10
00087,2,4,  15000.00,04,07,08,1,1,2,2,2,2,1,  1,1995,  ,2, ,    4,03,1, ,12,2,2,1,1, 64,5,    40,05,1,2,1,1,2,2,2,100, ,100,100,  709.42,2,24
00088,1,2, 800000.00,09,05,02,1,1,1,2,2,2,3, 12,1972,  ,1,1,   15,05,1, ,12,1,2,1,1, 60,4,  2000,10,1,2,1,1,1,2,1, 76, , 50,100,    8.83,1,05
00089,3,5, 425000.00,08,06,02,1,1,1,2,2,2,3,  9,1989,  ,2, ,   30,06,1, ,12,1,2,1,1, 65,5,   350,08,1,2,1,1,1,2,1, 50, , 50,100,   36.68,2,08
00090,4,8,  27500.00,05,04,18,1,1,2,2,2,2,2,  3,1962,  ,2, ,    1,02,2,1,10,2,1, , ,168,7,     5,03,1,2,1,1,1,2,2,100, , 16, 19,  737.64,1,30
00091,3,5,   3500.00,02,05,26,1,2,1,2,2,2,3,  1,1971,  ,2, ,    1,02,2,2,12,2,2,1,2, 45,3,     2,02,1,1,1,1,2,2,2,100, , 20,100,  698.25,2,24
00092,3,5,  27500.00,05,05,13,1,2,2,2,2,2,5,  2,1975,  ,1,3,    1,02,1, ,12,2,2,1,2, 40,3,    23,05,1,2,1,1,1,2,2,100, ,100,100,  235.67,1,38
00093,2,3,   7500.00,03,01,01,1,1,2,2,2,2,1,  4,1880,  ,2, ,    0,01, , , 0,1, , , ,  0,1,     0,01,1,2,1,1,2,2,2, 75, , 10,   ,  113.02,2,02
00094,3,7,  17500.00,04,03,05,1,1,2,2,2,2,5,  1,1956,  ,2, ,   40,06,2,1,12,1,2,1,2, 45,3,     5,03,1,2,1,1,2,1,2, 20, , 20, 20,  236.58,1,15
00095,3,7,  65000.00,06,04,25,1,1,2,2,2,2,4,  2,1969,  ,2, ,    1,02,2,2,12,2,2,1,1, 72,5,    65,06,1,2,1,1,2,2,2,100, ,100,100,  181.53,1,03
00096,3,5,  21250.00,04,03,14,1,1,2,2,2,2,4,  3,1952,  ,1,3,    1,02,1, ,12,2,2,1,2, 45,3,    30,05,1,2,1,1,2,2,2,100, , 80, 60,  173.78,2,43
00097,3,5,  50000.00,05,05,12,1,1,2,2,2,2,3,  3,1971,  ,2, ,    1,02,1, ,12,2,2,1,1, 50,4,     6,03,1,1,1,1,2,2,2, 75, ,100, 75,  243.31,2,31
00098,3,7,   3000.00,02,01,05,1,1,2,2,2,2,5,  1,1910,  ,1,3,    1,02,2,2,12,2,2,1,1,  8,2,     0,01,1,2,2,2,2,2,2,100, ,   , 50,  431.03,2,33
00099,1,2,   3750.00,02,02,18,1,2,2,2,1,2,2,  4,1932,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,     1,02,1,2,2,1,2,2,2,100, ,   ,100, 3494.25,2,37
00100,1,2, 130000.00,07,05,05,1,1,1,2,2,2,3,  3,1972,  ,1,1,    3,03,1, ,12,2,1, , ,168,7,   150,07,1,1,1,1,2,2,2, 30, , 30,100,   36.04,1,28
00101,2,3,  35000.00,05,04,14,1,1,2,2,2,2,3,  4,1963,  ,1,3,    1,02,1, , 9,2,2,1,1, 70,5,    42,05,1,1,1,1,1,2,2,100, ,  2, 95,  147.14,1,22
00102,4,9,  10001.00,04,04,02,1,2,2,2,2,2,4,  2,1961,  ,2, ,    1,02,2,1,12,2,9,1,1, 37,2,    30,05,1,2,1,1,2,2,2, 90, , 90, 90,  352.83,2,41
00103,3,6,  42500.00,05,06,05,1,2,2,2,2,2,5,  1,1986,  ,2, ,    1,02,1, ,12,2,2,1,2, 40,3,     1,02,2,2,2,2,2,2,2,   , ,   , 20,  230.47,2,01
00104,3,7,   1500.00,02,06,26,1,1,2,2,2,2,5,  1,1980,  ,2, ,    1,02,1, ,12,2,2,1,1, 35,2,     2,02,1,2,1,2,2,2,2, 15, , 15, 15, 5764.94,2,04
00105,1,2,  10000.00,03,02,15,1,2,1,2,2,2,3,  1,1932,  ,1,1,    1,02,2,2,12,2,2,3,1, 16,2,   200,07,1,2,2,1,1,2,2,100, ,   ,100,  437.18,1,23
00106,3,7, 300000.00,08,04,02,1,1,2,2,2,2,5,991,1960,  ,2, ,   35,06,2,1,12,1,2,1,1, 60,4,   300,08,1,1,1,1,2,2,2,100, ,100, 82,   18.93,2,18
00107,3,7, 350000.00,08,08,14,1,1,2,2,2,1,5,  2,1999,01,1,2,    1,02,2,1,12,1,2,1,2, 50,4,   150,07,1,1,1,1,1,2,2,100, , 98,100,    4.90,1,04
00108,3,6,  25000.00,04,06,13,1,1,2,2,2,2,4,  1,1984,  ,1,3,    1,02,1, , 9,1,2,1,2, 35,2,     6,03,1,2,2,2,2,2,2,100, ,   ,100,  437.18,2,39
00109,3,6,  17500.00,04,04,13,1,1,2,2,2,2,3,  1,1968,  ,1,3,    1,02,1, ,12,2,2,1,1, 42,3,     6,03,1,2,1,1,2,2,2,100, , 55, 95,  331.45,1,24
00110,1,2, 500000.00,08,05,02,1,2,2,2,1,2,3,991,1972,  ,2, ,   55,07,2,1,12,1,2,1,2, 60,4,   200,07,1,2,1,1,2,2,2,100, ,100,100,    8.04,2,35
00111,2,3,  90000.00,06,04,05,1,1,2,2,2,2,2,  1,1968,  ,2, ,    1,02,2,2,12,2,2,1,2, 95,6,    30,05,1,2,1,2,2,2,2,100, ,  1,100,  256.09,1,16
00112,4,8,  25001.00,05,06,05,1,1,2,2,2,2,5,  2,1983,  ,2, ,    1,02,2,2,11,2,2,1,2, 45,3,    35,05,1,2,1,1,2,1,2, 15, , 15,100,  185.56,2,19
00113,4,9, 130000.00,07,04,91,1,1,2,2,2,2,4,  1,1967,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    60,06,1,2,1,1,2,2,2,100, ,100,100,  125.51,2,37
00114,3,5,  32500.00,05,04,23,1,1,2,2,2,2,3,  1,1964,  ,2, ,   10,04,2,2,12,1,2,1,1, 60,4,    50,06,1,1,1,1,1,2,2,100, ,100,100,  672.26,2,08
00115,4,9,  35000.00,05,03,26,1,1,1,2,2,2,3,  1,1950,  ,1,3,    1,02,1, ,12,2,2,1,1, 80,5,    19,04,1,1,2,1,2,2,2, 70, ,   ,100,  150.02,1,43
00116,3,7,  45000.00,05,07,08,1,1,2,2,2,2,4,  2,1994,  ,2, ,    1,02,1, ,12,2,2,1,1, 55,4,   125,07,1,2,1,1,2,2,2,100, ,100,100,  147.14,2,03
00117,3,5,  22500.00,04,06,91,1,1,2,2,2,2,4,  1,1984,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    10,04,1,2,2,2,2,2,2,100, ,   ,100,  211.49,1,44
00118,2,4,   1500.00,02,06,15,1,2,2,2,2,2,3,  1,1985,  ,2, ,    1,02,1, ,12,2,2,1,1, 48,3,     1,02,1,2,1,1,1,2,2,100, ,100,100, 3494.37,2,41
00119,3,5, 120000.00,07,05,23,1,2,2,2,2,2,5,  1,1978,  ,2, ,   14,05,2,2,12,1,2,1,1, 55,4,   100,07,1,2,1,1,1,2,2,100, ,100,100,  116.06,1,38
00120,3,7,  20000.00,04,04,23,1,2,2,2,2,2,5,  1,1961,  ,2, ,    8,04,2,2,12,1,2,1,1, 50,4,    20,05,1,2,1,1,2,2,2, 90, , 95,100,  420.46,1,04
00121,4,9, 150000.00,07,05,16,1,2,1,2,1,2,3,  7,1974,  ,2, ,    1,02,1, ,12,1,1, , ,168,7,   175,07,1,2,1,1,2,2,1,100, , 85,100,   28.73,2,18
00122,2,3, 450000.00,08,08,91,1,1,2,2,2,2,2,  2,1996,  ,2, ,    1,02,1, ,12,2,2,1,1,144,6,   140,07,1,1,1,1,2,1,2, 60, ,  4, 95,   43.63,2,32
00123,2,3, 130000.00,07,03,13,1,2,2,2,1,2,1,  2,1958,  ,1,2,    1,02,1, ,12,2,2,1,1,112,6,    45,05,1,2,1,1,1,2,2,100, ,100,100,   26.67,2,34
00124,3,7,   3500.00,02,02,25,1,1,2,2,2,2,5,  1,1934,  ,2, ,    3,03,2,2,12,2,2,1,1, 84,5,     3,02,1,2,1,1,1,2,2,100, , 88,100, 5570.99,2,15
