# Shares of res and comm TFE by region,,,,
region_GCAM3,sector,fuel,service,share_TFEbysector
India,resid,biomass,resid heating,0
India,resid,coal,resid heating,0
India,resid,electricity,resid heating,0.001
India,resid,gas,resid heating,0
India,resid,refined liquids,resid heating,0
India,resid,trad biomass,resid heating,0.001
India,resid,heat,resid heating,0
India,resid,biomass,resid cooling,0
India,resid,coal,resid cooling,0
India,resid,electricity,resid cooling,0.006
India,resid,gas,resid cooling,0
India,resid,refined liquids,resid cooling,0
India,resid,trad biomass,resid cooling,0
India,resid,heat,resid cooling,0
India,resid,biomass,resid others,0
India,resid,coal,resid others,0.017549117
India,resid,electricity,resid others,0.049475725
India,resid,gas,resid others,0.004041309
India,resid,refined liquids,resid others,0.133481193
India,resid,trad biomass,resid others,0.787452655
India,resid,heat,resid others,0
Australia_NZ,comm,biomass,comm heating,0.001470887
Australia_NZ,comm,coal,comm heating,0
Australia_NZ,comm,electricity,comm heating,0.024
Australia_NZ,comm,gas,comm heating,0.082529113
Australia_NZ,comm,refined liquids,comm heating,0.012
Australia_NZ,comm,trad biomass,comm heating,0
Australia_NZ,comm,heat,comm heating,0
Australia_NZ,comm,biomass,comm cooling,0
Australia_NZ,comm,coal,comm cooling,0
Australia_NZ,comm,electricity,comm cooling,0.08
Australia_NZ,comm,gas,comm cooling,0
Australia_NZ,comm,refined liquids,comm cooling,0
Australia_NZ,comm,trad biomass,comm cooling,0
Australia_NZ,comm,heat,comm cooling,0
Australia_NZ,comm,biomass,comm others,0
Australia_NZ,comm,coal,comm others,0.024918564
Australia_NZ,comm,electricity,comm others,0.601880195
Australia_NZ,comm,gas,comm others,0.082267962
Australia_NZ,comm,refined liquids,comm others,0.09093328
Australia_NZ,comm,trad biomass,comm others,0
Australia_NZ,comm,heat,comm others,0
Australia_NZ,resid,biomass,resid heating,0.138806089
Australia_NZ,resid,coal,resid heating,0
Australia_NZ,resid,electricity,resid heating,0.034
Australia_NZ,resid,gas,resid heating,0.150193911
Australia_NZ,resid,refined liquids,resid heating,0.017
Australia_NZ,resid,trad biomass,resid heating,0
Australia_NZ,resid,heat,resid heating,0
Australia_NZ,resid,biomass,resid cooling,0
Australia_NZ,resid,coal,resid cooling,0
Australia_NZ,resid,electricity,resid cooling,0.04
Australia_NZ,resid,gas,resid cooling,0
Australia_NZ,resid,refined liquids,resid cooling,0
Australia_NZ,resid,trad biomass,resid cooling,0
Australia_NZ,resid,heat,resid cooling,0
Australia_NZ,resid,biomass,resid others,0
Australia_NZ,resid,coal,resid others,0.002567895
Australia_NZ,resid,electricity,resid others,0.480173219
Australia_NZ,resid,gas,resid others,0.119164318
Australia_NZ,resid,refined liquids,resid others,0.018094567
Australia_NZ,resid,trad biomass,resid others,0
Australia_NZ,resid,heat,resid others,0
Africa,comm,biomass,comm heating,0
Africa,comm,coal,comm heating,0.01
Africa,comm,electricity,comm heating,0
Africa,comm,gas,comm heating,0
Africa,comm,refined liquids,comm heating,0.02
Africa,comm,trad biomass,comm heating,0
Africa,comm,heat,comm heating,0
Africa,comm,biomass,comm cooling,0
Africa,comm,coal,comm cooling,0
Africa,comm,electricity,comm cooling,0.03
Africa,comm,gas,comm cooling,0
Africa,comm,refined liquids,comm cooling,0
Africa,comm,trad biomass,comm cooling,0
Africa,comm,heat,comm cooling,0
Africa,comm,biomass,comm others,0.581617423
Africa,comm,coal,comm others,0.041001379
Africa,comm,electricity,comm others,0.176083747
Africa,comm,gas,comm others,0.005640937
Africa,comm,refined liquids,comm others,0.135656514
Africa,comm,trad biomass,comm others,0
Africa,comm,heat,comm others,0
Africa,resid,biomass,resid heating,0
Africa,resid,coal,resid heating,0
Africa,resid,electricity,resid heating,0
Africa,resid,gas,resid heating,0
Africa,resid,refined liquids,resid heating,0
Africa,resid,trad biomass,resid heating,0.05
Africa,resid,heat,resid heating,0
Africa,resid,biomass,resid cooling,0
Africa,resid,coal,resid cooling,0
Africa,resid,electricity,resid cooling,0.02
Africa,resid,gas,resid cooling,0
Africa,resid,refined liquids,resid cooling,0
Africa,resid,trad biomass,resid cooling,0
Africa,resid,heat,resid cooling,0
Africa,resid,biomass,resid others,0.051609501
Africa,resid,coal,resid others,0.013465941
Africa,resid,electricity,resid others,0.028534317
Africa,resid,gas,resid others,0.018568679
Africa,resid,refined liquids,resid others,0.068994338
Africa,resid,trad biomass,resid others,0.748827225
Africa,resid,heat,resid others,0
Middle East,comm,biomass,comm heating,0
Middle East,comm,coal,comm heating,0
Middle East,comm,electricity,comm heating,0
Middle East,comm,gas,comm heating,0.015
Middle East,comm,refined liquids,comm heating,0.015
Middle East,comm,trad biomass,comm heating,0
Middle East,comm,heat,comm heating,0
Middle East,comm,biomass,comm cooling,0
Middle East,comm,coal,comm cooling,0
Middle East,comm,electricity,comm cooling,0.3
Middle East,comm,gas,comm cooling,0.1
Middle East,comm,refined liquids,comm cooling,0
Middle East,comm,trad biomass,comm cooling,0
Middle East,comm,heat,comm cooling,0
Middle East,comm,biomass,comm others,0.027577367
Middle East,comm,coal,comm others,0
Middle East,comm,electricity,comm others,0.265212207
Middle East,comm,gas,comm others,0.041218834
Middle East,comm,refined liquids,comm others,0.235991593
Middle East,comm,trad biomass,comm others,0
Middle East,comm,heat,comm others,0
Middle East,resid,biomass,resid heating,0
Middle East,resid,coal,resid heating,0
Middle East,resid,electricity,resid heating,0
Middle East,resid,gas,resid heating,0.05
Middle East,resid,refined liquids,resid heating,0.05
Middle East,resid,trad biomass,resid heating,0
Middle East,resid,heat,resid heating,0
Middle East,resid,biomass,resid cooling,0
Middle East,resid,coal,resid cooling,0
Middle East,resid,electricity,resid cooling,0.166666667
Middle East,resid,gas,resid cooling,0.083333333
Middle East,resid,refined liquids,resid cooling,0
Middle East,resid,trad biomass,resid cooling,0
Middle East,resid,heat,resid cooling,0
Middle East,resid,biomass,resid others,0.000187993
Middle East,resid,coal,resid others,0.000278957
Middle East,resid,electricity,resid others,0.104255366
Middle East,resid,gas,resid others,0.271724974
Middle East,resid,refined liquids,resid others,0.273552709
Middle East,resid,trad biomass,resid others,0
Middle East,resid,heat,resid others,0
Latin America,comm,biomass,comm heating,0.032305645
Latin America,comm,coal,comm heating,0
Latin America,comm,electricity,comm heating,0.036570506
Latin America,comm,gas,comm heating,0.051096716
Latin America,comm,refined liquids,comm heating,0.080027133
Latin America,comm,trad biomass,comm heating,0
Latin America,comm,heat,comm heating,0
Latin America,comm,biomass,comm cooling,0
Latin America,comm,coal,comm cooling,0
Latin America,comm,electricity,comm cooling,0.170662363
Latin America,comm,gas,comm cooling,0.029337637
Latin America,comm,refined liquids,comm cooling,0
Latin America,comm,trad biomass,comm cooling,0
Latin America,comm,heat,comm cooling,0
Latin America,comm,biomass,comm others,0
Latin America,comm,coal,comm others,8.03528E-05
Latin America,comm,electricity,comm others,0.40227557
Latin America,comm,gas,comm others,0.047307438
Latin America,comm,refined liquids,comm others,0.150336639
Latin America,comm,trad biomass,comm others,0
Latin America,comm,heat,comm others,0
Latin America,resid,biomass,resid heating,0.015
Latin America,resid,coal,resid heating,0
Latin America,resid,electricity,resid heating,0.012
Latin America,resid,gas,resid heating,0.024
Latin America,resid,refined liquids,resid heating,0.099
Latin America,resid,trad biomass,resid heating,0.15
Latin America,resid,heat,resid heating,0
Latin America,resid,biomass,resid cooling,0
Latin America,resid,coal,resid cooling,0
Latin America,resid,electricity,resid cooling,0.05
Latin America,resid,gas,resid cooling,0
Latin America,resid,refined liquids,resid cooling,0
Latin America,resid,trad biomass,resid cooling,0
Latin America,resid,heat,resid cooling,0
Latin America,resid,biomass,resid others,0.003579492
Latin America,resid,coal,resid others,0.000744301
Latin America,resid,electricity,resid others,0.178714422
Latin America,resid,gas,resid others,0.086668387
Latin America,resid,refined liquids,resid others,0.159426821
Latin America,resid,trad biomass,resid others,0.220866576
Latin America,resid,heat,resid others,0
FSU,comm,biomass,comm heating,0.017251119
FSU,comm,coal,comm heating,0
FSU,comm,electricity,comm heating,0.005224811
FSU,comm,gas,comm heating,0.286793066
FSU,comm,refined liquids,comm heating,0
FSU,comm,trad biomass,comm heating,0
FSU,comm,heat,comm heating,0.270731004
FSU,comm,biomass,comm cooling,0
FSU,comm,coal,comm cooling,0
FSU,comm,electricity,comm cooling,0.001
FSU,comm,gas,comm cooling,0
FSU,comm,refined liquids,comm cooling,0
FSU,comm,trad biomass,comm cooling,0
FSU,comm,heat,comm cooling,0
FSU,comm,biomass,comm others,0
FSU,comm,coal,comm others,0.037165426
FSU,comm,electricity,comm others,0.167935564
FSU,comm,gas,comm others,0.048531505
FSU,comm,refined liquids,comm others,0.165367505
FSU,comm,trad biomass,comm others,0
FSU,comm,heat,comm others,0
FSU,resid,biomass,resid heating,0.022766199
FSU,resid,coal,resid heating,0
FSU,resid,electricity,resid heating,0.004958413
FSU,resid,gas,resid heating,0.185210131
FSU,resid,refined liquids,resid heating,0
FSU,resid,trad biomass,resid heating,0
FSU,resid,heat,resid heating,0.367065258
FSU,resid,biomass,resid cooling,0
FSU,resid,coal,resid cooling,0
FSU,resid,electricity,resid cooling,0.001
FSU,resid,gas,resid cooling,0
FSU,resid,refined liquids,resid cooling,0
FSU,resid,trad biomass,resid cooling,0
FSU,resid,heat,resid cooling,0
FSU,resid,biomass,resid others,0
FSU,resid,coal,resid others,0.026179869
FSU,resid,electricity,resid others,0.093209847
FSU,resid,gas,resid others,0.247270212
FSU,resid,refined liquids,resid others,0.052340072
FSU,resid,trad biomass,resid others,0
FSU,resid,heat,resid others,0
China,comm,biomass,comm heating,0.000233251
China,comm,coal,comm heating,0.144524782
China,comm,electricity,comm heating,0.014808961
China,comm,gas,comm heating,0.043453831
China,comm,refined liquids,comm heating,0.220950509
China,comm,trad biomass,comm heating,0
China,comm,heat,comm heating,0.038039217
China,comm,biomass,comm cooling,0
China,comm,coal,comm cooling,0
China,comm,electricity,comm cooling,0.131008688
China,comm,gas,comm cooling,0
China,comm,refined liquids,comm cooling,0
China,comm,trad biomass,comm cooling,0
China,comm,heat,comm cooling,0
China,comm,biomass,comm others,0.015573911
China,comm,coal,comm others,0.049200005
China,comm,electricity,comm others,0.198479991
China,comm,gas,comm others,0.008969272
China,comm,refined liquids,comm others,0.13475758
China,comm,trad biomass,comm others,0
China,comm,heat,comm others,0
China,resid,biomass,resid heating,0.001272349
China,resid,coal,resid heating,0.067351964
China,resid,electricity,resid heating,0.000233963
China,resid,gas,resid heating,0.021731184
China,resid,refined liquids,resid heating,0.009028516
China,resid,trad biomass,resid heating,0.314293748
China,resid,heat,resid heating,0.040943034
China,resid,biomass,resid cooling,0
China,resid,coal,resid cooling,0
China,resid,electricity,resid cooling,0.01628757
China,resid,gas,resid cooling,0
China,resid,refined liquids,resid cooling,0
China,resid,trad biomass,resid cooling,0
China,resid,heat,resid cooling,0
China,resid,biomass,resid others,0
China,resid,coal,resid others,0.05623696
China,resid,electricity,resid others,0.055106149
China,resid,gas,resid others,0.017540837
China,resid,refined liquids,resid others,0.042269273
China,resid,trad biomass,resid others,0.357704454
China,resid,heat,resid others,0
Eastern Europe,comm,biomass,comm heating,0.020715273
Eastern Europe,comm,coal,comm heating,0.067771285
Eastern Europe,comm,electricity,comm heating,0.00400384
Eastern Europe,comm,gas,comm heating,0.172
Eastern Europe,comm,refined liquids,comm heating,0.043
Eastern Europe,comm,trad biomass,comm heating,0
Eastern Europe,comm,heat,comm heating,0.122509601
Eastern Europe,comm,biomass,comm cooling,0
Eastern Europe,comm,coal,comm cooling,0
Eastern Europe,comm,electricity,comm cooling,0.03
Eastern Europe,comm,gas,comm cooling,0
Eastern Europe,comm,refined liquids,comm cooling,0
Eastern Europe,comm,trad biomass,comm cooling,0
Eastern Europe,comm,heat,comm cooling,0
Eastern Europe,comm,biomass,comm others,0
Eastern Europe,comm,coal,comm others,0
Eastern Europe,comm,electricity,comm others,0.312104526
Eastern Europe,comm,gas,comm others,0.158299122
Eastern Europe,comm,refined liquids,comm others,0.069596351
Eastern Europe,comm,trad biomass,comm others,0
Eastern Europe,comm,heat,comm others,0
Eastern Europe,resid,biomass,resid heating,0.17360497
Eastern Europe,resid,coal,resid heating,0.121860557
Eastern Europe,resid,electricity,resid heating,0.016155978
Eastern Europe,resid,gas,resid heating,0.104885975
Eastern Europe,resid,refined liquids,resid heating,0.022257571
Eastern Europe,resid,trad biomass,resid heating,0
Eastern Europe,resid,heat,resid heating,0.184450379
Eastern Europe,resid,biomass,resid cooling,0
Eastern Europe,resid,coal,resid cooling,0
Eastern Europe,resid,electricity,resid cooling,0.02
Eastern Europe,resid,gas,resid cooling,0
Eastern Europe,resid,refined liquids,resid cooling,0
Eastern Europe,resid,trad biomass,resid cooling,0
Eastern Europe,resid,heat,resid cooling,0
Eastern Europe,resid,biomass,resid others,0
Eastern Europe,resid,coal,resid others,0
Eastern Europe,resid,electricity,resid others,0.154544803
Eastern Europe,resid,gas,resid others,0.168619381
Eastern Europe,resid,refined liquids,resid others,0.033620385
Eastern Europe,resid,trad biomass,resid others,0
Eastern Europe,resid,heat,resid others,0
