# File: EPA_FCCC_AG_2005.csv
# Title: EPA USA GHG emissions inventory for agriculture, 2005
# Units: Gg
# Source: USA National Inventory Submission - Common Reporting Format - Table 4s2 - https://unfccc.int/files/national_reports/annex_i_ghg_inventories/national_inventories_submissions/application/x-zip-compressed/usa_2007_crf_11apr.zip
# Column types: ccnnnnc 
# ----------
Source_Category_Raw,Source_Category,CH4,N2O,NOx,CO,NMVOC
Heifer Feedlot,B.  Manure Management_Heifer Feedlot,,,,,
Steer Feedlot,B.  Manure Management_Steer Feedlot,,,,,
Beef Replacements,B.  Manure Management_Beef Replacements,,,,,
Dairy Replacements,B.  Manure Management_Dairy Replacements,,,,,
Beef Cows,B.  Manure Management_Beef Cows,,,,,
Heifer Stocker,B.  Manure Management_Heifer Stocker,,,,,
Steer Stocker,B.  Manure Management_Steer Stocker,,,,,
B.  Manure Management (continued),B.  Manure Management_B.  Manure Management (continued),,,,,
11.  Anaerobic Lagoons,B.  Manure Management_11.  Anaerobic Lagoons,,,,,
12.  Liquid Systems,B.  Manure Management_12.  Liquid Systems,,3.00,,,
13.  Solid Storage and Dry Lot,B.  Manure Management_13.  Solid Storage and Dry Lot,,25.49,,,
14.  Other AWMS,B.  Manure Management_14.  Other AWMS,,2.18,,,
C.  Rice Cultivation,C.  Rice Cultivation,328.19,,,,
1.  Irrigated,C.  Rice Cultivation_1.  Irrigated,286.74,,,,
2.  Rainfed ,C.  Rice Cultivation_2.  Rainfed ,,,,,
3.  Deep Water,C.  Rice Cultivation_3.  Deep Water,,,,,
4.  Other (as specified in table 4.C),C.  Rice Cultivation_4.  Other (as specified in table 4.C),41.45,,,,
Ratoon (Secondary) Harvest,C.  Rice Cultivation_Ratoon (Secondary) Harvest,41.45,,,,
D.  Agricultural Soils (2),D.  Agricultural Soils (2),,1177.73,,,
1.  Direct Soil Emissions,D.  Agricultural Soils (2)_1.  Direct Soil Emissions,,483.77,,,
"2.  Pasture, Range and Paddock Manure (3)","D.  Agricultural Soils (2)_2.  Pasture, Range and Paddock Manure (3)",,46.08,,,
3.  Indirect Emissions,D.  Agricultural Soils (2)_3.  Indirect Emissions,,176.03,,,
4.  Other (as specified in table 4.D),D.  Agricultural Soils (2)_4.  Other (as specified in table 4.D),,471.85,,,
Other Direct Soil Emissions,D.  Agricultural Soils (2)_Other Direct Soil Emissions,,471.85,,,
E.  Prescribed Burning of Savannas,E.  Prescribed Burning of Savannas,,,,,
F.  Field Burning of Agricultural Residues ,F.  Field Burning of Agricultural Residues ,40.85,1.64,38.56,857.92,
1 . Cereals,F.  Field Burning of Agricultural Residues _1 . Cereals,28.54,0.66,15.65,599.36,
2.  Pulses,F.  Field Burning of Agricultural Residues _2.  Pulses,11.44,0.96,22.60,240.29,
3 . Tubers and Roots,F.  Field Burning of Agricultural Residues _3 . Tubers and Roots,,,,,
4 . Sugar Cane,F.  Field Burning of Agricultural Residues _4 . Sugar Cane,0.87,0.01,0.32,18.27,
5 . Other (as specified in table 4.F),F.  Field Burning of Agricultural Residues _5 . Other (as specified in table 4.F),,,,,
G.  Other (please specify),,,,,,
