# File: EPA_NH3.csv
# Title: EPA ammonia emissions
# Units: thousand short tons (?)
# Source: EPA National Emissions Trends
# Description: These EPA data files come from the old GCAM3 system (they were in nonco2/Input Data/EPA National Inventories). The documentation there is limited. For example, the CO file says: "National Emissions Trends -- updated 7/18/2005. Carbon Monoxide Emissions (thousand short tons)."
# Column types: ccnnnnnnnnnnnnn 
# ----------
Source_Category_Raw,Source_Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04),CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04),183.00,183.00,183.00,183.00,183.00,183.00,123.00,125.00,130.00,25.00,26.00,27.00,18.00
Organic Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Organic Chemical Mfg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00
Inorganic Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Inorganic Chemical Mfg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00
Polymer & Resin Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Polymer & Resin Mfg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Agricultural Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Agricultural Chemical Mfg,183.00,183.00,183.00,183.00,183.00,183.00,109.00,111.00,115.00,23.00,23.00,24.00,16.00
        ammonium nitrate/urea mfg.,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_        ammonium nitrate/urea mfg.,111.00,111.00,111.00,111.00,111.00,111.00,41.00,42.00,43.00,2.00,2.00,2.00,3.00
        other,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_        other,71.00,71.00,71.00,71.00,71.00,71.00,68.00,70.00,72.00,21.00,22.00,22.00,14.00
Other Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Other Chemical Mfg,0.00,0.00,0.00,0.00,0.00,0.00,13.00,14.00,14.00,1.00,1.00,1.00,1.00
METALS PROCESSING (Tier 1 - 05),METALS PROCESSING (Tier 1 - 05),6.00,6.00,6.00,6.00,6.00,6.00,5.00,5.00,5.00,2.00,2.00,2.00,0.00
Non-Ferrous Metals Processing,METALS PROCESSING (Tier 1 - 05)_Non-Ferrous Metals Processing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ferrous Metals Processing,METALS PROCESSING (Tier 1 - 05)_Ferrous Metals Processing,6.00,6.00,6.00,6.00,6.00,6.00,4.00,5.00,5.00,2.00,2.00,2.00,0.00
Metals Processing NEC,METALS PROCESSING (Tier 1 - 05)_Metals Processing NEC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06),PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06),43.00,43.00,43.00,43.00,43.00,43.00,16.00,17.00,17.00,9.00,10.00,10.00,3.00
Oil & Gas Production,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Oil & Gas Production,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,0.00
Petroleum Refineries & Related Industries,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Petroleum Refineries & Related Industries,43.00,43.00,43.00,43.00,43.00,43.00,16.00,17.00,17.00,6.00,6.00,6.00,3.00
        fluid catalytic cracking units,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_        fluid catalytic cracking units,43.00,43.00,43.00,43.00,43.00,43.00,16.00,17.00,17.00,5.00,5.00,5.00,2.00
        other,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_        other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00
OTHER INDUSTRIAL PROCESSES (Tier 1 - 07),OTHER INDUSTRIAL PROCESSES (Tier 1 - 07),38.00,38.00,39.00,39.00,40.00,40.00,43.00,45.00,45.00,48.00,50.00,52.00,46.00
"Agriculture, Food, & Kindred Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Agriculture, Food, & Kindred Products",2.00,2.00,3.00,3.00,2.00,2.00,4.00,4.00,4.00,6.00,6.00,6.00,4.00
"Textiles, Leather, & Apparel Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Textiles, Leather, & Apparel Products",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Wood, Pulp & Paper, & Publishing Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Wood, Pulp & Paper, & Publishing Products",0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Rubber & Miscellaneous Plastic Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Rubber & Miscellaneous Plastic Products,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mineral Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Mineral Products,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Machinery Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Machinery Products,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Electronic Equipment,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Electronic Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miscellaneous Industrial Processes,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Miscellaneous Industrial Processes,35.00,35.00,36.00,37.00,38.00,38.00,39.00,40.00,40.00,41.00,42.00,44.00,41.00
SOLVENT UTILIZATION (Tier 1 - 08),SOLVENT UTILIZATION (Tier 1 - 08),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Degreasing,SOLVENT UTILIZATION (Tier 1 - 08)_Degreasing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Graphic Arts,SOLVENT UTILIZATION (Tier 1 - 08)_Graphic Arts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dry Cleaning,SOLVENT UTILIZATION (Tier 1 - 08)_Dry Cleaning,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surface Coating,SOLVENT UTILIZATION (Tier 1 - 08)_Surface Coating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Industrial,SOLVENT UTILIZATION (Tier 1 - 08)_Other Industrial,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STORAGE & TRANSPORT (Tier 1 - 09),STORAGE & TRANSPORT (Tier 1 - 09),0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,5.00,5.00,5.00,0.00
Bulk Terminals & Plants,STORAGE & TRANSPORT (Tier 1 - 09)_Bulk Terminals & Plants,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Petroleum & Petroleum Product Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Petroleum & Petroleum Product Storage,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,0.00
Petroleum & Petroleum Product Transport,STORAGE & TRANSPORT (Tier 1 - 09)_Petroleum & Petroleum Product Transport,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Organic Chemical Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Organic Chemical Storage,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inorganic Chemical Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Inorganic Chemical Storage,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bulk Materials Storage storage,STORAGE & TRANSPORT (Tier 1 - 09)_Bulk Materials Storage storage,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,0.00
WASTE DISPOSAL & RECYCLING (Tier 1 - 10),WASTE DISPOSAL & RECYCLING (Tier 1 - 10),82.00,86.00,89.00,93.00,93.00,93.00,84.00,84.00,86.00,82.00,83.00,85.00,125.00
Incineration,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Incineration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Open Burning,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Open Burning,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
POTW,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_POTW,82.00,86.00,89.00,93.00,93.00,93.00,84.00,84.00,86.00,82.00,83.00,85.00,124.00
        wastewater treatment,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_        wastewater treatment,82.00,86.00,89.00,93.00,93.00,93.00,84.00,84.00,86.00,82.00,83.00,85.00,124.00
        other,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_        other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Industrial Waste Water,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Industrial Waste Water,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TSDF,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_TSDF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Landfills,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Landfills,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRANSPORTATION TOTAL (Tier 0 - 03),TRANSPORTATION TOTAL (Tier 0 - 03),186.00,203.00,217.00,231.00,245.00,259.00,270.00,299.00,291.00,270.00,278.00,281.00,290.00
HIGHWAY VEHICLES (Tier 1 - 11),HIGHWAY VEHICLES (Tier 1 - 11),155.00,169.00,182.00,195.00,209.00,222.00,236.00,265.00,256.00,267.00,275.00,278.00,287.00
Light-Duty Gas Vehicles & Motorcycles,HIGHWAY VEHICLES (Tier 1 - 11)_Light-Duty Gas Vehicles & Motorcycles,116.00,123.00,129.00,136.00,143.00,149.00,156.00,167.00,168.00,173.00,176.00,176.00,184.00
Light-Duty Gas Trucks,HIGHWAY VEHICLES (Tier 1 - 11)_Light-Duty Gas Trucks,31.00,38.00,44.00,51.00,57.00,64.00,70.00,87.00,77.00,83.00,88.00,92.00,92.00
Heavy-Duty Gas Vehicles,HIGHWAY VEHICLES (Tier 1 - 11)_Heavy-Duty Gas Vehicles,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00
Diesels,HIGHWAY VEHICLES (Tier 1 - 11)_Diesels,4.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
OFF-HIGHWAY (Tier 1 - 12),OFF-HIGHWAY (Tier 1 - 12),31.00,35.00,35.00,36.00,36.00,37.00,34.00,34.00,35.00,3.00,3.00,3.00,3.00
Non-Road Gasoline,OFF-HIGHWAY (Tier 1 - 12)_Non-Road Gasoline,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Non-Road Diesel,OFF-HIGHWAY (Tier 1 - 12)_Non-Road Diesel,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Aircraft,OFF-HIGHWAY (Tier 1 - 12)_Aircraft,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marine Vessels,OFF-HIGHWAY (Tier 1 - 12)_Marine Vessels,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Railroads,OFF-HIGHWAY (Tier 1 - 12)_Railroads,0.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other,OFF-HIGHWAY (Tier 1 - 12)_Other,29.00,29.00,30.00,30.00,31.00,31.00,32.00,31.00,33.00,0.00,0.00,0.00,0.00
MISCELLANEOUS (Tier 0 - 04),MISCELLANEOUS (Tier 0 - 04),3757.00,3799.00,3841.00,3897.00,3953.00,4009.00,4138.00,4195.00,4318.00,4366.00,4403.00,3177.00,3213.00
MISCELLANEOUS (Tier 1 - 14),MISCELLANEOUS (Tier 1 - 14),3757.00,3799.00,3841.00,3897.00,3953.00,4009.00,4138.00,4195.00,4318.00,4366.00,4403.00,3177.00,3213.00
Agriculture & Forestry,MISCELLANEOUS (Tier 1 - 14)_Agriculture & Forestry,3757.00,3799.00,3841.00,3897.00,3953.00,4009.00,4138.00,4195.00,4318.00,4309.00,4349.00,3143.00,3143.00
        agricultural crops,MISCELLANEOUS (Tier 1 - 14)_        agricultural crops,0.00,446.00,473.00,499.00,525.00,551.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        agricultural livestock,MISCELLANEOUS (Tier 1 - 14)_        agricultural livestock,3307.00,3353.00,3368.00,3398.00,3428.00,3458.00,3489.00,3518.00,3553.00,3584.00,3625.00,2419.00,2419.00
Other Combustion,MISCELLANEOUS (Tier 1 - 14)_Other Combustion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,54.00,35.00,70.00
Fugitive Dust,MISCELLANEOUS (Tier 1 - 14)_Fugitive Dust,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other,MISCELLANEOUS (Tier 1 - 14)_Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
