# File: FAO_For_Prod_m3_FORESTAT.csv
# Title: FAO forestry production by country, year
# Units: m3
countries,country codes,item,item codes,element,element codes,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,11,Roundwood + (Total),1861,Production (m3),51,11160000,10369000,10774000,10947000,11621000,11458000,11158000,11991000,11813000,12406000,12515000,11967000,11655000,11326000,13175000,13162000,12767000,14386000,14386000,14256000,13399000,13647000,14204000,14222000,13721000,13604000,14972000,16255000,16773000,15572000,12849000,12857000,14960000,14405000,15609000,15325000,14033000,14083000,13276000,13467000,14846000,17055000,16483000,16471000,19135000,21317341,21795428,16727438,17830956,18695671
Azerbaijan,52,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600,12600,13500,13500,52800,6500,6500,6500,6500,6500,6500,6500,6500,6500
Bahamas,12,Roundwood + (Total),1861,Production (m3),51,370933,277334,447338,375542,398949,371957,404167,459478,421692,414838,424551,326659,226885,145168,145383,145172,144683,143908,143821,144468,144453,144182,143505,143458,143467,143534,143773,143640,143817,144238,144590,146478,146825,147099,147225,147182,47619,47869,48127,48343,48565,48793,49027,49268,49418,49573,49732,49896,49896,50187
Bahrain,13,Roundwood + (Total),1861,Production (m3),51,2568,2566,2565,2564,2563,2562,2560,2559,2558,2545,2514,1857,1927,2117,2115,2185,2278,2433,2546,2756,2984,3093,3217,3429,3627,3838,3904,4097,4285,4410,4496,4602,3277,3421,4984,5102,5267,5426,5590,5700,5813,5928,6045,6164,6248,6333,6419,6506,6595,6680
Bangladesh,16,Roundwood + (Total),1861,Production (m3),51,17549224,17757900,18383704,18815844,19350542,19996016,20499496,20981212,21396406,22040166,22605224,23622216,23740164,24233828,24819998,25394556,25419364,25895268,26430956,26553642,26999248,27251632,27625300,27790840,28113868,28097322,28416272,28602424,28383092,28581808,28568598,28634152,28586674,28519264,28508236,28476072,28467996,28465852,28458888,28386728,28017752,28009946,27976290,27943784,27866197,27790000,27714955,27641263,27568834,27409819
Barbados,14,Roundwood + (Total),1861,Production (m3),51,5368,5245,5423,5701,5878,5856,5934,5912,5890,5949,5943,5982,6047,6050,6069,5994,5933,5817,5775,5836,5871,5887,5863,5863,5751,5746,5629,5581,5658,5693,6762,10740,10699,10699,10220,9906,9835,9578,10423,10377,10333,10289,10245,11202,11161,11121,11082,11043,11004,10972
Belarus,57,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11396000,10031000,10015000,10015000,15707000,17585000,5902000,6561100,6135800,6485000,6947000,7542300,8622000,8696000,8756100,8756100,8756100,8811800,10364200,10364200
Belgium,255,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4510000,4215000,4500000,4765000,4850000,4950000,5075000,5015000,4700000,4395000,4827425,5128001
Belgium-Luxembourg,15,Roundwood + (Total),1861,Production (m3),51,2645000,2674000,2698000,2798000,2730000,2874000,2893000,2620000,2626000,3070000,3141000,3224000,2787000,2676000,2748000,2621000,2688000,2645000,2663000,2727000,2936000,3041000,3086000,3251000,3348000,3741000,3980000,4832000,5610000,4755000,4240000,4240000,4340000,4110000,3985000,4005000,4837400,5059000,,,,,,,,,,,,
Belize,23,Roundwood + (Total),1861,Production (m3),51,121800,116400,107900,113100,98700,125000,112300,98600,106500,105500,105200,114100,113800,115000,106900,102300,109400,118000,122900,117400,121500,143400,164500,166700,158100,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,187600,155000,167000,167000,167000,167000,167000
Benin,53,Roundwood + (Total),1861,Production (m3),51,5031384,5026892,5044407,5052927,5058454,5069987,5078527,5087072,5095624,5139247,5111253,5104984,5106657,5195199,5223312,5211613,5232972,5209154,5193487,5180632,5235462,5370708,5379288,5396382,5478154,5597520,5654507,5783776,5853160,5925505,5972375,6040187,6092932,6127711,6163531,6208853,6208337,6227592,6242329,6294375,6352969,6383125,6414859,6448188,6612554,6568000,6611200,6655498,6701503,6744761
Bhutan,18,Roundwood + (Total),1861,Production (m3),51,2688683,2822324,2778706,2824842,3109743,3157424,3205896,3255173,3305267,3335778,3354136,3429422,3493263,3439320,3440476,3507539,3790347,3821144,3894318,3891080,3923700,3934081,3953651,3925579,3924304,3899627,3900030,3904123,3903812,3930528,3953821,3935704,3939139,3933601,3964649,4016899,4110712,4281468,4354796,4417723,4480414,4545689,4611867,4679168,4737049,4963900,4980000,4967000,5035000,5025103
Bolivia (Plurinational State of),19,Roundwood + (Total),1861,Production (m3),51,1465689,1479149,1497783,1530592,1576578,1612744,1688091,1721621,1738336,1760583,1766068,1826208,1944114,1892080,1900202,1843217,1985583,2145033,2118156,2024797,1963937,1987748,2003357,2028419,2189804,2395102,2161794,2164189,2292879,2397026,2557183,2729924,2878480,2871586,2937676,2958439,2906465,2618050,2609914,2721520,2727753,2855626,2958150,3061337,3179860,3198800,3218800,3242150,3262841,3280861
Bosnia and Herzegovina,80,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,40000,40000,40000,40000,4000000,4130000,4130000,4282000,3818000,4224000,4097886,3993000,3806000,4105000,3752000,4011000,3428530,3615000,3851000
Botswana,20,Roundwood + (Total),1861,Production (m3),51,609056,612139,615229,618327,621432,624545,627666,630794,634930,633861,620915,617151,614922,638246,639883,657352,657542,668756,673719,680396,687522,683704,685114,690155,694253,696761,690014,684736,687128,689131,691829,704869,712330,720598,726466,731902,730897,735891,740448,744809,749515,754570,759980,765750,770032,774000,778900,783556,788295,791401
Brazil,21,Roundwood + (Total),1861,Production (m3),51,106768603,105847128,106684150,108068759,110372043,112712081,114872955,117022762,119840582,121278743,121116926,121587967,123323265,130343926,134534060,139291830,147877953,158470406,167438475,168795562,171839359,175388028,178325516,181200611,183731965,186515620,189729645,197529534,194577560,198423030,202514910,205686483,208912937,211129834,212306210,213479519,213703275,231562657,235401621,223255218,230911063,255903476,243254745,255743328,257536994,261351000,256306000,264149139,271500740,284019040
British Virgin Islands,239,Roundwood + (Total),1861,Production (m3),51,443,450,457,464,471,479,487,494,502,522,525,546,542,541,541,548,569,576,587,597,705,655,748,757,770,818,831,882,896,966,888,955,887,950,905,984,984,1008,1032,1070,1110,1151,1194,1239,1267,1296,1325,1355,1355,1416
Brunei Darussalam,26,Roundwood + (Total),1861,Production (m3),51,77000,78000,91000,118000,115000,136000,144000,150000,106327,111506,93342,94226,94452,127831,161889,158088,138302,149784,144022,211379,222524,222659,223843,224015,224145,224320,225454,225581,104393,104442,105690,105798,104724,104798,106989,107058,107072,119235,126232,129750,127269,123690,123713,134137,134143,134200,119000,118968,118979,118972
Bulgaria,27,Roundwood + (Total),1861,Production (m3),51,5583000,5583000,5733000,5621000,5421000,5421000,5126000,5216000,5050000,4881000,4904000,4615000,4871000,4711000,4415000,4357000,4350000,4265000,4104000,4946000,4844000,4732000,4770000,4795000,4462000,3560000,3438000,4203000,4089000,3650000,3545000,3547000,2685000,2844000,3205000,3041000,3231000,4351667,4783890,3991890,4832890,4832890,5985670,5861670,5992000,5696000,6071000,4599000,5668000,6205000
Burkina Faso,233,Roundwood + (Total),1861,Production (m3),51,6318626,6406238,6493994,6585908,6677996,6770275,6864760,6960469,7058418,7209052,7294902,7458740,7492218,7628582,7632897,7773741,7862432,7907441,8117949,8230371,8196688,8385200,8646251,8678400,8791334,9027705,9152314,9349690,9641399,9767353,10046590,10341319,10636187,10819323,10964460,11124823,11282456,7820000,7996000,7996000,7192000,7337000,9211000,11704000,12231000,12744000,13589300,13770731,13955959,14134077
Burundi,29,Roundwood + (Total),1861,Production (m3),51,3583875,3628766,3674198,3720179,3765714,3812811,3859777,3907718,3955142,3881755,3977876,3949092,3999413,4058163,4078808,4093663,4223215,4340541,4471463,4520868,4693216,4829993,5013195,5592578,5760028,5908342,6065872,6249829,6458576,6529528,6612578,6798635,7090167,7371918,7711125,7893032,8078207,5940000,6187000,8718615,8862237,9086433,9235247,9424727,9563678,9705000,9848300,9994143,10728554,10866107
Cambodia,115,Roundwood + (Total),1861,Production (m3),51,14698366,14717651,14563646,14416333,14295692,14196706,14009357,14068625,13499494,13682021,13884297,14375208,14366625,14131062,13593049,13333806,12683021,12440753,12189438,11820977,11735461,11781765,11845068,11944559,12058970,12139272,11884983,11818703,11795231,11916523,11842757,11756842,12056631,12026632,11863082,11807747,11560538,11236636,10298409,10047319,9862332,9683046,9511078,9334072,9165642,9009000,8853400,8704007,8524171,8469490
Cameroon,32,Roundwood + (Total),1861,Production (m3),51,7509921,7531213,7626516,7631830,7700155,7700492,7752840,7749199,7866569,7970295,8020218,8095998,8158681,8101399,8507678,8652507,8750497,8824755,8781883,8779827,8935583,9074795,9305706,9527765,9556715,9789817,9972701,10260187,10783650,10971508,11014641,11317785,11935359,12310352,12551516,12169826,11064452,10865388,11005347,10452669,10555659,10980353,11206789,11285004,12211824,12272000,12348500,11993344,12080983,12167570
Canada,33,Roundwood + (Total),1861,Production (m3),51,97194008,99771008,102716008,103670008,111422508,109950016,114230500,121830000,121625000,119819000,124288000,144729000,138070000,115511000,139397000,145538000,156150000,161994000,155624000,144736000,127472000,155983000,167824000,168722000,177190000,191685000,190616000,188254000,162127000,160168000,169895000,176193000,183224000,188432000,189884000,191058000,176942000,193890000,201845000,185853000,198077000,179642000,208073000,203121000,183931000,164599000,139236000,116306000,142013000,145066000
Cape Verde,35,Roundwood + (Total),1861,Production (m3),51,82121,82216,80811,80507,81502,82597,82693,82788,82884,86412,89049,89816,91127,91460,92483,93475,91873,90282,83847,83967,84864,84559,86390,87300,89519,91207,93102,95804,99811,103434,108027,112658,117665,122258,127142,132053,136823,141870,147181,151816,156603,161548,166657,171934,176021,180203,184484,188866,193351,196716
Central African Republic,37,Roundwood + (Total),1861,Production (m3),51,1826000,1849000,1897000,1978000,2014000,2051000,2125000,2313000,2418000,2552000,2650000,2829000,2677000,2719000,2771000,2826000,2932000,2919000,3011000,3089000,3114000,3149000,3340000,3419000,3419000,3445000,3449000,3530000,3480000,3434000,3734000,3691000,3578000,3611000,3202000,3445000,3518000,2861000,2955000,2998000,2919000,2783000,2832000,2933000,2846000,2841000,2841000,2657000,2632000,2732000
Chad,39,Roundwood + (Total),1861,Production (m3),51,3005208,3075064,3147485,3221508,3297172,3374517,3453583,3535411,3618046,3697187,3753567,3882960,3912090,3919887,3969827,4040868,4125288,4423296,4578803,4686297,4759158,4737086,4828441,4758653,4912923,5046039,4996060,5054689,5174498,5267285,5423673,5631899,5765095,5884506,6025887,6167676,6335879,6498619,6646198,6761676,6879605,7000038,7123032,7248646,7360653,7474800,7591300,7709988,7831029,7944997
Chile,40,Roundwood + (Total),1861,Production (m3),51,5912721,5461323,6482269,6640728,6960878,6268903,7183991,7213342,8008161,9284000,9235000,8698000,9203000,9206000,10046000,10596414,11399000,13234000,13326000,13304000,12270000,13789000,15194000,15916000,16978000,17701000,18854000,19003000,22085000,24508797,28373000,29855000,31053000,34580011,29831000,29977000,31729000,33973000,36568000,37790000,37817139,37001371,42587709,45642000,46705000,52633000,54833000,51023000,47215000,55148000
China,351,Roundwood + (Total),1861,Production (m3),51,312558107,317455865,321492173,324342368,327004099,330178087,333057003,335883311,339172876,344383500,352382135,356493114,369135644,387177653,400056523,400603033,395565709,397538563,395644921,393017438,392736065,391672733,393944550,391521246,391896305,389380750,384415403,383606096,378563903,372570590,366184159,363167603,355894998,351991674,353917112,347631712,343135636,331783484,323645681,316881400,312013507,309907568,305931686,302036684,298178141,290665495,296871166,292938511,291250552,288465568
Christmas Island,42,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,18
Colombia,44,Roundwood + (Total),1861,Production (m3),51,8127233,8194673,8247374,8290340,8478572,8587071,8635841,8460882,8500197,8579665,9209578,9368523,8696468,8826431,8876931,8941422,8949714,9296401,9111822,9097851,8919014,9159072,9333712,9601013,10196999,10243156,10309598,10385489,10448607,10496886,9747426,9627250,9511583,9500319,9536448,9569619,10123511,10590000,13057000,12501000,11610000,11992700,10462200,11927059,10469700,10439900,11137000,11216000,11216000,11216000
Comoros,45,Roundwood + (Total),1861,Production (m3),51,45231,47174,49200,51313,53517,55815,58213,60713,63320,63570,65710,68124,68364,74223,83931,87368,90875,93567,96421,99792,102388,105345,108518,112252,116627,121346,125414,132009,145174,150333,156511,162865,169460,193163,202259,207016,212774,219399,225737,231560,237565,243756,250140,256722,263105,269676,276439,283400,290563,297390
Congo,46,Roundwood + (Total),1861,Production (m3),51,1349059,1491866,1615701,1600565,1688456,1661376,1791324,1843300,1843306,1882566,1808276,1765449,1550817,1412446,1506381,1557284,1611908,1625612,1739981,1677725,1630331,1631982,1711548,1716190,1892703,2122429,2465350,2513297,2571745,2151001,2317973,2347587,2355498,2539969,2248308,2745331,2667167,2389532,2515140,2795297,3095715,3283401,3456000,3550000,3586790,3706300,3726100,3308291,3380790,3551017
Cook Islands,47,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Costa Rica,48,Roundwood + (Total),1861,Production (m3),51,3692878,3685215,3720574,3742955,3783358,3825782,3877228,3928696,4121186,4168853,4202985,4434971,4390875,4620364,4707714,4785471,4802217,4839154,4644306,4570540,4391968,4283526,4399272,4434443,4440505,4646900,4687569,4566432,4533921,4484496,4601027,4616913,5092860,5151032,5177958,5175328,4601294,4377653,4473321,4669232,4452401,4413781,4519330,4703007,4799697,4995500,4873300,4681194,4703039,4689882
Cote dIvoire,107,Roundwood + (Total),1861,Production (m3),51,8009448,8437046,8929084,9297565,9416492,9662869,10208701,11287990,10628741,11010780,11344903,12420899,11937791,11285243,12423027,12606167,11958344,12470086,12677506,11795003,11831843,11871023,11803384,11149843,10860374,10518703,10089320,10232332,11125441,10835389,10915127,11207984,11922489,11931280,11691961,11629262,11762379,11707477,11945021,11167092,10664962,10171380,10333120,10046979,10148373,10254400,10303900,10357743,10415768,10457873
Croatia,98,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989000,2452000,2816000,2604000,2542000,3050000,3398000,3486000,3669000,3468000,3641000,3847000,3841000,4018000,4452000,4210000,4469000,4242000,4477000,5258000
Cuba,49,Roundwood + (Total),1861,Production (m3),51,2382000,2382000,2248000,2340000,1284200,1365000,1837800,2219000,1839000,2123013,2082000,2215000,2085000,2075000,2075000,1830000,2110000,3000000,2940000,2968000,3017000,2909000,2920795,2896414,2994000,2866000,2923000,2756000,3198189,3298488,3405509,3539712,3555961,3557722,3518932,3517457,3491669,1593000,1819000,1696000,2778000,2636000,2513000,2579000,2579000,2174200,1912100,2361600,1860400,1860400
Cyprus,50,Roundwood + (Total),1861,Production (m3),51,58000,54000,40600,55900,61700,72200,77700,70000,78700,82000,94700,85000,61700,76000,128000,157000,80000,82000,75000,70000,74000,68000,73700,75000,75400,70300,61300,63300,62800,53800,45100,53100,46500,48000,45100,41000,35342,36451,20580,18310,15430,11990,10058,9656,7437,19672,19831,9878,8958,8495
Czech Republic,167,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10406000,11950000,12365000,12600000,13491000,13991000,14203000,14441000,14374000,14541000,15140000,15601000,15510000,17678000,18508000,16187000,15502000,16736000,15381000
Czechoslovakia,51,Roundwood + (Total),1861,Production (m3),51,12939000,12559000,12726000,12881000,14096000,14078000,14436000,13725000,15026000,15094000,15215000,15518000,15783000,16553000,17330000,17622000,18513000,18764000,18767000,18796000,18925000,18833000,18913000,19002000,18933000,18679000,18096000,18232000,18180000,15289000,14556000,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea,116,Roundwood + (Total),1861,Production (m3),51,2923000,2983000,3040000,3107000,3180000,3266000,3355000,3435000,4274567,4326006,4361736,4400317,4436884,4455424,4476753,4485838,4487007,4494487,4508840,4525623,4541441,4557489,4573808,4590724,4662333,4712374,4797770,4901471,4962858,5082871,5232934,5355471,5455280,5587452,6145141,6506348,6856356,6929281,7002863,7061040,7119539,7178357,7237495,7296953,7334996,7373000,7410900,7448867,7486734,7526762
Democratic Republic of the Congo,250,Roundwood + (Total),1861,Production (m3),51,20299888,20932920,21526456,22194036,22856206,23577538,24293616,25038040,25804438,26274626,27050912,27388224,28010236,28888344,30054208,31007060,32410648,33443968,34464916,35442532,36759372,37936612,38863192,40173160,41107104,42205132,43618092,45243276,47236460,49756932,52936248,57010496,60054960,62127544,63688368,64877800,66049724,67152720,68466848,69712688,71024264,72383264,73887400,75274400,76498004,77800800,78907257,80038134,81194030,82327602
Denmark,54,Roundwood + (Total),1861,Production (m3),51,1802000,1711000,1815000,1934000,1978000,2105000,2559000,2297000,2293000,2109000,2130000,2131000,1541000,1528000,1795000,1728000,1935000,2006000,2110000,2186000,3708000,2952000,2578000,2302000,2314000,2122000,2163000,2101000,2255000,2309000,2228000,2281000,2282000,2282000,2282000,2129000,1558000,1560000,2952000,1613000,1446223,1626940,1516000,2962500,2358000,2566000,2786000,2813000,2669436,2583349
Djibouti,72,Roundwood + (Total),1861,Production (m3),51,3000,3000,3000,3000,29629,32070,34712,37572,40668,44265,47646,50960,55150,59408,63856,70946,76706,83126,89764,96962,104168,112050,122686,134148,149447,162657,175713,190058,202759,212772,220683,230960,240025,249978,260478,270200,276813,281584,293339,299366,305519,311799,318209,324752,330763,336886,343125,349480,355953,361561
Dominica,55,Roundwood + (Total),1861,Production (m3),51,11333,11262,11191,11121,11051,10982,10913,10845,10777,10771,10423,10385,10815,10662,10459,10353,10254,10603,10120,9853,9449,9475,9160,9154,9048,8723,8625,8717,8608,8521,8506,8357,8339,8018,7988,8262,8203,8168,8086,8038,7990,7943,7895,7848,7781,7714,7648,7582,7517,7519
Dominican Republic,56,Roundwood + (Total),1861,Production (m3),51,724000,733000,782000,859000,517000,353000,363000,372000,383000,411000,433000,450000,457000,453000,462000,466300,476800,486300,498300,515700,524300,537300,549300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,562300,567700,891981,903400,905000,913633,922354,929813
Ecuador,58,Roundwood + (Total),1861,Production (m3),51,2433000,2435000,2448000,2359000,2914999,2995999,3107999,3289999,3527999,3733999,3859999,4012999,4081999,3996999,4080999,4360999,4279999,6014442,6143442,6140442,6102442,6312442,6464029,5955029,6120029,6473129,6546929,6696929,7175929,6790029,6975029,4704000,9361000,10673000,11292000,12103000,12008318,5878869,5908756,6234789,6304239,6319111,6632410,6648142,5840356,6082000,6016000,6855375,7031180,7043454
Egypt,59,Roundwood + (Total),1861,Production (m3),51,10172534,10246664,10321521,10397209,10473131,10553092,10630496,10708545,10786945,10932047,11112275,11223173,11381338,11389769,11290782,11268482,11400478,11533861,11604298,11862476,11943048,12107487,12321881,12526783,12856077,13194310,13478407,13784793,14101041,14403436,14747192,15080084,15355916,15538266,15824415,15973258,16123652,16292197,16449909,16600028,16751738,16905059,17060010,17216608,17326879,17438300,17551000,17664556,17779447,17823613
El Salvador,60,Roundwood + (Total),1861,Production (m3),51,2669965,2710607,2717690,2759627,2802126,2848298,2892153,2936703,2981959,3043093,3089168,3136240,3171052,3212092,3259047,3298991,3323161,3398334,3496866,3594279,3624663,3581609,3553756,3544187,3552039,3564243,3632098,3702176,3743890,4683000,3826158,3868593,3910308,4724000,4330000,5185000,5129000,5170000,5200021,5200129,5200238,4829082,4854610,4880520,4886196,4892100,4898700,4904555,4907392,4898531
Equatorial Guinea,61,Roundwood + (Total),1861,Production (m3),51,687000,741000,761000,756000,798000,845000,850000,885000,910000,415000,415000,422000,428000,434000,424000,405000,409000,431000,445000,489000,534000,557000,548000,607000,607000,675000,627000,640000,634000,589000,613000,638000,714000,811000,918000,1204000,869000,1223000,1136000,1082000,1021000,866000,912000,1081000,1050000,972000,972000,972000,972000,972000
Eritrea,178,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728855,1794280,1851861,1919391,1995281,2075863,2159403,2246531,2285742,1266190,1266190,1266190,1265020,1265020,1265020,1265020,1265020,1265020,1265020
Estonia,63,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146000,2439000,3550000,3710000,3901000,5393000,6061000,6704000,8910000,10200000,10500000,10500000,6800000,5500000,5400000,4500000,4860000,5400000,7200000,7470000
Ethiopia,238,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78482074,80769402,82527464,83650592,85504486,86531897,88239468,89930092,91282143,92661252,94533392,95957336,97408674,98631059,100059100,101417400,102805321,104209300,105544380
Ethiopia PDR,62,Roundwood + (Total),1861,Production (m3),51,39061363,39839394,40627741,41442710,42270613,43118776,43983520,44872183,45809102,46548609,47233192,48105789,49131291,50345488,51399932,52698298,54238612,55104100,55915567,57044356,58581903,59437264,62316173,65290478,66081772,66421168,68584092,70844773,72640723,76139000,79080810,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),65,Roundwood + (Total),1861,Production (m3),51,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,931,931,931,819,819,819,819,819,819,819,806,794,782,770,758,747,735,724,713,702,692,681,681,690
Faroe Islands,64,Roundwood + (Total),1861,Production (m3),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Fiji,66,Roundwood + (Total),1861,Production (m3),51,88000,101700,102500,115900,116000,103000,116000,119000,123000,112000,128000,148000,168000,160000,168000,174000,177000,210000,260200,254000,239200,209300,223400,249300,236000,291000,332500,306800,291620,257877,251043,528600,559200,598200,617021,608141,600327,465000,486000,516000,383000,441873,490000,509000,520080,485917,482205,482205,482205,482205
Finland,67,Roundwood + (Total),1861,Production (m3),51,47087000,44803000,45289000,42881000,41397000,41188000,40906000,44170000,45130000,42930000,42240000,42780000,40480000,31690000,32320000,33977000,37719000,45228000,47119000,43910000,37656000,38408000,40544000,41657000,40669000,41939000,44937000,47121000,43230000,34863000,38482000,42244000,48745000,50219000,46597000,51329000,53659980,53637000,54261855,52210000,53388566,54240434,54398265,52250182,50811617,56612179,50670458,41653143,50951529,50766758
France,68,Roundwood + (Total),1861,Production (m3),51,33523000,33097000,33769000,32416000,38451000,37157000,35682000,32637000,37853000,36988000,36807000,39724000,40290000,36831000,36168000,37391000,37127000,37908000,38766000,37251000,36781000,38057000,38145000,38277000,39239000,40494000,61239510,64011340,62588910,63045660,62778410,58857520,60164890,60437060,57367400,57805980,57380480,56947430,65864940,59740610,54812710,52552030,52907220,52498737,53266796,54582546,52756567,54447197,55807808,55040546
French Guiana,69,Roundwood + (Total),1861,Production (m3),51,36000,37000,54000,71000,92000,84000,98000,81000,53000,56010,55205,60151,58742,213101,207138,164324,160584,190992,212569,214374,216665,219394,221580,223829,226058,228306,231906,233647,232702,234277,235424,109410,112843,115425,122815,124353,143053,143585,135986,146643,150002,165493,170331,172260,171335,175546,196502,215254,207669,212231
