# File: FAO_harv_CL_kha_RESOURCESTAT.csv
# Title: FAO harvested cropland (temporary crops) area by country, year
# Units: kha
# Column types: cicicicccccccccccccccccccccccccccccccccccccccinnnnnnnnnnnnnnnn  
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bolivia (Plurinational State of),19,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810,1926,2158,2261,2531,2630,2822,2669,2708,2789,2870,2830,2789,2813
Bosnia and Herzegovina,80,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,574,550,557,553,557,556,557,525,512,527,527,578,560,574,598
Botswana,20,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,158,,182,108,227,253,243,289,263,258,380,157.8,157.8
Brazil,21,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54527,,,,,,,,,,
Brunei Darussalam,26,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.25,1.6,1.8,2.1,,,,2.6,2.8,,,,
Bulgaria,27,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860,2949,2657,2777,2729,2601,2698,2757,2855,2889,2991,3106,3275,3306,3179.8,3195
Canada,33,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35912,,,,,35350,,,,,37791
Chile,40,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,
Colombia,44,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136,1870,1796.4,1838,1764,1702,1651,1493,1501,1636,1661.3,1603,1603
Croatia,98,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,785,830,833,801,811.7,816.3,852.4,844.7,856.1,844.1,766.8,,
Cuba,49,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.9,1649.7,1585.2,1613.9,,
Cyprus,50,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,93,107,102,102,97,93.4,70.6,73.1,73.1,71.7,74.4,69.1,67.7,82.3,72.2
Czechia,167,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437,2433,2420,2428
Denmark,54,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854,1845,1821,1836,1851,1860,1824,1877,1862,1824,1908,1824,1815.6,1849,1833,1830
Ecuador,58,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,990,1073,1098,1043,1008,1001,1028.6,992.4,982.3,1020.9,1003,914.1,950,850
El Salvador,60,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,424,432,336,360,413,408,403,416,449,448,466,438,457
Estonia,63,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.4,340.7,343.3,367.2,376.2,399.9,415.2,427.1,403.6,416.8,411.3,431,453,473,501
Ethiopia,238,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8193.4,8055,8975,10151,10525,10965,11343,11587,11917,12241,12557.6,12797,12600,12600,12600,12600
Finland,67,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.3,1356.1,1364.8,1404.7,1375.5,1382.5,1370.7,1415.1,1388.3,1288.8,1307.5,1322.1,1321.1,1331.8,1281.3,1297
France,68,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13937.6,14002.2,13908.4,14062.5,13949,13876.1,13832.8,14236.1,14281.3,14240.3,14272.3,14348.3,14447.6,14552.7,14840.5,14650.42
French Guiana,69,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.6,10.7,10.7,8.7,9.5,10,10.9,11,10.9
Georgia,73,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,370,330,297,329,308,275,262.4,260,310.7,254.3,263.7,240
Germany,79,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9382,9416,9299,9395,9305,9169,9141,9362,9352,9023,8832,8804,8917,8825,8793,8668
Greece,84,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097,2108,2090,2092,2071,2038,2011,1833,1804,1787
Guatemala,89,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,,,,,889.7,803.9,692,692
Guinea,90,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,,,,,,,,,,,
Hungary,97,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4325,4440,4339,4224,4250,4295,4244,4134.3,4143,4246,4154,4204,4142,4126
Iceland,99,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,8,6,5,5,5,5,5
Iran (Islamic Republic of),102,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11268,11458,11647,11836,12026,12216,12406,11182,11358,11310,11262,11214,11118,11118,11118,11118
Iraq,103,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513.75,3889.75,1563.25,1518.75
Ireland,104,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,422,434,422,398,378,377,416,399,352,364,381,376,366,358,350
Isle of Man,264,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.74,4.9,4.98,5.14,5.38,5.18,4.98,4.98,4.82,3.8,4.2,3.6,4.1,3.6
Israel,105,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,259,244,221,221,213,215.8,209.7,214.3,203.6,205.7,204.8,195.8,210.5,207.2,205
Italy,106,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5012,4441,4576,4110,4417,4496,4355,4317,4305
Japan,110,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3803,3779,3760,3744,3729,3716,3702,3687,3675,3665,3639,3633,3226,3210,3193,3172
Jordan,112,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,172,153,185,161,166,99,116.8,141.9,134,114.6,160.4,177.3,189.4,180.2,186.06
Kenya,114,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3628,3591,3646,3758,3764,3810,,,,,,,,,,
Lao People's Democratic Republic,120,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,,,,,
Lebanon,121,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,120,126,126.3,131.7,126,124.2,113,113,102,113,120,120,120,120,120
Lesotho,122,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,253,265,308,282,244,239,144.3,174.5,204,173,106
Lithuania,126,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,1219,1147,1193.2,1334.5,1319.2,1359.6,1388.7,1464.6,1471.9,1517.5,1595.5,1637.8,1720.2,1770,1846.6
Luxembourg,256,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.71,49.68,50.47,49.72
Malaysia,131,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.1,590,613.31,670
Mali,133,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620,3193,4581,3541,4242,4316,4447,4400,4894.4,4900,5500,5500,5050,5050,5050,5050
Malta,134,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,7.1,,7.3,7.3,7.3,8.07,8.07,8,8.01,8.01,8.01,8.22
Mayotte,270,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.18,4.66,5.14,5.62,6.1,6.2
Montenegro,273,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,32,31,32,32,6.36,7.25,,
Myanmar,28,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9267,9395,9620,9968,10279,10430,10537,10570,10556,10429,10332,10319,10450,10458
Nepal,149,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2326,,,,,,,,,,2123.3,,,,,
Netherlands,150,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.9,871,847.2,847,868.4,857.4,833.3,826.5,811.4,820.6,801.4,783.7,776
New Caledonia,153,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,3.4,3.6,3.6,3.6,3.6
Nicaragua,157,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,804,854,754,804,760,780,760,790,751,801,832,804,804,804,804
North Macedonia,154,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,311,320,316,298,292,287,293,277,277,276,281,278,277,281
Norway,162,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,378,378,374,366,360.3,355,351.1,348,342.2,337.8,329.14,328.08,325.28,328.47
Oman,221,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,12,12,13,13,20,13.9,16.4,15.6,17.2,17.9,20.3,25.3
Palestine,299,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,37.5,41.15,,64,50.82,
Panama,166,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,250,250,250,250,250,250
Philippines,171,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4816,,,,,,,,,,,,,,
Poland,173,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,10708,10825,11211,11112,11384,11382,11551,11538,10397,10630,10485,10345,10453,10753,10640
Portugal,174,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,,,,,,,,771.93,763.38,736.41,668.63
Puerto Rico,177,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Qatar,179,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.7,5.8,5.3,5.2,7,7,8.46,6.6,7.73,6.31,7.48,9.4,9.1,9.3,8.3
Réunion,182,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,33.3,33.1,33.2,33.7,33.5,33.5,33.3,31.9,32.3
Romania,183,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7928,7845,7655,7970,7648,7025,7009,6969,7058,6956,7205,7186,7307,7377,7412,7545
Russian Federation,185,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63725,65527,65288,67232,67717,68606.37,69346.68
Saint Kitts and Nevis,188,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,3.95,3.96,4,4,4.5,5,5,5,5,5,5
Saudi Arabia,194,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,739,596,580,559,517,468,412,890,877
Senegal,195,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249,2250,2132,2187,2326,2038,2050,2820,3030,3000,2500,2500,2400,2400,2400,2400
Serbia,272,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574.4,2595.8,2638.2,2590,2631,2618,2540,2571,2586,2573,2581
Seychelles,196,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,
Slovakia,199,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352,1322,1317,1319,1308,1311.6,1300.2,1306,1272,1269,1241,1245
Slovenia,198,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,146,157,154,154,155,151,,,,,,,,,
South Africa,202,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12363,11988,,,,,
Spain,203,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8575,8576,8345,7827,7659,8163,7765,7677,7639,7849,7971,8088,8121.83,7917.72
Sudan,276,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19153.16,19151.58,19335.96,19333.82,19333.82,19333.82
Sudan (former),206,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15889,17539,14028,14481,14481,14976,16284,19192.8,19172.1,,,,,,
Switzerland,211,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.4,285.1,280.5,278.4,283.8,283.2,277.4,276.2,273.8,270.4,267.8,267.7,269.35,268.99,270.02,269.78
Syrian Arab Republic,212,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734,3763,3808,3861,3985,3825,3773,3644,3345,3784,3526,3428,3139,,,
Tunisia,222,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702,1651,1916,2079,1817,1977,1835,1896,1838,1954,2025,2001,1708,,,
Turkey,223,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18887,18954,18381,18915,18954,18290,17760,17296,17028,17135,16522,16291,16426,16598,16531,16383
Ukraine,230,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27837.9,28972.7,28849.7,29383.9,29604,29846.1,29700,29800,30108,30100,31395,31462,31514,31550
United Arab Emirates,225,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,57,40,42,48,31.6,26.6,34.6,32.9,34.3,27.7,8.5,7.8,13.4,12.3,13
United Kingdom,229,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4403,4523,4429,4544,4396,4760,4744,4689,4564,4564,4628,4702,4620.3,4677.4,4630,4620.76
United Republic of Tanzania,215,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7661,,,,,9682.7,,,,,,,,
United States of America,231,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132375,,,,,132037,,,,,,,,,
Uruguay,234,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,848,845,816,913,1240,1501,1320,1563,1430,1700,1700,1700,1700
Viet Nam,237,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6253.5,6223.7,6241,6394.7,6393.2,6355.8,6380.1,6368.2,,
Yemen,249,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,834,957,969,1056,1202,1082,1008,1173,1103,1186,1183,,,
American Samoa,5,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,7,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,258,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,8,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,22,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,12,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,13,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,16,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,14,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,57,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-Luxembourg,15,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,23,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,53,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,17,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,18,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,239,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,233,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,29,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,115,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,32,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,35,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,36,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,37,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,39,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,259,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,351,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,45,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,46,Temporary crops,6630,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
