# File: FAO_Fert_Cons_tN_RESOURCESTAT_archv.csv
# Title: FAO fertilizer consumption by country, year
# Units: tons N
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Bahrain,13,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,6,16,20,23,0,0,23,13,0,300,62,190,280,190,940,160,195,232,270,300,300,200,200,200,200,200,675,143,114,100,100
Bangladesh,16,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,20000,24000,36000,34000,42900,56300,70900,76100,90400,97700,78100,129291,126953,82811,146618,167750,225191,227785,260215,267908,251628,304879,344928,384651,367785,422956,474614,528608,629795,609163,705600,713300,733562,803540,943000,996070,876600,882500,1014700,995852,1054245,1049900
Barbados,14,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2520,4598,3779,4249,3532,3236,3454,2470,1915,2500,1600,2160,2190,1500,1200,1917,1470,1900,1700,1800,2000,2000,1595,1633,1261,1400,1500,1500,1500,1500,1500,1500,1500,1500,2000,2000,2000,1800,1800,1800,1800,599
Belarus,57,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,227000,200000,230000,260000,280000,280000,286000,280000,290000,250000
Belgium-Luxembourg,15,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,109132,148655,161642,127614,153477,160527,177899,172778,188404,177725,179427,179843,179225,185100,182485,189039,191795,196657,197758,194279,195420,197500,204700,199100,199100,199500,198900,196000,190000,186000,182000,173000,169000,168000,167000,172000,171000,171000,171000,,,
Belize,23,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,150,363,297,138,224,200,500,751,1167,1500,395,727,647,600,800,300,252,723,718,829,501,447,716,824,1126,1444,1502,1822,1900,1500,1500,1500,1500,1200,1300,1000,1300,1938,2295,2840,1900,1900
Benin,53,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,22,23,72,132,100,100,688,1229,1597,2000,2200,2058,1300,1341,791,1000,700,1600,900,382,527,1100,3000,3566,3800,4309,3432,2121,1100,5116,5010,6197,7867,7741,14000,14453,18764,15338,34600,14300,15100,25541
Bermuda,17,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,110,125,120,111,102,67,84,101,11,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,100
Bhutan,18,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,74,100,100,100,100,100,100,100,100,121,118,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0
Bolivia (Plurinational State of),19,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,350,400,450,500,500,500,2000,1000,1229,589,2800,3667,2769,3800,1600,1300,1900,1523,1614,1448,2717,1300,3126,2533,2700,2800,4706,3058,4645,2326,3551,5503,2555,4314,2810,4029,4872,1332,901,3218,5369,6195
Bosnia and Herzegovina,80,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5000,3000,3000,23000,28000,27800,18600,18600
Botswana,20,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1000,1000,1000,1500,2000,2000,2500,1000,1000,1100,1050,1150,1200,1161,1500,1000,1000,1000,500,600,600,600,500,400,139,216,300,300,300,300,300,300,400,500,2132,3190,3500,3748,4100,4100,4100,4100
Brazil,21,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,55064,50284,62061,50808,70569,71134,106382,144320,164430,278595,278281,411642,347591,389183,406234,498272,700480,702243,778653,905460,667840,642300,568049,812880,834100,980900,957900,814952,802500,796600,830800,841300,1085500,1220800,1140100,1250900,1438100,1545500,1660767,1668000,1640000,1816000
Brunei Darussalam,26,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,183,94,177,73,247,300,300,100,1400,1400,1500,0,0,0,0,0,0,0,0,0,0
Bulgaria,27,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,73223,65032,89128,158972,219072,281739,323231,390033,386884,378802,321774,353654,328057,329536,379972,348400,362574,376334,420551,450000,518000,535600,550300,479400,499000,478000,469400,548000,495000,452900,377268,189175,166139,207700,112000,152000,157800,135000,110594,144900,172302,152127
Burkina Faso,233,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,294,372,441,584,356,700,400,2200,1755,3354,1960,1248,3075,3310,4070,4219,4736,6780,8256,7958,8159,9214,9839,9306,9000,11517,11391,11463,24352,16400,16900,9860,926,926
Burundi,29,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,100,100,100,229,422,457,576,228,601,329,467,442,411,500,900,300,500,1247,639,1617,1100,1000,1000,2000,1000,1000,1799,1366,1000,1000,1000,1000,1391,1822,1500,1500,852
Cambodia,115,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,4200,150,200,300,300,300,3000,3000,4000,1765,2121,1000,1000,900,100,100,0,0,0,7200,10500,7300,1600,500,0,0,0,0,0,1600,4200,9400,10000,6000,6000,4300,18900,3220,0,0,0,0
Cameroon,32,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1500,1500,2000,2500,3000,6300,8526,10731,8837,11565,9000,7302,9326,9763,6100,4000,14600,15400,14200,16086,16590,16900,24500,26000,26900,20700,24600,22075,18200,9000,6000,9400,10204,15000,15000,18000,18900,16525,25985,21858,25576,13149
Canada,33,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,98348,122323,150212,170708,218209,276699,320841,242364,269850,291820,350000,409746,512641,531200,563000,599100,755300,834400,831100,937800,965900,1069800,1254900,1338500,1225000,1144600,1182800,1160166,1197188,1157764,1253287,1317640,1405920,1456136,1576205,1670630,1652700,1625800,1682052,1564348,1541191,1629763
Cape Verde,35,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,28,23,50,100,100,100,53,61,0,0,0,30,52,99,0,0,0,0,0,0,0,0,0,0,102,108,180,120,243,220
Central African Republic,37,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,155,160,170,200,600,800,1000,1200,1183,1167,1400,1000,937,1800,600,1200,1200,1200,100,1400,1200,700,278,1100,2500,622,769,518,690,800,800,900,1000,100,100,100,100,200,200,200,200,200
Chad,39,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,126,94,117,31,400,400,642,800,882,1133,1252,1137,2212,4500,2800,3078,3360,3600,0,500,1600,1700,2500,3000,3200,2600,2000,2178,2028,2000,3400,4224,2128,2000,3558,7500,3450,10695,11000,11000,11000,11000
Chile,40,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,15586,22389,25908,31074,31638,36289,36766,30307,34213,38496,45102,52527,59301,52080,36693,48545,37105,49336,56722,50836,47733,48057,64871,86290,104465,135978,142700,152500,156900,164098,157400,174000,195000,195000,215000,225000,220000,215000,235996,235000,226000,210000
China,351,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,544000,810000,974000,1250000,1832000,2671000,1958000,2146000,2635000,3369000,3370000,3859000,4451000,3849000,5039000,4755000,7073000,9280000,10641000,12112100,11528300,12274900,13722000,15179500,13838300,13576100,16803900,18514000,18855296,19557800,19970500,20329000,18003300,19160000,23781500,25275000,22949700,22887000,24142000,22139168,22422712,25430147
Colombia,44,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,23000,40000,36608,53088,45000,44715,47000,53000,54295,63520,78173,109000,125700,122700,111305,142740,144000,133749,151024,151200,143000,149400,157360,180990,184100,224429,244999,261700,268900,311800,298900,255400,251900,252800,241400,236000,265200,296800,299800,334300,301383,335400
Comoros,45,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100
Congo,46,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,200,300,500,500,700,749,834,1000,2614,3141,4600,3600,1200,200,200,120,0,0,90,176,154,900,800,900,1300,0,100,500,207,641,1300,1100,1000,900,1000,2000,2000,2000,2000,2000,2648,195
Cook Islands,47,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,48,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6226,8831,21000,24000,10000,16700,15700,29000,39980,37365,26800,25900,34000,33900,31100,28488,40543,40880,39400,40500,45200,49000,54000,50600,49000,52000,55000,58970,63000,55600,62400,65000,60000,70000,70000,89000,100000,104000,80000,68000,53223,52068
Cote dIvoire,107,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1716,1762,2452,3459,3769,4000,4482,3564,4486,6130,6473,8765,7942,7799,10900,12000,17500,15900,16600,19700,11300,12800,10000,11000,8200,8000,4500,8200,10000,13500,16200,18000,30000,34000,36000,41500,60000,50000,41200,40000,30000,53000
Croatia,98,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133522,91000,95000,93000,101600,152000,94996,99400,116000,99000,109000
Cuba,49,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,40000,48750,63649,76000,90000,144000,170000,172700,175600,158800,122900,103100,130400,139800,156300,187200,223000,225000,280400,267400,314992,276703,248700,294400,293600,328400,306400,304700,366700,283000,240000,192000,120000,72000,100000,100000,133000,107000,72300,78000,116600,67700
Cyprus,50,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,8085,8617,10659,5358,9568,8623,7444,13746,11346,14789,14215,16618,19645,7441,7466,9148,6128,7690,9136,8197,9036,11638,10491,10188,10088,11284,11926,12141,12904,12622,12272,15999,14512,14404,12948,13765,10760,10824,10884,7828,7908,8064
Czech Republic,167,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203161,239400,232700,262300,225814,218771,209532,262841,310830,289098
Czechoslovakia,51,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,142537,158675,176780,227983,246404,277998,286064,355261,400294,418578,435426,468820,465102,506556,531969,582000,601000,628000,630000,675000,615000,634000,656400,692300,674000,646300,587700,644400,669900,588300,287800,280000,,,,,,,,,,
Democratic Peoples Republic of Korea,116,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,84000,104000,108000,110000,115000,121000,130000,132000,152000,205000,216600,224900,244000,251900,264000,385800,442800,535000,540000,550000,564100,564100,582800,597000,623000,605000,602000,634000,644000,655400,659000,652500,636000,300000,84000,72400,149300,128300,152000,165000,186400,171200
Democratic Republic of the Congo,250,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,72,659,667,1000,700,1000,1500,2000,2500,3000,2800,2477,3200,3100,4968,6164,4500,4700,5100,3700,2500,3109,4107,4500,3600,966,3100,1900,4000,4000,4000,1000,3000,3468,3000,2000,0,1713,315,300,1297,3785
Denmark,54,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,133481,142167,152795,168692,191595,214856,232631,247988,270213,289341,308252,329476,365148,300445,339088,349497,373710,379884,393900,374099,375972,391392,419037,398147,382087,381263,367000,376900,400400,394900,370000,333000,325000,316000,291000,288000,283000,263000,248000,234000,210629,201559
Djibouti,72,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,600,712,100,13,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,55,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1800,1400,500,900,1000,1283,784,800,900,1000,1000,1000,2000,2200,2400,2000,2000,1800,1077,929,1000,1000,1000,1000,1000,181
Dominican Republic,56,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,10691,7794,6000,8000,10000,14308,15000,13000,15000,15676,25996,41300,40625,46700,30000,35000,32000,27878,34325,28200,31400,30700,25000,31300,33000,31000,34800,26602,39166,47002,51000,42700,39900,45700,50000,50000,55400,51300,52900,48500,60018,43743
Ecuador,58,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,4617,6136,7787,4960,4894,6689,26928,36522,21407,18011,8600,20000,28700,22138,13549,49500,58259,40367,43332,40700,34800,33200,47000,43000,43238,31077,27748,32001,45803,39421,44700,42700,49000,48000,56000,65000,90600,88100,69800,71600,226367,134358
Egypt,59,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,191872,196126,227144,260613,284845,243811,244055,281379,310146,330809,324504,360923,358161,360000,415000,427724,459504,490461,500000,554000,585000,631900,610000,594000,640300,795500,786500,794500,754116,745146,775000,743742,849538,720736,970000,1002600,915000,1014000,984400,1073416,1099000,1068923
El Salvador,60,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,12064,16527,29413,30775,21608,34905,29263,34000,35000,45000,63000,65000,68000,62500,65000,77106,77118,84192,50600,47649,66521,44209,59376,39831,61151,49120,64471,67808,56155,52717,55403,53669,52720,46000,41887,60000,72100,57000,56808,48453,48274,40018
Equatorial Guinea,61,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,450,500,500,500,500,0,1000,1000,1000,1200,1200,1200,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,178,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1100,1414,3793,5000,5000,5380,5400,3694,2625
Estonia,63,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000,29945,26384,19000,16600,20471,24932,19550,22390,19603,16700
Ethiopia,238,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29500,39800,45500,81049,54132,75100,79790,76500,63180,77373
Ethiopia PDR,62,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,200,300,400,500,600,1200,1500,1700,2000,2300,2245,4922,6074,7987,11000,11000,7344,9851,16000,16000,16000,14300,16500,13000,5000,12400,19900,30200,38000,42100,26500,30100,,,,,,,,,,
Faroe Islands,64,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,66,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1486,3401,4156,6457,5000,4250,4236,4881,4849,4887,6199,7480,6798,9152,7200,9000,9900,9000,12100,10800,12800,10300,7500,10100,7800,11300,10600,10100,13200,12000,10000,8500,9000,9000,10000,10000,10200,8900,6400,2500,5000,9357
Finland,67,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,59105,62005,77560,92792,104806,102991,107177,115628,159955,169373,182108,179440,206660,226442,199315,161377,168385,183322,196241,196936,183581,215991,204775,196060,202170,212300,214586,211207,231361,206400,166450,174000,171000,183000,183020,174000,177000,175000,176000,167000,165000,162000
France,68,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,624700,682821,790672,860500,870600,990017,1133068,1243125,1241347,1453446,1524827,1588051,1833083,1554800,1707800,1815000,1831700,1978000,2134800,2146500,2193000,2196000,2320000,2337000,2408000,2568400,2557100,2605000,2660000,2492000,2569000,2154000,2222000,2308300,2391700,2523900,2513100,2488100,2571400,2316300,2397000,2279000
French Guiana,69,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,100,100,202,225,382,400,378,515,500,534,300,700,900,600,600,1000,1000,1000,1000,400,400,400,400,400
French Polynesia,70,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,194,206,317,255,258,276,343,394,800,400,300,300,300,300,300,300,400,400,400,400,400,400,400,494,500,381,539
Gabon,74,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,47,21,30,300,377,100,100,92,100,796,200,600,500,500,1094,813,330,400,136,200,100,100,100,100,100,100,100,100,100,100,100
Gambia,75,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,8,15,54,50,34,94,152,300,366,302,400,165,200,494,1050,1467,640,319,758,1100,1000,3000,3000,800,310,659,200,300,200,200,200,344,205,300,2300,1000,600,600,600
Georgia,73,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000,48900,26000,26000,27200,31500,30000,40000,40000,26000,26000
Germany,79,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,877000,1030961,1035513,1123006,1287623,1321319,1344010,1443368,1571976,1642022,1707834,1846922,1766941,1872239,1906142,2077951,2095502,2138054,2225089,2302615,2072801,2171500,2071756,2148741,2285700,2287242,2375335,2413000,2253000,1787300,1720000,1680000,1612215,1787436,1770000,1758008,1788388,1903017,2014010,1847507,1792212,1787654
Ghana,81,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,175,713,800,154,200,300,512,433,369,1375,1107,2586,2946,3782,11000,12000,10100,10600,8400,5000,13000,12500,11000,5000,5000,4100,5140,7049,5783,8000,7000,7000,5203,2700,3200,7200,8706,7274,8002,7048,14169,14170
Greece,84,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,83348,96667,115933,131060,133929,145103,156792,182121,190107,200640,205699,212465,244293,251500,275080,291310,294000,341200,356100,333300,373289,383800,418000,426600,458300,431600,388800,415600,404200,427500,408400,393000,328000,346000,315000,340000,307000,292000,291000,285000,261000,253000
Greenland,85,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,86,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,87,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,2000,2000,2000,2000,2000,2000,2000,1900,1800,2000,3600,3600,4000,2500,3313,3353,3500,4005,2184,2128,3259,2304,3136,2926,3536,3630,2300,4105,3900,3100,3400,4000,1000,1000,1000,1500,1500,6094,6800,7000,7000,7000
Guatemala,89,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,9035,8900,11436,9050,7301,19502,13592,23702,19396,28977,13239,23571,32000,36900,35100,49926,52000,52000,58200,51900,47000,58700,41700,55500,60000,80000,83800,61600,83400,80000,98200,100000,107000,112000,115000,110000,118445,101000,124000,124500,114996,91600
Guinea,90,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,500,500,500,800,500,1000,1000,1000,1000,1500,1600,1700,800,650,600,600,200,200,1100,42,447,617,0,87,172,280,300,261,391,731,1366,265,1059,2300,2817,2449,680,1120,1000,1000,1000,1000
Guinea-Bissau,175,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,0,0,0,0,0,0,0,100,317,100,100,0,500,67,81,1200,200,300,0,0,0,281,166,387,218,204,76,100,100,100,100,100,200,200,1000,1000,1000
Guyana,91,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,4583,5050,5135,4525,6044,5003,6209,5626,6784,6537,7380,9295,9260,11200,7703,6030,5067,11671,6520,4260,9318,9179,9564,9686,7309,12441,8000,10600,12000,8000,13000,10500,10000,8100,12000,10900,13974,13800,15530,10737,11200,14421
Haiti,93,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,100,100,100,100,100,150,150,150,175,220,200,670,700,903,1200,100,1600,1800,2300,200,3000,2600,1600,2000,1600,1000,1300,1400,2300,900,2700,4200,4000,4000,5400,4000,8529,6307,4956,8854,7663,7670
Honduras,95,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,5252,6245,7000,7000,8000,10000,8000,10000,13000,15000,16000,14000,14000,9500,11400,11000,15200,9900,10400,16000,14100,12821,19016,23000,14131,11638,17306,21521,20299,11105,20000,20922,33000,12000,72300,49800,82939,93893,109500,135900,110000,37335
Hungary,97,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,95011,135355,134377,169128,179971,185296,236552,304576,347901,391191,393500,421843,492735,551298,535838,522414,582055,570129,570125,536778,562930,646546,625369,625906,558375,593393,613827,646301,572800,358644,264468,148000,225300,243123,246752,318506,285800,282000,320600,320000,336000,365000
Iceland,99,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,7409,8998,9541,10024,10175,10536,11428,12008,11745,12134,13313,13704,14145,13589,14761,14813,15007,15779,15734,14868,15202,14700,14813,13544,12918,12739,11381,11801,12100,12500,12126,10848,12000,11200,10062,11592,11800,12500,13500,13000,8981,10171
India,100,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,249800,333000,376800,555200,574800,737800,1034600,1208600,1356000,1479000,1798000,1839000,1829000,1765700,2748600,2456900,2913000,3419500,3498100,3678100,4068700,4042900,4637300,5333300,5750000,6528700,5702900,7157500,7150900,7565500,8046272,8426735,8778871,9507169,9822852,10315919,10901899,11353755,11586250,10920200,11310175,10470810
Indonesia,101,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,84752,98558,96000,78737,83872,109904,105200,198200,105500,201742,196316,347404,350000,345000,341900,351200,465200,548998,620419,850931,997054,1082400,1049155,1285800,1298900,1366200,1467400,1585400,1469100,1609900,1551700,1697000,1557900,1649000,1844000,2084000,1706600,2120900,1925500,1964400,1953480,2213000
Iran (Islamic Republic of),102,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,7259,7695,12722,15489,17000,32000,46000,49000,55000,65254,107292,123799,194080,188525,189980,194770,238795,176745,289285,300185,402130,493930,596584,489527,467400,529372,529400,527514,726000,558100,658000,834360,555000,609000,633000,685225,830025,878000,847800,862572,864108,884204
Iraq,103,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1040,1000,2027,2271,2622,4750,6395,8257,10152,12000,13469,15000,20139,27317,25000,35000,45000,43388,74200,64500,63600,64700,54300,109800,120000,131490,148500,164600,138425,130000,95000,130000,226000,238000,225000,240500,242700,251200,254700,250500,502000,510700
Ireland,104,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,28856,33486,34695,29624,31900,47828,53300,64100,71900,86500,98300,131700,130200,133000,152739,168159,230466,263600,247500,275100,275200,296000,331400,327700,322733,371663,339300,349000,378500,370000,347900,353000,404000,433000,425000,394000,397000,444000,429000,368410,366000,360000
Israel,105,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,21289,19245,21537,22850,23925,24660,28315,26870,29665,31970,32650,33465,30340,32604,37375,36495,38195,37620,35717,39506,35830,45500,47100,55500,52800,49800,52000,46500,48400,49600,41300,43400,44000,50000,50000,65000,61000,61000,44000,49000,45300,40500
Italy,106,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,347749,376504,374984,403647,461767,475340,479701,513595,550402,594547,624874,691806,672178,672195,724337,699726,817300,1042654,1106810,1006011,987968,967833,996106,1026266,1054533,1010607,1046631,924021,827279,878960,906720,910000,917900,879200,875000,876000,855000,845000,868000,828000,773161,785314
Jamaica,109,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,6573,6129,7293,10293,7510,5103,10621,10000,10000,9190,9647,13200,8000,9300,6000,7300,4500,6444,6390,8865,10214,3406,6656,8800,5900,6600,12000,16000,16000,7400,9200,4200,6000,8200,8100,8100,9020,8906,9210,9900,8440,8702
Japan,110,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,633400,659600,687300,668000,690500,745600,775900,775200,739800,688200,676000,733000,821200,690800,653000,702000,716000,723000,777000,614000,643000,683000,701000,697200,680000,693000,669000,640000,641000,612000,576000,572000,600000,580400,527500,511700,495200,476000,479500,487400,484000,463000
