# File: FAO_For_Exp_m3_FORESTAT.csv
# Title: FAO forestry exports by country, year
# Units: m3
countries,country codes,item,item codes,element,element codes,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahamas,12,Roundwood + (Total),1861,Export Quantity (m3),91,335800,242200,409500,337500,358200,330600,362900,418100,380100,373200,382000,283500,183100,99500,99500,52500,,,,,,,,,,0,,,10,,106,1378,2404,1000,100,0,0,0,0,0,4034,6419,4088,4088,97,1336,13,13,139,645
Bahrain,13,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,59,60,161,161,1300,0,0,0,0,0,160,2152,256,256,4982,569,827,449,306,469
Bangladesh,16,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,,28,476,228,400,131200,131200,131200,0,0,293,677,677,720,564,589,589,589,186
Barbados,14,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,41,3,4,4,3,3,3,3,53,53
Belarus,57,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127507,166208,174500,443500,670348,513148,881400,834200,945000,1107845,1341800,1517550,1517550,1517550,1517550,1517550,1517550,1479488,2221923,2221923
Belgium,255,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181000,1041100,1028953,1141521,1088278,1113000,1033369,820575,1106738,682989,872479,1030592
Belgium-Luxembourg,15,Roundwood + (Total),1861,Export Quantity (m3),91,470100,449100,507300,505800,481000,360300,338200,404400,561000,682300,541300,489700,328000,441100,436600,592400,692200,689300,764800,778900,780700,771900,1018300,975200,1156800,1358900,1354500,1464500,1050910,1529744,1280026,1000800,1077100,879400,793300,954100,935300,1559000,,,,,,,,,,,,
Belize,23,Roundwood + (Total),1861,Export Quantity (m3),91,1200,1200,2400,1300,3200,300,600,900,1600,800,400,600,600,900,1600,1500,800,3200,6700,1000,900,600,300,300,6200,7500,6000,1800,,,319,,0,0,0,0,0,0,0,0,0,10,475,475,230,66,2080,2126,1646,3508
Benin,53,Roundwood + (Total),1861,Export Quantity (m3),91,,,200,,,,,,,,,,,,,,,,,,,,,,,0,,,,9,218,75,11,11,0,0,701,600,591,2000,15300,28300,47900,53900,51900,50216,50516,14911,86400,241233
Bhutan,18,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,7400,7400,7400,7400,7400,7400,7400,7400,109,510,510,1758,,0,225,,0,0,0,0,0,0,0,0,0,17163,2767,2767,2767,2767,2767,2767,2812,2907
Bolivia (Plurinational State of),19,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,2300,,,,,,,,,,0,,,1325,2220,300,13500,15300,2300,2900,0,0,3200,3070,958,2305,4320,6267,5619,8641,10553,17226,14321,12621,12621
Bosnia and Herzegovina,80,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3198,1057,,,,25737,0,0,0,0,0,132970,437733,445510,445510,409002,555710,586230,706100,814410
Brazil,21,Roundwood + (Total),1861,Export Quantity (m3),91,40300,43800,50800,53100,58100,79100,117300,114300,84400,119400,130200,426000,140000,12400,22600,4300,10300,12700,7000,6100,8000,4200,30300,26200,9400,9500,46000,17100,80085,78692,364276,260635,654500,1240400,513300,793100,935300,442000,753600,563079,950611,123305,100021,25004,7225,18553,27473,5610,30000,106735
Brunei Darussalam,26,Roundwood + (Total),1861,Export Quantity (m3),91,14100,600,1400,600,,,,,,,,,,,,,,,,,,,,,,0,,,,,49,,1724,1834,0,0,0,1035,1035,1035,1035,303,303,303,303,303,289,289,289,289
Bulgaria,27,Roundwood + (Total),1861,Export Quantity (m3),91,23800,36500,15600,9900,19600,75000,54900,52500,45000,14500,11800,9500,38815,37600,20200,25500,46700,25400,8200,2800,3000,2000,5100,29800,35500,34800,125400,135500,160484,64530,123917,201600,50800,92200,243900,256100,256100,227000,360000,308045,224273,224270,460000,556310,516000,892635,413075,278217,679366,919528
Burkina Faso,233,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,1098,1098,3496,3496,3496,3496,2760,2140,669,492
Burundi,29,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,0,0,0,3602,4505,6856,6856,6856,3201,3210,3270,2845,2845
Cambodia,115,Roundwood + (Total),1861,Export Quantity (m3),91,82800,75200,66100,56600,65600,85700,95700,124400,61600,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,100,,,,700,700,9100,17600,35839,84665,506390,350000,458000,459100,300000,100000,7000,3000,100,0,234,84,3376,2406,421,15883,3921,5451,4933,4933
Cameroon,32,Roundwood + (Total),1861,Export Quantity (m3),91,156800,206600,228300,218400,285900,279300,364400,425500,511200,546300,515000,703000,647000,472000,598600,396700,654300,843400,743300,443700,447800,391000,496000,745700,411200,442000,537600,456700,756000,770825,679864,791500,1255000,1236000,1307000,1706000,1604000,975000,894000,233000,144844,70081,29350,237271,502461,524891,363848,413649,607730,582385
Canada,33,Roundwood + (Total),1861,Export Quantity (m3),91,3606100,3362200,3513100,3783000,4050100,3909600,3516500,3277600,4166600,2872500,1959900,1705200,2099300,1522000,1650400,1822200,1668900,1755800,2319700,1972600,1635500,2840300,3875000,2985400,3356800,4508800,4107000,2649000,1196591,1355948,2291685,1546329,1653000,1386800,1179300,801400,2067100,2247595,3048104,4004105,4636853,5243544,4060733,5932499,4858207,3819375,2951833,2792065,4069069,5810945
Cape Verde,35,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,409,409,409,409,409,409,409,409,409,5300,5300,5300
Central African Republic,37,Roundwood + (Total),1861,Export Quantity (m3),91,17500,10000,9400,10200,11000,11300,18900,38800,86000,101000,109000,155000,131000,82800,127700,125500,111000,125000,137400,122500,90000,65000,84000,95000,62600,41000,55000,54700,35836,16342,41700,36600,84200,72800,41600,109500,117000,154000,249900,313000,91958,126149,93171,146176,192038,193000,118000,111464,147893,152255
Chile,40,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,6200,17000,147600,679200,965700,1052400,361100,892000,1026300,905600,1275100,1302500,1950300,2799600,1993500,2245416,1837582,1441261,1585300,1842400,2226300,1615900,1728900,415000,915000,681000,512000,522000,300000,347000,149000,111000,85000,44000,10644,35000,53000
China,351,Roundwood + (Total),1861,Export Quantity (m3),91,65200,74200,132000,105200,101200,78500,58600,61200,66000,125700,124300,107400,77100,104700,93000,117700,94800,93900,132300,59100,63900,73800,93000,44300,37300,121200,192300,169400,386891,773613,834061,835655,929511,741270,437613,170434,137108,60262,38452,38410,459066,23856,37743,31694,140310,174540,96660,109226,134248,119753
Cocos (Keeling) Islands,43,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253
Colombia,44,Roundwood + (Total),1861,Export Quantity (m3),91,84900,92600,66100,87500,89100,41800,41500,49500,78300,37000,37300,43400,24500,6500,6500,6500,6500,,,,,,,,,0,,,156,178,116,16,6850,9000,2500,12100,17000,17000,20641,13167,25640,55326,65949,17088,9287,17782,24209,33513,17746,29464
Comoros,45,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,46,Roundwood + (Total),1861,Export Quantity (m3),91,360200,425000,536900,526000,556000,504400,569600,609000,592400,602700,472900,312000,277000,128000,144000,155000,166700,173100,280600,220600,202000,188300,250300,275200,287000,565900,881700,861100,731715,567625,530881,339508,258992,254000,258300,496000,638000,211000,281834,481438,455400,776013,844020,742243,659000,648795,630000,547167,803048,723630
Cook Islands,47,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,1738,4320,4343,4343,4343,4343,4343,4343,4343,800,800,800,800,800,800,800,800,800,800,800
Costa Rica,48,Roundwood + (Total),1861,Export Quantity (m3),91,5100,800,2300,100,1500,5000,7900,3100,2700,2300,,,,,,,1100,100,100,100,300,100,500,500,500,2400,4100,,14,105,300,377,484,2900,3100,15700,15700,16100,500,500,1500,34186,62268,62268,102268,122268,103947,101844,197020,293566
Cote dIvoire,107,Roundwood + (Total),1861,Export Quantity (m3),91,1179000,1445000,1858900,1904800,1822000,2172500,2620000,3326800,2510900,2932600,3168000,3497100,3034000,2419000,3275000,3229000,2699500,3199100,3055400,2233000,2275900,2253400,2203100,1394000,998000,617000,550000,550000,410974,398792,246386,320327,376727,311000,332000,107200,93000,105000,136000,127000,86000,73000,120000,142000,99200,130000,152046,144811,144139,131686
Croatia,98,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274444,198468,213000,387400,385700,445500,339100,361000,586000,575000,544000,562000,540260,548000,907000,835000,728000,752000,825000,1080000
Cuba,49,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,36,164,100,100,100,100,100,0,0,0,0,46,46,46,20,25,25,25,25
Cyprus,50,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1622,216,0,0,0,0,0,0,4,60,0,0,0,0,0,1,0,0,0,0
Czech Republic,167,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263490,1989000,2335000,2817000,2827000,2661000,2798000,2030000,2485000,2514000,3174000,3096000,3216000,2959000,2511000,2006000,2729606,1839000,3599200
Czechoslovakia,51,Roundwood + (Total),1861,Export Quantity (m3),91,557100,762200,744700,829200,1070500,1311800,1442100,1436100,1463200,1303000,1410600,1956800,2329400,2301000,2101000,2395000,2636000,2988000,3098000,2539000,2173100,1759600,1449400,1462000,1233300,820500,967400,747800,723903,889772,1154200,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea,116,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,5800,400,115300,14293,76649,92198,141227,124881,83627,372000,353294,219040,219040,219040,39800,39800,39800,146100,99900,210711,162758,92476,97418,30404,29239
Democratic Republic of the Congo,250,Roundwood + (Total),1861,Export Quantity (m3),91,75900,88800,84400,72300,84600,68900,44800,40000,33500,12600,30800,43000,29900,29900,50107,56600,43200,48200,66100,58000,53000,76000,97000,112000,176000,112000,133000,116400,105508,135194,100463,94464,112056,127811,137724,81024,46024,49424,58928,17024,30024,52165,100738,112484,193387,301861,227634,103167,134020,175520
Denmark,54,Roundwood + (Total),1861,Export Quantity (m3),91,73000,87300,118500,134000,123300,147300,369900,388800,310700,200400,157900,133200,69600,446200,534400,487320,506300,474100,391600,455700,1131700,1168100,930600,844000,748900,744600,619500,560600,417731,506022,433801,197537,292000,324800,222000,255600,288000,290000,877000,726000,239600,249533,306458,681479,473018,878817,993957,1131307,851884,792556
Djibouti,72,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,0,0,0,0
Dominica,55,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,25,25,25,25,477,477,64,64,64,64,147,147
Dominican Republic,56,Roundwood + (Total),1861,Export Quantity (m3),91,2600,2900,2900,1500,1800,1200,1400,500,400,100,100,300,300,300,300,,,,,100,,,,,,0,,,,,,,,,,,,,,,,,,,2681,1699,771,174,2659,7266
Ecuador,58,Roundwood + (Total),1861,Export Quantity (m3),91,,3000,,4600,,,,,,,,,,,,,,,,,,,,,,,,,583,19688,199,52680,29000,20400,115700,112100,39000,149400,108188,174226,81520,78569,116806,38150,63522,145244,95817,56791,110359,142477
Egypt,59,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,34,,,0,100,100,0,0,0,0,0,0,0,0,0,0,1600,28,133,2008,2540
El Salvador,60,Roundwood + (Total),1861,Export Quantity (m3),91,100,300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,0,0,0,0,0,0,0,0,0,10909,9888,8762,1819,20421,28007,23614,23804,23804
Equatorial Guinea,61,Roundwood + (Total),1861,Export Quantity (m3),91,345000,371000,409000,400000,457000,413000,437000,400000,380000,,4900,17500,17500,17500,17500,13000,900,5300,16000,54000,95300,71800,72800,76100,121300,121300,119900,124400,109786,114548,133436,156400,216500,267300,406400,510000,253000,423800,504000,514800,432000,597000,390000,388000,452000,551000,272000,27000,226811,329700
Eritrea,178,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,174,174,174,174,174
Estonia,63,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531543,1108628,1759700,2657600,1927000,3041000,3874800,4016243,4431960,3682900,3359540,3364978,2434169,1923766,1656591,1543752,1555837,1275174,2453141,2798617
Ethiopia,238,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2534,4604,2100,0,0,0,0,0,0,0,0,0,0,0,23,23,23,74
Ethiopia PDR,62,Roundwood + (Total),1861,Export Quantity (m3),91,300,,100,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,64,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
Fiji,66,Roundwood + (Total),1861,Export Quantity (m3),91,,7200,4700,4400,8800,5200,4800,5200,1900,100,,,,,,,,,13100,2300,2300,1600,15500,4100,4100,9800,9800,9800,8228,3157,6727,25,1900,2200,600,600,700,600,600,600,130,9879,7492,7825,5099,5140,6373,17578,4771,7337
Finland,67,Roundwood + (Total),1861,Export Quantity (m3),91,3707400,2155900,1378700,803000,709300,662500,484400,738600,1077700,916800,489000,487800,472000,490000,536000,929000,544400,1173000,1766000,2365000,986000,647000,902600,1042100,1344500,1496000,783600,472300,294671,178364,478600,924600,1461000,872000,582000,644000,716800,768362,533276,404098,408040,442478,530731,753555,717985,655804,716304,539492,501939,730682
France,68,Roundwood + (Total),1861,Export Quantity (m3),91,2388600,2157700,2082700,1934100,1932800,1826800,1639100,2058800,2390200,2531800,2478600,2726600,2779600,2335000,2220800,2507600,2477000,2520900,2753400,2877800,2898000,2995000,3319000,4271000,5104000,4528000,4674000,5463000,5043144,4873085,3956094,2418100,2884900,2976900,2743300,2815600,3257500,3441819,5859116,5429191,4618873,4519279,4268582,4325471,4254589,4467266,4002983,5637345,7478314,7228337
French Guiana,69,Roundwood + (Total),1861,Export Quantity (m3),91,9600,8300,16900,29100,34500,10000,6600,12700,4700,6600,8500,12600,17100,15800,22000,29000,36000,43400,43400,30000,33700,5300,5300,5149,4920,6572,13723,13308,9117,5563,2342,2162,2200,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,5917,5142,4549,3924,3924,3924,3924
French Polynesia,70,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,78,,0,0,0,0,412,412,463,463,463,463,32,32,32,32,32,32,32,32
Gabon,74,Roundwood + (Total),1861,Export Quantity (m3),91,1064000,1157400,1339000,1225400,1198200,1180400,1294200,1592700,1633500,1287000,1548000,1749000,1354000,1100000,1201000,1627300,1894000,1173000,1071000,1112700,1159900,1134000,1536200,1088800,982800,1229000,1200000,1350000,1158861,1307235,1252342,1334256,1330102,1587000,2351000,2719000,1773000,2337700,2584000,2500000,2016000,1927744,1513002,1677780,1716226,1859781,2162094,1737542,828002,35002
Gambia,75,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,30,,0,0,0,14,14,0,5,5,5,16,2318,2318,227,1075,153,172,1633,2757
Georgia,73,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4985,1743,595,0,0,45473,57524,57468,56814,55198,55198,55198,55198,55337,2674,941,941,941,941,941
Germany,79,Roundwood + (Total),1861,Export Quantity (m3),91,358900,421900,438000,345700,506600,1026500,1138400,874000,848900,818600,785000,2008500,4173900,4167900,3529900,2706900,1777800,1985800,2850500,2692200,2403900,2025400,3197300,4507800,3892900,3615100,4304200,4832500,4523706,8266756,5858630,4423575,4756000,5012000,3044000,4077000,4902000,4598000,5604000,4954000,4932000,4607000,5621000,6889000,7635124,7757000,7181000,4009838,3858698,3652222
Ghana,81,Roundwood + (Total),1861,Export Quantity (m3),91,576300,670500,688600,559800,476600,504200,569400,697000,472000,554000,747000,856000,434000,440000,345000,454300,312400,198400,104900,54100,53200,61600,70000,129900,176700,318600,338900,201000,141285,183686,169091,495600,653000,149900,25000,0,0,0,0,0,0,109,96379,115784,175827,281865,210408,190483,173873,171559
Gibraltar,82,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,80,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,84,Roundwood + (Total),1861,Export Quantity (m3),91,300,100,300,200,200,100,,,,,,,2700,100,300,100,2000,2000,100,350,700,300,400,500,1000,2600,2600,12400,49052,108792,186518,28657,6800,3900,3900,2000,223400,232000,9845,3702,16095,18989,16429,16026,27280,35790,35690,35690,35690,35690
Greenland,85,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
Guadeloupe,87,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,485,,10,34,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
Guatemala,89,Roundwood + (Total),1861,Export Quantity (m3),91,6700,3600,700,3200,3600,2300,200,2300,,,,7800,7100,7100,,,100,100,100,1100,100,100,200,2100,1900,1900,16800,12100,2416,4212,899,1261,0,0,0,0,0,0,0,0,1451,14797,11660,39285,21902,16703,14542,41420,27927,34024
Guinea,90,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,10200,13900,13900,13900,8000,8000,8000,8000,8000,12873,14855,21221,8543,27837,13200,30600,43000,33000,31700,31700,31700,31700,31700,22988,22988,22988,22988,15327,17656,149501,38070
Guinea-Bissau,175,Roundwood + (Total),1861,Export Quantity (m3),91,16300,18300,4100,4200,,,,,,,,,,,,,,,,,,,,,2286,4828,3676,3446,5850,11351,9025,5275,4501,15695,16495,8988,11389,2892,6547,6547,6547,25002,6961,6961,6961,6961,1663,1433,15004,14544
Guyana,91,Roundwood + (Total),1861,Export Quantity (m3),91,18100,27200,18600,25700,13100,28500,29400,20700,19600,20100,32000,44900,26300,39600,30600,31800,23200,34100,24100,30000,26200,26200,10600,12400,19300,23300,5800,8400,1800,11200,11600,3200,25300,18600,22200,80200,61000,48000,54000,41000,48000,66095,71196,123196,200044,171044,103044,67044,116044,100944
Haiti,93,Roundwood + (Total),1861,Export Quantity (m3),91,,7100,4900,8600,4300,4300,4300,1200,1200,1200,1200,1200,,,,,,,,,,,,,,0,,,,59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,95,Roundwood + (Total),1861,Export Quantity (m3),91,43500,36200,35800,30200,20600,15300,17900,20900,12000,9700,12000,14500,10600,15900,24100,24700,22200,19300,29600,20700,19000,3900,3800,1700,1700,15900,26200,80700,8633,4865,55223,71152,66800,67000,36100,35000,37000,40000,40000,20000,20074,20025,12526,14926,1335,4151,2027,2226,2707,1761
Hungary,97,Roundwood + (Total),1861,Export Quantity (m3),91,59300,114700,129100,122400,144100,290500,366400,464600,626300,382100,611400,792700,838500,769600,701000,876600,758900,839400,684100,727000,852400,829600,1076400,1174600,1323600,1427500,1458000,1451000,1110287,1044702,1400903,802400,609400,694800,803800,858900,1418900,1331900,1593400,1515000,1575000,1753000,1479000,1117000,1309000,1274000,827000,912050,1119116,1275611
Iceland,99,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,,3646,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,10,1
India,100,Roundwood + (Total),1861,Export Quantity (m3),91,26100,21666,25900,21000,15700,16900,19667,27100,21700,27100,24600,43200,28700,36500,39600,36200,36200,30400,30400,5700,7300,7300,7300,1300,2017,8890,46338,21710,42860,36736,4003,2314,5757,6367,18200,16700,400,400,3100,2800,5700,11753,8743,11371,17818,9403,12035,28703,28900,2869
Indonesia,101,Roundwood + (Total),1861,Export Quantity (m3),91,122700,159500,167400,209400,333500,589500,1422900,3728000,7850000,10847900,13411700,18531300,16897308,14746300,20054904,20126700,20694100,19517400,16313800,6956900,3523700,3490200,2020500,197700,225400,208900,168600,67900,45682,135953,121835,42521,44871,30000,20200,45100,125100,264700,1608700,1469600,1827722,229520,140550,98504,63694,79229,70881,105114,55365,55212
Iran (Islamic Republic of),102,Roundwood + (Total),1861,Export Quantity (m3),91,4500,4500,6300,12000,12000,8000,9000,9800,7200,1400,2200,700,0,100,100,,,,,,,,,,,0,,,,30,,76,308,308,85,85,0,0,0,0,0,46,46,46,46,46,46,46,107,107
Iraq,103,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
Ireland,104,Roundwood + (Total),1861,Export Quantity (m3),91,10200,6300,13600,6500,1400,,,2100,3200,4700,4100,1500,2900,16700,65100,107000,96600,94300,140400,281000,402000,194500,155300,176300,148668,153069,271846,262964,37840,277452,328608,188855,124200,304000,250000,260000,91000,176000,42000,51500,129005,341645,255260,337917,308890,308006,262150,285314,349980,311132
Israel,105,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,0,0,0,0,0,485,56,353,405,760,114,5,0,0,1026,2303,592,592
Italy,106,Roundwood + (Total),1861,Export Quantity (m3),91,9600,8700,13100,13200,19200,26600,21200,19600,25500,10900,6700,6200,20800,9500,4800,8400,19000,7600,4300,5100,6600,5200,6000,4000,9000,5000,10000,12000,35637,41609,41932,21855,9500,5000,7000,9000,16000,15000,24380,23000,16364,10884,17039,15113,16706,17449,33859,27087,47540,105826
Jamaica,109,Roundwood + (Total),1861,Export Quantity (m3),91,200,100,,,,,,,,,,,,,,,,,,,,,,,,0,,,,66,44,5,0,4,3,60,0,81,1,0,0,0,0,0,4,0,0,9,19,19
Japan,110,Roundwood + (Total),1861,Export Quantity (m3),91,18300,15833,22200,27867,36800,31500,33400,27100,25000,22600,12900,10300,17600,19200,19000,24800,30400,36800,21200,31800,30000,44800,42700,38200,36300,28200,16500,13400,30127,34065,32748,7931,7000,4800,8700,5300,2000,2500,3800,3000,3700,7700,8700,23700,31700,20000,49000,39000,66330,101207
Jordan,112,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,13,,0,0,0,0,0,0,0,0,0,0,1792,1792,1792,1792,1968,1968,316,191
Kazakhstan,108,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7066,45851,500,660,5560,4600,4600,6450,559000,559000,3900,0,60,60,0,0,45,0,83,83
Kenya,114,Roundwood + (Total),1861,Export Quantity (m3),91,9100,6000,13200,25400,31600,29700,26200,14200,15200,11300,6000,1000,2000,3700,440,7000,7000,4600,3300,7000,6800,11100,6000,,0,0,,,746,,,151,156,162,0,67,0,0,0,0,442,1353,5438,5438,875,2062,1521,1521,666,3523
