# File: FAO_an_Imp_t_SUA.csv
# Title: FAO animal imports by country, item, year
# Units: tons
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,2,Poultry Meat,2734,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,680,1596,2085,216,290,0,135,650,0,100,150,0,0,0,30,25,45,1068,316,4933,23192,11135,11342,32316,23056,38591,51004,21750
Afghanistan,2,Wool (Clean Eq.),2746,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,87,49,233,618,34,3,0,0,2,2
Afghanistan,2,Animal fats,2946,Import Quantity,5610,23,6,17,34,33,29,32,31,100,21,169,195,230,300,5,6,1252,878,1253,125,375,0,0,22,2,98,80,0,0,0,0,0,0,0,1e4,5e3,3e3,500,1100,1e3,1e3,299,134,75,64,220,456,404,877,2765,3599,4133
Afghanistan,2,"Fish, Seafood",2960,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Afghanistan,2,Meat,2943,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,294,235,1066,1033,2302,2882,1023,1080,148,285,670,50,100,150,0,0,0,30,74,45,1257,710,6636,30325,15048,14882,34351,24335,40988,53664,36188
Albania,3,"Aquatic Animals, Others",2769,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,2,0,0,5,0,4,0,0
Albania,3,Aquatic Plants,2775,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,2,2,0,2,6,21,6,0
Albania,3,Bovine Meat,2731,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e3,2e3,500,20,20,1400,1300,1600,18397,16172,6199,4529,3715,7292,3461,3598,3330,1605,1880,4854,5004,8029,7196,9200,8362,6832,4094,3333,2006,1758
Albania,3,"Butter, Ghee",2740,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,497,495,579,1103,3700,8200,10607,5e3,4e3,1735,651,356,511,634,640,989,999,1350,983,925,1324,581,327,83,74,83
Albania,3,Cephalopods,2766,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,10,11,2,1,0,17,20,29,58,45,109,72,378,632,695,605,1717,1580,1469
Albania,3,Cheese,2741,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e3,1500,1500,706,1049,600,505,329,327,2300,2300,2518,5400,3500,3158,494,455,679,606,840,1264,1180,1283,1450,1519,1308,1284,1222,1258,1577,1341
Albania,3,Cream,2743,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,47,0,127,185,206,449,181,311,383,439,504,504,442,449,636,361
Albania,3,Crustaceans,2765,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,5,30,20,3,25,14,7,8,15,18,49,186,175,289,273,485,775,714
Albania,3,Demersal Fish,2762,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,294,20,38,71,204,72,74,334,159,131,282,282,170,137,808,214,1079
Albania,3,Eggs,2744,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,1339,5687,5e3,4700,5641,1509,667,15349,2642,929,87,2,9,173,51,64,152,175,125,72,171
Albania,3,"Fats, Animals, Raw",2737,Import Quantity,5610,6250,6250,5e3,5e3,6250,7500,6250,7500,7500,8750,5e3,2500,3750,4250,4375,4625,3750,3125,3125,2500,4625,2500,3750,2813,3750,5875,7125,7500,7500,5125,3e3,1150,25,0,2e3,4475,2789,1645,2605,2421,3777,3083,2668,3218,4192,4128,4326,5277,7333,4832,3612,3082
Albania,3,Fish Meal,2855,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,35,42,20,25,23,19,6,18,0,2,0,0,38,68,27
Albania,3,"Fish, Body Oil",2781,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Albania,3,"Fish, Liver Oil",2782,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1
Albania,3,Freshwater Fish,2761,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,110,89,88,69,99,153,249,374,248,154,187,170,203,156,32,24,108
Albania,3,Hides and skins,2748,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,239,0,298,421,1146,2123,1606,1424,563,131,158,713,1613,1528,815,1113
Albania,3,Honey,2745,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,13,0,59,19,16,21,13,19,42,14,18,27,35,24,21,34
Albania,3,"Marine Fish, Other",2764,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,87,148,303,747,154,952,3368,907,1185,1329,669,1178,1516,1182,978,1127,1942,1332,2556,1163
Albania,3,Meat Meal,2749,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600,0,0,0,1900,1200,1300,0,100,140,3,100,0,942,36,19,53,81,94,6,82,0,3,0,0,4,4
Albania,3,"Meat, Other",2735,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,1101,1021,267,200,39,177,112,50,122,133,46,98,9,445,157,62
Albania,3,Milk - Excluding Butter,2848,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3261,3261,15366,18700,11083,10750,7157,5186,4152,4786,24402,79775,49259,26940,45252,35182,28903,7955,10931,25204,14934,17527,24815,23550,23221,26785,30323,27145,27862,28001,27006,32262,28561
Albania,3,"Milk, Skimmed",2739,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e3,3e3,8e3,8e3,1e3,5e3,0,600,400,2e3,2e4,59e3,31e3,9050,8200,1e4,5834,3562,3631,14818,7010,7472,8454,9075,7023,7321,9991,8147,10101,7789,5576,8969,6419
Albania,3,"Milk, Whole",2738,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,164,532,349,420,445,120,120,65,50,250,1431,712,3714,4469,3242,3752,7149,5728,6892,9130,9074,9434,8258,10634,11911,11417,11202
Albania,3,"Molluscs, Other",2767,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,1733,2893,78,620,3,1793,1958,29,83,0,199,24,23,9,17,65,231,94,58
Albania,3,Mutton & Goat Meat,2732,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,117,51,294,342,151,333,340,309,753,844,620,599,615,450,193,221
Albania,3,"Offals, Edible",2736,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3947,3851,684,1591,1221,1587,2111,1278,1567,1686,1616,2736,1657,3705,2514,3802
Albania,3,Pelagic Fish,2763,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e3,2125,1200,800,700,785,350,0,0,784,2194,3780,5182,5026,7639,8738,11852,13811,11616,10438,12888,12128,13649,14530,10464,12519,11289
Albania,3,Pigmeat,2733,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1349,4284,4284,3490,5315,1522,10153,13901,9414,10343,14673,17523,18114,18030,27063,24667,18261,19760,18044,17278,17949
Albania,3,Poultry Meat,2734,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,1900,1400,3100,2800,2900,3914,260,9793,11429,13014,18859,7110,3177,24142,13659,20768,31700,23671,20751,21414,13716,17933,24249,26283,28042,25194,24337
Albania,3,Silk,2747,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,11,0,0,0,0,0,0,0
Albania,3,Whey,2742,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,54,243,135,784,4162,2581,2027,2486,4054,4865,3919,3770,4527,4541,4365
Albania,3,Wool (Clean Eq.),2746,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,160,0,131,0,50,0,50,17,0,0,2,0,0,0,0,0
Albania,3,Animal fats,2946,Import Quantity,5610,6250,6250,5e3,5e3,6250,7500,6250,7500,7500,8750,5e3,2500,3750,4250,4375,4625,3750,3125,3125,2500,4625,2500,3750,2813,4250,6375,7622,7995,8079,6228,6700,9350,10632,5e3,6e3,6236,3487,2001,3243,3240,4623,4522,3850,4879,5558,5492,6155,6364,8102,5365,4323,3527
Albania,3,"Aquatic Products, Other",2961,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0,26,4,2,0,7,6,25,6,0
Albania,3,"Fish, Seafood",2960,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e3,2125,1200,800,700,785,384,1154,1908,4038,3455,4683,6266,10370,10841,10213,13654,15248,13526,12385,15125,14373,16150,17707,15070,17762,15879
Albania,3,Meat,2943,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e3,2e3,4100,1920,1420,4500,4100,4500,22422,17781,20275,20242,20219,32750,13311,18e3,41935,25221,33181,51737,46650,47253,47515,50956,51628,50039,50761,50314,44828,44327
Albania,3,Offals,2945,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3947,3851,684,1591,1221,1587,2111,1278,1567,1686,1616,2736,1657,3705,2514,3802
Algeria,4,"Aquatic Animals, Others",2769,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
Algeria,4,Aquatic Plants,2775,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,7,30,4,9,9,27,9,7,19,24,30,60,13,2
Algeria,4,Bovine Meat,2731,Import Quantity,5610,23900,18136,9364,6109,5079,4840,1669,935,238,13,244,62,0,498,1082,5355,16849,12869,11685,16703,22608,22089,24776,20973,33982,30403,4110,16154,611,10530,17274,20163,25274,24501,32665,27598,11090,22738,22085,11920,5050,19222,47632,91844,99456,73e3,71502,65328,77906,44602,60501,86152
Algeria,4,"Butter, Ghee",2740,Import Quantity,5610,9442,8067,6965,5849,5706,4495,5102,5083,6264,7944,4991,11812,8672,13594,15461,18742,19252,30644,26045,40515,42074,47752,66392,42815,64494,62197,50080,45345,42395,51407,41670,32882,38446,22188,21584,14395,8584,7807,10212,6102,10480,12571,15327,14217,11506,12200,12932,15365,9013,15405,18926,14474
Algeria,4,Cephalopods,2766,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,138,207,195,423,415,423,671,645,463,504,523,791,780,822,624,609,1202
Algeria,4,Cheese,2741,Import Quantity,5610,19498,12486,6493,6e3,5078,5989,5090,5442,6963,4520,1805,1840,2301,5012,3838,5380,6793,12367,5324,11151,15397,15014,17605,12098,14593,7319,4351,8543,4987,1002,1,6712,3405,7652,12372,10429,13606,14669,18331,18935,15820,21579,24355,24658,22935,23936,23698,15419,19063,21684,18929,25356
Algeria,4,Crustaceans,2765,Import Quantity,5610,3100,1200,500,300,100,100,100,0,0,0,0,0,0,0,7,0,20,2,12,4,8,0,11,8,0,30,0,0,0,0,0,36,0,0,35,18,12,34,21,42,34,214,293,695,751,506,1021,1003,1568,1678,2103,2813
Algeria,4,Demersal Fish,2762,Import Quantity,5610,3636,1818,606,303,303,303,303,303,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136,185,632,1654,2738,2819,2066,3408,5305,6923,4033,2808,2300,1620,3242,2708,3076,4647
Algeria,4,Eggs,2744,Import Quantity,5610,7511,5254,1478,1088,513,206,148,695,1162,679,489,648,780,1521,4982,9758,17803,43588,32594,47385,48102,66081,72567,44671,44344,17465,9252,4335,7186,4948,5765,1276,215,337,225,973,909,2506,3848,3252,2561,2710,3894,2247,707,963,265,337,1007,458,534,374
Algeria,4,"Fats, Animals, Raw",2737,Import Quantity,5610,2888,2500,7086,10850,16246,15e3,16250,16947,18484,17021,18667,22529,14503,30087,38892,35690,35952,38425,54252,47278,62607,55227,49462,43816,52133,44601,48128,73184,92359,70110,77354,49793,52504,59369,75550,48209,49792,62370,43556,22237,14686,18273,12125,5721,6824,5269,6566,11241,5220,6162,5266,1929
Algeria,4,Fish Meal,2855,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,1,0,3,1,3,7,11,4,1,1,1,0,1,1,0,0,1
Algeria,4,"Fish, Body Oil",2781,Import Quantity,5610,0,0,0,0,0,0,0,200,300,100,0,0,0,0,77,5,0,8,5,0,0,0,0,0,0,0,0,0,18,0,0,8004,6009,8e3,14194,1299,4013,4,0,1,4,2,3,4,0,6,4,4,0,0,0,0
Algeria,4,"Fish, Liver Oil",2782,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,44,43,5,89,222,24,48,0,0,24,55,10,10,0,16,39,16,0,30,11,2,10,31,44,2,5,8,34,27,9,18,21,34,29
Algeria,4,Freshwater Fish,2761,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,8,4,492,32,50,233,633,457,522,391,7,36,31,14,21,64,234,38,43,11023
Algeria,4,Hides and skins,2748,Import Quantity,5610,0,0,0,0,0,0,0,373,523,2810,2881,1764,8060,5057,2191,4797,11828,6121,2909,6032,10985,11172,6565,10787,9222,10868,10050,11282,9635,11932,7465,976,1661,4393,4393,1406,95,1507,13,0,875,1275,733,682,90,64,60,215,128,128,1,1
Algeria,4,Honey,2745,Import Quantity,5610,0,0,0,0,359,385,0,704,600,700,590,777,803,1613,1231,0,543,600,140,1755,3848,3047,1345,0,0,0,0,0,0,0,0,169,7,303,154,3,140,48,18,1,100,172,222,225,280,498,535,800,779,713,312,786
Algeria,4,"Marine Fish, Other",2764,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,88,0,0,0,0,24,0,0,1,1,1,1,2,20,31,18,23,18,22,30,32,34,65,117,62,131,246
Algeria,4,Meat Meal,2749,Import Quantity,5610,0,0,0,0,0,0,0,385,666,245,80,486,592,597,1950,1679,2021,2572,4839,2724,4526,7410,1370,1e3,4100,0,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,19,0,0,0,0,0,7,7,0,0
Algeria,4,"Meat, Other",2735,Import Quantity,5610,0,0,0,0,0,0,0,19,24,31,234,212,38,96,14,266,334,526,961,664,79,681,2,0,9,0,0,0,7,0,0,11,0,0,3,21,2,5,1,2,3,36,9,1,4,0,85,7,2,2,19,7
Algeria,4,Milk - Excluding Butter,2848,Import Quantity,5610,194536,221901,181145,150671,142977,164417,182565,197314,227350,209965,206969,300614,266211,392417,375891,503369,623087,573475,664568,761115,1071329,962710,1335200,1212188,1545396,1317466,1496020,1551239,1875059,1463915,1723315,1795213,2419966,2086017,1801768,1235683,1612891,1814618,1690996,1830418,2066452,2272248,2019380,2360146,2310604,2284458,2371736,2414299,2681972,2422068,3107050,2841746
Algeria,4,"Milk, Skimmed",2739,Import Quantity,5610,21e3,87500,84500,47800,28700,31100,52470,12836,24693,21909,5691,64880,64950,150490,114760,263930,262090,205250,399440,264150,416655,449728,606249,553892,655984,571817,807347,770067,968782,717407,894287,809780,1392650,1107793,1082597,586780,788930,870400,712720,913990,974220,1140820,819400,913710,833830,688163,926817,1073447,961547,1062267,1337263,1164980
Algeria,4,"Milk, Whole",2738,Import Quantity,5610,42444,46556,48911,60356,78913,91753,93400,147522,154938,156770,188946,220053,182503,200593,229505,189682,301916,274976,208611,408723,530098,389219,579677,548491,757599,666760,617175,683689,822041,702070,781954,898066,931318,868906,579369,548156,691339,800534,818571,742065,935458,927426,994442,1233790,1279897,1400454,1238100,1181467,1542507,1159283,1573166,1446386
Algeria,4,"Molluscs, Other",2767,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,20,109,12,12,65,11,34,28,77,131,27,70,49,21,50,34,93,233,201
Algeria,4,Mutton & Goat Meat,2732,Import Quantity,5610,2035,635,447,467,798,324,0,0,0,0,0,0,0,0,0,357,1668,966,1819,4038,3949,10056,14556,13988,13001,13524,911,0,52,6123,1445,937,4,10,2065,1490,175,2984,3435,6090,663,2547,3040,10922,15336,8053,8132,4984,27,27,0,3055
Algeria,4,"Offals, Edible",2736,Import Quantity,5610,1182,1318,626,275,209,74,50,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,27,2,30,54,111,0,1,323,0,0,1,96,7,28,0,36,1,38,38,349,522
Algeria,4,Pelagic Fish,2763,Import Quantity,5610,11911,4011,2344,3211,611,800,0,0,0,4700,4500,8e3,7600,30824,13635,27486,54462,49588,51666,64672,77268,89012,123022,212190,129784,89916,154427,210079,61262,26669,16525,5397,1793,6288,9377,4943,4431,6833,7330,7227,8030,10184,20797,21414,21705,29497,30737,26005,39366,42465,40282,27048
Algeria,4,Pigmeat,2733,Import Quantity,5610,16269,7076,2206,1758,1712,1625,330,363,294,233,137,23,13,11,6,0,19,2,5,9,33,23,1,305,0,2,0,0,0,0,21,3,10,10,46,112,19,46,16,29,66,92,136,172,118,84,118,128,78,79,38,37
Algeria,4,Poultry Meat,2734,Import Quantity,5610,6623,3992,1721,741,1137,375,46,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,2,1,0,0,0,0,0,0,0,0,4,9,93,123,17,3,104,131,48,1249,1239,1431,2230,885,794,861,1299,467,2898,2771
Algeria,4,Whey,2742,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,811,284,865,486,4149,8459,4149,5392,22270,23135,20527,39473,33473,31757,54730,38338,38878
Algeria,4,Wool (Clean Eq.),2746,Import Quantity,5610,340,227,171,304,487,643,388,1071,1386,1579,1169,1858,1555,1057,1085,2351,2371,3658,2342,1023,1226,83,1964,1794,2211,2397,379,1456,1769,2264,701,641,1290,366,500,244,5,74,149,91,63,70,116,136,112,60,89,102,111,115,19,0
Algeria,4,Animal fats,2946,Import Quantity,5610,12330,10567,14051,16699,21952,19495,21352,22230,25048,25065,23658,34341,23175,43681,54430,54437,55244,69087,80346,87836,104686,103068,116076,86655,116675,106798,98208,118553,134827,121527,119034,90679,96975,89596,111344,63903,62419,70192,53770,28350,25201,30890,27457,19947,18338,17509,19529,26619,14251,21588,24226,16432
Algeria,4,"Aquatic Products, Other",2961,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,7,30,4,9,9,27,9,7,19,24,30,60,13,84
Algeria,4,"Fish, Seafood",2960,Import Quantity,5610,18647,7029,3451,3814,1014,1203,403,303,303,4700,4500,8e3,7600,30824,13642,27486,54489,49590,51679,64676,77276,89012,123033,212198,129839,90034,154427,210079,61262,26669,16580,5442,1801,6315,10161,5329,5344,9015,11176,11024,11121,14968,27196,29580,27123,33428,34925,29586,45384,47667,46477,47179
Algeria,4,Meat,2943,Import Quantity,5610,48827,29840,13738,9075,8726,7164,2045,1317,555,277,615,296,50,605,1103,5978,18871,14362,14470,21413,26678,32852,39337,35267,46992,43928,5021,16154,670,16653,18740,21114,25292,24530,34872,29344,11304,25776,25641,18173,5830,23145,52055,104369,117144,82022,80630,71308,79311,45177,63456,92022
Algeria,4,Offals,2945,Import Quantity,5610,1182,1318,626,275,209,74,50,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,27,2,30,54,111,0,1,323,0,0,1,96,7,28,0,36,1,38,38,349,522
Angola,7,"Aquatic Animals, Others",2769,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,2,0,2,4,6,22,24,29,21,2,3,3
