"","UCD_region","UCD_sector","mode","size.class","variable","Year","Subsector","unit","UCD_technology","UCD_fuel","median","Value"
"182","Middle East","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35748.229116236
"183","Middle East","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52994.8735803643
"184","Middle East","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101285.478079924
"185","Middle East","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181407.271271951
"186","Southeast Asia","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35748.229116236
"187","Southeast Asia","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52994.8735803643
"188","Southeast Asia","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101285.478079924
"189","Southeast Asia","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181407.271271951
"190","USA","Freight","Truck","Truck (0-2.7t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","1.35",35748.229116236
"191","USA","Freight","Truck","Truck (2.7-4.5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","3.6",54374.6051374946
"192","USA","Freight","Truck","Truck (4.5-12t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","8.25",118532.122544052
"193","USA","Freight","Truck","Truck (>12t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","22",321951.721369609
"194","Western Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35748.229116236
"195","Western Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321951.721369609
"196","Western Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140723.35150684
"197","Western Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321951.721369609
"198","Brazil","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35748.229116236
"199","Brazil","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",151818.965988234
"200","Brazil","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321951.721369609
"201","Africa","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35675.4794950768
"202","Africa","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52889.3699062739
"203","Africa","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101088.263057626
"204","Africa","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181048.034313383
"205","Australia_NZ","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35675.4794950768
"206","Australia_NZ","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52889.3699062739
"207","Australia_NZ","Freight","Truck","Truck (6-30t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","18",262248.585994579
"208","Canada","Freight","Truck","Truck (0-4.5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","2.25",35675.4794950768
"209","Canada","Freight","Truck","Truck (4.5-15t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140447.758472786
"210","Canada","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321303.532671812
"211","China","Freight","Truck","Truck (0-6t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","3",46003.8137417951
"212","China","Freight","Truck","Truck (6-14t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","10",144138.692640113
"213","China","Freight","Truck","Truck (>14t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23",321303.532671812
"214","Eastern Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35675.4794950768
"215","Eastern Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321303.532671812
"216","Eastern Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140447.758472786
"217","Eastern Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321303.532671812
"218","Former Soviet Union","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35675.4794950768
"219","Former Soviet Union","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321303.532671812
"220","Former Soviet Union","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140447.758472786
"221","Former Soviet Union","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321303.532671812
"222","India","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35675.4794950768
"223","India","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52889.3699062739
"224","India","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101088.263057626
"225","India","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181048.034313383
"226","Japan","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35675.4794950768
"227","Japan","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52889.3699062739
"228","Korea","Freight","Truck","Truck","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","16",232721.112655962
"229","Latin America","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35675.4794950768
"230","Latin America","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",151520.560974767
"231","Latin America","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321303.532671812
"232","Middle East","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35675.4794950768
"233","Middle East","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52889.3699062739
"234","Middle East","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101088.263057626
"235","Middle East","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181048.034313383
"236","Southeast Asia","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35675.4794950768
"237","Southeast Asia","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52889.3699062739
"238","Southeast Asia","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101088.263057626
"239","Southeast Asia","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181048.034313383
"240","USA","Freight","Truck","Truck (0-2.7t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","1.35",35675.4794950768
"241","USA","Freight","Truck","Truck (2.7-4.5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","3.6",54266.4811391697
"242","USA","Freight","Truck","Truck (4.5-12t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","8.25",118302.153468823
"243","USA","Freight","Truck","Truck (>12t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","22",321303.532671812
"244","Western Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35675.4794950768
"245","Western Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321303.532671812
"246","Western Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140447.758472786
"247","Western Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321303.532671812
"248","Brazil","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2065","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35675.4794950768
"249","Brazil","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2065","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",151520.560974767
"250","Brazil","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2065","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321303.532671812
"251","Africa","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35673.5276759725
"252","Africa","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5393198959
"253","Africa","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101082.971922881
"254","Africa","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181038.396248641
"255","Australia_NZ","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35673.5276759725
"256","Australia_NZ","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5393198959
"257","Australia_NZ","Freight","Truck","Truck (6-30t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","18",262234.459719253
"258","Canada","Freight","Truck","Truck (0-4.5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","2.25",35673.5276759725
"259","Canada","Freight","Truck","Truck (4.5-15t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140440.364513335
"260","Canada","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321286.142243335
"261","China","Freight","Truck","Truck (0-6t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","3",46001.3346623265
"262","China","Freight","Truck","Truck (6-14t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","10",144131.09467109
"263","China","Freight","Truck","Truck (>14t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23",321286.142243335
"264","Eastern Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35673.5276759725
"265","Eastern Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321286.142243335
"266","Eastern Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140440.364513335
"267","Eastern Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321286.142243335
"268","Former Soviet Union","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35673.5276759725
"269","Former Soviet Union","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321286.142243335
"270","Former Soviet Union","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140440.364513335
"271","Former Soviet Union","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321286.142243335
"272","India","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35673.5276759725
"273","India","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5393198959
"274","India","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101082.971922881
"275","India","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181038.396248641
"276","Japan","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35673.5276759725
"277","Japan","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5393198959
"278","Korea","Freight","Truck","Truck","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","16",232708.618457213
"279","Latin America","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35673.5276759725
"280","Latin America","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",151512.554986601
"281","Latin America","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321286.142243335
"282","Middle East","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35673.5276759725
"283","Middle East","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5393198959
"284","Middle East","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101082.971922881
"285","Middle East","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181038.396248641
"286","Southeast Asia","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35673.5276759725
"287","Southeast Asia","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5393198959
"288","Southeast Asia","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101082.971922881
"289","Southeast Asia","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181038.396248641
"290","USA","Freight","Truck","Truck (0-2.7t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","1.35",35673.5276759725
"291","USA","Freight","Truck","Truck (2.7-4.5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","3.6",54263.5802514098
"292","USA","Freight","Truck","Truck (4.5-12t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","8.25",118295.983566805
"293","USA","Freight","Truck","Truck (>12t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","22",321286.142243335
"294","Western Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35673.5276759725
"295","Western Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321286.142243335
"296","Western Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140440.364513335
"297","Western Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321286.142243335
"298","Brazil","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2080","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35673.5276759725
"299","Brazil","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2080","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",151512.554986601
"300","Brazil","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2080","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321286.142243335
"301","Africa","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35673.5185822699
"302","Africa","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5261319366
"303","Africa","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101082.947271004
"304","Africa","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181038.351344021
"305","Australia_NZ","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35673.5185822699
"306","Australia_NZ","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5261319366
"307","Australia_NZ","Freight","Truck","Truck (6-30t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","18",262234.393903652
"308","Canada","Freight","Truck","Truck (0-4.5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","2.25",35673.5185822699
"309","Canada","Freight","Truck","Truck (4.5-15t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140440.330064206
"310","Canada","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321286.061219747
"311","China","Freight","Truck","Truck (0-6t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","3",46001.3231120699
"312","China","Freight","Truck","Truck (6-14t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","10",144131.059271462
"313","China","Freight","Truck","Truck (>14t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23",321286.061219747
"314","Eastern Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35673.5185822699
"315","Eastern Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321286.061219747
"316","Eastern Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140440.330064206
"317","Eastern Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321286.061219747
"318","Former Soviet Union","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35673.5185822699
"319","Former Soviet Union","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321286.061219747
"320","Former Soviet Union","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140440.330064206
"321","Former Soviet Union","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321286.061219747
"322","India","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35673.5185822699
"323","India","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5261319366
"324","India","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101082.947271004
"325","India","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181038.351344021
"326","Japan","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35673.5185822699
"327","Japan","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5261319366
"328","Korea","Freight","Truck","Truck","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","16",232708.560245605
"329","Latin America","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35673.5185822699
"330","Latin America","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",151512.517685974
"331","Latin America","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321286.061219747
"332","Middle East","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35673.5185822699
"333","Middle East","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5261319366
"334","Middle East","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101082.947271004
"335","Middle East","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181038.351344021
"336","Southeast Asia","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35673.5185822699
"337","Southeast Asia","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52886.5261319366
"338","Southeast Asia","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101082.947271004
"339","Southeast Asia","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181038.351344021
"340","USA","Freight","Truck","Truck (0-2.7t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","1.35",35673.5185822699
"341","USA","Freight","Truck","Truck (2.7-4.5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","3.6",54263.56673591
"342","USA","Freight","Truck","Truck (4.5-12t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","8.25",118295.95482067
"343","USA","Freight","Truck","Truck (>12t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","22",321286.061219747
"344","Western Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2095","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35673.5185822699
"345","Western Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2095","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321286.061219747
"346","Western Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2095","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140440.330064206
