"","UCD_region","UCD_sector","mode","size.class","variable","Year","Subsector","unit","UCD_technology","UCD_fuel","median","Value"
"63","China","Freight","Truck","Truck (>14t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23",406509.856719805
"64","Eastern Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",49211.4528448589
"65","Eastern Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",406509.856719805
"66","Eastern Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",176675.279015551
"67","Eastern Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",406509.856719805
"68","Former Soviet Union","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",49211.4528448589
"69","Former Soviet Union","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",406509.856719805
"70","Former Soviet Union","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",176675.279015551
"71","Former Soviet Union","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",406509.856719805
"72","India","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","1",49211.4528448589
"73","India","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",69903.2896481684
"74","India","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",127840.432697435
"75","India","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",228270.796459363
"76","Japan","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",49211.4528448589
"77","Japan","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",69903.2896481684
"78","Korea","Freight","Truck","Truck","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","16",293937.818660578
"79","Latin America","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",49211.4528448589
"80","Latin America","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",190746.783772954
"81","Latin America","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",406509.856719805
"82","Middle East","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","1",49211.4528448589
"83","Middle East","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",69903.2896481684
"84","Middle East","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",127840.432697435
"85","Middle East","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",228270.796459363
"86","Southeast Asia","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","1",49211.4528448589
"87","Southeast Asia","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",69903.2896481684
"88","Southeast Asia","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",127840.432697435
"89","Southeast Asia","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",228270.796459363
"90","USA","Freight","Truck","Truck (0-2.7t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","1.35",49211.4528448589
"91","USA","Freight","Truck","Truck (2.7-4.5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","3.6",71558.6365924331
"92","USA","Freight","Truck","Truck (4.5-12t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","8.25",148532.269500744
"93","USA","Freight","Truck","Truck (>12t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","22",406509.856719805
"94","Western Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",49211.4528448589
"95","Western Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",406509.856719805
"96","Western Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",176675.279015551
"97","Western Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",406509.856719805
"98","Brazil","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",49211.4528448589
"99","Brazil","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",190746.783772954
"100","Brazil","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",406509.856719805
"101","Africa","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","1",38460.1663382966
"102","Africa","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",56871.2661135749
"103","Africa","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",108422.345484354
"104","Africa","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",194374.849288553
"105","Australia_NZ","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",38460.1663382966
"106","Australia_NZ","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",56871.2661135749
"107","Australia_NZ","Freight","Truck","Truck (6-30t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","18",281781.37214951
"108","Canada","Freight","Truck","Truck (0-4.5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","2.25",38460.1663382966
"109","Canada","Freight","Truck","Truck (4.5-15t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",150671.587858075
"110","Canada","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",345349.752412024
"111","China","Freight","Truck","Truck (0-6t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","3",49506.8262034636
"112","China","Freight","Truck","Truck (6-14t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","10",154644.611624482
"113","China","Freight","Truck","Truck (>14t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23",345349.752412024
"114","Eastern Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",38460.1663382966
"115","Eastern Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",345349.752412024
"116","Eastern Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",150671.587858075
"117","Eastern Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",345349.752412024
"118","Former Soviet Union","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",38460.1663382966
"119","Former Soviet Union","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",345349.752412024
