ALL,trn_passenger,rail,rail ICE,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_shipping_intl,international ship,international ship ICE,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV ICE,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus ICE,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_freight,air,air,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail coal,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail ICE,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_freight,road,truck ICE,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_freight,domestic ship,domestic ship ICE,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_passenger,air,air,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail coal,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail ICE,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_shipping_intl,international ship,international ship ICE,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV ICE,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus ICE,ALL,OC,,,,,,,,,,,,,,,
ALL,trn_freight,air,air,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail coal,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail ICE,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_freight,road,truck ICE,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_freight,domestic ship,domestic ship ICE,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_passenger,air,air,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail coal,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail ICE,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_shipping_intl,international ship,international ship ICE,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV ICE,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV gas,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus ICE,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus gas,ALL,NMVOC,,,,,,,,,,,,,,,
ALL,trn_freight,road,truck ICE,ALL,NH3,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV ICE,ALL,NH3,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus ICE,ALL,NH3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
130001,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,air,air,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,rail,rail coal,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,rail,rail ICE,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,road,truck ICE,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,domestic ship,domestic ship ICE,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,air,air,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,rail,rail coal,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,rail,rail ICE,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_shipping_intl,international ship,international ship ICE,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,LDV,LDV ICE,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,LDV,LDV gas,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,bus,bus ICE,ALL,SO2_1,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,bus,bus gas,ALL,SO2_1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
130002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,air,air,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,rail,rail coal,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,rail,rail ICE,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,road,truck ICE,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,domestic ship,domestic ship ICE,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,air,air,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,rail,rail coal,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,rail,rail ICE,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_shipping_intl,international ship,international ship ICE,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,LDV,LDV ICE,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,LDV,LDV gas,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,bus,bus ICE,ALL,SO2_2,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,bus,bus gas,ALL,SO2_2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
130003,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,air,air,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,rail,rail coal,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,rail,rail ICE,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,road,truck ICE,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,domestic ship,domestic ship ICE,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,air,air,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,rail,rail coal,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,rail,rail ICE,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_shipping_intl,international ship,international ship ICE,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,LDV,LDV ICE,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,LDV,LDV gas,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,bus,bus ICE,ALL,SO2_3,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,bus,bus gas,ALL,SO2_3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
130004,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,air,air,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,rail,rail coal,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,rail,rail ICE,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,road,truck ICE,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_freight,domestic ship,domestic ship ICE,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,air,air,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,rail,rail coal,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_passenger,rail,rail ICE,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_shipping_intl,international ship,international ship ICE,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,LDV,LDV ICE,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,LDV,LDV gas,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,bus,bus ICE,ALL,SO2_4,,,,,,,,,,,,,,,
SO2 Region 1,trn_pass_road,bus,bus gas,ALL,SO2_4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Uncontrolled emissions coefficients,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
13015,,,,,,,,,,,,,,,,,,,,
,,,,,uncontrolled-emiss-coef,,,,,,,,,,,,,,,
supplysector,tranSubsector,tranTechnology,period,generic-ghg,USA,Canada,Western Europe,Japan,Australia_NZ,Former Soviet Union,China,Middle East,Africa,Latin America,Southeast Asia,Eastern Europe,Korea,India,,lookup
trn_freight,air,air,1990,CH4,0.000740852,0.000740877,0.000708525,0.000766752,0.000778478,0.00068986,0.001103766,0.000593977,0.000489692,0.000627239,0.000385334,0.00057364,0.001158429,0.001002014,,CH4trn_airrefined liquids
trn_freight,rail,rail ICE,1990,CH4,0.000469179,0.002602708,0.001639746,0.000691008,0.005706465,0.009918065,0.010419025,0,0.000787052,0.005264164,0.001339275,0.001035126,0.003546445,0.001469992,,CH4trn_railrefined liquids
trn_freight,road,truck ICE,1990,CH4,0.007740637,0.021585945,0.014676648,0.004421097,0.026445539,0.015718499,0.064107863,0.015646106,0.015247231,0.019117581,0.025552533,0.01482063,0.022976231,0.025853589,,CH4trn_roadrefined liquids
trn_freight,domestic ship,domestic ship ICE,1990,CH4,0.000469179,0.002602708,0.001639746,0.000691008,0.005706465,0.009918065,0.010419025,0,0.000787052,0.005264164,0.001339275,0.001035126,0.003546445,0.001469992,,CH4trn_domestic shiprefined liquids
trn_passenger,air,air,1990,CH4,0.000740852,0.000740877,0.000708525,0.000766752,0.000778478,0.00068986,0.001103766,0.000593977,0.000489692,0.000627239,0.000385334,0.00057364,0.001158429,0.001002014,,CH4trn_airrefined liquids
trn_passenger,rail,rail ICE,1990,CH4,0.000469179,0.002602708,0.001639746,0.000691008,0.005706465,0.009918065,0.010419025,0,0.000787052,0.005264164,0.001339275,0.001035126,0.003546445,0.001469992,,CH4trn_railrefined liquids
trn_shipping_intl,international ship,international ship ICE,1990,CH4,0.074529612,0.074529612,0.074529612,0.074529612,0.074529612,0.070928963,0.070859767,0.071301306,0.070760152,0.071493094,0.070877149,0.071571337,0.074369024,0.070722178,,CH4trn_international shiprefined liquids
trn_pass_road,LDV,LDV ICE,1990,CH4,0.007740637,0.021585945,0.014676648,0.004421097,0.026445539,0.015718499,0.064107863,0.015646106,0.015247231,0.019117581,0.025552533,0.01482063,0.022976231,0.025853589,,CH4trn_roadrefined liquids
trn_pass_road,bus,bus ICE,1990,CH4,0.007740637,0.021585945,0.014676648,0.004421097,0.026445539,0.015718499,0.064107863,0.015646106,0.015247231,0.019117581,0.025552533,0.01482063,0.022976231,0.025853589,,CH4trn_roadrefined liquids
trn_freight,air,air,1990,N2O,0.002929198,0.002933039,0.002257818,0.003005496,0.00257988,0.002146502,0.003346867,0.001833639,0.001887735,0.002032935,0.001178022,0.002076221,0.003439891,0.00319119,,N2Otrn_airrefined liquids
trn_freight,rail,rail ICE,1990,N2O,0.001013193,0.001107873,0.000769708,0.000822068,0.002189493,0.002945408,0.000874313,0,0.000409501,0.003403089,0.000436776,0.001030827,0.000702153,0.000899669,,N2Otrn_railrefined liquids
trn_freight,road,truck ICE,1990,N2O,0.004522827,0.003948708,0.001680747,0.003655415,0.004175642,0.000290546,0.000760805,0.000555048,0.000571045,0.000896982,0.000417739,0.000847407,0.000610997,0.001042174,,N2Otrn_roadrefined liquids
trn_freight,domestic ship,domestic ship ICE,1990,N2O,0.001013193,0.001107873,0.000769708,0.000822068,0.002189493,0.002945408,0.000874313,0,0.000409501,0.003403089,0.000436776,0.001030827,0.000702153,0.000899669,,N2Otrn_domestic shiprefined liquids
trn_passenger,air,air,1990,N2O,0.002929198,0.002933039,0.002257818,0.003005496,0.00257988,0.002146502,0.003346867,0.001833639,0.001887735,0.002032935,0.001178022,0.002076221,0.003439891,0.00319119,,N2Otrn_airrefined liquids
trn_passenger,rail,rail ICE,1990,N2O,0.001013193,0.001107873,0.000769708,0.000822068,0.002189493,0.002945408,0.000874313,0,0.000409501,0.003403089,0.000436776,0.001030827,0.000702153,0.000899669,,N2Otrn_railrefined liquids
trn_shipping_intl,international ship,international ship ICE,1990,N2O,0.000790108,0.000622614,0.00053379,0.000978029,0.000781563,0.016282452,0.000726563,0.000689925,0.000555082,0.000542101,0.000271205,0.000651384,0.000746757,0.00561978,,N2Otrn_international shiprefined liquids
trn_pass_road,LDV,LDV ICE,1990,N2O,0.004522827,0.003948708,0.001680747,0.003655415,0.004175642,0.000290546,0.000760805,0.000555048,0.000571045,0.000896982,0.000417739,0.000847407,0.000610997,0.001042174,,N2Otrn_roadrefined liquids
trn_pass_road,bus,bus ICE,1990,N2O,0.004522827,0.003948708,0.001680747,0.003655415,0.004175642,0.000290546,0.000760805,0.000555048,0.000571045,0.000896982,0.000417739,0.000847407,0.000610997,0.001042174,,N2Otrn_roadrefined liquids
trn_freight,air,air,1990,NOx,0.313009952,0.317038217,0.30984867,0.299369276,0.320882434,0.294714049,0.292561388,0.296799329,0.293853961,0.297945787,0.294443111,0.324973899,0.308000782,0.293670377,,NOxtrn_airrefined liquids
trn_freight,rail,rail ICE,1990,NOx,3.2400544,3.254953904,5.385991956,3.360192454,2.760342929,7.010639095,0.694985013,0,1.143936396,4.548591521,1.420632261,2.703657304,0.728474486,1.578000129,,NOxtrn_railrefined liquids
trn_freight,road,truck ICE,1990,NOx,0.633362647,0.852476211,0.438457498,1.000965741,0.582784611,0.474585123,0.667663146,0.658583521,0.767642094,0.677177658,0.792601319,1.39087671,0.752391028,1.375566979,,NOxtrn_roadrefined liquids
trn_freight,domestic ship,domestic ship ICE,1990,NOx,2.511433636,1.549377166,4.66648892,3.469916588,2.968300131,6.706624942,0.697974767,0,1.145007005,4.563837881,1.428536652,2.792192317,0.773834591,1.579181344,,NOxtrn_domestic shiprefined liquids
trn_passenger,air,air,1990,NOx,0.313009952,0.317038217,0.30984867,0.299369276,0.320882434,0.294714049,0.292561388,0.296799329,0.293853961,0.297945787,0.294443111,0.324973899,0.308000782,0.293670377,,NOxtrn_airrefined liquids
trn_passenger,rail,rail ICE,1990,NOx,3.2400544,3.254953904,5.385991956,3.360192454,2.760342929,7.010639095,0.694985013,0,1.143936396,4.548591521,1.420632261,2.703657304,0.728474486,1.578000129,,NOxtrn_railrefined liquids
trn_shipping_intl,international ship,international ship ICE,1990,NOx,3.689422825,3.87636161,3.551879155,3.145446806,4.068250927,2.985875333,2.916191084,3.055921251,2.957633369,3.095411249,2.978822189,4.288688163,3.474922561,2.952877381,,NOxtrn_international shiprefined liquids
trn_pass_road,LDV,LDV ICE,1990,NOx,0.633362647,0.852476211,0.438457498,1.000965741,0.582784611,0.474585123,0.667663146,0.658583521,0.767642094,0.677177658,0.792601319,1.39087671,0.752391028,1.375566979,,NOxtrn_roadrefined liquids
trn_pass_road,bus,bus ICE,1990,NOx,0.633362647,0.852476211,0.438457498,1.000965741,0.582784611,0.474585123,0.667663146,0.658583521,0.767642094,0.677177658,0.792601319,1.39087671,0.752391028,1.375566979,,NOxtrn_roadrefined liquids
trn_freight,air,air,1990,CO,0.240242841,0.252661251,0.221447294,0.209744974,0.265566686,0.196334869,0.297705655,0.196787257,0.175265652,0.197802382,0.105458626,0.205612977,0.354782779,0.297621295,,COtrn_airrefined liquids
trn_freight,rail,rail ICE,1990,CO,8.34168706,0.428646325,3.15887283,0.1227105,1.208226747,43.50265659,1.827534644,0,1.154534259,1.409402185,0.170403493,0.226372684,0.362757996,0.424810047,,COtrn_railrefined liquids
trn_freight,road,truck ICE,1990,CO,5.061859252,7.539633318,2.167068126,1.609667313,4.654469321,3.023393082,8.965882306,5.198737031,5.005931297,4.079586663,3.808984324,2.766628277,1.846204223,5.961746487,,COtrn_roadrefined liquids
trn_freight,domestic ship,domestic ship ICE,1990,CO,8.34168706,0.428646325,3.15887283,0.1227105,1.208226747,43.50265659,1.827534644,0,1.154534259,1.409402185,0.170403493,0.226372684,0.362757996,0.424810047,,COtrn_domestic shiprefined liquids
trn_passenger,air,air,1990,CO,0.240242841,0.252661251,0.221447294,0.209744974,0.265566686,0.196334869,0.297705655,0.196787257,0.175265652,0.197802382,0.105458626,0.205612977,0.354782779,0.297621295,,COtrn_airrefined liquids
trn_passenger,rail,rail ICE,1990,CO,8.34168706,0.428646325,3.15887283,0.1227105,1.208226747,43.50265659,1.827534644,0,1.154534259,1.409402185,0.170403493,0.226372684,0.362757996,0.424810047,,COtrn_railrefined liquids
trn_shipping_intl,international ship,international ship ICE,1990,CO,0.244943507,0.257354511,0.235811881,0.208828537,0.270094184,0.198234469,0.193587444,0.202884869,0.196359464,0.205506639,0.197641154,0.194053106,0.230702676,0.19596243,,COtrn_international shiprefined liquids
trn_pass_road,LDV,LDV ICE,1990,CO,5.061859252,7.539633318,2.167068126,1.609667313,4.654469321,3.023393082,8.965882306,5.198737031,5.005931297,4.079586663,3.808984324,2.766628277,1.846204223,5.961746487,,COtrn_roadrefined liquids
trn_pass_road,bus,bus ICE,1990,CO,5.061859252,7.539633318,2.167068126,1.609667313,4.654469321,3.023393082,8.965882306,5.198737031,5.005931297,4.079586663,3.808984324,2.766628277,1.846204223,5.961746487,,COtrn_roadrefined liquids
trn_freight,air,air,1990,BC,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,,BCtrn_airrefined liquids
trn_freight,rail,rail coal,1990,BC,0,0,0.381627616,0,0,15.53888715,0.145769634,0,1.026125779,0.484630444,0,15.76068613,0,0,,BCtrn_railcoal
trn_freight,rail,rail ICE,1990,BC,0.026786624,0.026123065,0.025501667,0.014338976,0.014657689,0.025273183,0.005188212,0,0.009993854,0.028133028,0.030570165,0.02459457,0.023593692,0.015336697,,BCtrn_railrefined liquids
trn_freight,road,truck ICE,1990,BC,0.010653147,0.009764432,0.024450898,0.018360077,0.015565756,0.017665302,0.016753723,0.023712005,0.041809941,0.048210627,0.050005071,0.050081994,0.040822372,0.05866941,,BCtrn_roadrefined liquids
trn_freight,domestic ship,domestic ship ICE,1990,BC,0.007470999,0.049815668,0.059170494,0.021344204,0.055966748,0.093318154,0.015705607,0,0.004001051,0.044481987,0.034081812,0.122443827,0.020869767,0.036329959,,BCtrn_domestic shiprefined liquids
trn_passenger,air,air,1990,BC,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,0.000527651,,BCtrn_airrefined liquids
trn_passenger,rail,rail coal,1990,BC,0,0,0.381627616,0,0,15.53888715,0.145769634,0,1.026125779,0.484630444,0,15.76068613,0,0,,BCtrn_railcoal
trn_passenger,rail,rail ICE,1990,BC,0.026786624,0.026123065,0.025501667,0.014338976,0.014657689,0.025273183,0.005188212,0,0.009993854,0.028133028,0.030570165,0.02459457,0.023593692,0.015336697,,BCtrn_railrefined liquids
trn_shipping_intl,international ship,international ship ICE,1990,BC,0.024593318,0.025285204,0.024064563,0.022395684,0.025965209,0.022847944,0.02181874,0.023999684,0.022346686,0.024597284,0.022691766,0.026711092,0.023761089,0.022237594,,BCtrn_international shiprefined liquids
trn_pass_road,LDV,LDV ICE,1990,BC,0.010653147,0.009764432,0.024450898,0.018360077,0.015565756,0.017665302,0.016753723,0.023712005,0.041809941,0.048210627,0.050005071,0.050081994,0.040822372,0.05866941,,BCtrn_roadrefined liquids
trn_pass_road,bus,bus ICE,1990,BC,0.010653147,0.009764432,0.024450898,0.018360077,0.015565756,0.017665302,0.016753723,0.023712005,0.041809941,0.048210627,0.050005071,0.050081994,0.040822372,0.05866941,,BCtrn_roadrefined liquids
trn_freight,air,air,1990,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OCtrn_airrefined liquids
trn_freight,rail,rail coal,1990,OC,0,0,0.045357028,0,0,3.624638209,0.036468555,0,0.192929695,0,0,2.581250137,0,0,,OCtrn_railcoal
trn_freight,rail,rail ICE,1990,OC,0.063531057,0.063279523,0.065663372,0.055031011,0.045966236,0.091037336,0.020300043,0,0.030710564,0.065078589,0.079031592,0.071363515,0.132723619,0.061475063,,OCtrn_railrefined liquids
trn_freight,road,truck ICE,1990,OC,0.006710359,0.006601734,0.01091625,0.00901282,0.007958546,0.01651359,0.031323242,0.071183851,0.09017207,0.085758197,0.06870448,0.028679506,0.024973807,0.050883781,,OCtrn_roadrefined liquids
trn_freight,domestic ship,domestic ship ICE,1990,OC,0.003037417,0.012338462,0.015764274,0.008343651,0.017910495,0.034639367,0.006355007,0,0.00093144,0.01088985,0.009406088,0.036633063,0.011998783,0.015289845,,OCtrn_domestic shiprefined liquids
trn_passenger,air,air,1990,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OCtrn_airrefined liquids
trn_passenger,rail,rail coal,1990,OC,0,0,0.045357028,0,0,3.624638209,0.036468555,0,0.192929695,0,0,2.581250137,0,0,,OCtrn_railcoal
trn_passenger,rail,rail ICE,1990,OC,0.063531057,0.063279523,0.065663372,0.055031011,0.045966236,0.091037336,0.020300043,0,0.030710564,0.065078589,0.079031592,0.071363515,0.132723619,0.061475063,,OCtrn_railrefined liquids
trn_shipping_intl,international ship,international ship ICE,1990,OC,0.026169091,0.026905309,0.025606458,0.023830648,0.027628884,0.024311886,0.023216737,0.025537421,0.02377851,0.026173311,0.0241457,0.028422558,0.025283539,0.023662428,,OCtrn_international shiprefined liquids
trn_pass_road,LDV,LDV ICE,1990,OC,0.006710359,0.006601734,0.01091625,0.00901282,0.007958546,0.01651359,0.031323242,0.071183851,0.09017207,0.085758197,0.06870448,0.028679506,0.024973807,0.050883781,,OCtrn_roadrefined liquids
trn_pass_road,bus,bus ICE,1990,OC,0.006710359,0.006601734,0.01091625,0.00901282,0.007958546,0.01651359,0.031323242,0.071183851,0.09017207,0.085758197,0.06870448,0.028679506,0.024973807,0.050883781,,OCtrn_roadrefined liquids
trn_freight,air,air,1990,NMVOC,0.070370509,0.072938053,0.06560405,0.064252609,0.075366837,0.060979296,0.093023785,0.051834161,0.054624371,0.061215434,0.03302407,0.084061607,0.105772651,0.09271091,,NMVOCtrn_airrefined liquids
trn_freight,rail,rail coal,1990,NMVOC,0,0,0.352020134,0,0,10.53168133,0.135934852,0,0.088985771,0.445110661,0,0.120536576,0,0,,NMVOCtrn_railcoal
trn_freight,rail,rail ICE,1990,NMVOC,0.162839872,0.069400301,0.352020134,0.016011701,0.20336705,10.53168133,0.135934852,0,0.088985771,0.445110661,0.077983917,0.120536576,0.092419549,0.138688839,,NMVOCtrn_railrefined liquids
