"logitexp, fuelprefelasticity and fixed investment",,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
region,supplysector,subsector,logitexp,fuelprefElasticity,FixedInvestment,,,,,,,,,
Southeast Asia,electricity,geothermal,1975,1,1,1,0.17,0.33,0.5,0.5,0.5,0.5,,
Eastern Europe,electricity,geothermal,1975,1,1,1,0.05,0.25,0.5,0.5,0.5,0.5,,
India,electricity,geothermal,1975,0,0,0,0.17,0.33,0.5,0.5,0.5,0.5,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tech lifetime,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,
,,,,lifetime,,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
USA,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Canada,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Western Europe,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Japan,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Australia_NZ,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Former Soviet Union,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
China,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Middle East,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Africa,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Latin America,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Southeast Asia,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
Eastern Europe,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
India,electricity,geothermal,geothermal,-1,-1,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
non-energy input cost,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1001,,,,minicam-non-energy-input,,,,,,,,,,
,,,,input-cost,,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
USA,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Canada,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Western Europe,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Japan,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Australia_NZ,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Former Soviet Union,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
China,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Middle East,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Africa,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Latin America,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Southeast Asia,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
Eastern Europe,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
India,electricity,geothermal,geothermal,3.12,3.12,3.12,2.91,2.69,2.53,2.43,2.34,2.26,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tech efficiency,,,,To do: link this to where you specify the tech efficiency in the supply curves worksheet. Probably stick with 10% for now because we have a source.,,,,,,,,,,
INPUT_TABLE,,,,,assumed tech improvement rate (global),,,,,,,,,
Variable ID,,,,,0.00%,,,,,,,,,
1002,,,,minicam-energy-input,,,,,,,,,,
,,,,efficiency,,,,,,,,,,
Region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,minicam-energy-input,
USA,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Canada,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Western Europe,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Japan,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Australia_NZ,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Former Soviet Union,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
China,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Middle East,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Africa,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Latin America,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Southeast Asia,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
Eastern Europe,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
India,electricity,geothermal,geothermal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,geothermal,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Calibrated input value,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1003,,,,minicam-energy-input,,,,,from caldata workbook; not linked,,,,,
,,,,calibrated-value,,,,Geothermal output,,,,Fraction of generation,,
Region,supplysector,subsector,technology,1990,2005,minicam-energy-input,,,1990,2005,,1990,2005,
USA,electricity,geothermal,geothermal,0.576432,0.604008,geothermal,,USA,0.0576432,0.0604008,,0.50%,0.39%,
Canada,electricity,geothermal,geothermal,0,0,geothermal,,Canada,0,0,,0.00%,0.00%,
Western Europe,electricity,geothermal,geothermal,0.126936,0.25398,geothermal,,Western Europe,0.0126936,0.025398,,0.15%,0.22%,
Japan,electricity,geothermal,geothermal,0.062676,0.116136,geothermal,,Japan,0.0062676,0.0116136,,0.21%,0.29%,
Australia_NZ,electricity,geothermal,geothermal,0.079776,0.102672,geothermal,,Australia_NZ,0.0079776,0.0102672,,1.19%,0.97%,
Former Soviet Union,electricity,geothermal,geothermal,0.001008,0.01476,geothermal,,Former Soviet Union,0.0001008,0.001476,,0.00%,0.03%,
China,electricity,geothermal,geothermal,0,0,geothermal,,China,0,0,,0.00%,0.00%,
Middle East,electricity,geothermal,geothermal,0,0,geothermal,,Middle East,0,0,,0.00%,0.00%,
Africa,electricity,geothermal,geothermal,0.011736,0.031932,geothermal,,Africa,0.0011736,0.0031932,,0.10%,0.16%,
Latin America,electricity,geothermal,geothermal,0.213444,0.351684,geothermal,,Latin America,0.0213444,0.0351684,,0.96%,0.86%,
Southeast Asia,electricity,geothermal,geothermal,0.236268,0.594288,geothermal,,Southeast Asia,0.0236268,0.0594288,,2.02%,1.92%,
Eastern Europe,electricity,geothermal,geothermal,0.00288,0.003384,geothermal,,Eastern Europe,0.000288,0.0003384,,0.00%,0.00%,
India,electricity,geothermal,geothermal,0,0,geothermal,,India,0,0,,0.00%,0.00%,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Set tech shareweights to 0 for techs with 0 calinput,,,,,,,,,,,,,,
don't read,,,,,,,,,,,,,,
don't read,,,,,,,,,,,,,,
1004,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Region,supplysector,subsector,technology,period,sharewt,,,,,,,,,
Canada,electricity,geothermal,geothermal,1990,0,,,,,,,,,
China,electricity,geothermal,geothermal,1990,0,,,,,,,,,
Middle East,electricity,geothermal,geothermal,1990,0,,,,,,,,,
Eastern Europe,electricity,geothermal,geothermal,1990,0,,,,,,,,,
India,electricity,geothermal,geothermal,1990,0,,,,,,,,,
Canada,electricity,geothermal,geothermal,2005,0,,,,,,,,,
China,electricity,geothermal,geothermal,2005,0,,,,,,,,,
Middle East,electricity,geothermal,geothermal,2005,0,,,,,,,,,
Eastern Europe,electricity,geothermal,geothermal,2005,0,,,,,,,,,
India,electricity,geothermal,geothermal,2005,0,,,,,,,,,
Canada,electricity,geothermal,geothermal,2020,0,,,,,,,,,
Middle East,electricity,geothermal,geothermal,2020,0,,,,,,,,,
Eastern Europe,electricity,geothermal,geothermal,2020,0,,,,,,,,,
Canada,electricity,geothermal,geothermal,2035,0,,,,,,,,,
Middle East,electricity,geothermal,geothermal,2035,0,,,,,,,,,
Eastern Europe,electricity,geothermal,geothermal,2035,0,,,,,,,,,
Canada,electricity,geothermal,geothermal,2050,0,,,,,,,,,
Middle East,electricity,geothermal,geothermal,2050,0,,,,,,,,,
Eastern Europe,electricity,geothermal,geothermal,2050,0,,,,,,,,,
Canada,electricity,geothermal,geothermal,2065,0,,,,,,,,,
Middle East,electricity,geothermal,geothermal,2065,0,,,,,,,,,
Eastern Europe,electricity,geothermal,geothermal,2065,0,,,,,,,,,
Canada,electricity,geothermal,geothermal,2080,0,,,,,,,,,
Middle East,electricity,geothermal,geothermal,2080,0,,,,,,,,,
Eastern Europe,electricity,geothermal,geothermal,2080,0,,,,,,,,,
Canada,electricity,geothermal,geothermal,2095,0,,,,,,,,,
Middle East,electricity,geothermal,geothermal,2095,0,,,,,,,,,
Eastern Europe,electricity,geothermal,geothermal,2095,0,,,,,,,,,
,,,,,,,,,,,,,,
Delete small regions,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
region,supplysector,subsector,,,,,,,,,,,,
Korea,electricity,geothermal,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
