GTAP_crop,GCAM_commodity,FAO_crop,gcal_t
Avocados,MiscCrop,AVOCADOS,1.19
Bananas,MiscCrop,BANANAS,0.6
Berriesnes,MiscCrop,BERRIES NES,0.49
Blueberries,MiscCrop,BLUEBERRIES,0.55
Carobs,MiscCrop,CAROBS,1.11
Cashewapple,MiscCrop,CASHEWAPPLE,0.43
Cherries,MiscCrop,CHERRIES,0.65
CitrusFrtNES,MiscCrop,CITRUS FRUIT NES,0.26
Cranberries,MiscCrop,CRANBERRIES,0.47
Currants,MiscCrop,CURRANTS,0.59
Dates,MiscCrop,DATES,1.56
Figs,MiscCrop,FIGS,0.73
FrtFrshNES,MiscCrop,FRUIT NES FRESH,0.45
FrtTrpFrNES,MiscCrop,FRUIT TROPICAL NES,0.41
Gooseberries,MiscCrop,GOOSEBERRIES,0.44
Grpfrt_Pmlos,MiscCrop,GRAPEFRUIT AND POMELO,0.16
Grapes,MiscCrop,GRAPES,0.53
KiwiFruit,MiscCrop,KIWI,0.52
Lmn_Lme,MiscCrop,LEMONS AND LIMES,0.15
Mangoes,MiscCrop,MANGOES,0.45
Oranges,MiscCrop,ORANGES,0.34
Papayas,MiscCrop,PAPAYAS,0.26
Peach_Nctrn,MiscCrop,PEACHES AND NECTARINES,0.33
Pears,MiscCrop,PEARS,0.54
Persimmons,MiscCrop,PERSIMMONS,0.82
Pineapples,MiscCrop,PINEAPPLES,0.26
Plantains,MiscCrop,PLANTAINS,0.75
Plums,MiscCrop,PLUMS,0.52
Quinces,MiscCrop,QUINCES,0.35
Raspberries,MiscCrop,RASPBERRIES,0.47
SourCherries,MiscCrop,SOUR CHERRY,0.45
StnFrtNESFrh,MiscCrop,STONE FRUIT NES,0.52
Strawberries,MiscCrop,STRAWBERRIES,0.28
TngMndClmnt,MiscCrop,"TANGERINES, MANDARINES, CLEMENTINES",0.32
CastorBeans,OilCrop,OILSEEDS NES,3.87
Coconuts,PalmFruit,COCONUTS,1.84
GrndntWShll,OilCrop,GROUNDNUTS IN SHELL,4.14
Hempseed,OilCrop,OILSEEDS NES,3.87
KrtNtSheant,OilCrop,KARITE NUTS,5.79
Linseed,OilCrop,LINSEED,4.98
Melonseed,OilCrop,MELONSEED,4
MustardSeed,OilCrop,MUSTARD SEED,4.69
OilPalmFruit,PalmFruit,OIL PALM FRUIT,1.58
Oilseedsnes,OilCrop,OILSEEDS NES,3.87
Olives,OilCrop,OLIVES,1.75
PoppySeed,OilCrop,POPPY SEED,5.33
Rapeseed,OilCrop,RAPESEED,4.94
SfflwrSeed,OilCrop,OILSEEDS NES,3.87
SesameSeed,OilCrop,SESAME SEED,5.73
Soybeans,OilCrop,SOYBEANS,3.35
SnflwrSeed,OilCrop,SUNFLOWER SEED,3.08
TungNuts,OilCrop,OILSEEDS NES,3.87
Ans_bdn_fnnl,MiscCrop,ANISE,3.45
ArcNtBtl,MiscCrop,ARECANUTS,2.45
ChicoryRoots,MiscCrop,CHICORY ROOTS,0.6
CnnmnCnlla,MiscCrop,CINNAMON,2.61
cloves,MiscCrop,CLOVES,3.23
CocoaBeans,MiscCrop,COCOA BEANS,4.14
CoffeeGreen,MiscCrop,COFFEE GREEN,0.47
ginger,MiscCrop,GINGER,3.47
Hops,MiscCrop,SPICES NES,3.37
Kolanuts,MiscCrop,KOLANUTS,3.49
Mate,MiscCrop,MATE,0.4
NaturalGums,na,na,0
NatRubber,na,na,0
Ntmg_Mc_Crdm,MiscCrop,NUTMEG,5.25
Pepper,MiscCrop,PEPPER WHITE/LONG/BLACK,2.76
Peppermint,MiscCrop,SPICES NES,3.37
Pimento,MiscCrop,PIMENTO,3.18
PrthrmDrdFlw,na,na,0
spicesnes,MiscCrop,SPICES NES,3.37
Tea,MiscCrop,TEA,0.4
TbccLeaves,MiscCrop,na,0
Vanilla,MiscCrop,na,0
BambaraBeans,MiscCrop,BAMBARA BEANS,3.65
BeansDry,MiscCrop,"BEANS, DRY",3.41
BrdBeansDry,MiscCrop,BROAD BEANS DRY,3.43
ChickPeas,MiscCrop,CHICK-PEAS,3.58
CowPeasDry,MiscCrop,COW PEAS DRY,3.42
Lentils,MiscCrop,LENTILS,3.46
Lupins,MiscCrop,LUPINS,3.9
PeasDry,MiscCrop,"PEAS, DRY",3.46
PigeonPeas,MiscCrop,PIGEON PEAS,3.43
Pulsesnes,MiscCrop,PULSES NES,3.4
Vetches,MiscCrop,VETCHES,3.25
Cassava,Root_Tuber,CASSAVA,1.09
Potatoes,Root_Tuber,POTATOES,0.67
Root_TbrNES,Root_Tuber,"ROOTS, TUBERS NES",0.91
SweetPotato,Root_Tuber,SWEET POTATOES,0.92
TaroCocoYam,Root_Tuber,TARO (COCOYAM),0.86
Yams,Root_Tuber,YAMS,1.01
YautiaCcYam,Root_Tuber,YAUTIA (COCOYAM),1.09
SugarBeets,SugarCrop,SUGAR BEETS,0.7
SugarCane,SugarCrop,SUGAR CANE,0.3
SugarCrpNES,SugarCrop,SUGAR CROPS NES,3.9
Almonds,MiscCrop,ALMONDS,2.36
BrazilNuts,MiscCrop,BRAZIL NUTS,3.15
CashewNuts,MiscCrop,CASHEW NUTS,2.52
Chestnuts,MiscCrop,CHESTNUTS,1.58
HzlntFlbrt,MiscCrop,HAZELNUTS,2.91
Nutsnes,MiscCrop,NUTS NES,2.62
Pistachios,MiscCrop,PISTACHIOS,2.89
Walnuts,MiscCrop,WALNUTS,2.89
Artichokes,MiscCrop,ARTICHOKES,0.2
Asparagus,MiscCrop,ASPARAGUS,0.12
BeanGreen,MiscCrop,"BEANS, GREEN",0.5
BrdBeanGreen,MiscCrop,"BROAD BEANS,GREEN",0.23
Cabbages,MiscCrop,CABBAGES,0.19
Cntlp_othMln,MiscCrop,MELONS,0.17
Carrots,MiscCrop,CARROTS,0.38
Cauliflower,MiscCrop,CAULIFLOWER,0.09
Chll_PpprGrn,MiscCrop,"CHILLIES, PEPPERS,GREEN",0.25
Ccmbr_Ghrkn,MiscCrop,"CUCUMBERS, GHERINKS",0.13
Eggplants,MiscCrop,EGGPLANTS,0.21
Garlic,MiscCrop,GARLIC,1.3
GrnCornMaize,Corn,GREEN CORN,0.56
Lettuce,MiscCrop,LETTUCE,0.12
Mushrooms,MiscCrop,MUSHROOMS,0.24
Okra,MiscCrop,OKRA,0.31
OnionDry,MiscCrop,"ONIONS, DRY",0.31
OnionShlltGn,MiscCrop,"ONIONS,SHALLOTS, GREEN",0.24
PeasGreen,MiscCrop,"PEAS, GREEN",0.31
PmpknSqshGrd,MiscCrop,"PUMPKINS, SQUASH, GOURDS",0.19
Spinach,MiscCrop,SPINACH,0.16
StringBeans,MiscCrop,STRING BEANS,0.27
Tomatoes,MiscCrop,TOMATOES,0.17
VgtbFrshNES,MiscCrop,VEGETABLES NES FRESH,0.22
Watermelons,MiscCrop,WATERMELONS,0.17
