# File: Bond_OC_1990.csv
# Title: 1990 OC emissions by Minicam 17 regions, technology, fuel
# Units: Gg C
# Source: Bond et al. 2007. Global Biogeochemical Cycles 21 GB2018. DOI: 10.1029/2006GB002840
Technology,USA , Canada , WEurope , Japan , AustraliaAndNZ , FUSSR , EEurope , ChinaCPA , India , SandEAsia , SKorea , MiddleEast , Africa , LAmerica , Argentina , Brazil , Mexico 
CommBuildings_Gasoline,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
CommBuildings_Diesel,0.31,0.09,0.64,0.28,0.01,0,0.01,2.7,0,0.34,0.06,0.01,0.36,0.27,0.19,0.07,0.03
CommBuildings_Biomass,21.14,0,0.16,0,0,0,0.26,0,0,0.44,0,0,3.09,0.27,0,0.89,0
Residential_Coal,9.96,0.39,39.33,0,0.35,0,42.68,238.5,20.28,1.54,2.57,0,6.56,0.63,0,0,0
Residential_Gas,0.06,0.01,0.04,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0
Residential_Petroleum,0.37,0.05,0.72,0.99,0.02,0.33,0.05,0.19,0.86,0.88,0.04,0.9,0.67,0.38,0.09,0.24,0.31
Residential_Gasoline,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
Residential_Diesel,0.54,0.1,1.34,0,0,0,0.02,0.02,1,0.34,0,0.04,0.07,0.09,0,0,0
Residential_Biomass,265.17,35,179.09,0.01,10.96,0,39.24,1544.55,1009.9,677.91,0,0.08,793.84,112.47,0.94,47.8,38.32
UrbanBurn_OpenWaste,2.07,0.24,2.11,0.87,0.13,2.2,0.44,11.87,5.24,3.87,0.35,0.96,6.78,1.69,0.3,1.19,0.57
UrbanBurn_OpenBiomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RuralBurn_OpenWaste,4.12,0.45,6.12,0,0,4.33,2.5,0,0,0,0,0,0,0,0,0,0
RuralBurn_OpenBiomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SavannaBurn_OpenWaste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SavannaBurn_OpenBiomass,0,0,5.95,0,915.93,0.03,0,341.05,29.1,129.88,0,0.03,7946.94,884.24,30.67,1861.5,0
ForestBurn_OpenWaste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForestBurn_OpenBiomass,821.28,571.92,604,2.91,107.17,1160.16,17.36,435.46,194.69,1205.67,0.42,25.32,2308.67,1620.84,38.32,1868.2,257.24
AgResidueBurn_OpenWaste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgResidueBurn_OpenBiomass,14.45,58.58,51.28,6.11,99,78.05,20.66,375.41,276.05,162.76,5.71,13.99,242.09,57.28,26.66,67.22,11.35
