# File: EPA_NOx.csv
# Title: EPA nitrous oxide emissions
# Units: thousand short tons (?)
# Source: EPA National Emissions Trends
# Description: These EPA data files come from the old GCAM3 system (they were in nonco2/Input Data/EPA National Inventories). The documentation there is limited. For example, the CO file says: "National Emissions Trends -- updated 7/18/2005. Carbon Monoxide Emissions (thousand short tons)."
Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
        subbituminous,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_        subbituminous,164.00,136.00,131.00,121.00,113.00,111.00,103.00,98.00,100.00,108.00,94.00,109.00,106.00,109.00,122.00,14.00,14.00,14.00,15.00,14.00,18.00,20.00,21.00,28.00,38.00,46.00,46.00,46.00,44.00,35.00,34.00,36.00,62.00
        anthracite & lignite,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_        anthracite & lignite,75.00,62.00,57.00,53.00,49.00,51.00,49.00,46.00,45.00,48.00,44.00,48.00,46.00,48.00,54.00,33.00,31.00,27.00,29.00,30.00,26.00,26.00,26.00,26.00,27.00,26.00,19.00,19.00,18.00,22.00,21.00,23.00,35.00
        other,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_        other, , , , , , , , , , , , , , , ,131.00,129.00,119.00,126.00,124.00,141.00,137.00,122.00,122.00,117.00,112.00,109.00,108.00,105.00,118.00,114.00,122.00,119.00
Oil,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Oil,332.00,388.00,409.00,431.00,402.00,354.00,432.00,470.00,457.00,340.00,286.00,245.00,247.00,175.00,175.00,309.00,300.00,292.00,296.00,294.00,265.00,237.00,244.00,245.00,241.00,247.00,224.00,216.00,209.00,192.00,201.00,214.00,175.00
        residual,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_        residual,228.00,225.00,235.00,246.00,230.00,186.00,240.00,255.00,247.00,211.00,179.00,139.00,151.00,100.00,100.00,191.00,181.00,172.00,175.00,176.00,180.00,146.00,154.00,153.00,149.00,156.00,140.00,130.00,126.00,104.00,112.00,115.00,86.00
        distillate,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_        distillate,104.00,113.00,123.00,127.00,114.00,112.00,132.00,144.00,141.00,75.00,63.00,73.00,67.00,50.00,52.00,89.00,89.00,89.00,91.00,88.00,71.00,73.00,73.00,75.00,76.00,73.00,73.00,74.00,72.00,81.00,81.00,91.00,80.00
        other,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_        other, ,50.00,51.00,57.00,59.00,56.00,60.00,71.00,69.00,54.00,44.00,33.00,29.00,25.00,24.00,29.00,30.00,31.00,31.00,29.00,14.00,18.00,17.00,17.00,17.00,17.00,11.00,12.00,11.00,8.00,8.00,8.00,8.00
Gas,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Gas,3060.00,3270.00,3349.00,3386.00,3260.00,2983.00,3245.00,3250.00,3231.00,3143.00,2619.00,2493.00,2587.00,2277.00,2457.00,1520.00,1433.00,1505.00,1584.00,1625.00,1181.00,1250.00,1301.00,1330.00,1333.00,1324.00,1204.00,1189.00,1175.00,1033.00,1048.00,1044.00,1058.00
        natural,,3053.00,3119.00,3196.00,3230.00,3106.00,2837.00,3091.00,3095.00,3078.00,2988.00,2469.00,2364.00,2463.00,2151.00,2329.00,1282.00,1206.00,1285.00,1360.00,1405.00,967.00,1025.00,1068.00,1095.00,1103.00,1102.00,992.00,970.00,958.00,835.00,845.00,848.00,837.00
        process,,8.00,7.00,7.00,5.00,7.00,5.00,9.00,6.00,6.00,6.00,5.00,5.00,3.00,3.00,3.00,227.00,216.00,210.00,214.00,209.00,211.00,222.00,230.00,233.00,228.00,220.00,210.00,216.00,215.00,197.00,202.00,196.00,219.00
        other,, ,144.00,147.00,151.00,147.00,140.00,145.00,149.00,148.00,149.00,145.00,125.00,121.00,123.00,125.00,11.00,10.00,10.00,10.00,10.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,3.00
Other,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Other,162.00,147.00,158.00,164.00,163.00,149.00,170.00,176.00,191.00,201.00,205.00,196.00,187.00,196.00,209.00,118.00,120.00,119.00,121.00,120.00,131.00,129.00,126.00,124.00,124.00,123.00,119.00,113.00,114.00,142.00,140.00,148.00,145.00
        wood/bark waste,,102.00,104.00,111.00,116.00,115.00,108.00,123.00,128.00,140.00,141.00,138.00,138.00,130.00,144.00,144.00,89.00,92.00,92.00,93.00,92.00,89.00,82.00,82.00,83.00,83.00,84.00,83.00,79.00,80.00,100.00,99.00,106.00,100.00
        liquid waste,, , , , , , , , , , , , , , , ,12.00,12.00,12.00,12.00,12.00,8.00,11.00,10.00,11.00,11.00,11.00,9.00,8.00,8.00,7.00,7.00,7.00,9.00
        other,,60.00,43.00,46.00,48.00,48.00,41.00,46.00,47.00,51.00,61.00,67.00,57.00,57.00,51.00,64.00,17.00,16.00,15.00,16.00,16.00,34.00,36.00,34.00,30.00,30.00,28.00,27.00,26.00,25.00,36.00,35.00,36.00,36.00
Internal Combustion,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Inter0l Combustion, , , , , , , , , , , , , , , ,655.00,599.00,552.00,569.00,556.00,873.00,793.00,825.00,863.00,846.00,854.00,1064.00,1045.00,1028.00,923.00,926.00,918.00,1045.00
FUEL COMB. OTHER (Tier 1 - 03),FUEL COMB. OTHER (Tier 1 - 03),836.00,848.00,865.00,844.00,808.00,785.00,840.00,816.00,831.00,783.00,741.00,689.00,696.00,648.00,670.00,712.00,694.00,706.00,740.00,736.00,1196.00,1281.00,1353.00,1308.00,1303.00,1298.00,1197.00,1177.00,1101.00,768.00,766.00,779.00,725.00
Commercial/Institutional Coal,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Coal,23.00,27.00,30.00,34.00,38.00,33.00,33.00,35.00,40.00,34.00,25.00,29.00,33.00,34.00,37.00,37.00,36.00,37.00,39.00,38.00,40.00,36.00,38.00,40.00,40.00,38.00,33.00,35.00,37.00,36.00,37.00,38.00,38.00
Commercial/Institutional Oil,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Oil,210.00,211.00,215.00,213.00,191.00,176.00,197.00,188.00,185.00,150.00,155.00,122.00,118.00,96.00,96.00,106.00,110.00,121.00,117.00,106.00,97.00,88.00,93.00,93.00,95.00,103.00,95.00,97.00,80.00,81.00,83.00,85.00,75.00
Commercial/Institutional Gas,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Gas,120.00,125.00,130.00,130.00,128.00,125.00,133.00,125.00,130.00,139.00,131.00,126.00,130.00,122.00,126.00,145.00,139.00,144.00,157.00,159.00,200.00,210.00,225.00,232.00,237.00,231.00,247.00,252.00,243.00,244.00,249.00,257.00,229.00
Misc. Fuel Comb. (Except Residential),FUEL COMB. OTHER (Tier 1 - 03)_Misc. Fuel Comb. (Except Residential), , , , , , , , , , , , , , , ,11.00,12.00,11.00,11.00,11.00,34.00,32.00,28.00,31.00,31.00,30.00,22.00,23.00,23.00,35.00,36.00,37.00,24.00
Residential Wood,FUEL COMB. OTHER (Tier 1 - 03)_Residential Wood,44.00,42.00,42.00,39.00,41.00,39.00,44.00,49.00,57.00,66.00,74.00,75.00,81.00,80.00,81.00,88.00,77.00,69.00,74.00,75.00,46.00,50.00,53.00,45.00,44.00,49.00,30.00,30.00,30.00,45.00,33.00,33.00,28.00
Residential Other,FUEL COMB. OTHER (Tier 1 - 03)_Residential Other,439.00,442.00,448.00,428.00,410.00,412.00,433.00,418.00,419.00,393.00,356.00,337.00,333.00,316.00,331.00,326.00,320.00,323.00,343.00,347.00,780.00,865.00,916.00,867.00,857.00,847.00,770.00,740.00,688.00,326.00,328.00,330.00,332.00
        distillate oil,FUEL COMB. OTHER (Tier 1 - 03)_        distillate oil,118.00,117.00,120.00,118.00,112.00,113.00,125.00,124.00,123.00,104.00,85.00,77.00,71.00,62.00,64.00,75.00,76.00,79.00,80.00,78.00,209.00,211.00,210.00,210.00,210.00,210.00,193.00,188.00,172.00,53.00,53.00,53.00,56.00
        natural gas,FUEL COMB. OTHER (Tier 1 - 03)_        natural gas,242.00,249.00,256.00,244.00,239.00,246.00,252.00,241.00,245.00,248.00,238.00,227.00,232.00,219.00,228.00,248.00,241.00,241.00,259.00,267.00,449.00,469.00,489.00,513.00,516.00,519.00,470.00,437.00,400.00,208.00,209.00,211.00,235.00
        other,FUEL COMB. OTHER (Tier 1 - 03)_        other,79.00,76.00,71.00,66.00,58.00,54.00,55.00,54.00,51.00,41.00,33.00,33.00,31.00,36.00,40.00,3.00,3.00,3.00,3.00,3.00,10.00,185.00,218.00,144.00,131.00,118.00,14.00,14.00,14.00,58.00,59.00,59.00,40.00
INDUSTRIAL PROCESSES TOTAL (Tier 0 - 02),INDUSTRIAL PROCESSES TOTAL (Tier 0 - 02),1215.00,830.00,800.00,795.00,754.00,697.00,697.00,708.00,719.00,720.00,666.00,658.00,554.00,544.00,579.00,891.00,872.00,841.00,860.00,852.00,893.00,816.00,857.00,861.00,878.00,873.00,951.00,994.00,1010.00,940.00,943.00,978.00,1000.00
CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04),CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04),271.00,240.00,243.00,251.00,243.00,221.00,217.00,227.00,218.00,230.00,213.00,207.00,158.00,145.00,161.00,262.00,264.00,255.00,274.00,273.00,168.00,165.00,163.00,155.00,160.00,158.00,125.00,127.00,129.00,102.00,105.00,107.00,105.00
Organic Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Organic Chemical Mfg,70.00,45.00,52.00,61.00,57.00,53.00,50.00,60.00,61.00,67.00,54.00,57.00,48.00,56.00,57.00,37.00,38.00,38.00,42.00,42.00,18.00,22.00,22.00,19.00,20.00,20.00,21.00,21.00,21.00,14.00,15.00,15.00,18.00
Inorganic Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Inorganic Chemical Mfg,201.00,195.00,191.00,191.00,186.00,168.00,167.00,166.00,156.00,163.00,159.00,150.00,110.00,89.00,104.00,22.00,19.00,17.00,18.00,18.00,12.00,12.00,10.00,5.00,6.00,7.00,6.00,6.00,6.00,7.00,7.00,8.00,8.00
Polymer & Resin Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Polymer & Resin Mfg, , , , , , , , , , , , , , , ,22.00,22.00,22.00,23.00,23.00,6.00,6.00,6.00,5.00,5.00,4.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00
Agricultural Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Agricultural Chemical Mfg, , , , , , , , , , , , , , , ,143.00,145.00,141.00,151.00,152.00,80.00,77.00,76.00,74.00,76.00,74.00,50.00,51.00,52.00,48.00,49.00,49.00,48.00
"Paint, Varnish, Lacquer, Enamel Mfg","CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Paint, Varnish, Lacquer, E0mel Mfg", , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pharmaceutical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Pharmaceutical Mfg, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Chemical Mfg,CHEMICAL & ALLIED PRODUCT MFG (Tier 1 - 04)_Other Chemical Mfg, , , , , , , , , , , , , , , ,38.00,38.00,37.00,40.00,39.00,52.00,48.00,50.00,51.00,54.00,54.00,45.00,46.00,47.00,31.00,31.00,32.00,29.00
METALS PROCESSING (Tier 1 - 05),METALS PROCESSING (Tier 1 - 05),77.00,72.00,78.00,88.00,83.00,73.00,79.00,76.00,83.00,82.00,65.00,70.00,45.00,49.00,54.00,87.00,80.00,75.00,82.00,83.00,98.00,76.00,81.00,83.00,91.00,98.00,83.00,89.00,89.00,86.00,89.00,94.00,84.00
Non-Ferrous Metals Processing,METALS PROCESSING (Tier 1 - 05)_Non-Ferrous Metals Processing, , , , , , , , , , , , , , , ,16.00,15.00,14.00,15.00,15.00,14.00,15.00,13.00,12.00,12.00,12.00,11.00,12.00,12.00,9.00,9.00,9.00,9.00
Ferrous Metals Processing,METALS PROCESSING (Tier 1 - 05)_Ferrous Metals Processing,77.00,72.00,78.00,88.00,83.00,73.00,79.00,76.00,83.00,82.00,65.00,70.00,45.00,49.00,54.00,58.00,53.00,48.00,53.00,54.00,78.00,56.00,62.00,67.00,75.00,83.00,66.00,71.00,71.00,71.00,73.00,78.00,68.00
Metals Processing NEC,METALS PROCESSING (Tier 1 - 05)_Metals Processing NEC, , , , , , , , , , , , , , , ,13.00,13.00,13.00,13.00,14.00,6.00,5.00,6.00,4.00,4.00,4.00,7.00,7.00,6.00,7.00,7.00,7.00,7.00
PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06),PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06),240.00,54.00,56.00,58.00,60.00,63.00,64.00,68.00,70.00,71.00,72.00,72.00,70.00,68.00,70.00,124.00,109.00,101.00,100.00,97.00,153.00,121.00,148.00,123.00,117.00,110.00,139.00,143.00,143.00,120.00,122.00,124.00,149.00
Oil & Gas Production,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Oil & Gas Production, , , , , , , , , , , , , , , ,69.00,55.00,48.00,48.00,47.00,104.00,65.00,68.00,70.00,63.00,58.00,86.00,88.00,88.00,66.00,67.00,69.00,68.00
Petroleum Refineries & Related Industries,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Petroleum Refineries & Related Industries,240.00,54.00,56.00,58.00,60.00,63.00,64.00,68.00,70.00,71.00,72.00,72.00,70.00,68.00,70.00,55.00,53.00,52.00,51.00,49.00,47.00,52.00,76.00,49.00,49.00,48.00,47.00,48.00,48.00,46.00,46.00,47.00,46.00
Asphalt Manufacturing,PETROLEUM & RELATED INDUSTRIES (Tier 1 - 06)_Asphalt Manufacturing, , , , , , , , , , , , , , , ,1.00,1.00,1.00,1.00,1.00,3.00,4.00,4.00,5.00,5.00,5.00,7.00,7.00,7.00,8.00,9.00,9.00,35.00
OTHER INDUSTRIAL PROCESSES (Tier 1 - 07),OTHER INDUSTRIAL PROCESSES (Tier 1 - 07),187.00,192.00,201.00,210.00,204.00,182.00,198.00,208.00,220.00,219.00,205.00,200.00,179.00,191.00,203.00,327.00,328.00,320.00,315.00,311.00,378.00,352.00,361.00,370.00,389.00,399.00,433.00,460.00,467.00,452.00,479.00,501.00,487.00
"Agriculture, Food, & Kindred Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Agriculture, Food, & Kindred Products", , , , , , , , , , , , , , , ,5.00,5.00,5.00,5.00,5.00,3.00,3.00,3.00,4.00,3.00,6.00,5.00,5.00,5.00,8.00,8.00,4.00,8.00
"Textiles, Leather, & Apparel Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Textiles, Leather, & Apparel Products", , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
"Wood, Pulp & Paper, & Publishing Products","OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Wood, Pulp & Paper, & Publishing Products",18.00,18.00,19.00,20.00,20.00,18.00,20.00,21.00,21.00,22.00,24.00,23.00,23.00,25.00,26.00,73.00,76.00,76.00,76.00,77.00,91.00,88.00,86.00,86.00,89.00,89.00,86.00,89.00,91.00,93.00,96.00,99.00,83.00
Rubber & Miscellaneous Plastic Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Rubber & Miscellaneous Plastic Products, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
Mineral Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Mineral Products,169.00,174.00,182.00,190.00,184.00,164.00,178.00,187.00,199.00,198.00,181.00,177.00,156.00,167.00,177.00,239.00,238.00,230.00,225.00,220.00,271.00,249.00,259.00,267.00,281.00,287.00,327.00,350.00,355.00,338.00,361.00,383.00,386.00
        cement mfg,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_        cement mfg,97.00,102.00,107.00,111.00,105.00,89.00,95.00,102.00,109.00,110.00,98.00,93.00,82.00,92.00,101.00,137.00,136.00,130.00,126.00,124.00,151.00,131.00,139.00,143.00,150.00,153.00,196.00,212.00,214.00,181.00,190.00,203.00,214.00
        glass mfg,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_        glass mfg,48.00,49.00,50.00,53.00,53.00,53.00,58.00,61.00,65.00,63.00,60.00,61.00,57.00,57.00,57.00,48.00,48.00,47.00,46.00,45.00,4.00,59.00,61.00,64.00,66.00,67.00,3.00,4.00,3.00,3.00,9.00,10.00,10.00
        other,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_        other,24.00,24.00,24.00,25.00,26.00,23.00,24.00,24.00,25.00,25.00,23.00,23.00,17.00,18.00,19.00,54.00,54.00,53.00,53.00,51.00,56.00,59.00,60.00,60.00,64.00,66.00,57.00,59.00,60.00,85.00,89.00,94.00,87.00
Machinery Products,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Machinery Products, , , , , , , , , , , , , , , ,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,6.00,7.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00
Electronic Equipment,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Electronic Equipment, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Transportation Equipment,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Transportation Equipment, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miscellaneous Industrial Processes,OTHER INDUSTRIAL PROCESSES (Tier 1 - 07)_Miscellaneous Industrial Processes, , , , , , , , , , , , , , , ,8.00,8.00,7.00,7.00,7.00,10.00,10.00,10.00,9.00,9.00,10.00,12.00,12.00,12.00,11.00,11.00,12.00,9.00
SOLVENT UTILIZATION (Tier 1 - 08),SOLVENT UTILIZATION (Tier 1 - 08), , , , , , , , , , , , , , , ,2.00,3.00,3.00,3.00,3.00,1.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,4.00,4.00,4.00,8.00
Degreasing,SOLVENT UTILIZATION (Tier 1 - 08)_Degreasing, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
Graphic Arts,SOLVENT UTILIZATION (Tier 1 - 08)_Graphic Arts, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Dry Cleaning,SOLVENT UTILIZATION (Tier 1 - 08)_Dry Cleaning, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surface Coating,SOLVENT UTILIZATION (Tier 1 - 08)_Surface Coating, , , , , , , , , , , , , , , ,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00
Other Industrial,SOLVENT UTILIZATION (Tier 1 - 08)_Other Industrial, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nonindustrial,, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solvent Utilization NEC,, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STORAGE & TRANSPORT (Tier 1 - 09),STORAGE & TRANSPORT (Tier 1 - 09), , , , , , , , , , , , , , , ,2.00,2.00,2.00,2.00,2.00,3.00,6.00,5.00,5.00,5.00,6.00,15.00,16.00,16.00,14.00,15.00,16.00,16.00
