# File: HFC_Inventory_GV.csv
# Title: F gases historical trend (SSP2_GV)
# Units: kt
# Source: Guus Velders HFC inventory
# Description: HFC emissions from scenario - SSP2_GV 1990 - 2012
# Column types: cinc 
# ----------
Species,Year,Emissions,Scenario
HFC-143a,2000,8.1406,SSP2_GV
HFC-143a,2001,8.2638,SSP2_GV
HFC-143a,2002,9.0153,SSP2_GV
HFC-143a,2003,10.7911,SSP2_GV
HFC-143a,2004,11.6553,SSP2_GV
HFC-143a,2005,13.6036,SSP2_GV
HFC-143a,2006,15.155,SSP2_GV
HFC-143a,2007,15.6148,SSP2_GV
HFC-143a,2008,17.4634,SSP2_GV
HFC-143a,2009,18.0391,SSP2_GV
HFC-143a,2010,19.2954,SSP2_GV
HFC-143a,2011,20.7447,SSP2_GV
HFC-143a,2012,22.6063,SSP2_GV
HFC-152a,1990,0,SSP2_GV
HFC-152a,1991,3.006,SSP2_GV
HFC-152a,1992,4.4045,SSP2_GV
HFC-152a,1993,5.3696,SSP2_GV
HFC-152a,1994,6.8318,SSP2_GV
HFC-152a,1995,6.6132,SSP2_GV
HFC-152a,1996,7.4271,SSP2_GV
HFC-152a,1997,9.9868,SSP2_GV
HFC-152a,1998,11.5946,SSP2_GV
HFC-152a,1999,12.4471,SSP2_GV
HFC-152a,2000,14.3859,SSP2_GV
HFC-152a,2001,16.5689,SSP2_GV
HFC-152a,2002,20.5331,SSP2_GV
HFC-152a,2003,23.6252,SSP2_GV
HFC-152a,2004,26.6168,SSP2_GV
HFC-152a,2005,32.6342,SSP2_GV
HFC-152a,2006,39.7502,SSP2_GV
HFC-152a,2007,43.6395,SSP2_GV
HFC-152a,2008,42.8219,SSP2_GV
HFC-152a,2009,42.6544,SSP2_GV
HFC-152a,2010,47.5831,SSP2_GV
HFC-152a,2011,48.467,SSP2_GV
HFC-152a,2012,46.2206,SSP2_GV
HFC-227ea,1990,0,SSP2_GV
HFC-227ea,1991,0,SSP2_GV
HFC-227ea,1992,0,SSP2_GV
HFC-227ea,1993,1.00E-04,SSP2_GV
HFC-227ea,1994,0.0024,SSP2_GV
HFC-227ea,1995,0.0294,SSP2_GV
HFC-227ea,1996,0.0609,SSP2_GV
HFC-227ea,1997,0.0965,SSP2_GV
HFC-227ea,1998,0.1419,SSP2_GV
HFC-227ea,1999,0.2093,SSP2_GV
HFC-227ea,2000,0.2774,SSP2_GV
HFC-227ea,2001,0.3564,SSP2_GV
HFC-227ea,2002,0.4404,SSP2_GV
HFC-227ea,2003,0.5071,SSP2_GV
HFC-227ea,2004,0.5442,SSP2_GV
HFC-227ea,2005,0.9458,SSP2_GV
HFC-227ea,2006,1.7936,SSP2_GV
HFC-227ea,2007,1.8363,SSP2_GV
HFC-227ea,2008,2.2337,SSP2_GV
HFC-227ea,2009,2.3335,SSP2_GV
HFC-227ea,2010,2.4818,SSP2_GV
HFC-227ea,2011,2.609,SSP2_GV
HFC-227ea,2012,3.2676,SSP2_GV
HFC-236fa,1990,0,SSP2_GV
HFC-236fa,1991,0,SSP2_GV
HFC-236fa,1992,0,SSP2_GV
HFC-236fa,1993,0.0324,SSP2_GV
HFC-236fa,1994,0.0617,SSP2_GV
HFC-236fa,1995,0.0885,SSP2_GV
HFC-236fa,1996,0.1122,SSP2_GV
HFC-236fa,1997,0.1326,SSP2_GV
HFC-236fa,1998,0.1494,SSP2_GV
HFC-236fa,1999,0.1627,SSP2_GV
HFC-236fa,2000,0.173,SSP2_GV
HFC-236fa,2001,0.1806,SSP2_GV
HFC-236fa,2002,0.1859,SSP2_GV
HFC-236fa,2003,0.1891,SSP2_GV
HFC-236fa,2004,0.1907,SSP2_GV
HFC-236fa,2005,0.1913,SSP2_GV
HFC-236fa,2006,0.026,SSP2_GV
HFC-236fa,2007,0.2352,SSP2_GV
HFC-236fa,2008,0.1108,SSP2_GV
HFC-236fa,2009,0.1528,SSP2_GV
HFC-236fa,2010,0.2161,SSP2_GV
HFC-236fa,2011,0.238,SSP2_GV
HFC-236fa,2012,0.1056,SSP2_GV
HFC-245fa,1990,0,SSP2_GV
HFC-245fa,1991,0,SSP2_GV
HFC-245fa,1992,0,SSP2_GV
HFC-245fa,1993,0,SSP2_GV
HFC-245fa,1994,0,SSP2_GV
HFC-245fa,1995,0,SSP2_GV
HFC-245fa,1996,0,SSP2_GV
HFC-245fa,1997,0,SSP2_GV
HFC-245fa,1998,0,SSP2_GV
HFC-245fa,1999,0,SSP2_GV
HFC-245fa,2000,0,SSP2_GV
HFC-245fa,2001,0,SSP2_GV
HFC-245fa,2002,0.9,SSP2_GV
HFC-245fa,2003,1.755,SSP2_GV
HFC-245fa,2004,2.5673,SSP2_GV
HFC-245fa,2005,3.3389,SSP2_GV
HFC-245fa,2006,5.6462,SSP2_GV
HFC-245fa,2007,5.9073,SSP2_GV
HFC-245fa,2008,5.7444,SSP2_GV
HFC-245fa,2009,5.3853,SSP2_GV
HFC-245fa,2010,6.2832,SSP2_GV
HFC-245fa,2011,7.1897,SSP2_GV
HFC-245fa,2012,7.843,SSP2_GV
HFC-365mfc,1990,0,SSP2_GV
HFC-365mfc,1991,0,SSP2_GV
HFC-365mfc,1992,0,SSP2_GV
HFC-365mfc,1993,0,SSP2_GV
HFC-365mfc,1994,0,SSP2_GV
HFC-365mfc,1995,0,SSP2_GV
HFC-365mfc,1996,0,SSP2_GV
HFC-365mfc,1997,0,SSP2_GV
HFC-365mfc,1998,0,SSP2_GV
HFC-365mfc,1999,0,SSP2_GV
HFC-365mfc,2000,0,SSP2_GV
HFC-365mfc,2001,0,SSP2_GV
HFC-365mfc,2002,0,SSP2_GV
HFC-365mfc,2003,1.0793,SSP2_GV
HFC-365mfc,2004,2.1086,SSP2_GV
HFC-365mfc,2005,2.7012,SSP2_GV
HFC-365mfc,2006,3.0559,SSP2_GV
HFC-365mfc,2007,2.8205,SSP2_GV
HFC-365mfc,2008,2.682,SSP2_GV
HFC-365mfc,2009,2.2911,SSP2_GV
HFC-365mfc,2010,2.764,SSP2_GV
HFC-365mfc,2011,3.1476,SSP2_GV
HFC-365mfc,2012,3.2746,SSP2_GV
HFC-43-10mee,1990,0,SSP2_GV
HFC-43-10mee,1991,0.0172,SSP2_GV
HFC-43-10mee,1992,0.0431,SSP2_GV
HFC-43-10mee,1993,0.074,SSP2_GV
HFC-43-10mee,1994,0.1075,SSP2_GV
HFC-43-10mee,1995,0.1463,SSP2_GV
HFC-43-10mee,1996,0.1761,SSP2_GV
HFC-43-10mee,1997,0.2022,SSP2_GV
HFC-43-10mee,1998,0.2435,SSP2_GV
HFC-43-10mee,1999,0.2996,SSP2_GV
HFC-43-10mee,2000,0.3581,SSP2_GV
HFC-43-10mee,2001,0.4075,SSP2_GV
HFC-43-10mee,2002,0.4541,SSP2_GV
HFC-43-10mee,2003,0.5043,SSP2_GV
HFC-43-10mee,2004,0.5547,SSP2_GV
HFC-43-10mee,2005,0.6061,SSP2_GV
HFC-43-10mee,2006,0.6579,SSP2_GV
HFC-43-10mee,2007,0.7098,SSP2_GV
HFC-43-10mee,2008,0.7618,SSP2_GV
HFC-43-10mee,2009,0.8137,SSP2_GV
HFC-43-10mee,2010,0.8539,SSP2_GV
HFC-43-10mee,2011,0.9851,SSP2_GV
HFC-43-10mee,2012,0.9367,SSP2_GV
Alt_A,1990,0,SSP2_GV
Alt_A,1991,0,SSP2_GV
Alt_A,1992,0,SSP2_GV
Alt_A,1993,0,SSP2_GV
Alt_A,1994,0,SSP2_GV
Alt_A,1995,0,SSP2_GV
Alt_A,1996,0,SSP2_GV
Alt_A,1997,0,SSP2_GV
Alt_A,1998,0,SSP2_GV
Alt_A,1999,0,SSP2_GV
Alt_A,2000,0,SSP2_GV
Alt_A,2001,0,SSP2_GV
Alt_A,2002,0,SSP2_GV
Alt_A,2003,0,SSP2_GV
Alt_A,2004,0,SSP2_GV
Alt_A,2005,0,SSP2_GV
Alt_A,2006,0,SSP2_GV
Alt_A,2007,0,SSP2_GV
Alt_A,2008,0,SSP2_GV
Alt_A,2009,0,SSP2_GV
Alt_A,2010,0,SSP2_GV
Alt_A,2011,0,SSP2_GV
Alt_A,2012,0,SSP2_GV
Alt_B,1990,0,SSP2_GV
Alt_B,1991,0,SSP2_GV
Alt_B,1992,0,SSP2_GV
Alt_B,1993,0,SSP2_GV
Alt_B,1994,0,SSP2_GV
Alt_B,1995,0,SSP2_GV
Alt_B,1996,0,SSP2_GV
Alt_B,1997,0,SSP2_GV
Alt_B,1998,0,SSP2_GV
Alt_B,1999,0,SSP2_GV
Alt_B,2000,0,SSP2_GV
Alt_B,2001,0,SSP2_GV
Alt_B,2002,0,SSP2_GV
Alt_B,2003,0,SSP2_GV
Alt_B,2004,0,SSP2_GV
Alt_B,2005,0,SSP2_GV
Alt_B,2006,0,SSP2_GV
Alt_B,2007,0,SSP2_GV
Alt_B,2008,0,SSP2_GV
Alt_B,2009,0,SSP2_GV
Alt_B,2010,0,SSP2_GV
Alt_B,2011,0,SSP2_GV
Alt_B,2012,0,SSP2_GV
Alt_C,1990,0,SSP2_GV
Alt_C,1991,0,SSP2_GV
Alt_C,1992,0,SSP2_GV
Alt_C,1993,0,SSP2_GV
Alt_C,1994,0,SSP2_GV
Alt_C,1995,0,SSP2_GV
Alt_C,1996,0,SSP2_GV
Alt_C,1997,0,SSP2_GV
Alt_C,1998,0,SSP2_GV
Alt_C,1999,0,SSP2_GV
Alt_C,2000,0,SSP2_GV
Alt_C,2001,0,SSP2_GV
Alt_C,2002,0,SSP2_GV
Alt_C,2003,0,SSP2_GV
Alt_C,2004,0,SSP2_GV
Alt_C,2005,0,SSP2_GV
Alt_C,2006,0,SSP2_GV
Alt_C,2007,0,SSP2_GV
Alt_C,2008,0,SSP2_GV
Alt_C,2009,0,SSP2_GV
Alt_C,2010,0,SSP2_GV
Alt_C,2011,0,SSP2_GV
Alt_C,2012,0,SSP2_GV
Alt_D,1990,0,SSP2_GV
Alt_D,1991,0,SSP2_GV
Alt_D,1992,0,SSP2_GV
Alt_D,1993,0,SSP2_GV
Alt_D,1994,0,SSP2_GV
Alt_D,1995,0,SSP2_GV
Alt_D,1996,0,SSP2_GV
Alt_D,1997,0,SSP2_GV
Alt_D,1998,0,SSP2_GV
Alt_D,1999,0,SSP2_GV
Alt_D,2000,0,SSP2_GV
Alt_D,2001,0,SSP2_GV
Alt_D,2002,0,SSP2_GV
Alt_D,2003,0,SSP2_GV
Alt_D,2004,0,SSP2_GV
Alt_D,2005,0,SSP2_GV
Alt_D,2006,0,SSP2_GV
Alt_D,2007,0,SSP2_GV
Alt_D,2008,0,SSP2_GV
Alt_D,2009,0,SSP2_GV
Alt_D,2010,0,SSP2_GV
Alt_D,2011,0,SSP2_GV
Alt_D,2012,0,SSP2_GV
Alt_E,1990,0,SSP2_GV
Alt_E,1991,0,SSP2_GV
Alt_E,1992,0,SSP2_GV
Alt_E,1993,0,SSP2_GV
Alt_E,1994,0,SSP2_GV
Alt_E,1995,0,SSP2_GV
Alt_E,1996,0,SSP2_GV
Alt_E,1997,0,SSP2_GV
Alt_E,1998,0,SSP2_GV
Alt_E,1999,0,SSP2_GV
Alt_E,2000,0,SSP2_GV
Alt_E,2001,0,SSP2_GV
Alt_E,2002,0,SSP2_GV
Alt_E,2003,0,SSP2_GV
Alt_E,2004,0,SSP2_GV
Alt_E,2005,0,SSP2_GV
Alt_E,2006,0,SSP2_GV
Alt_E,2007,0,SSP2_GV
Alt_E,2008,0,SSP2_GV
Alt_E,2009,0,SSP2_GV
Alt_E,2010,0,SSP2_GV
Alt_E,2011,0,SSP2_GV
Alt_E,2012,0,SSP2_GV
