# File: NREL_us_re_technical_potential.csv
# Title: USA Renewable Energy Technical Potential
# Source:  http://www.nrel.gov/gis/docs/us_re_technical_potential.xlsx
# Units: In column names
#Report Table Number-->,Table 2,,,Table 3,,,Table 4,,Table 5,,,Table 6,,,Table 7,,,Table 8,,,,,,Table 9,,Table 10,,Table 11,,
State,Urban_Utility_scale_PV_GWh,Urban_Utility_scale_PV_GW,Urban_Utility_scale_PV_km2,Rural_Utility_scale_PV_GWh,Rural_Utility_scale_PV_GW,Rural_Utility_scale_PV_km2,Rooftop_PV_GWh,Rooftop_PV_GW,CSP_GWh,CSP_GW,CSP_km2,Onshore_Wind_GWh,Onshore_Wind_GW,Onshore_Wind_km2,Offshore_Wind_GWh,Offshore_Wind_GW,Offshore_Wind_km2,Biopower_Solid_GWh,Biopower_Solid_GW,Biopower_Solid_BDT,Biopower_Gaseous_GWh,Biopower_Gaseous_GW,Biopower_Gaseous_Tonnes_CH4,Geothermal_Hydrothermal_GWh,Geothermal_Hydrothermal_GW,EGS_Geothermal_GWh,EGS_Geothermal_GW,Hydropower_GWh,Hydropower_GW,Hydropower_Count_of_Sites
Georgia,43167,24,506,5492183,3088,64343,31116,25,0,0,0,323,0,26,220807,59,11726,14682,2,13347586,2221,0,472547,0,0,353206,45,1988,0,2100
Hawaii,3725,2,35,38033,21,431,NA,3,15370,6,168,7787,2,494,2836735,737,147389,524,0,476459,200,0,42603,20632,3,NA,NA,2602,1,437
Idaho,23195,12,251,3936848,2045,42613,4051,3,3502877,1267,38523,44320,18,3615,NA,NA,NA,5776,1,5250560,183,0,38831,17205,2,993257,126,18758,4,6706
Illinois,103552,64,1325,8090985,4969,103524,30086,26,0,0,0,649468,250,49976,66070,16,3174,27738,4,25216443,4222,1,898345,0,0,676056,86,4883,1,1330
Indiana,98815,61,1274,4876186,3019,62891,17151,15,0,0,0,377604,148,29646,166,0,9,14942,2,13583318,2978,0,633660,0,0,434258,55,2394,1,1142
Iowa,27092,16,324,6994159,4021,83763,8646,7,0,0,0,1723588,571,114143,NA,NA,NA,27502,3,25002253,1425,0,303277,0,0,606390,77,2818,1,2398
Kansas,31706,15,317,14500149,6960,144996,8962,7,7974256,2885,87698,3101576,952,190474,NA,NA,NA,12104,2,11004052,753,0,160219,0,0,989676,126,2508,1,3201
Kentucky,26515,16,339,1823977,1119,23319,12312,11,0,0,0,147,0,12,NA,NA,NA,7048,1,6407337,1274,0,271053,0,0,484659,61,4255,1,1394
Louisiana,55669,32,675,4114605,2394,49876,14368,12,0,0,0,935,0,82,1200699,341,68123,14016,2,12741856,857,0,182404,0,0,484271,61,2423,1,934
Maine,3216,2,40,1100327,659,13723,2443,2,0,0,0,28743,11,2250,631960,147,29484,4273,1,3884583,125,0,26542,0,0,377075,48,3916,1,1373
Maryland,28551,18,379,585949,373,7773,14850,13,0,0,0,3632,1,297,200852,52,10382,2102,0,1911045,1227,0,260966,0,0,86649,11,814,0,491
Massachusetts,17470,11,228,82205,52,1074,11723,10,0,0,0,2827,1,206,799344,184,36815,1045,0,950308,1104,0,234812,0,0,92227,12,1197,0,560
Michigan,50845,34,699,5215640,3444,71741,23528,22,0,0,0,143908,59,11808,1739801,423,84515,9358,1,8507307,2539,0,540283,0,0,457850,58,1181,0,1942
Minnesota,33370,20,419,10792814,6510,135627,14322,12,0,0,0,1428525,489,97854,100455,29,5843,20362,3,18510689,1030,0,219075,0,0,369785,47,1255,0,1391
Mississippi,26366,15,318,4981252,2880,59997,8614,7,0,0,0,0,0,0,10172,3,643,14210,2,12918114,1077,0,229077,0,0,559056,71,2211,1,1536
Missouri,30549,18,377,5335269,3157,65767,16160,13,0,0,0,689519,274,54871,NA,NA,NA,11838,2,10761509,2148,0,456990,0,0,835445,106,7198,2,5089
Montana,11371,6,127,8187341,4403,91724,2194,2,1540288,557,16939,2746272,944,188801,NA,NA,NA,4925,1,4477082,147,0,31325,6548,1,1647304,209,14547,3,6859
Nebraska,12954,7,142,9266757,4870,101457,5337,4,4846929,1753,53305,3011253,918,183600,NA,NA,NA,16272,2,14792723,751,0,159730,0,0,927996,118,3142,1,2880
Nevada,24894,11,225,8614454,3732,77751,10767,7,8295753,2558,77760,17709,7,1449,NA,NA,NA,289,0,262613,325,0,69249,45321,6,1262175,160,846,0,1489
New Hampshire,3790,2,49,57364,36,741,2299,2,0,0,0,5706,2,427,14478,3,691,954,0,867153,390,0,82890,0,0,104314,13,1741,0,810
New Jersey,44307,25,527,439774,251,5232,15768,14,0,0,0,317,0,26,429808,102,20387,1212,0,1101910,2311,0,491692,0,0,35230,4,549,0,402
New Mexico,71356,31,646,16318543,7087,147652,6513,4,16812349,4860,147748,1399157,492,98417,NA,NA,NA,595,0,541274,354,0,75228,12933,2,1417978,180,1363,0,1810
New York,52803,33,683,1492566,926,19294,28780,25,0,0,0,63566,26,5156,614280,146,29215,5558,1,5053081,2950,0,627734,0,0,375401,48,6711,2,4839
North Carolina,68346,38,789,4232790,2347,48892,28420,23,0,0,0,2037,1,162,1269627,306,61204,12870,2,11699887,3780,0,804301,0,0,420741,53,3037,1,2131
North Dakota,4871,3,57,9734448,5483,114228,1917,2,36050,13,396,2537825,770,154039,NA,NA,NA,8186,1,7441887,30,0,6384,0,0,820226,104,347,0,572
Ohio,86496,57,1190,3626182,2396,49908,30064,27,0,0,0,129143,55,10984,170561,42,8361,11009,1,10008282,3363,0,715603,0,0,495922,63,3046,1,1791
Oklahoma,50041,26,534,9341920,4783,99641,12443,9,5068036,1813,55113,1521652,517,103364,NA,NA,NA,4128,1,3753137,965,0,205360,0,0,779667,99,3016,1,2824
Oregon,25783,13,271,3740479,1885,39267,8323,8,2812126,1017,30927,68767,27,5420,962723,225,45002,13793,2,12539176,891,0,189572,18200,2,914105,116,18184,4,7993
Pennsylvania,56162,36,754,553356,357,7430,22215,20,0,0,0,8231,3,661,23571,6,1135,6314,1,5739609,7132,1,1517541,0,0,327341,42,8368,2,4466
Rhode Island,1788,1,24,13636,9,184,1711,2,0,0,0,130,0,9,89115,21,4193,143,0,130452,474,0,100888,0,0,11492,1,59,0,86
South Carolina,33835,19,398,2754973,1555,32399,14413,12,0,0,0,428,0,37,542218,133,26643,6985,1,6349820,1430,0,304312,0,0,364105,46,1889,0,889
South Dakota,4574,2,51,10008873,5345,111350,2083,2,1629660,590,17922,2901858,882,176483,NA,NA,NA,8380,1,7618309,235,0,50072,0,0,921973,117,1047,0,1712
Tennessee,50243,29,596,2225990,1267,26396,19685,16,0,0,0,766,0,62,NA,NA,NA,6095,1,5541359,1984,0,422220,0,0,428380,54,5745,1,2610
Texas,294684,154,3214,38993582,20411,425230,78717,60,22786750,7743,235398,5552400,1902,380306,1101063,271,54289,16078,2,14615951,5898,1,1254999,0,0,3030251,384,3006,1,4366
Utah,30492,14,293,5184878,2390,49797,7514,6,5067547,1638,49799,31552,13,2621,NA,NA,NA,434,0,394530,428,0,91019,12982,2,939381,119,3528,1,3394
Vermont,1632,1,22,54728,35,739,1115,1,0,0,0,7796,3,590,NA,NA,NA,492,0,447268,203,0,43249,0,0,35617,5,1710,0,1207
Virginia,27451,16,326,1882467,1074,22378,22267,19,0,0,0,4589,2,359,361054,89,17815,7866,1,7151120,2498,0,531593,0,0,290737,37,3657,1,2601
Washington,33690,19,402,1738151,996,20759,13599,13,161713,59,1778,47250,18,3696,488025,121,24193,12312,2,11192456,1514,0,322155,2547,0,563024,71,27249,6,7310
West Virginia,3024,2,42,52694,35,729,4220,4,0,0,0,4952,2,377,NA,NA,NA,2407,0,2188057,281,0,59811,0,0,261376,33,4408,1,1711
Wisconsin,54939,35,728,5042259,3206,66788,13939,12,0,0,0,255266,104,20751,317755,81,16134,11222,1,10201440,2073,0,441054,0,0,647173,82,2287,1,1863
Wyoming,7232,4,75,5727224,2854,59464,1551,1,5406407,1956,59457,1653857,552,110415,NA,NA,NA,503,0,457298,50,0,10671,1373,0,1070079,136,4445,1,2842
TOTAL,2231694,1218,25369,280613217,152974,3186955,818733,665,116146245,38066,1157209,32784005,10955,2190952,16975802,4224,844703,399774,51,363430992,88551,11,18840733,301382,38,31344696,3976,258953,60,128126
