# File: reeds_PV_curve_CF_avg.csv
# Title: Solar PV Average Annual Capacity Factor by ReEDS Region and PV Class
# Units: unitless (capacity factor)
# Comments: Annual average capacity factor for each resource region / PV class.  Calculated by taking the average of (8760) hourly net capacity factor profiles for each resource region / PV class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: ccn 
# ----------
BA,PV.class,CF
p60,class7,0.247007222
p61,class5,0.212759569
p61,class6,0.231303014
p61,class7,0.253824335
p61,class8,0.266498524
p62,class6,0.238412958
p62,class7,0.250123195
p63,class5,0.205902646
p63,class6,0.223613118
p64,class4,0.202944972
p64,class5,0.202944972
p64,class6,0.22294068
p65,class4,0.193487297
p65,class5,0.202938468
p65,class6,0.211994648
p66,class4,0.191729419
p66,class5,0.195813052
p67,class4,0.190600501
p67,class5,0.200076129
p68,class3,0.184794624
p68,class4,0.187569198
p69,class3,0.186555921
p69,class4,0.187737939
p7,class4,0.206440356
p7,class5,0.226124243
p7,class6,0.236357908
p70,class3,0.185274868
p70,class4,0.191089781
p71,class4,0.195344406
p72,class4,0.197146089
p73,class4,0.199862469
p74,class3,0.177619638
p74,class4,0.190935829
p75,class3,0.181941401
p75,class4,0.189775239
p76,class3,0.180705491
p76,class4,0.186113304
p77,class3,0.18526479
p77,class4,0.188176915
p78,class3,0.184421224
p78,class4,0.188690215
p79,class3,0.180131124
p79,class4,0.186816146
p8,class4,0.191315858
p8,class5,0.22480552
p8,class6,0.241785072
p8,class7,0.251141056
p80,class3,0.182242516
p80,class4,0.185132175
p81,class3,0.178835795
p81,class4,0.191751128
p82,class3,0.188739218
p82,class4,0.188739218
p83,class3,0.183345342
p83,class4,0.18927063
p84,class4,0.199648935
p84,class5,0.199284248
p85,class4,0.19747664
p85,class5,0.198245771
p86,class5,0.197007611
p87,class4,0.19595772
p87,class5,0.199711677
p88,class4,0.19546289
p88,class5,0.198556981
p89,class4,0.19513417
p89,class5,0.199490308
p9,class3,0.167747045
p9,class4,0.194248178
p9,class5,0.215663354
p9,class6,0.234619042
p9,class7,0.250361732
p90,class4,0.196213401
p90,class5,0.202525838
p90,class6,0.21721926
p91,class5,0.205522538
p91,class6,0.2171789
p92,class4,0.190871707
p92,class5,0.198444281
p93,class4,0.189766645
p94,class4,0.195681918
p94,class5,0.205391284
p95,class5,0.206644925
p96,class5,0.207712068
p96,class6,0.21528887
p97,class4,0.195939135
p97,class5,0.204610701
p98,class4,0.196492118
p98,class5,0.202863021
p99,class4,0.195790972
p99,class5,0.200100373
