# File: RECS_2005.csv
# Title: Residential Energy Consumption Survey 2005
# Source: Fill in
# Units: Fill in
DOEID,REGIONC,DIVISION,LRGSTATE,TYPEHUQ,NWEIGHT,HD65,CD65,YEARMADE,OVENA,FUELFOOD,NUMFRIG,AGERFRI1,AGERFRI2,AGERFRI3,NUMFREEZ,AGEFRZR,DISHWASH,AGEDW,CWASHER,AGECWASH,DRYER,DRYRFUEL,AGECDRYER,FUELHEAT,EQUIPM,NUMH2OHTRS,WHEATAGE,AIRCOND,COOLTYPE,AGECENAC,NUMBERAC,WWACAGE,LGT12,LGT12EE,LGT4,LGT4EE,LGT1,LGT1EE,NOUTLGTNT,FUELH2O,ELWARM,ELFOOD,ELWATER,ELCOOL,ELOTHER,UGWARM,UGWATER,UGCOOK,UGOTH,LPWARM,LPWATER,LPCOOK,LPGRILL,LPOTHER,FOWARM,FOWATER,FOOTHER,KRWARM,KRWATER,KROTHER,WDWARM,SOLWATER,TOTSQFT,TOTHSQFT,BTUEL,BTUNG,BTUFO,BTULP,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD
11,3,5,0,5,26711.66332,3277,1511,6,5,5,1,2,99,9,0,9,1,3,1,2,1,5,2,5,3,0,4,1,1,3,99,9,0,0,1,0,1,0,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1725,1725,38948,9999999,9999999,9999999,9999999,2947,492,0,2391,6380,11139,7379,11659,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
12,1,2,0,2,31646.77098,5267,1145,6,1,1,2,3,2,9,0,9,1,5,1,3,1,5,3,1,3,0,2,1,1,2,99,9,0,0,1,0,5,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4500,3150,43285,187998,9999999,9999999,9999999,2977,497,0,5395,11114,0,0,26776,17895,67997,102106,9999999,9999999,9999999,9999999,9999999,9999999,9999999
13,3,5,4,5,37194.08825,1306,2130,8,5,5,1,2,99,9,0,9,0,99,1,3,0,99,9,5,3,0,6,1,1,6,99,9,0,0,2,0,1,0,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,832,832,21966,9999999,9999999,9999999,9999999,0,0,0,1923,9248,3477,2687,4631,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
14,3,5,4,2,36233.89929,552,3425,5,5,5,2,2,5,9,0,9,1,2,1,3,1,5,3,5,4,0,3,1,1,2,99,9,2,0,2,0,2,0,3,5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2294,1894,95161,9999999,9999999,9999999,9999999,6933,634,0,11523,30659,10136,2277,40566,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
15,4,9,2,3,24273.85086,1097,853,6,5,5,1,4,99,9,0,9,0,99,1,3,1,5,3,99,99,0,6,0,9,9,99,9,0,0,0,0,1,1,1,5,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1740,0,25331,9999999,9999999,9999999,9999999,0,0,0,2414,0,11460,0,11457,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
16,3,7,0,2,25591.02703,3429,2137,9,5,5,1,3,99,9,0,9,1,3,1,2,1,5,1,5,3,0,3,1,1,3,99,9,0,0,0,0,3,3,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1566,1566,81574,9999999,9999999,9999999,9999999,5303,886,0,8218,23129,11557,12927,25743,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,15000
17,1,1,0,4,20306.08325,5356,1055,4,1,1,1,4,99,9,0,9,0,99,1,2,1,5,2,1,2,0,0,1,2,9,2,2,0,0,0,0,1,0,99,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,429,429,14764,90382,9999999,9999999,9999999,2500,0,0,4502,2026,0,0,8236,3729,18721,67932,9999999,9999999,9999999,9999999,9999999,9999999,9999999
18,4,9,2,2,25955.15655,1078,701,2,5,1,1,4,99,9,0,9,1,4,1,4,1,1,4,1,3,0,1,1,1,4,99,9,0,0,10,0,3,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3283,2883,21455,84995,9999999,9999999,9999999,0,484,0,2837,0,0,747,17871,22324,43009,19662,9999999,9999999,9999999,9999999,9999999,9999999,9999999
19,4,9,2,3,36422.56289,2040,99,5,5,5,1,2,99,9,0,9,1,2,1,2,1,5,2,1,3,0,5,0,9,9,99,9,0,0,2,0,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2060,1107,6657,46099,9999999,9999999,9999999,1984,331,0,847,0,0,0,5810,0,20638,25461,9999999,9999999,9999999,9999999,9999999,9999999,9999999
20,2,3,0,2,30185.84401,5590,1275,2,1,1,1,3,99,9,0,9,0,99,1,4,1,5,4,1,3,0,2,1,2,9,1,3,0,0,0,0,1,0,0,5,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1950,725,58878,51928,9999999,9999999,9999999,5117,0,0,4914,7205,21417,0,25342,6391,0,45537,9999999,9999999,9999999,9999999,9999999,9999999,9999999
21,1,2,0,2,29329.38729,5402,1314,8,5,1,2,4,4,9,0,9,1,2,1,3,1,1,2,1,3,0,3,1,1,4,99,9,0,0,0,0,7,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5334,4409,45861,159289,9999999,9999999,9999999,0,999,0,12010,12706,0,0,21145,19667,37889,101733,9999999,9999999,9999999,9999999,9999999,9999999,9999999
22,4,9,2,2,22132.61678,2067,1808,2,1,1,1,4,99,9,0,9,0,99,1,4,1,1,4,1,21,0,2,0,9,9,99,9,0,0,0,0,2,2,0,1,1,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1360,1020,7691,36427,9999999,9999999,9999999,0,0,0,2293,0,0,844,4554,5912,15008,15507,9999999,9999999,9999999,9999999,9999999,9999999,9999999
23,4,9,2,2,37566.67395,2148,227,3,1,1,1,4,99,9,0,9,0,99,1,6,1,1,6,1,3,0,6,1,1,1,99,9,1,1,2,1,2,2,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1967,1967,23785,74500,9999999,9999999,9999999,0,0,0,2947,621,0,0,20217,18784,31692,24024,9999999,9999999,9999999,9999999,9999999,9999999,9999999
24,3,6,0,2,19827.83893,4597,1143,4,5,1,2,4,4,9,1,5,1,3,1,4,1,5,2,1,3,0,5,1,1,3,99,9,2,0,2,0,4,0,0,5,0,1,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5440,1088,75781,52582,9999999,9999999,9999999,5043,842,7310,13553,8154,14164,0,39910,5424,0,47158,9999999,9999999,9999999,9999999,9999999,9999999,5000
25,1,2,0,2,28107.32949,5545,1032,2,1,1,2,3,5,9,0,9,1,3,1,3,1,1,1,1,2,0,3,1,1,1,99,9,0,0,0,0,2,2,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5164,3499,61488,170917,9999999,9999999,9999999,0,630,0,12408,12365,0,0,36715,23159,44536,103222,9999999,9999999,9999999,9999999,9999999,9999999,9999999
26,3,7,0,2,29637.10762,3274,2087,5,5,5,1,2,99,9,0,9,1,1,1,4,1,5,4,1,3,0,2,1,1,2,99,9,0,0,4,0,5,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1302,902,40814,51704,9999999,9999999,9999999,3545,592,0,2564,17092,0,0,21158,0,25722,25982,9999999,9999999,9999999,9999999,9999999,9999999,9999999
27,4,9,2,2,27042.03359,2592,1495,7,1,1,2,2,4,9,0,9,1,1,1,4,1,1,4,1,3,0,3,1,1,2,99,9,0,0,0,0,2,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2460,2060,41024,47128,9999999,9999999,9999999,0,527,0,7896,7073,0,0,26055,9434,18175,19519,9999999,9999999,9999999,9999999,9999999,9999999,5000
28,2,3,0,1,8785.127525,7266,840,6,1,1,2,4,4,9,1,4,0,99,1,4,1,5,4,1,3,0,1,1,1,3,99,9,0,0,1,0,1,0,99,5,0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1750,1167,43377,103312,9999999,9999999,9999999,5247,0,5999,13844,2386,5603,0,21544,5761,0,97551,9999999,9999999,9999999,9999999,9999999,9999999,9999999
29,2,4,0,2,4997.066542,6298,862,12,5,5,1,1,99,9,0,9,1,1,1,2,1,5,2,1,3,0,1,1,1,1,99,9,0,0,0,0,1,0,0,5,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3596,3196,63081,41675,9999999,9999999,9999999,7547,690,0,3353,8189,20111,0,31428,0,0,41675,9999999,9999999,9999999,9999999,9999999,9999999,9999999
30,4,8,0,2,4125.232473,4504,988,7,5,5,1,2,99,9,0,9,0,99,1,3,1,1,3,1,3,1,3,0,9,9,99,9,0,0,0,0,2,2,2,1,0,1,0,0,1,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1280,1280,20574,72133,9999999,44616,9999999,0,0,0,1413,0,0,0,19161,6776,27765,37592,9999999,9999999,9999999,0,0,44616,9999999
31,2,4,0,2,28137.35289,6319,949,4,5,5,2,2,5,9,0,9,1,2,1,3,1,5,3,5,3,0,4,1,1,2,99,9,0,0,1,0,2,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2060,1810,25788,9999999,9999999,9999999,9999999,2293,383,0,4199,4337,3534,6626,7092,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
32,2,3,0,5,25900.23796,5153,1305,7,5,5,1,4,99,9,0,9,0,99,0,9,0,99,9,5,5,0,0,1,2,9,2,6,2,0,2,0,3,0,99,5,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1058,1058,13638,9999999,9999999,9999999,9999999,0,0,0,1187,2122,3235,3219,3875,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
33,2,3,0,2,28054.60112,7818,671,11,1,1,1,2,99,9,1,1,1,2,1,2,1,1,2,7,8,0,2,1,1,2,99,9,0,0,0,0,11,11,0,7,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6138,5738,29314,38560,9999999,9999999,9999999,0,694,4748,1772,5179,0,0,22363,11668,0,26892,9999999,9999999,9999999,9999999,9999999,9999999,240000
34,1,2,0,2,5146.697744,5317,1179,3,5,2,1,3,99,9,2,2,1,1,1,1,1,5,1,3,2,0,2,1,2,9,2,1,0,0,4,0,2,0,1,3,1,1,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,5516,2758,91227,9999999,437290,6268,9999999,4083,1195,20739,11086,4857,0,4118,71166,9999999,9999999,9999999,0,308004,129286,6268,0,0,9999999
35,1,2,0,2,30307.03354,5440,944,4,5,5,2,2,4,9,0,9,1,1,1,3,1,1,3,1,3,0,3,0,9,9,99,9,0,0,0,0,2,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2460,1601,35887,102694,9999999,9999999,9999999,0,606,0,6180,0,0,2144,27563,9070,33409,60215,9999999,9999999,9999999,9999999,9999999,9999999,9999999
36,4,9,2,2,24788.53079,1369,271,1,5,1,3,3,2,1,0,9,0,99,1,1,1,1,1,1,3,0,1,0,9,9,99,9,0,0,4,0,7,0,13,1,0,1,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1082,1082,21915,51347,9999999,9999999,9999999,0,0,0,5274,0,0,0,16641,14040,22987,14320,9999999,9999999,9999999,9999999,9999999,9999999,9999999
37,3,7,3,2,30598.54152,1859,3018,6,5,5,1,3,99,9,1,4,0,99,1,1,1,5,1,5,4,0,2,1,1,2,99,9,0,0,3,3,10,10,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2500,2100,82236,9999999,9999999,9999999,9999999,3134,0,3583,4857,26916,13679,3213,33571,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,40000
38,2,3,0,5,26169.00026,7129,511,12,5,5,1,1,99,9,0,9,1,1,1,1,1,5,1,5,5,0,1,1,2,9,2,6,0,0,0,0,0,0,99,5,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1460,1460,51238,9999999,9999999,9999999,9999999,4609,770,0,3927,1335,10046,15496,20434,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
39,4,9,2,2,24921.09689,1256,1632,4,1,1,1,2,99,9,0,9,0,99,1,3,1,1,3,1,3,0,3,1,1,3,99,9,0,0,3,1,4,1,2,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1250,1250,32260,71824,9999999,9999999,9999999,0,0,0,1277,11094,0,0,19889,18880,31230,21714,9999999,9999999,9999999,9999999,9999999,9999999,9999999
40,4,9,2,2,25955.15655,1706,1416,6,1,1,1,1,99,9,1,5,0,99,1,1,1,1,2,1,3,0,3,0,9,9,99,9,1,1,2,0,2,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2352,1115,20953,47849,9999999,9999999,9999999,0,0,3220,3872,0,0,0,17081,12611,20351,14887,9999999,9999999,9999999,9999999,9999999,9999999,9999999
41,3,5,0,2,29873.99213,3011,2172,9,5,5,1,3,99,9,1,2,1,3,1,2,1,5,2,2,3,0,3,1,1,3,99,9,1,1,0,0,1,1,1,2,0,1,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,7757,5273,70635,9999999,9999999,56103,9999999,4804,802,6963,7819,22757,0,0,40059,9999999,9999999,9999999,9999999,9999999,9999999,0,38171,17932,9999999
42,4,9,2,2,22464.60603,2120,1387,5,5,5,1,3,99,9,1,1,0,99,0,9,1,5,3,1,6,0,3,1,2,9,3,1,0,0,2,0,3,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1397,279,22495,25313,9999999,9999999,9999999,0,0,5602,3711,4677,0,0,14107,0,11132,14181,9999999,9999999,9999999,9999999,9999999,9999999,9999999
43,1,1,0,2,12080.64795,5788,900,4,2,2,1,4,99,9,0,9,1,2,1,3,1,5,4,3,3,0,4,1,2,9,1,3,0,0,3,2,2,1,2,2,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,0,5208,2170,40419,9999999,76139,114681,9999999,2189,641,0,3944,2415,0,0,34060,9999999,9999999,9999999,0,76139,0,61368,0,53313,5000
44,1,1,0,5,20165.36175,5760,923,1,1,1,1,6,99,9,0,9,0,99,0,9,0,99,9,1,2,0,6,0,9,9,99,9,1,0,0,0,1,0,99,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,637,637,11287,6689,9999999,9999999,9999999,0,0,0,6438,0,0,0,4849,307,584,5798,9999999,9999999,9999999,9999999,9999999,9999999,9999999
45,1,2,0,3,22659.89595,5658,1139,1,5,5,2,3,2,9,0,9,1,4,0,9,0,99,9,3,2,0,4,1,3,3,4,2,0,0,2,0,2,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,5440,4760,49160,9999999,124266,9999999,9999999,0,739,0,7192,17946,0,2633,21389,9999999,9999999,9999999,0,86589,37677,9999999,9999999,9999999,9999999
46,4,9,2,5,23793.77813,1093,865,5,5,5,1,3,99,9,0,9,1,4,1,1,1,5,1,3,2,0,6,0,9,9,99,9,0,0,2,2,1,1,99,5,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,830,623,39744,9999999,45958,9999999,9999999,5761,962,0,5267,0,8878,0,25599,9999999,9999999,9999999,0,45958,0,9999999,9999999,9999999,9999999
47,1,1,0,2,14540.78106,6202,721,1,1,1,1,3,99,9,1,4,1,4,1,4,1,5,4,3,2,0,4,1,2,9,2,1,0,0,1,0,5,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4045,2155,20025,8952,81480,9999999,9999999,3024,505,3457,2765,1174,0,0,16086,1517,7435,0,0,81480,0,9999999,9999999,9999999,9999999
48,1,2,1,5,59391.03403,4878,1283,1,1,1,1,3,99,9,0,9,0,99,0,9,0,99,9,1,3,0,0,1,2,9,1,2,1,0,0,0,2,1,99,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1216,1216,15047,73577,9999999,9999999,9999999,0,0,0,3877,3580,0,0,7590,4652,8847,60078,9999999,9999999,9999999,9999999,9999999,9999999,9999999
49,3,6,0,4,18135.31618,4338,1317,9,5,5,1,4,99,9,0,9,1,4,1,4,1,5,4,5,5,0,4,1,1,4,99,9,5,1,3,0,5,1,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,955,955,27695,9999999,9999999,9999999,9999999,2544,425,0,2490,3204,5544,6043,10414,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
50,2,4,0,2,29467.61184,4627,1508,6,5,5,2,3,6,9,1,5,1,1,1,3,1,5,3,5,4,0,2,1,1,5,99,9,0,0,0,0,2,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2304,1904,31668,9999999,9999999,9999999,9999999,1256,368,2516,4166,4915,6181,5148,11258,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
51,4,8,0,4,3908.186122,5870,560,6,1,1,1,6,99,9,0,9,1,2,1,2,1,5,2,5,2,0,2,0,9,9,99,9,3,0,2,0,1,0,99,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,594,594,14955,75220,9999999,9999999,9999999,2123,355,0,2079,0,0,5346,7530,14972,60248,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
52,4,9,2,2,24261.81026,912,1370,7,1,1,1,1,99,9,0,9,1,1,1,2,1,5,2,1,3,0,1,1,1,1,99,9,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2584,1492,26133,43938,9999999,9999999,9999999,2643,441,0,2007,1837,0,0,22289,19847,18411,5680,9999999,9999999,9999999,9999999,9999999,9999999,9999999
53,2,4,0,2,23022.8644,4920,1559,2,1,1,1,4,99,9,0,9,1,2,1,3,1,5,4,1,6,0,3,1,2,9,1,2,0,0,4,0,4,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1147,179,18418,15023,9999999,9999999,9999999,2831,473,0,2911,4399,0,1578,9530,1128,4633,9262,9999999,9999999,9999999,9999999,9999999,9999999,9999999
54,4,9,2,5,24273.85086,1234,1090,6,1,1,1,3,99,9,0,9,0,99,0,9,0,99,9,1,2,0,0,1,2,9,1,5,0,0,0,0,0,0,99,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,524,0,6636,19364,9999999,9999999,9999999,0,0,0,2224,1117,0,0,3295,5808,11046,2510,9999999,9999999,9999999,9999999,9999999,9999999,9999999
55,3,6,0,5,17859.68348,2138,2185,9,5,5,1,3,99,9,0,9,0,99,1,3,0,99,9,5,3,0,3,1,1,3,99,9,0,0,4,0,6,0,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,552,552,48775,9999999,9999999,9999999,9999999,0,0,0,3891,13786,9275,6332,15491,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
56,2,4,0,2,35902.14675,4972,1496,3,1,1,1,1,99,9,1,5,0,99,1,3,1,5,3,1,3,0,1,1,1,3,99,9,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3839,1638,18715,69046,9999999,9999999,9999999,2206,0,3198,3186,4717,0,0,10812,3148,15804,50094,9999999,9999999,9999999,9999999,9999999,9999999,9999999
57,2,3,0,2,27565.84223,7974,587,9,5,1,1,3,99,9,1,1,1,3,1,3,1,5,3,1,3,0,3,1,1,3,99,9,0,0,15,0,14,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2736,2302,31994,91272,9999999,9999999,9999999,2841,475,4119,4403,1605,0,0,25986,6500,28288,56484,9999999,9999999,9999999,9999999,9999999,9999999,9999999
58,2,3,0,2,36130.37084,5571,900,8,5,5,1,4,99,9,0,9,1,4,1,4,1,5,4,1,3,0,4,1,1,4,99,9,0,0,2,2,3,3,0,1,1,1,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,9243,8593,97378,160936,9999999,9999999,9999999,5386,899,0,9386,19544,0,3141,65307,30931,39266,90739,9999999,9999999,9999999,9999999,9999999,9999999,9999999
59,1,2,1,2,26873.50248,6602,898,3,5,5,1,4,99,9,1,3,1,5,1,5,1,1,2,1,3,0,1,1,1,2,99,9,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4450,4050,34714,119055,9999999,9999999,9999999,0,666,4559,4101,5474,0,0,25139,8486,29280,81289,9999999,9999999,9999999,9999999,9999999,9999999,9999999
