# File: reeds_wind_curve_capacity.csv
# Title: Onshore Wind Resource Potential by ReEDS Wind Region; Class; and Bin
# Units: MW
# Comments: Onshore wind resource potential in MW for each region-class-bin. Bins are the portions of the interconnection supply curves. Summing across bins will provide total resource in a region and class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: iccnnnnn 
# ----------
Wind.Resource.Region,Wind.Class,Wind.Type,wsc1,wsc2,wsc3,wsc4,wsc5
6,class10,wind-ons,721.44,3226.5,2433.54,1436.52,1018.38
6,class2,wind-ons,0.84,0,0,0,0
6,class4,wind-ons,0.24,0,0,0,0
6,class5,wind-ons,0.24,1.92,1.08,0.48,0.72
6,class6,wind-ons,4.32,5.64,7.08,6.12,10.2
6,class7,wind-ons,19.92,31.38,44.4,48.12,4.08
6,class8,wind-ons,74.82,81.72,95.34,356.28,143.58
6,class9,wind-ons,17.34,1046.82,431.4,210.3,155.82
7,class10,wind-ons,12.6,38.28,172.14,262.38,1771.5
7,class3,wind-ons,0.24,0,0,0,0
7,class5,wind-ons,0.24,1.2,0,0,0
7,class6,wind-ons,9.6,57.6,9.72,10.08,0.72
7,class7,wind-ons,56.52,187.26,315.48,174.24,421.44
7,class8,wind-ons,273.72,2044.2,4172.28,3222.54,2731.44
7,class9,wind-ons,134.1,831.96,1429.56,1591.2,1516.74
8,class1,wind-ons,0.36,4.56,3.48,2.04,0.48
8,class10,wind-ons,1232.58,3362.52,4308.12,2256.9,99.84
8,class2,wind-ons,0.96,0.12,1.2,1.44,0
8,class3,wind-ons,0.48,4.92,3.12,0.12,0.48
8,class4,wind-ons,0.24,6.54,3.72,0.12,0.6
8,class5,wind-ons,5.88,11.34,26.28,15.18,6.36
8,class6,wind-ons,30.84,28.62,65.46,51.78,74.52
8,class7,wind-ons,404.1,379.56,1773.48,3421.8,3598.92
8,class8,wind-ons,2286.9,4049.22,10909.68,11687.64,4277.34
8,class9,wind-ons,317.34,689.76,1931.46,3278.22,1418.04
9,class10,wind-ons,8.1,304.08,1168.5,693.6,462.78
9,class3,wind-ons,1.32,0,0,0,0
9,class5,wind-ons,0.72,5.04,4.92,1.68,38.4
9,class6,wind-ons,3.36,105.36,219.24,103.32,633.96
9,class7,wind-ons,266.64,554.94,984.72,741.24,2011.86
9,class8,wind-ons,66,43.02,1805.94,4467.72,1874.52
9,class9,wind-ons,6.24,381.36,954,3339.9,1287.54
10,class1,wind-ons,1.8,2.16,0.24,0.84,0.72
10,class10,wind-ons,3.96,136.02,648.12,1501.92,675.6
10,class2,wind-ons,1.44,0.72,0.24,1.44,0.24
10,class3,wind-ons,0.12,1.2,2.4,3.96,4.32
10,class4,wind-ons,0.72,1.8,5.04,0.36,1.08
10,class5,wind-ons,11.64,8.4,14.82,17.16,8.52
10,class6,wind-ons,14.04,39.72,40.38,97.2,25.08
10,class7,wind-ons,38.76,24.18,40.26,197.94,225.6
10,class8,wind-ons,186.72,209.64,284.04,398.82,511.92
10,class9,wind-ons,2.1,59.52,296.22,757.56,467.04
11,class10,wind-ons,84.78,577.68,108.54,128.04,160.86
11,class3,wind-ons,0.24,0,0,0,0
11,class5,wind-ons,0.84,4.2,0,0,0
11,class6,wind-ons,1.08,0.96,11.64,9.72,9.3
11,class7,wind-ons,1.2,3.66,11.34,6.12,61.02
11,class8,wind-ons,42.84,15.48,66.72,45.42,164.22
11,class9,wind-ons,14.34,76.32,67.56,70.62,84.72
12,class1,wind-ons,0.12,0.12,0.12,0.12,0.6
12,class10,wind-ons,273.48,726.42,419.16,844.92,383.52
12,class2,wind-ons,0.36,0.72,0,0,0
12,class3,wind-ons,0.24,0.6,0.12,0.36,0
12,class4,wind-ons,0.24,0.96,0.6,1.92,0
12,class5,wind-ons,4.32,3.54,2.52,0.72,8.16
12,class6,wind-ons,10.14,27.9,17.94,1.32,14.82
12,class7,wind-ons,10.32,36.72,50.58,81.84,67.8
12,class8,wind-ons,166.44,25.14,259.14,143.88,86.82
12,class9,wind-ons,227.1,1027.38,437.28,206.76,104.52
13,class1,wind-ons,0.48,0.24,1.56,0.84,0.36
13,class10,wind-ons,1290.3,1941.3,2080.38,3308.28,1888.02
13,class2,wind-ons,0.3,1.44,0.36,0.6,0
13,class3,wind-ons,2.52,1.2,4.32,0.24,0.12
13,class4,wind-ons,2.58,0.24,0.12,1.2,1.2
13,class5,wind-ons,10.14,12.18,1.26,13.32,16.98
13,class6,wind-ons,66.18,28.2,16.74,84.48,51.36
13,class7,wind-ons,77.88,119.1,172.38,235.02,298.26
13,class8,wind-ons,222.12,217.38,457.68,346.98,359.88
13,class9,wind-ons,146.1,1427.4,908.34,979.8,624.12
14,class1,wind-ons,5.04,0.24,1.56,0.48,0.12
14,class10,wind-ons,816.06,876.06,957.72,819.42,92.82
14,class2,wind-ons,2.16,0.72,0.24,0.84,1.92
14,class3,wind-ons,5.28,3.18,0,0,0
14,class4,wind-ons,6.78,3.12,4.08,1.2,0.24
14,class5,wind-ons,2.4,21.48,21.78,25.26,18.24
14,class6,wind-ons,7.08,56.64,42.96,39.18,94.08
14,class7,wind-ons,65.46,64.44,140.1,164.82,208.98
14,class8,wind-ons,28.92,152.58,213.18,410.58,103.5
14,class9,wind-ons,42.96,122.52,294.6,456.36,159.36
15,class1,wind-ons,0.72,0.24,0,0,0
15,class10,wind-ons,5083.8,3135.06,6807.3,5382.18,3000.48
15,class3,wind-ons,0.12,0.96,2.52,0,0
15,class4,wind-ons,0.12,0.36,2.16,2.28,0.24
15,class5,wind-ons,9.6,2.52,15.72,2.64,0.48
15,class6,wind-ons,37.8,32.46,27,87.24,28.62
15,class7,wind-ons,189.9,227.28,213.66,200.28,108.42
15,class8,wind-ons,238.08,390.18,304.26,648.9,1642.68
15,class9,wind-ons,284.34,743.28,624.6,1386.24,1112.88
16,class1,wind-ons,0.12,0.36,4.32,6.6,5.28
16,class10,wind-ons,9.72,789.18,4925.88,3038.28,4581.48
16,class2,wind-ons,0.24,2.76,8.82,0.6,0
16,class3,wind-ons,1.08,2.4,1.2,0.84,0
16,class4,wind-ons,0.72,20.7,6.84,0.54,0.84
16,class5,wind-ons,12.66,82.38,20.46,3.12,3.84
16,class6,wind-ons,962.28,123.36,223.44,151.56,158.28
16,class7,wind-ons,2424.48,1564.44,996.78,2239.92,4509.18
16,class8,wind-ons,351.18,880.38,3338.76,5201.64,9289.8
16,class9,wind-ons,48.06,685.56,1628.64,3309.06,6211.62
17,class1,wind-ons,0.12,0.72,2.64,0,0
17,class10,wind-ons,1863.36,6277.62,5789.4,5195.82,3893.04
17,class3,wind-ons,1.08,0.24,2.16,0.12,0.12
17,class4,wind-ons,0.84,4.44,0,0,0
17,class5,wind-ons,2.64,24.54,0.3,3,2.28
17,class6,wind-ons,40.98,25.74,144.78,74.82,59.58
17,class7,wind-ons,239.16,499.92,419.1,477.78,431.58
17,class8,wind-ons,360.36,377.88,1107.42,3503.88,5463.36
17,class9,wind-ons,527.04,1566.24,3037.86,2865.96,4346.82
18,class1,wind-ons,0.48,2.4,1.92,0.48,0.24
18,class10,wind-ons,3181.74,2532.48,1105.74,2934.96,2928.48
18,class2,wind-ons,0.36,0.96,0.24,1.2,0.24
18,class3,wind-ons,2.52,2.76,0.36,4.8,4.08
18,class4,wind-ons,0.72,0.96,2.64,3.48,4.08
18,class5,wind-ons,30.6,22.08,12.72,41.76,25.56
18,class6,wind-ons,41.88,55.44,298.56,234.84,204.6
18,class7,wind-ons,981.66,2322.12,1330.68,2386.32,1464.42
18,class8,wind-ons,687.36,4944.96,6933.24,9627.24,6813.12
18,class9,wind-ons,3851.34,4759.32,5937.24,4145.04,2717.28
19,class1,wind-ons,0.12,0.36,1.2,1.92,0.36
19,class10,wind-ons,2190.3,3711.48,2006.04,2531.28,352.26
19,class2,wind-ons,1.08,0.96,0.96,0.36,0.36
19,class3,wind-ons,1.08,0.12,0.36,0.12,1.08
19,class4,wind-ons,3.12,0.96,3.72,4.68,0.36
19,class5,wind-ons,7.92,26.7,30.84,25.2,17.52
19,class6,wind-ons,41.64,112.44,233.88,389.52,1147.32
19,class7,wind-ons,659.76,2315.7,1106.88,504.42,2298
19,class8,wind-ons,840.54,3290.1,3627.96,4607.52,3937.92
19,class9,wind-ons,1999.44,4344.9,2577.18,2482.68,404.58
20,class1,wind-ons,0.24,0.84,0,0,0
20,class10,wind-ons,2630.28,3556.56,4965.36,3726.9,5835.3
20,class2,wind-ons,0.24,4.56,0,0,0
20,class3,wind-ons,3.96,0,0,0,0
20,class4,wind-ons,0.6,0.48,0.12,0.12,0.84
20,class5,wind-ons,2.64,0.36,4.44,10.32,8.4
20,class6,wind-ons,4.92,14.34,35.88,43.86,26.94
20,class7,wind-ons,104.1,95.1,43.8,124.68,323.94
20,class8,wind-ons,618.96,157.44,1809.78,1068.48,522.96
20,class9,wind-ons,461.1,799.5,2121.84,1666.92,1814.7
21,class10,wind-ons,5990.64,5824.56,7248.42,2833.98,2164.56
21,class4,wind-ons,0.24,0,0,0,0
21,class5,wind-ons,9.24,0.72,4.8,4.08,4.44
21,class6,wind-ons,31.56,54.66,29.34,16.68,27.96
21,class7,wind-ons,89.58,104.58,193.5,232.32,321.9
21,class8,wind-ons,93.18,181.68,1152,1292.88,1567.26
21,class9,wind-ons,1338.66,2598,2196.24,2723.58,1730.04
22,class10,wind-ons,4.8,28.32,414.48,1313.82,1048.02
22,class6,wind-ons,0.84,13.08,16.5,0.48,1.92
22,class7,wind-ons,83.82,46.98,45.96,13.98,720.12
22,class8,wind-ons,96.12,165.66,913.56,3345,2256.72
22,class9,wind-ons,34.92,225.12,1027.08,2041.8,1822.02
23,class10,wind-ons,10.74,220.98,1128.18,819.3,918.96
23,class7,wind-ons,1.08,3.42,2.76,1.32,4.68
23,class8,wind-ons,44.4,71.28,152.46,660,1295.46
23,class9,wind-ons,56.28,781.62,371.04,1818.66,425.58
24,class1,wind-ons,0.12,0,0,0,0
24,class10,wind-ons,95.16,2159.76,3396.12,4990.08,5065.14
24,class2,wind-ons,2.04,0.12,0,0,0
24,class3,wind-ons,0.6,0,0,0,0
24,class4,wind-ons,3.12,0,0,0,0
24,class5,wind-ons,0.84,0.36,1.08,1.8,0.48
24,class6,wind-ons,11.52,10.68,27.48,16.56,12
24,class7,wind-ons,17.7,34.98,41.64,142.62,117.36
24,class8,wind-ons,139.26,103.38,180.12,274.98,253.68
24,class9,wind-ons,51.24,386.52,859.08,1179.06,1029.84
25,class10,wind-ons,269.04,711.78,1115.46,1702.68,1615.14
25,class5,wind-ons,0.36,0.12,0.96,6.48,0
25,class6,wind-ons,104.22,148.26,252.48,12.84,173.04
25,class7,wind-ons,662.16,185.16,269.58,142.5,416.7
25,class8,wind-ons,299.28,226.68,455.94,687.84,451.44
25,class9,wind-ons,221.28,292.32,512.7,766.56,859.32
26,class10,wind-ons,81.24,1171.2,1450.08,1013.64,2555.76
26,class6,wind-ons,2.04,1.2,10.5,0.12,0
26,class7,wind-ons,14.76,200.04,4.56,253.2,121.08
26,class8,wind-ons,575.22,839.76,127.2,129.66,291.36
26,class9,wind-ons,197.1,1256.22,2500.68,2695.56,2711.34
27,class10,wind-ons,121.44,2176.38,7943.28,4621.5,4693.92
27,class7,wind-ons,0.24,2.64,0.24,0,0
27,class8,wind-ons,14.04,3.96,15.78,2.16,6.78
27,class9,wind-ons,82.5,98.04,141.9,4798.14,4690.8
28,class10,wind-ons,255.72,41.82,146.46,1084.14,254.22
28,class5,wind-ons,0.84,1.44,0,0,0
28,class6,wind-ons,33.78,5.52,16.74,37.62,10.32
28,class7,wind-ons,9.06,4.02,226.08,391.02,439.08
28,class8,wind-ons,1.08,9.3,174.24,304.68,985.98
28,class9,wind-ons,0.48,136.62,191.16,1009.92,403.5
29,class10,wind-ons,104.1,2902.5,3666.96,5110.68,12397.08
29,class2,wind-ons,0.12,0.72,0,0,0
29,class4,wind-ons,2.4,0.12,0.48,0,0
29,class5,wind-ons,4.44,7.02,5.76,3.06,7.98
29,class6,wind-ons,7.08,9.6,10.14,65.94,30
29,class7,wind-ons,128.04,46.86,78.96,167.58,484.02
29,class8,wind-ons,347.76,507.06,491.28,1039.98,2628.18
29,class9,wind-ons,100.68,666.24,1015.02,2250.3,2379.84
30,class1,wind-ons,13.32,0.24,0.84,23.04,3.48
30,class10,wind-ons,69.72,4982.28,5314.86,7845.78,7457.4
30,class2,wind-ons,6.12,2.52,35.88,0,0
30,class3,wind-ons,17.04,6.9,43.62,0,0
30,class4,wind-ons,0.24,10.26,18.18,8.76,0
30,class5,wind-ons,0.42,0.48,211.2,178.56,47.94
30,class6,wind-ons,55.14,1.86,145.5,106.56,465.9
30,class7,wind-ons,26.04,61.92,681.72,171.48,93.78
30,class8,wind-ons,150.72,124.38,1464.12,437.52,427.56
30,class9,wind-ons,31.74,76.2,1276.26,613.98,455.28
31,class1,wind-ons,0.24,0.72,0,0,0
31,class10,wind-ons,38.76,50.4,78,78.3,320.28
31,class3,wind-ons,1.2,5.28,0.6,0,0
31,class4,wind-ons,0.24,0.6,4.92,0,0
31,class5,wind-ons,35.34,0.18,30.96,10.38,8.1
31,class6,wind-ons,33.66,53.4,71.58,838.08,42.12
31,class7,wind-ons,110.4,137.64,126.24,313.5,44.58
31,class8,wind-ons,173.82,285.12,938.46,29.1,118.08
31,class9,wind-ons,9.42,55.8,16.56,606.96,276.12
32,class1,wind-ons,0.24,0.36,1.14,1.44,0
32,class10,wind-ons,13.02,228.66,926.28,618.96,383.64
32,class2,wind-ons,1.2,1.08,0,0,0
32,class3,wind-ons,5.22,2.34,0,0,0
32,class4,wind-ons,0.48,0.48,0.6,7.92,6.9
32,class5,wind-ons,90.66,25.5,14.94,30.3,17.76
32,class6,wind-ons,59.52,20.7,95.46,168.72,110.7
32,class7,wind-ons,44.58,144.36,360.42,143.4,190.92
32,class8,wind-ons,15,38.1,282.78,43.32,372.9
32,class9,wind-ons,35.04,83.04,286.92,136.26,385.44
33,class1,wind-ons,1.38,28.98,16.2,1.08,0.36
33,class10,wind-ons,94.56,1287.24,1157.22,1131.96,876.3
33,class2,wind-ons,0.12,0.12,0.24,0,0
33,class3,wind-ons,5.4,0.24,0.24,0.72,0.36
33,class4,wind-ons,0.84,0.78,3.9,1.56,0.12
33,class5,wind-ons,15.66,8.28,21.84,32.58,12.24
33,class6,wind-ons,304.86,261.9,319.5,187.68,404.82
33,class7,wind-ons,568.62,704.64,2025.72,3173.64,2736.84
33,class8,wind-ons,236.64,1152.6,3876.18,5890.62,1327.8
33,class9,wind-ons,97.02,1165.38,1541.52,3615,4804.2
34,class10,wind-ons,2716.56,3563.52,3884.88,3674.82,1003.38
34,class2,wind-ons,0.12,0,0,0,0
34,class3,wind-ons,1.32,0,0,0,0
34,class4,wind-ons,0.24,0.24,0,0,0
34,class5,wind-ons,7.32,10.44,6.12,2.76,12.12
34,class6,wind-ons,62.46,41.28,47.52,81.42,169.86
34,class7,wind-ons,231.18,460.68,63.84,560.88,674.82
34,class8,wind-ons,1583.34,905.88,393,1801.2,1987.32
34,class9,wind-ons,1731.18,2103.96,1228.92,525.48,2691.36
35,class1,wind-ons,0.6,0,0,0,0
35,class10,wind-ons,10575.18,17599.38,15270.06,21753.72,20752.74
35,class4,wind-ons,0.6,0,0,0,0
35,class5,wind-ons,1.2,1.08,2.52,0.84,0.12
35,class6,wind-ons,52.44,36.72,39.24,27.36,25.26
35,class7,wind-ons,172.68,107.46,180.42,441.66,777.42
35,class8,wind-ons,642,1719.18,2424.3,3654.06,3034.92
35,class9,wind-ons,4692.78,7262.58,6026.22,6913.74,6405.3
36,class1,wind-ons,0.12,0.24,0.72,0,0
36,class10,wind-ons,0.54,6474.78,10040.82,13465.8,11126.58
36,class2,wind-ons,0.12,0,0,0,0
36,class3,wind-ons,1.2,0.12,0.48,1.32,0
36,class4,wind-ons,0.24,0.12,0.72,0.24,1.44
36,class5,wind-ons,3.96,9,6,5.4,9
36,class6,wind-ons,113.7,76.38,150.3,98.34,42.06
36,class7,wind-ons,102.54,58.74,2288.7,1773.48,1357.56
36,class8,wind-ons,3248.46,9832.62,6733.74,5868.96,3647.94
36,class9,wind-ons,0.18,10966.2,12829.68,12196.62,17598
37,class10,wind-ons,1982.16,7225.44,4526.82,4562.22,7740
37,class4,wind-ons,0.36,0,0,0,0
37,class5,wind-ons,0.24,0.48,2.16,0,0
37,class6,wind-ons,13.2,14.04,22.62,13.2,31.38
37,class7,wind-ons,373.38,93.12,155.28,702.78,228.96
37,class8,wind-ons,1836.3,990.72,1383.9,2515.68,3243.12
37,class9,wind-ons,7983,3991.26,2352,3314.82,3284.76
38,class10,wind-ons,2437.32,2694.66,3167.4,6856.14,4373.82
38,class4,wind-ons,0.36,0.12,0,0,0
38,class5,wind-ons,0.12,4.68,1.2,0.24,0.48
38,class6,wind-ons,21.84,27.54,30.12,34.8,84.96
38,class7,wind-ons,23.16,425.94,1368.96,1089.72,337.62
38,class8,wind-ons,1266.12,4093.32,4390.44,4190.1,3635.4
38,class9,wind-ons,4643.94,3421.32,7887.78,7963.08,4606.56
39,class10,wind-ons,478.62,555.42,3004.02,4310.46,1353.78
39,class3,wind-ons,0.12,0,0,0,0
39,class5,wind-ons,0.12,0.24,0.36,0.12,0
39,class6,wind-ons,2.76,21.72,8.76,33.3,29.1
39,class7,wind-ons,16.08,74.4,344.52,330.78,427.56
39,class8,wind-ons,2472.78,2338.44,2583.78,1269.36,1127.7
39,class9,wind-ons,2897.94,5307.66,3148.98,2350.86,2111.1
40,class10,wind-ons,179.46,1215.84,1990.32,333.3,56.04
40,class6,wind-ons,0.6,1.44,10.32,12.06,8.16
40,class7,wind-ons,0.18,287.58,97.68,100.56,13.08
40,class8,wind-ons,126.24,674.52,615.84,745.5,395.52
40,class9,wind-ons,139.26,474.06,1664.34,1057.2,615.36
41,class1,wind-ons,2.52,0.6,2.64,0.96,3.84
41,class10,wind-ons,837.3,2459.52,2645.88,2134.02,929.52
41,class2,wind-ons,3.48,1.08,1.56,2.04,0.96
41,class3,wind-ons,2.4,4.56,1.92,2.04,2.76
41,class4,wind-ons,3.36,4.8,3.12,4.8,2.4
41,class5,wind-ons,40.5,14.28,26.4,6.84,2.04
41,class6,wind-ons,20.7,81.48,55.38,52.08,29.94
41,class7,wind-ons,90.12,42.54,596.64,128.16,42.18
41,class8,wind-ons,172.44,1116.48,542.16,813.96,1703.94
41,class9,wind-ons,638.52,702.84,939.18,767.82,795.72
42,class1,wind-ons,3,2.4,0.72,2.52,1.56
42,class10,wind-ons,5580.42,6288.48,4023,2145.12,1738.38
42,class2,wind-ons,2.16,0.12,0.24,0.6,0.72
42,class3,wind-ons,4.8,0.36,0.48,0.12,3
42,class4,wind-ons,2.28,3.48,1.2,0.72,1.32
42,class5,wind-ons,15.42,6.72,6.48,15.72,3.24
42,class6,wind-ons,25.26,18.72,20.16,43.14,10.98
42,class7,wind-ons,129.36,84.3,94.02,118.38,189.9
42,class8,wind-ons,232.8,1119.84,684.24,329.28,561.96
42,class9,wind-ons,1257.06,2384.04,926.82,469.74,1600.32
43,class1,wind-ons,1.2,0,0,0,0
43,class10,wind-ons,252.06,788.76,936.54,1240.08,2600.82
43,class2,wind-ons,1.68,0,0,0,0
43,class4,wind-ons,0.12,2.58,0,0,0
43,class5,wind-ons,1.2,0.12,2.46,1.68,0.36
43,class6,wind-ons,5.76,5.94,3.3,15.12,2.16
43,class7,wind-ons,89.16,894.06,21.78,61.68,43.32
43,class8,wind-ons,4880.4,187.56,629.94,51.3,40.26
43,class9,wind-ons,376.14,478.98,509.88,373.44,98.28
44,class1,wind-ons,0.12,0.72,0.12,0.6,0
44,class10,wind-ons,127.8,1362.3,226.98,168.24,62.28
44,class2,wind-ons,0.12,0.72,0.36,0.24,0
44,class3,wind-ons,1.56,0.24,0.84,0,0
44,class4,wind-ons,1.2,2.52,5.76,4.32,0.36
44,class5,wind-ons,1.92,18.12,22.26,40.5,8.4
44,class6,wind-ons,89.04,157.08,208.32,88.08,135.36
44,class7,wind-ons,1666.56,2092.74,2421.48,7068,2411.82
44,class8,wind-ons,908.1,3162.84,4652.7,8011.56,5011.8
44,class9,wind-ons,129.48,2019.6,2892.36,262.44,1583.4
45,class10,wind-ons,15.06,517.74,180.36,337.38,171.42
45,class4,wind-ons,0.84,0,0,0,0
45,class5,wind-ons,0.24,0.24,0.36,0.6,0.24
45,class6,wind-ons,2.88,9.24,6.72,3.6,40.92
45,class7,wind-ons,61.92,17.22,1621.86,2038.92,3811.38
45,class8,wind-ons,1.68,1083.72,2419.14,2720.82,3360.36
45,class9,wind-ons,207.72,483.36,500.64,52.92,405.66
46,class1,wind-ons,0.84,0.6,1.2,0.84,1.68
46,class10,wind-ons,364.38,1625.04,2131.32,2401.98,344.4
46,class2,wind-ons,0.36,0.48,2.4,0.84,0.12
46,class3,wind-ons,2.4,2.88,7.92,0.48,3.6
46,class4,wind-ons,0.12,1.32,5.4,1.68,1.2
46,class5,wind-ons,36.72,59.28,18.72,25.56,7.32
46,class6,wind-ons,109.44,66.24,302.94,391.68,292.32
46,class7,wind-ons,199.68,1851.42,981.72,643.08,3123.42
46,class8,wind-ons,3672.66,4875.54,2296.74,3012,3205.56
46,class9,wind-ons,129.72,1753.44,2581.86,739.56,361.5
47,class1,wind-ons,0.36,0.72,0.84,0,0
47,class10,wind-ons,9.54,608.58,2769.42,1533.72,2029.92
47,class2,wind-ons,0.48,0,0,0,0
47,class3,wind-ons,1.2,0,0,0,0
47,class4,wind-ons,0.24,0.12,2.94,1.44,0.12
47,class5,wind-ons,6.24,15.66,2.16,16.56,2.16
47,class6,wind-ons,104.88,163.5,309.6,375,75
47,class7,wind-ons,529.92,5245.5,2203.44,1078.26,168.54
47,class8,wind-ons,5794.02,2920.26,3363.72,3133.2,1247.52
47,class9,wind-ons,82.38,2564.34,3541.44,2833.8,2111.7
48,class1,wind-ons,0.24,1.08,0,0,0
48,class10,wind-ons,3885.24,3499.44,7830.6,6117.6,5095.14
48,class3,wind-ons,0.72,0.12,0.48,2.4,0.12
48,class4,wind-ons,0.24,1.08,0.48,0.48,0.24
48,class5,wind-ons,8.64,10.14,12.48,19.92,15
48,class6,wind-ons,56.7,78.6,234.6,184.86,542.76
48,class7,wind-ons,324.3,2395.32,6241.26,6979.68,6493.62
48,class8,wind-ons,2030.22,11166.54,18982.14,11717.46,11571.96
48,class9,wind-ons,6625.8,9533.76,14893.14,4214.46,7558.26
49,class10,wind-ons,200.4,1507.92,405.48,658.38,1784.64
49,class6,wind-ons,0.78,8.4,7.08,1.32,37.38
49,class7,wind-ons,8.88,83.22,9.36,80.88,6.24
49,class8,wind-ons,28.74,71.22,477.72,305.52,17.16
49,class9,wind-ons,129.3,650.88,265.2,171.18,94.5
50,class10,wind-ons,1390.44,4114.26,4252.38,5378.04,4231.02
50,class4,wind-ons,0.24,0,0,0,0
50,class5,wind-ons,0.6,1.2,0.72,0,0
50,class6,wind-ons,18.06,18.66,16.08,44.88,3.48
50,class7,wind-ons,14.82,90.42,352.68,526.26,444.66
50,class8,wind-ons,368.76,1474.08,2984.04,1823.28,2899.26
50,class9,wind-ons,597.12,1631.28,1191.9,1460.22,4652.94
51,class10,wind-ons,8294.34,6143.4,3786.3,3072.6,1817.28
51,class5,wind-ons,0.06,0.06,0,0,0
51,class6,wind-ons,3.54,28.62,4.14,6.18,16.68
51,class7,wind-ons,87.9,200.82,201,200.04,537.84
51,class8,wind-ons,15.3,658.98,959.64,2568.54,1804.5
51,class9,wind-ons,1098.48,1669.2,4350.54,4452.84,2034.66
52,class10,wind-ons,23.4,3503.52,4925.82,1826.46,1655.22
52,class6,wind-ons,0.12,0.06,0.18,0.48,0.48
52,class7,wind-ons,73.56,10.8,30.84,91.26,844.62
52,class8,wind-ons,40.44,2092.5,2275.8,2280.36,1047.96
52,class9,wind-ons,1.5,4707,6530.04,3235.8,3213.18
53,class10,wind-ons,2193.9,4822.56,2871.12,245.94,882.54
53,class5,wind-ons,0.36,0,0,0,0
53,class6,wind-ons,5.76,1.2,0.84,23.4,2.4
53,class7,wind-ons,265.86,602.22,434.82,500.16,690.18
53,class8,wind-ons,547.92,1521.18,1781.1,1988.7,5008.26
53,class9,wind-ons,1168.62,2468.34,4870.98,4654.86,2795.1
54,class10,wind-ons,233.34,1862.46,5081.22,3283.32,2174.94
54,class4,wind-ons,0.06,0,0,0,0
54,class5,wind-ons,3.96,0.12,0.24,0.84,8.16
54,class6,wind-ons,159.78,190.8,84.54,178.62,333
