# File: EIA_coal_generation_2018.csv
# Title: Net generation for electric power annual - coal
# Unit: thousand megawatthours (GWh)
# Comments: Selected columns from original form
# Source: U.S. Energy Information Administration Electricity Data Browser - https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=8&geo=00fvvvvvvvvvo&sec=008&freq=A&start=2001&end=2018&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
# Column types: cccciiiiiiiiiiiiiiiiii 
# ----------
fuel,state,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Coal,Texas,thousand megawatthours,ELEC.GEN.COW-TX-98.A,132297,139283,144264,146214,145803,143901,147279,147132,139107,146850,157890,138088,149404,148174,121554,121231,134648,111723
Coal,Arizona,thousand megawatthours,ELEC.GEN.COW-AZ-98.A,39732,37957,37740,39419,39751,40056,40911,43505,39464,43348,43412,39930,43492,42665,36167,30403,31396,30745
Coal,Colorado,thousand megawatthours,ELEC.GEN.COW-CO-98.A,35951,35388,36116,35848,35570,36269,35936,34828,31636,34559,33955,34513,33696,32537,31533,29941,29233,26370
Coal,Idaho,thousand megawatthours,ELEC.GEN.COW-ID-98.A,,,,,,,,,,,,,,,,,,
Coal,Montana,thousand megawatthours,ELEC.GEN.COW-MT-98.A,17036,15338,17049,17380,17823,17085,18357,18332,15611,18601,15047,13979,14870,15571,16007,14263,13858,13350
Coal,Nevada,thousand megawatthours,ELEC.GEN.COW-NV-98.A,17737,16413,17086,18257,18384,7254,7091,7812,7540,6997,5407,4079,5255,6548,2657,2167,1866,2485
Coal,New Mexico,thousand megawatthours,ELEC.GEN.COW-NM-98.A,28402,26903,28813,29264,29947,29859,27604,27014,29117,25618,27141,24994,24145,20356,20440,18365,18414,13402
Coal,Utah,thousand megawatthours,ELEC.GEN.COW-UT-98.A,33592,34472,35979,36030,35241,36054,36314,37176,34695,33218,32697,30394,33795,32930,31233,25502,26173,25912
Coal,Wyoming,thousand megawatthours,ELEC.GEN.COW-WY-98.A,42561,41685,42099,43112,43112,42662,42908,43601,41758,42766,40495,43001,45975,42945,42671,39630,39674,39280
Coal,California,thousand megawatthours,ELEC.GEN.COW-CA-98.A,1748,1832,1839,1797,1671,1754,1844,1917,1677,1751,1608,1005,469,499,0,0,0,0
Coal,Oregon,thousand megawatthours,ELEC.GEN.COW-OR-98.A,4424,3769,4286,3536,3464,2371,4352,4044,3197,4126,3334,2634,3759,3193,2377,1898,1728,1476
Coal,Washington,thousand megawatthours,ELEC.GEN.COW-WA-98.A,9043,8626,11055,10386,10474,6349,8518,8727,7439,8487,5200,3728,6704,6676,5016,4569,5463,5359
Coal,Alaska,thousand megawatthours,ELEC.GEN.COW-AK-98.A,428,445,330,393,393,397,414,397,422,394,387,417,379,448,559,487,452,525
Coal,Hawaii,thousand megawatthours,ELEC.GEN.COW-HI-98.A,1560,1519,1644,1604,1631,1549,1579,1648,1500,1496,1377,1498,1357,1466,1303,1492,1376,1311
