# File: A44.globaltech_eff.csv
# Title: Building default technology efficiency
# Units: Look up
supplysector,subsector,technology,minicam.energy.input,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
resid heating,biomass,wood furnace,delivered biomass,0.4,0.4,0.4,0.406,0.412,0.418,0.425,0.431,0.438,0.438
comm cooking,gas,gas stove,delivered gas,0.514,0.514,0.514,0.527,0.533,0.541,0.55,0.558,0.566,0.566
comm cooking,electricity,electric stove,elect_td_bld,0.722,0.722,0.713,0.748,0.755,0.766,0.778,0.789,0.801,0.801
comm lighting,electricity,incandescent,elect_td_bld,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.023
comm lighting,electricity,fluorescent,elect_td_bld,0.12,0.12,0.12,0.122,0.124,0.126,0.127,0.129,0.131,0.131
comm lighting,electricity,solid state,elect_td_bld,0.154,0.154,0.154,0.154,0.16,0.166,0.172,0.179,0.185,0.185
comm refrigeration,electricity,refrigeration,elect_td_bld,1.396,1.396,1.964,2.482,2.668,2.77,2.876,2.985,3.099,3.099
comm refrigeration,electricity,refrigeration hi-eff,elect_td_bld,1.396,1.396,3.094,3.141,3.188,3.236,3.285,3.335,3.385,3.385
comm office,electricity,office equipment,elect_td_bld,1,1,1,1.038,1.078,1.119,1.162,1.206,1.252,1.252
comm other,gas,gas,delivered gas,1,1,1,1.038,1.078,1.119,1.162,1.206,1.252,1.252
comm other,electricity,electricity,elect_td_bld,1,1,1,0.974,1.011,1.049,1.089,1.131,1.174,1.174
comm other,refined liquids,refined liquids,refined liquids enduse,1,1,1,1.038,1.078,1.119,1.162,1.206,1.252,1.252
comm non-building,electricity,electricity,elect_td_bld,1,1,1,0.974,1.011,1.049,1.089,1.131,1.174,1.174
