# File: Dooley_CCS_USA.csv
# Title: CO2 Storage Capacity
# Units: In columns
# Source: Dahowski, R., Dooley, J., Davidson, C., Bachu, S. & Gupta, N. Building the Cost Curves for CO2 Storage: North America. IEA Greenhouse Gas R&D Programme, Cheltenham, UK. (2005).
# Wise, M., Dooley, J., Dahowski, R. & Davidson, C. Modeling the impacts of climate policy on the deployment of carbon dioxide capture and geologic storage across electric power regions in the United States. International Journal of Greenhouse Gas Control 1, 261-270 (2007).
# Dahowski, R. T., Davidson, C. L., Li, X. C. & Wei, N. A $70/tCO2 greenhouse gas mitigation backstop for China's industrial and electric power sectors: Insights from a comprehensive CCS cost curve. International Journal of Greenhouse Gas Control 11, 73-85, doi:10.1016/j.ijggc.2012.07.024 (2012).
# Dahowski, R., Davidson, C. & Dooley, J. Comparing large scale CCS deployment potential in the USA and China: A detailed analysis based on country-specific CO2 transport & storage cost curves. Energy Procedia 4, 2732-2739, doi:DOI: 10.1016/j.egypro.2011.02.175 (2011).
# Column types: cccnn 
# ----------
Timestep,GENUNIT,state,CO2_Mt,Cost_2005USDtCO2
TS1,R00710,TX,10.6,-52.73
TS2,R00710,TX,10.6,-52.73
TS1,G01753,TX,3.3,-52.56
TS2,G01753,TX,3.3,-52.56
TS3,G01753,TX,3.3,-52.56
TS1,G01735,TX,3.9,-52.55
TS2,G01735,TX,3.9,-52.55
TS1,P1111,TX,77.7,-52.49
TS1,P0713,MT,23,-52.45
TS1,G01770,TX,5.4,-52.45
TS2,G01770,TX,5.4,-52.45
TS1,P1317,WY,55.6,-52.42
TS1,C01996,OK,9.4,-52.25
TS1,G01639,TX,5,-52.08
TS1,G01635,TX,2.9,-51.98
TS2,G01635,TX,2.9,-51.98
TS1,G01476,NM,8.2,-51.74
TS1,G01280,CA,6.2,-51.72
TS1,C01975,CA,16,-51.72
TS1,G01555,OK,2.9,-51.61
TS1,G01281,CA,5.8,-51.58
TS1,P1158,TX,62.7,-51.48
TS1,G01634,TX,3.5,-51.35
TS2,G01634,TX,3.5,-51.35
TS1,G01467,NM,3.5,-51.35
TS2,G01467,NM,3.5,-51.35
TS1,G01507,OK,4.9,-51.28
TS1,H00216,CA,6.6,-51.25
TS1,P1068,TX,5.4,-51.11
TS1,G01664,TX,5.9,-51.04
TS1,P1141,TX,13,-50.83
TS1,G01673,TX,3.1,-50.81
TS2,G01673,TX,3.1,-50.81
TS2,R00684,NM,10.1,-50.75
TS1,P0923,OK,22.6,-50.63
TS1,P0916,OK,10.5,-50.55
TS1,G01512,OK,5.3,-50.51
TS1,G01726,TX,5.3,-50.47
TS2,G01726,TX,5.3,-50.47
TS1,G01578,TX,6.6,-50.35
TS1,G01647,TX,3.1,-50.1
TS2,G01647,TX,3.1,-50.1
TS2,G01476,NM,8.2,-50.01
TS1,G01695,TX,3.5,-49.97
TS2,G01695,TX,3.5,-49.97
TS1,A00386,OK,2.6,-49.85
TS2,A00386,OK,2.6,-49.85
TS1,EL0063,IN,5.1,-49.82
TS2,P1068,TX,5.4,-49.68
TS1,G01771,TX,3.5,-49.66
TS2,G01771,TX,3.5,-49.66
TS1,EL0046,IL,7.3,-49.65
TS1,P1104,TX,32.4,-49.62
TS1,G01642,TX,2.9,-49.61
TS1,G01685,TX,4.9,-49.57
TS1,C02034,TX,6,-49.42
TS2,P1141,TX,13,-49.41
TS1,P1132,TX,20.4,-49.37
TS1,G01732,TX,3.1,-49.35
TS2,G01732,TX,3.1,-49.35
TS1,P1107,TX,29.6,-49.15
TS1,G01528,OK,4.4,-49.1
TS1,H00206,CA,5.1,-48.94
TS1,A00363,KS,1.9,-48.79
TS1,G01700,TX,7.8,-48.78
TS1,G009-M,MI,9.1,-48.68
TS1,H00214,CA,3.3,-48.59
TS1,H00219,CA,4.9,-48.54
TS1,G01589,TX,2.8,-48.52
TS1,R00721,TX,7.8,-48.5
TS1,EL0009,IA,19.4,-48.4
TS1,EL0048,IL,2.5,-48.39
TS1,A00377,OH,15.9,-48.34
TS1,G01644,TX,2,-48.26
TS2,G01644,TX,2,-48.26
TS1,G01573,TX,3.9,-48.25
TS1,G01621,TX,2.7,-48.21
TS2,G01621,TX,2.7,-48.21
TS1,H00207,CA,3.3,-48.12
TS1,G01627,TX,3.3,-48.04
TS1,EL0052,IL,4.6,-47.96
TS1,P1179,TX,21.6,-47.92
TS1,EL0011,IA,4.3,-47.91
TS1,G01478,NM,3.1,-47.91
TS2,G01478,NM,3.1,-47.91
TS1,G01336,KS,15.3,-47.89
TS1,G01479,NM,3.1,-47.8
TS2,G01479,NM,3.1,-47.8
TS1,G01638,TX,2,-47.51
TS2,G01638,TX,2,-47.51
TS1,EL0050,IL,2.2,-47.41
TS1,G01334,KS,11.9,-47.28
TS1,G01441,MI,6,-47.28
TS1,P1150,TX,22.3,-46.95
TS1,R00704,TX,15.6,-46.93
TS2,G01589,TX,2.8,-46.87
TS1,P1178,TX,2.4,-46.74
TS1,EL0129,OH,5.1,-46.72
TS1,R00724,TX,25.2,-46.63
TS1,G01739,TX,1.9,-46.47
TS2,G01739,TX,1.9,-46.47
TS1,P1087,TX,2.9,-46.45
TS1,R00719,TX,21.7,-46.38
TS1,G01340,KS,6.6,-46.36
TS1,G01345,KS,6.6,-46.31
TS1,G01827,WY,21.4,-46.28
TS1,EL0058,IN,4.7,-46.26
TS1,G01553,OK,2.2,-46.22
TS1,P1064,TX,20.6,-46.19
TS1,H00208,CA,3.4,-46.18
TS1,P1306,WY,23.6,-46.16
TS1,G01645,TX,2.2,-46.12
TS2,G01645,TX,2.2,-46.12
TS1,P1134,TX,16,-45.97
TS1,A00361,NE,3.7,-45.97
TS1,G01380,LA,49,-45.94
TS1,EL0045,IL,4.6,-45.91
TS1,P1124,TX,23.5,-45.85
TS1,G01668,TX,2.6,-45.84
TS1,G01533,OK,5,-45.79
TS1,EL0037,IA,5.1,-45.76
TS1,G01737,TX,2.1,-45.71
TS2,G01737,TX,2.1,-45.71
TS1,EL0010,IA,11,-45.63
TS1,P1057,TX,14.7,-45.61
TS1,G01523,OK,3.3,-45.59
TS1,EL0147,TX,5.1,-45.56
TS1,EL0105,NE,13.9,-45.45
TS1,P1133,TX,13.3,-45.31
TS1,EL0071,MI,2.5,-45.19
TS1,G01625,TX,1.8,-45.16
TS2,G01625,TX,1.8,-45.16
TS1,G01656,TX,2.2,-45.16
TS2,G01656,TX,2.2,-45.16
TS1,P0921,OK,58,-45.12
TS1,G01652,TX,3.1,-45.12
TS1,C01977,TX,11.8,-44.93
TS2,G01642,TX,2.9,-44.83
TS1,P1112,TX,2.3,-44.79
TS1,EL0073,MI,2.5,-44.75
TS1,P0804,NM,7.4,-44.6
TS1,H00213,CA,2.6,-44.56
TS1,EL0056,IN,5.1,-44.49
TS1,C01954,TX,10.8,-44.43
TS1,EL0126,OH,3.1,-44.36
TS1,G01279,CA,2.6,-44.29
TS1,G01461,NM,2,-44.21
TS2,G01461,NM,2,-44.21
TS1,G01342,KS,2.3,-44.16
TS1,G01623,TX,24.3,-44.14
TS1,G01598,TX,2.3,-44.07
TS1,G01738,TX,2.3,-44.07
TS2,G01598,TX,2.3,-44.07
TS1,P1308,WY,86,-43.89
TS1,C02074,TX,13.2,-43.81
TS1,P0154,CA,4.6,-43.7
TS1,P1060,TX,16.5,-43.69
TS1,EL0062,IN,5.1,-43.68
TS1,EL0109,NE,3.9,-43.63
TS1,C02037,MI,18,-43.62
TS1,EL0060,IN,3.1,-43.61
TS1,G01389,LA,35.7,-43.57
TS1,G01379,LA,36.4,-43.55
TS1,G01386,LA,34.9,-43.54
TS1,G01481,NM,5.3,-43.5
TS1,EL0144,TN,5.1,-43.49
TS1,G01502,OK,2.3,-43.49
TS1,P0208,CO,40.4,-43.42
TS1,EL0070,MI,2.3,-43.33
TS1,EL0072,MI,2.3,-43.33
TS1,EL0002,CA,2.5,-43.33
TS1,P1082,TX,14.3,-43.11
TS1,G01246,AL,6.1,-43.05
TS2,G01573,TX,3.9,-43.05
TS1,C02070,TX,10.7,-43.03
TS1,C02041,CA,24.2,-42.97
TS1,C02072,TX,10.2,-42.96
TS1,G01607,TX,2.2,-42.96
TS1,G01725,TX,17.8,-42.88
TS1,EL0112,NE,2.3,-42.82
TS1,G01268,CA,2.2,-42.81
TS1,P1159,TX,13.7,-42.78
TS1,P1174,TX,9,-42.72
TS1,R00725,TX,14.9,-42.68
TS1,EL0047,IL,4.6,-42.63
TS1,G01473,NM,17.5,-42.61
TS1,EL0074,MI,2.5,-42.49
TS1,P0935,OK,8.7,-42.48
TS1,G01462,NM,18.2,-42.45
TS1,G01529,OK,4.2,-42.25
TS1,P0931,OK,26.1,-42.16
TS1,P0075,CA,20.4,-42.03
TS1,G01811,WY,2.6,-41.99
TS2,C02034,TX,6,-41.97
TS1,P0927,OK,7.1,-41.79
TS1,G01353,LA,8.4,-41.79
TS1,P0122,CA,30.2,-41.71
TS1,P0715,MT,13.7,-41.61
TS1,H00215,CA,6.3,-41.58
TS1,G01331,CO,13.2,-41.54
TS2,G01668,TX,2.6,-41.47
TS1,P0748,ND,61.7,-41.45
TS1,P1148,TX,8.3,-41.34
TS1,G01527,OK,2,-41.29
TS2,G01527,OK,2,-41.29
TS1,P1100,TX,6.6,-41.21
TS2,R00721,TX,7.8,-41.21
TS1,EL0146,TX,1.9,-41.17
TS1,G01641,TX,8.1,-41.16
TS1,EL0096,MS,2.5,-40.99
TS1,A00351,TX,7.3,-40.96
TS1,P0805,NM,7.6,-40.85
TS1,A00385,OK,5.9,-40.81
TS2,G01533,OK,5,-40.7
TS1,G01546,OK,1.9,-40.68
TS1,G01684,TX,27.5,-40.67
TS1,G01464,NM,1.8,-40.51
TS1,G01605,TX,1.8,-40.51
TS1,EL0051,IL,4.6,-40.49
TS1,P0135,CA,9,-40.49
TS1,EL0125,OH,3.1,-40.46
TS2,G01685,TX,4.9,-40.41
TS1,P0920,OK,11.3,-40.25
TS1,G01344,KS,4.9,-40.16
TS1,P1313,WY,6.9,-40.12
TS1,EL0053,IL,4.6,-40.04
TS1,C02066,CA,19.7,-40.02
TS1,G01640,TX,7.7,-39.85
TS1,G01683,TX,12.3,-39.83
TS1,EL0103,NE,4.6,-39.78
TS1,EL0148,TX,4.6,-39.69
TS1,P0466,KS,4.5,-39.69
TS1,G01587,TX,5.5,-39.69
TS1,H00211,CA,4.9,-39.53
TS1,G01293,CO,6.4,-39.47
TS1,G01826,WY,8.7,-39.41
TS1,A00373,TX,2.5,-39.39
TS1,P0714,MT,7.9,-39.26
TS1,EL0064,KS,5.1,-39.18
TS1,EL0093,MO,2.3,-39.08
TS1,P0132,CA,4.1,-39.07
TS1,C02051,NM,6.2,-39.03
TS1,G01820,WY,5.2,-39.01
TS1,R00691,OK,8.7,-38.77
TS1,H00276,TX,2.9,-38.74
TS1,G01493,OK,2.6,-38.73
TS1,A00370,LA,21.9,-38.7
TS1,G01660,TX,8,-38.7
TS1,G01661,TX,4.8,-38.58
TS1,E00245,TX,33.5,-38.54
TS1,G01805,WY,4.7,-38.45
TS1,P0205,CO,37,-38.45
TS1,P0076,CA,15.1,-38.36
TS1,G01359,LA,31.2,-38.36
TS2,EL0147,TX,5.1,-38.25
TS1,H00220,CA,4.1,-38.15
TS1,R00610,CA,15.9,-38.14
TS1,P0172,CA,15.5,-38.13
TS1,G01393,LA,22.5,-38.02
TS1,G01801,WY,7.3,-37.91
TS1,G01681,TX,4,-37.9
TS1,G01795,WY,3.9,-37.9
TS1,A00362,KS,3.5,-37.89
TS1,EL0108,NE,2.5,-37.79
TS1,G01510,OK,3.5,-37.77
TS2,G01605,TX,1.8,-37.73
TS1,EL0119,NE,2.1,-37.72
TS1,EL0068,KS,2.1,-37.63
TS1,EL0016,IA,2.5,-37.39
TS1,P0186,CA,19,-37.35
TS1,R00623,CA,13.5,-37.26
TS1,G01562,OK,2.4,-37.25
TS1,EL0118,NE,2,-37.21
TS1,G01482,NM,2.3,-37.18
TS2,G01482,NM,2.3,-37.18
TS1,G01650,TX,7.3,-37.09
TS1,A00360,TX,14.4,-37.08
TS1,G01561,OK,2,-37.01
TS1,G01563,OK,2,-37.01
TS1,A00359,ND,7.8,-36.97
TS1,G01599,TX,2.4,-36.93
TS1,G01499,OK,2.4,-36.91
TS1,G01809,WY,4.1,-36.91
TS1,G01419,LA,13.5,-36.91
TS1,P0211,CO,14.1,-36.89
TS1,G01358,LA,27.7,-36.86
TS1,EL0092,MO,2.3,-36.77
TS1,A00371,MS,7.7,-36.73
TS1,P0110,CA,19.9,-36.59
TS1,G01337,KS,2.7,-36.54
TS1,P0212,CO,23.9,-36.51
TS1,P1149,TX,4.4,-36.42
TS1,P0136,CA,6.7,-36.38
TS1,G01544,OK,2.3,-36.28
TS1,G01662,TX,7.9,-36.24
TS1,G01678,TX,6.7,-36.14
TS1,G01418,LA,20.9,-36.11
TS1,G01646,TX,2.7,-36.11
TS1,EL0059,IN,3.1,-35.98
TS1,G01671,TX,8.9,-35.93
TS1,G01666,TX,9.3,-35.91
TS1,P0077,CA,6.3,-35.87
TS1,G01497,OK,3,-35.84
TS1,G01392,LA,6.2,-35.77
TS1,EL0027,IA,5.1,-35.72
TS1,G01287,CA,2.2,-35.69
TS1,EL0128,OH,5.1,-35.63
TS1,P0924,OK,3.7,-35.62
TS1,EL0054,IN,4.6,-35.45
TS1,G01785,UT,2,-35.32
TS2,G01785,UT,2,-35.32
TS1,P1120,TX,8,-35.29
TS1,G01541,OK,2.6,-35.29
TS1,P0109,CA,23.7,-35.25
TS1,P0106,CA,11.8,-35.21
TS1,G01391,LA,28.2,-35.19
TS1,P0107,CA,6.5,-35.17
TS1,EL0101,NE,4.1,-35.14
TS1,G01405,LA,18.2,-35.11
TS1,G01251,AL,4.9,-35.08
TS1,G01690,TX,2.2,-35.08
TS1,EL0113,NE,4.6,-34.98
TS1,G01716,TX,3.9,-34.91
TS1,G01794,WY,12.4,-34.82
TS1,EL0004,CO,1.9,-34.77
TS1,EL0107,NE,5.3,-34.75
TS1,EL0065,KS,2.5,-34.73
TS1,P0179,CA,24.6,-34.61
TS1,G01774,TX,1.9,-34.6
TS1,EL0019,IA,5.1,-34.59
TS1,G01378,LA,9.4,-34.58
TS1,G01779,UT,5.1,-34.51
TS1,EL0123,NE,5.1,-34.43
TS1,G01365,LA,5.9,-34.39
TS1,G01708,TX,2.2,-34.31
TS1,P0464,KS,2.4,-34.31
TS2,P1087,TX,2.9,-34.3
TS1,EL0049,IL,4.6,-34.09
TS1,G01305,CO,2.2,-33.89
TS1,EL0066,KS,2.5,-33.83
TS1,G01729,TX,2.2,-33.77
TS1,EL0012,IA,5.1,-33.17
TS2,G01607,TX,2.2,-33.16
TS1,C02055,CA,14.6,-33.15
TS1,EL0003,CO,1.9,-33.1
TS1,EL0005,CO,1.9,-33.1
TS1,EL0057,IN,1.9,-33.09
TS1,G01525,OK,2.1,-32.96
TS1,G01526,OK,2.1,-32.96
TS2,P1112,TX,2.3,-32.8
TS1,EL0094,MO,2.1,-32.39
TS1,P0153,CA,7.1,-32.35
TS2,EL0148,TX,4.6,-32.29
TS1,P1198,UT,8.8,-32.2
TS1,C02044,CA,11.9,-31.98
TS1,P1316,WY,16,-31.98
TS2,G01464,NM,1.8,-31.95
TS1,P0091,CA,1.9,-31.85
TS1,EL0095,MO,2.5,-31.81
TS1,R00745,WY,3.8,-31.71
TS1,P0078,CA,26.2,-31.68
TS1,P0120,CA,2.5,-31.39
TS2,EL0146,TX,1.9,-31.08
TS1,R00618,CA,7.8,-31.04
TS1,P0084,CA,6.6,-30.87
TS1,P1197,UT,3.8,-30.14
TS1,P0176,CA,7.8,-30.13
TS1,P0112,CA,9.1,-30.06
TS1,EL0099,ND,2.3,-29.74
TS2,P0130,CA,44.9,-29.54
TS1,P1196,UT,15.3,-29.49
TS1,P0197,CO,6.1,-29.22
TS1,P0137,CA,4.4,-28.77
TS1,C01973,CA,10.2,-28.73
TS2,P0179,CA,24.6,-28.72
TS2,P0109,CA,23.7,-28.58
TS2,P0155,CA,34.5,-28.56
TS1,P1083,TX,3.1,-28.48
TS1,G01659,TX,4.3,-28.47
TS1,R00608,CA,10.7,-28.43
TS1,C01974,CA,8.9,-28.41
TS1,P0111,CA,5.2,-28.39
TS1,P0145,CA,49.2,-28.14
TS2,P0145,CA,49.2,-28.14
TS2,P0181,CA,31.6,-27.91
TS2,P0128,CA,27.5,-27.77
TS1,P0108,CA,4,-27.73
TS1,P0162,CA,4.4,-27.68
TS1,P0101,CA,35,-27.28
TS1,P0934,OK,121.5,-27.27
TS1,P0183,CA,10.7,-27
TS2,P1136,TX,74.3,-26.91
TS2,P1106,TX,142.7,-26.85
TS2,EL0003,CO,1.9,-26.8
TS1,P0182,CA,3.3,-26.62
TS1,P0087,CA,3.3,-26.53
TS1,P0117,CA,2.8,-26.45
TS2,P1113,TX,115.6,-26.35
TS2,G01278,CA,21.9,-26.3
TS1,P0114,CA,4,-26.24
TS1,EL0156,WI,6,-26.19
TS2,R00606,CA,45.1,-26.04
TS1,P0074,CA,15.5,-25.86
TS1,P0140,CA,21.4,-25.79
TS2,R00605,CA,45.1,-25.69
TS1,R00622,CA,47,-25.66
TS2,R00622,CA,47,-25.66
TS2,P1111,TX,77.7,-25.59
TS1,G01797,WY,4.6,-25.43
TS1,G01626,TX,3.6,-25.35
TS1,G01800,WY,4.3,-25.16
TS1,P0169,CA,2.8,-25.15
TS1,P0147,CA,9.3,-25.14
TS1,G01736,TX,2.4,-25
TS2,P0146,CA,44.1,-24.91
TS1,P0082,CA,3.5,-24.85
TS1,EL0069,KS,2.2,-24.8
TS1,R00607,CA,39,-24.79
TS2,R00607,CA,39,-24.79
TS1,P0166,CA,6.2,-24.65
TS2,P1158,TX,62.7,-24.58
TS1,G01663,TX,3.8,-24.37
TS1,C02012,CA,18.4,-24.19
TS2,P1178,TX,2.4,-24.14
TS2,C01973,CA,10.2,-23.98
TS1,P0463,KS,48.4,-23.82
TS1,I00898,CO,2.7,-23.4
TS1,R00609,CA,26.8,-23.31
TS2,G01280,CA,6.2,-23.15
TS2,G01281,CA,5.8,-22.94
TS1,EL0097,ND,2.3,-22.94
TS1,P0133,CA,24.5,-22.87
TS1,P0165,CA,6.2,-22.66
TS1,G01815,WY,2.9,-22.63
TS2,P1104,TX,32.4,-22.58
TS1,G01373,LA,13,-22.47
TS1,R00611,CA,22.5,-22.01
TS1,P0174,CA,11.7,-22
TS2,P1107,TX,29.6,-21.99
TS3,G01739,TX,1.9,-21.9
TS1,P0141,CA,3.7,-21.89
TS1,G01424,LA,8.8,-21.7
TS1,P1126,TX,349.9,-21.66
TS1,P0151,CA,1.9,-21.59
TS1,P0012,AL,208.5,-21.46
TS1,R00616,CA,3.7,-21.43
TS1,P1315,WY,2.4,-21.42
TS1,A00354,LA,7.9,-21.38
TS2,P1132,TX,20.4,-21.36
TS1,G01360,LA,8.6,-21.28
TS1,P0081,CA,3.6,-21.12
TS1,P0175,CA,4.2,-21.08
TS1,EL0055,IN,1.9,-21.07
TS2,P1179,TX,21.6,-21.05
TS1,P1312,WY,15.3,-21.04
TS1,G01442,MS,20.1,-20.9
TS1,G01799,WY,3,-20.87
TS1,P0677,MO,82.5,-20.5
TS1,G01387,LA,7.3,-20.42
TS1,P0131,CA,2.9,-20.26
TS1,G01377,LA,7.1,-20.24
TS1,P0029,AL,374.1,-20.23
TS1,P0127,CA,2.9,-20.1
TS1,G01636,TX,5.3,-19.93
TS1,R00641,KS,18,-19.88
TS1,G01632,TX,7.2,-19.88
TS1,P0119,CA,4.6,-19.86
TS1,G01417,LA,4.5,-19.81
TS1,G01395,LA,4.2,-19.78
TS1,P0129,CA,3.8,-19.77
TS1,P1121,TX,1.9,-19.49
TS2,R00724,TX,25.2,-19.4
TS1,G01421,LA,4.5,-19.39
TS1,P0092,CA,3.4,-19.21
TS1,R00619,CA,4.2,-19.17
TS2,G01738,TX,2.3,-19.02
TS1,P0103,CA,2.9,-18.88
TS1,P0168,CA,3.9,-18.72
TS1,P0163,CA,10.8,-18.57
TS1,R00690,OK,7.8,-18.56
TS1,P0113,CA,2.2,-18.43
TS1,EL0122,NE,1.9,-18.35
TS1,G01243,AL,13,-18.34
TS1,P0123,CA,2.9,-18.29
TS1,A00366,LA,9.3,-18.23
TS1,P0178,CA,10.2,-18.23
TS1,G01311,CO,1.8,-17.82
TS1,R00730,UT,9.2,-17.65
TS1,EL0067,KS,1.9,-17.59
TS1,G01355,LA,10.9,-17.58
TS3,G01688,TX,6.7,-17.54
TS1,EL0091,MO,1.9,-17.51
TS1,P0184,CA,3.5,-17.47
TS1,G01669,TX,10.5,-17.41
TS1,P0079,CA,3.2,-17.37
TS1,H00247,MS,9.9,-17.28
TS1,P1314,WY,6.2,-17.15
TS2,P0119,CA,4.6,-17.15
TS2,G01272,CA,2.7,-17.04
TS1,P1190,UT,25,-17.04
TS1,P1065,TX,3.1,-16.95
TS1,P0090,CA,1.9,-16.92
TS3,G01628,TX,4.9,-16.72
TS1,R00731,UT,7.8,-16.66
TS1,P0139,CA,2.8,-16.59
TS1,P0138,CA,9.3,-16.57
TS1,I00842,UT,50.9,-16.43
TS1,P0098,CA,9.6,-16.4
TS2,P0916,OK,10.5,-16.36
TS1,G01423,LA,4.2,-16.12
TS1,G01375,LA,5.7,-16.05
TS1,G01665,TX,2.6,-16.04
TS1,G01629,TX,4.1,-16.03
TS1,P0144,CA,3.5,-15.75
TS1,P0115,CA,7.1,-15.74
TS2,H00216,CA,6.6,-15.68
TS3,G01657,TX,4.8,-15.66
TS1,P1191,UT,17.7,-15.65
TS1,G01402,LA,3.7,-15.59
TS1,G01586,TX,4.8,-15.54
TS1,G01609,TX,2.5,-15.52
TS1,P0086,CA,4,-15.39
TS1,G01371,LA,3.2,-14.99
TS1,A00357,TX,4,-14.98
TS1,G01394,LA,3.3,-14.93
TS1,EO00072,LA,4.4,-14.91
TS1,C02004,UT,5,-14.9
TS1,EO00073,TX,2.8,-14.89
TS1,G01363,LA,5.1,-14.75
TS1,P0755,NE,2.9,-14.69
TS1,P0089,CA,3,-14.68
TS1,P0097,CA,4,-14.49
TS1,G01648,TX,3.6,-14.42
TS1,P0160,CA,6.5,-14.4
TS1,G01426,LA,2.5,-14.11
TS1,P0099,CA,2,-14.09
TS1,P0143,CA,3,-14
TS1,H00241,LA,5.8,-13.87
TS1,P0080,CA,2.9,-13.65
TS1,C02003,TX,12.8,-13.58
TS2,P1308,WY,86,-13.57
TS1,G01245,AL,4.4,-13.56
TS3,P1106,TX,142.7,-13.55
TS1,P1184,TX,340.1,-13.54
TS3,E00247,TX,14.6,-13.21
TS1,P0093,CA,6.4,-13.19
TS1,G01257,AR,18.4,-13.14
TS2,G01664,TX,5.9,-12.99
TS1,E00225,TX,80.4,-12.84
TS1,E00234,TX,67.9,-12.76
TS1,E00242,TX,73.2,-12.7
TS1,P0049,AR,2,-12.62
TS2,H00219,CA,4.9,-12.61
TS1,E00222,TX,57.1,-12.46
TS2,G01279,CA,2.6,-12.42
TS1,P0100,CA,2,-12.34
TS2,G01287,CA,2.2,-12.28
TS1,P0177,CA,8.2,-12.23
TS2,EL0002,CA,2.5,-12.22
TS1,P1164,TX,10.7,-12.21
TS1,C01964,UT,8.7,-11.99
TS1,P0019,AL,201.9,-11.87
TS1,P0161,CA,6.3,-11.79
TS2,G01529,OK,4.2,-11.58
TS1,G01366,LA,1.9,-11.51
TS1,EL0155,WI,2.2,-11.46
TS1,G01252,AL,2,-11.22
TS3,G01476,NM,8.2,-11.11
TS3,G01724,TX,7.4,-11.09
TS1,R00747,WY,2.2,-10.8
TS3,G01770,TX,5.4,-10.72
TS1,H00242,LA,2.9,-10.65
TS1,I00827,TX,4,-10.62
TS1,G01403,LA,1.9,-10.57
TS2,H00215,CA,6.3,-10.56
TS2,G01268,CA,2.2,-10.44
TS1,R00612,CA,2.2,-10.31
TS2,P1313,WY,6.9,-10.28
TS1,P0157,CA,5,-10.06
TS2,A00351,TX,7.3,-9.99
TS1,P0102,CA,3.5,-9.96
TS1,R00693,OK,13.9,-9.92
TS1,P0040,AL,9.1,-9.81
TS1,G01620,TX,1.8,-9.75
TS2,G01809,WY,4.1,-9.63
