# File: IMAGE_an_head_bySystem.csv
# Title: IMAGE animal production head by system
# Units: Mhead
# Author: XZ
# Source: IMAGE v3.2 (Jonathan Doelman Oct 2022)
# Column types: iccnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,system,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
1971,extensive grazing system,non-dairy cattle,2.11,20.44,15.13,9.85,55.26,81.72,0.25,25.29,51.58,3.66,0.00,0.00,7.59,0.00,7.35,0.00,5.32,99.96,1.12,46.02,9.74,1.88,0.00,21.63,26.16,23.73
1971,extensive grazing system,dairy cattle,0.40,2.02,0.35,0.58,4.79,3.74,0.10,3.99,9.61,0.39,0.00,0.00,0.00,0.00,2.59,0.00,0.19,2.15,0.01,2.33,0.05,0.02,0.00,4.51,0.70,4.32
1971,extensive grazing system,pigs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971,extensive grazing system,sheep & goats,0.39,15.83,10.02,2.21,15.24,69.12,4.25,38.17,59.60,18.29,0.00,0.00,4.15,0.00,4.86,0.00,5.44,47.65,0.29,147.13,0.91,3.32,0.00,215.41,27.95,21.67
1971,extensive grazing system,poultry,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971,total,non-dairy cattle,9.68,103.37,20.88,16.01,69.45,97.28,6.32,33.72,56.20,6.14,60.33,18.66,9.45,17.06,9.80,30.67,7.09,201.24,2.06,71.91,32.89,8.83,2.39,28.83,53.41,24.62
1971,total,dairy cattle,2.35,11.86,1.42,2.77,9.78,8.57,3.76,6.77,16.30,0.89,34.54,15.62,5.74,10.78,6.48,21.46,4.78,35.79,0.03,4.66,0.94,0.58,1.20,4.90,11.67,4.65
1971,total,pigs,8.06,66.88,15.64,5.50,20.99,15.08,0.06,4.39,1.23,2.42,106.20,57.55,0.01,22.96,4.29,39.30,0.14,7.69,2.93,86.37,18.83,5.34,8.67,3.00,0.32,1.61
1971,total,sheep & goats,0.54,21.88,15.54,3.43,23.63,107.18,48.87,64.47,100.66,39.01,94.66,44.40,56.55,9.99,66.16,66.39,73.99,111.45,0.65,163.47,2.77,10.14,0.21,226.75,66.59,21.67
1971,total,poultry,96.20,1174.91,100.57,125.85,233.87,304.02,204.03,306.02,203.44,74.39,1086.70,500.71,51.06,204.46,83.79,473.08,222.60,236.70,52.12,1605.58,472.65,153.32,280.82,55.92,186.83,116.23
1972,intensive grazing system,non-dairy cattle,8.10,86.17,6.13,6.28,15.28,17.02,6.08,8.32,4.58,2.54,61.90,19.28,1.93,17.57,2.52,31.61,1.80,96.68,0.99,26.70,23.10,6.76,2.40,7.79,25.76,0.95
1972,intensive grazing system,dairy cattle,1.88,9.78,1.08,2.21,5.25,4.84,3.73,2.77,6.75,0.47,34.37,15.77,5.82,10.85,3.91,21.59,4.74,34.12,0.02,2.37,0.98,0.57,1.22,0.38,11.13,0.31
1972,intensive grazing system,pigs,8.27,66.53,17.08,5.66,20.97,15.47,0.06,4.51,1.26,2.46,108.43,61.32,0.01,24.02,4.49,41.12,0.15,8.06,3.11,90.53,18.77,5.51,9.60,3.07,0.32,1.68
1972,intensive grazing system,sheep & goats,0.17,5.98,5.40,1.21,8.34,36.24,45.39,26.40,41.03,9.77,94.49,43.54,52.68,10.02,61.50,66.61,67.84,64.25,0.38,16.66,1.98,6.67,0.18,11.00,39.48,0.00
1972,intensive grazing system,poultry,96.73,1176.17,101.65,129.14,250.13,328.02,206.63,308.80,204.33,76.54,1113.64,530.02,54.14,215.79,86.82,498.39,229.32,250.16,53.31,1631.05,480.40,166.44,298.85,58.46,190.16,118.01
1972,extensive grazing system,non-dairy cattle,2.09,20.93,15.01,9.82,57.46,83.10,0.25,24.95,52.69,3.79,0.00,0.00,7.26,0.00,7.57,0.00,5.40,104.30,1.21,45.46,9.57,1.98,0.00,23.36,27.49,24.56
1972,extensive grazing system,dairy cattle,0.36,1.86,0.34,0.59,4.85,3.89,0.11,3.95,9.71,0.39,0.00,0.00,0.00,0.00,2.61,0.00,0.19,2.18,0.02,2.37,0.05,0.02,0.00,4.40,0.71,4.39
1972,extensive grazing system,pigs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972,extensive grazing system,sheep & goats,0.40,14.52,9.99,2.23,15.43,67.05,3.50,38.63,60.04,17.78,0.00,0.00,4.18,0.00,4.88,0.00,5.38,48.43,0.35,149.96,0.99,3.34,0.00,209.05,29.40,22.16
1972,extensive grazing system,poultry,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972,total,non-dairy cattle,10.20,107.10,21.14,16.09,72.74,100.12,6.33,33.26,57.27,6.32,61.90,19.28,9.19,17.57,10.10,31.61,7.20,200.98,2.20,72.16,32.68,8.73,2.40,31.15,53.25,25.51
1972,total,dairy cattle,2.24,11.64,1.43,2.80,10.10,8.73,3.83,6.72,16.45,0.86,34.37,15.77,5.82,10.85,6.52,21.59,4.93,36.30,0.03,4.73,1.03,0.58,1.22,4.78,11.84,4.71
1972,total,pigs,8.27,66.53,17.08,5.66,20.97,15.47,0.06,4.51,1.26,2.46,108.43,61.32,0.01,24.02,4.49,41.12,0.15,8.06,3.11,90.53,18.77,5.51,9.60,3.07,0.32,1.68
1972,total,sheep & goats,0.57,20.49,15.39,3.44,23.77,103.29,48.89,65.03,101.07,27.55,94.49,43.54,56.86,10.02,66.38,66.61,73.22,112.68,0.72,166.62,2.97,10.01,0.18,220.05,68.88,22.16
1972,total,poultry,96.73,1176.17,101.65,129.14,250.13,328.02,206.63,308.80,204.33,76.54,1113.64,530.02,54.14,215.79,86.82,498.39,229.32,250.16,53.31,1631.05,480.40,166.44,298.85,58.46,190.16,118.01
1973,intensive grazing system,non-dairy cattle,8.53,89.72,6.31,6.40,16.33,18.62,6.13,8.24,5.10,2.51,63.31,20.14,2.02,18.22,2.62,32.78,1.80,94.96,1.04,27.54,22.53,6.68,2.40,8.38,25.44,0.96
1973,intensive grazing system,dairy cattle,1.80,9.63,1.09,2.25,5.75,5.02,3.80,2.69,6.66,0.44,34.31,15.97,5.96,10.97,4.02,21.85,4.86,34.95,0.02,2.45,1.07,0.56,1.23,0.37,11.32,0.33
1973,intensive grazing system,pigs,7.95,63.54,18.93,5.79,20.93,16.00,0.06,4.65,1.31,2.48,109.50,64.84,0.01,24.90,4.66,42.57,0.16,8.38,3.24,95.09,18.51,5.57,10.06,3.01,0.32,1.75
1973,intensive grazing system,sheep & goats,0.16,5.50,5.50,1.23,8.57,35.77,45.67,27.25,42.29,9.74,94.63,43.06,53.18,10.24,62.82,68.05,67.46,64.97,0.38,17.13,2.15,6.69,0.16,10.67,41.02,0.00
1973,intensive grazing system,poultry,94.73,1160.28,108.30,133.05,267.98,345.49,208.47,316.74,207.49,80.83,1141.56,556.95,58.20,223.76,88.68,516.11,241.23,267.00,54.92,1676.25,489.93,178.10,310.17,60.69,193.17,122.78
1973,extensive grazing system,non-dairy cattle,2.33,21.67,15.10,9.80,59.39,84.83,0.25,24.72,53.15,3.90,0.00,0.00,7.01,0.00,7.85,0.00,5.41,106.34,1.24,44.93,9.98,1.93,0.00,25.13,28.03,25.41
1973,extensive grazing system,dairy cattle,0.34,1.83,0.34,0.60,4.90,3.81,0.11,3.99,9.99,0.36,0.00,0.00,0.00,0.00,2.57,0.00,0.20,2.23,0.02,2.35,0.04,0.02,0.00,4.29,0.72,4.41
1973,extensive grazing system,pigs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973,extensive grazing system,sheep & goats,0.40,13.60,9.91,2.22,15.45,64.46,3.81,38.57,59.84,17.10,0.00,0.00,4.22,0.00,4.98,0.00,5.35,48.82,0.41,154.13,1.06,3.31,0.00,202.70,30.27,22.39
1973,extensive grazing system,poultry,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973,total,non-dairy cattle,10.86,111.39,21.41,16.20,75.72,103.46,6.38,32.97,58.26,6.42,63.31,20.14,9.03,18.22,10.47,32.78,7.22,201.30,2.28,72.47,32.51,8.61,2.40,33.50,53.46,26.37
1973,total,dairy cattle,2.14,11.47,1.44,2.85,10.66,8.84,3.92,6.68,16.65,0.80,34.31,15.97,5.96,10.97,6.59,21.85,5.06,37.18,0.04,4.80,1.12,0.58,1.23,4.67,12.04,4.74
1973,total,pigs,7.95,63.54,18.93,5.79,20.93,16.00,0.06,4.65,1.31,2.48,109.50,64.84,0.01,24.90,4.66,42.57,0.16,8.38,3.24,95.09,18.51,5.57,10.06,3.01,0.32,1.75
1973,total,sheep & goats,0.56,19.10,15.40,3.45,24.03,100.23,49.48,65.82,102.14,26.83,94.63,43.06,57.39,10.24,67.80,68.05,72.81,113.79,0.79,171.26,3.21,10.01,0.16,213.37,71.29,22.39
1973,total,poultry,94.73,1160.28,108.30,133.05,267.98,345.49,208.47,316.74,207.49,80.83,1141.56,556.95,58.20,223.76,88.68,516.11,241.23,267.00,54.92,1676.25,489.93,178.10,310.17,60.69,193.17,122.78
1974,intensive grazing system,non-dairy cattle,8.91,92.23,7.05,6.55,17.53,20.27,6.14,8.18,5.29,2.63,64.69,20.80,2.01,18.76,2.70,33.77,1.78,93.09,1.06,28.26,22.13,6.48,2.41,8.91,25.18,1.01
1974,intensive grazing system,dairy cattle,1.78,9.61,1.13,2.30,6.19,5.16,3.89,2.70,6.74,0.40,34.32,16.14,6.11,11.09,4.06,22.07,5.03,35.62,0.03,2.48,1.16,0.57,1.24,0.36,11.59,0.32
1974,intensive grazing system,pigs,7.48,60.23,21.20,5.98,20.74,16.23,0.06,4.83,1.31,2.56,109.71,66.42,0.01,23.70,4.43,40.48,0.17,8.57,3.45,97.28,18.45,5.60,10.33,2.92,0.33,1.80
1974,intensive grazing system,sheep & goats,0.17,5.34,5.64,1.27,8.92,35.79,45.16,28.46,43.53,9.91,94.99,42.69,53.95,10.29,63.14,68.39,68.02,65.84,0.37,17.48,2.30,6.78,0.14,10.35,42.96,0.00
1974,intensive grazing system,poultry,92.81,1151.17,117.21,137.09,289.98,359.30,218.15,319.90,208.67,89.04,1155.27,581.74,64.07,227.24,88.51,522.33,255.31,286.28,55.86,1726.34,503.47,189.11,319.07,62.84,194.61,128.77
1974,extensive grazing system,non-dairy cattle,2.40,21.96,14.99,9.82,62.16,86.43,0.25,24.55,53.44,3.91,0.00,0.00,7.12,0.00,8.09,0.00,5.34,108.79,1.29,44.20,9.64,2.02,0.00,26.74,28.64,25.94
1974,extensive grazing system,dairy cattle,0.31,1.70,0.34,0.61,5.06,3.70,0.12,3.98,10.11,0.34,0.00,0.00,0.00,0.00,2.60,0.00,0.20,2.27,0.02,2.39,0.05,0.02,0.00,4.19,0.74,4.50
1974,extensive grazing system,pigs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974,extensive grazing system,sheep & goats,0.38,12.26,9.86,2.22,15.59,62.52,4.05,38.98,59.61,16.31,0.00,0.00,4.28,0.00,5.01,0.00,5.39,49.63,0.47,157.35,1.12,3.31,0.00,196.69,31.37,22.45
1974,extensive grazing system,poultry,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974,total,non-dairy cattle,11.31,114.19,22.04,16.36,79.69,106.71,6.39,32.73,58.73,6.54,64.69,20.80,9.13,18.76,10.79,33.77,7.12,201.88,2.35,72.45,31.77,8.50,2.41,35.65,53.82,26.94
1974,total,dairy cattle,2.09,11.31,1.47,2.91,11.25,8.86,4.01,6.69,16.85,0.74,34.32,16.14,6.11,11.09,6.66,22.07,5.23,37.90,0.05,4.87,1.21,0.59,1.24,4.55,12.33,4.81
1974,total,pigs,7.48,60.23,21.20,5.98,20.74,16.23,0.06,4.83,1.31,2.56,109.71,66.42,0.01,23.70,4.43,40.48,0.17,8.57,3.45,97.28,18.45,5.60,10.33,2.92,0.33,1.80
1974,total,sheep & goats,0.55,17.60,15.51,3.49,24.51,98.31,49.21,67.44,103.14,26.22,94.99,42.69,58.23,10.29,68.14,68.39,73.41,115.47,0.84,174.83,3.43,10.09,0.14,207.04,74.33,22.45
1974,total,poultry,92.81,1151.17,117.21,137.09,289.98,359.30,218.15,319.90,208.67,89.04,1155.27,581.74,64.07,227.24,88.51,522.33,255.31,286.28,55.86,1726.34,503.47,189.11,319.07,62.84,194.61,128.77
1975,intensive grazing system,non-dairy cattle,9.13,93.37,7.60,6.86,18.10,22.01,6.13,8.21,5.46,3.09,65.85,21.42,2.04,19.10,2.74,34.37,1.76,90.14,1.10,28.75,21.76,6.30,2.45,9.15,24.25,1.11
1975,intensive grazing system,dairy cattle,1.76,9.59,1.17,2.36,6.77,5.24,4.04,2.68,6.88,0.38,34.34,16.28,6.35,11.19,4.10,22.29,5.20,36.20,0.03,2.52,1.26,0.58,1.25,0.36,11.86,0.30
1975,intensive grazing system,pigs,7.09,58.88,23.64,6.37,20.83,16.59,0.06,5.04,1.30,2.58,110.43,67.39,0.01,23.14,4.32,39.33,0.18,8.73,3.71,97.63,18.41,5.57,10.73,2.87,0.33,1.86
1975,intensive grazing system,sheep & goats,0.15,4.91,5.55,1.28,8.95,34.92,44.88,29.98,45.33,9.92,93.72,42.55,54.66,10.29,63.14,68.39,69.84,67.07,0.36,17.66,2.45,6.94,0.12,10.06,46.06,0.00
1975,intensive grazing system,poultry,92.81,1118.70,120.35,139.95,312.83,368.72,223.75,313.67,208.62,86.22,1160.13,608.58,70.21,235.14,90.12,538.81,266.29,303.82,58.20,1781.78,509.94,199.76,317.17,62.30,197.64,130.92
1975,extensive grazing system,non-dairy cattle,2.43,21.90,15.13,9.68,65.79,88.02,0.25,24.63,53.67,4.02,0.00,0.00,7.08,0.00,8.23,0.00,5.27,112.27,1.31,43.13,9.33,2.10,0.00,27.46,30.00,26.55
1975,extensive grazing system,dairy cattle,0.29,1.56,0.35,0.63,5.32,3.54,0.06,4.10,10.33,0.33,0.00,0.00,0.00,0.00,2.62,0.00,0.14,2.31,0.03,2.42,0.05,0.02,0.00,4.09,0.76,4.63
1975,extensive grazing system,pigs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975,extensive grazing system,sheep & goats,0.36,11.47,9.86,2.27,15.91,62.08,4.31,39.74,60.09,16.62,0.00,0.00,4.33,0.00,5.01,0.00,5.54,49.48,0.53,158.97,1.18,3.34,0.00,191.11,33.74,22.64
1975,extensive grazing system,poultry,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975,total,non-dairy cattle,11.56,115.28,22.73,16.54,83.89,110.03,6.38,32.84,59.13,7.12,65.85,21.42,9.12,19.10,10.98,34.37,7.02,202.41,2.41,71.89,31.09,8.40,2.45,36.62,54.25,27.66
1975,total,dairy cattle,2.05,11.15,1.52,2.99,12.08,8.79,4.10,6.79,17.21,0.71,34.34,16.28,6.35,11.19,6.72,22.29,5.34,38.52,0.06,4.95,1.31,0.60,1.25,4.45,12.62,4.94
1975,total,pigs,7.09,58.88,23.64,6.37,20.83,16.59,0.06,5.04,1.30,2.58,110.43,67.39,0.01,23.14,4.32,39.33,0.18,8.73,3.71,97.63,18.41,5.57,10.73,2.87,0.33,1.86
1975,total,sheep & goats,0.51,16.37,15.41,3.54,24.86,97.00,49.19,69.73,105.42,26.54,93.72,42.55,58.99,10.29,68.15,68.39,75.38,116.55,0.89,176.63,3.63,10.28,0.12,201.17,79.80,22.64
1975,total,poultry,92.81,1118.70,120.35,139.95,312.83,368.72,223.75,313.67,208.62,86.22,1160.13,608.58,70.21,235.14,90.12,538.81,266.29,303.82,58.20,1781.78,509.94,199.76,317.17,62.30,197.64,130.92
1976,intensive grazing system,non-dairy cattle,9.25,92.86,8.48,6.88,20.06,23.56,6.08,8.40,5.41,3.16,66.44,21.85,2.15,19.47,2.80,35.05,1.73,88.35,1.11,29.14,21.50,6.19,2.50,9.17,24.45,1.08
1976,intensive grazing system,dairy cattle,1.74,9.60,1.21,2.44,7.39,5.14,4.08,2.77,7.15,0.39,34.24,16.38,6.52,11.30,4.14,22.50,5.30,36.76,0.04,2.55,1.29,0.59,1.29,0.35,12.10,0.31
1976,intensive grazing system,pigs,6.95,58.48,26.11,6.56,21.36,16.53,0.06,5.28,1.35,2.51,111.91,69.28,0.01,23.22,4.32,39.28,0.19,8.98,4.04,99.67,18.74,5.64,11.17,2.75,0.34,1.89
1976,intensive grazing system,sheep & goats,0.14,4.52,5.47,1.26,8.93,33.89,44.76,31.59,46.30,9.97,92.62,42.78,55.35,10.32,63.30,68.57,72.92,68.50,0.33,17.90,2.50,7.07,0.11,10.03,48.74,0.00
1976,intensive grazing system,poultry,92.98,1142.40,125.58,144.69,343.10,386.63,227.37,325.79,209.98,92.01,1172.83,647.43,73.69,241.16,91.39,551.56,285.53,305.55,61.12,1836.17,525.07,217.23,324.49,64.79,208.44,132.29
1976,extensive grazing system,non-dairy cattle,2.28,21.46,15.07,9.89,67.16,88.62,0.26,25.21,54.67,4.13,0.00,0.00,7.18,0.00,8.40,0.00,5.19,114.78,1.36,41.94,9.09,2.21,0.00,27.51,31.29,27.15
1976,extensive grazing system,dairy cattle,0.26,1.43,0.36,0.65,5.58,3.61,0.10,4.23,10.73,0.32,0.00,0.00,0.00,0.00,2.64,0.00,0.14,2.77,0.03,2.45,0.05,0.02,0.00,3.99,0.91,4.77
1976,extensive grazing system,pigs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976,extensive grazing system,sheep & goats,0.33,10.75,9.90,2.28,16.15,61.27,4.13,42.22,61.87,16.80,0.00,0.00,4.39,0.00,5.02,0.00,5.78,50.69,0.60,161.10,1.24,3.51,0.00,190.49,35.40,22.92
1976,extensive grazing system,poultry,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976,total,non-dairy cattle,11.53,114.32,23.55,16.77,87.22,112.18,6.35,33.62,60.08,7.29,66.44,21.85,9.33,19.47,11.20,35.05,6.92,203.14,2.47,71.08,30.59,8.40,2.50,36.68,55.74,28.23
1976,total,dairy cattle,2.00,11.03,1.58,3.09,12.97,8.75,4.18,7.00,17.88,0.71,34.24,16.38,6.52,11.30,6.78,22.50,5.44,39.52,0.07,5.01,1.34,0.60,1.29,4.34,13.01,5.08
1976,total,pigs,6.95,58.48,26.11,6.56,21.36,16.53,0.06,5.28,1.35,2.51,111.91,69.28,0.01,23.22,4.32,39.28,0.19,8.98,4.04,99.67,18.74,5.64,11.17,2.75,0.34,1.89
1976,total,sheep & goats,0.47,15.27,15.37,3.54,25.08,95.15,48.89,73.81,108.17,26.77,92.62,42.78,59.73,10.32,68.32,68.57,78.70,119.19,0.93,179.00,3.74,10.58,0.11,200.52,84.14,22.92
1976,total,poultry,92.98,1142.40,125.58,144.69,343.10,386.63,227.37,325.79,209.98,92.01,1172.83,647.43,73.69,241.16,91.39,551.56,285.53,305.55,61.12,1836.17,525.07,217.23,324.49,64.79,208.44,132.29
1977,intensive grazing system,non-dairy cattle,9.07,90.41,9.36,7.00,21.12,24.98,6.06,8.73,5.61,3.24,66.35,22.12,2.19,19.83,2.85,35.68,1.70,87.39,1.10,29.47,21.37,6.10,2.55,8.95,24.59,1.04
1977,intensive grazing system,dairy cattle,1.72,9.62,1.26,2.51,8.00,5.26,4.15,2.87,7.50,0.37,34.17,16.42,6.75,11.38,4.17,22.67,5.33,37.98,0.04,2.59,1.32,0.59,1.33,0.34,12.48,0.30
1977,intensive grazing system,pigs,7.09,58.98,28.62,6.80,22.06,16.83,0.06,5.52,1.42,2.49,113.72,70.12,0.01,22.88,4.25,38.53,0.19,9.29,4.63,107.08,19.22,5.89,11.63,2.68,0.35,1.89
1977,intensive grazing system,sheep & goats,0.14,4.48,5.61,1.30,9.21,34.44,44.65,34.11,48.55,9.82,91.49,43.38,56.01,10.31,63.27,68.53,76.01,70.42,0.30,18.16,2.57,7.34,0.10,9.99,51.21,0.00
1977,intensive grazing system,poultry,93.81,1174.62,131.67,149.56,388.01,385.36,236.17,325.21,208.19,94.70,1195.74,672.45,73.70,249.94,93.50,570.50,298.24,304.97,64.37,1862.34,528.29,236.34,339.11,67.49,224.56,137.04
1977,extensive grazing system,non-dairy cattle,2.20,20.58,14.90,9.87,68.98,88.58,0.26,26.19,55.15,4.37,0.00,0.00,7.15,0.00,8.55,0.00,5.11,116.70,1.37,40.70,8.91,2.32,0.00,26.84,32.75,27.62
1977,extensive grazing system,dairy cattle,0.23,1.31,0.36,0.67,5.79,3.48,0.11,4.36,11.24,0.32,0.00,0.00,0.00,0.00,2.66,0.00,0.14,2.86,0.04,2.49,0.05,0.02,0.00,3.90,0.94,4.90
