# File: IMAGE_an_feed_bySystem.csv
# Title: IMAGE animal production feed inputs by system
# Units: Gg dm
# Author: XZ
# Source: IMAGE v3.2 (Jonathan Doelman Oct 2022)
# Column types: icccnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,system,feed,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
1970,intensive grazing system,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,intensive grazing system,grass & fodder,total,16171,174106,10940,11695,21914,32378,7822,12678,17396,7351,174975,53099,16170,42861,8691,91858,8523,12126,1244,15932,24297,15128,5794,16890,3291,1293
1970,intensive grazing system,total,non-dairy cattle,20880,248902,12811,12685,26951,32553,9345,14056,7677,7068,165391,41644,3060,39216,4263,68566,2635,121257,2335,36477,46001,16522,6911,15652,32908,1596
1970,intensive grazing system,total,dairy cattle,8935,54295,3656,5806,12392,14057,6669,5579,13808,2356,145918,46535,10724,34291,8496,65556,8002,44656,40,3948,2167,1659,5405,1267,14592,744
1970,intensive grazing system,total,pigs,3758,30770,5096,1723,7821,5438,22,1264,423,732,52322,28328,5,11892,2087,19428,54,2576,1442,51786,8291,2040,3734,1346,109,558
1970,intensive grazing system,total,sheep & goats,77,3385,1075,225,942,3628,4637,2040,3133,2563,19303,10554,21605,2429,8456,19934,9455,10923,65,1982,284,778,32,5488,8761,0
1970,intensive grazing system,total,poultry,2070,22456,1647,2559,4581,6556,2446,4971,3400,1233,22135,8882,822,4458,1518,9866,4160,3657,904,46512,11428,2456,5255,1108,1860,1815
1970,intensive grazing system,total,total,35719,359808,24286,22998,52687,62232,23120,27910,28442,13953,405069,135943,36215,92287,24819,183349,24307,183068,4786,140705,68170,23454,21338,24861,58230,4714
1970,extensive grazing system,food crops,non-dairy cattle,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,382
1970,extensive grazing system,food crops,dairy cattle,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,88
1970,extensive grazing system,food crops,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,food crops,sheep & goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,food crops,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,food crops,total,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,470
1970,extensive grazing system,animal products,non-dairy cattle,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,3
1970,extensive grazing system,animal products,dairy cattle,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1
1970,extensive grazing system,animal products,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,animal products,sheep & goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,animal products,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,animal products,total,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,3
1970,extensive grazing system,residues,non-dairy cattle,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,5393,0,656
1970,extensive grazing system,residues,dairy cattle,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,0,152
1970,extensive grazing system,residues,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,residues,sheep & goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,residues,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,residues,total,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,7303,0,808
1970,extensive grazing system,scavenging,non-dairy cattle,0,0,2109,1144,6328,9807,39,2323,4460,474,0,0,397,0,1025,0,429,82996,146,3694,4674,1348,0,0,20414,2084
1970,extensive grazing system,scavenging,dairy cattle,0,0,71,89,0,630,48,453,1006,75,0,0,0,0,573,0,18,2194,2,219,24,16,0,0,658,483
1970,extensive grazing system,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,scavenging,sheep & goats,0,0,204,32,0,1058,14,373,554,271,0,0,0,0,52,0,35,892,0,446,60,165,0,5542,693,187
1970,extensive grazing system,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,scavenging,total,0,0,2384,1265,6328,11495,102,3149,6020,820,0,0,397,0,1650,0,481,86082,148,4359,4758,1529,0,5542,21765,2754
1970,extensive grazing system,grass & fodder,non-dairy cattle,5815,60462,40065,21731,120224,186333,750,44135,84740,8756,0,0,7552,0,19471,0,8145,82996,2766,70181,7011,2022,0,51088,20414,38528
1970,extensive grazing system,grass & fodder,dairy cattle,1910,10902,1353,1687,15524,11966,915,8605,19120,1392,0,0,0,0,10894,0,338,2194,44,4160,36,23,0,18101,658,8931
1970,extensive grazing system,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,grass & fodder,sheep & goats,182,6404,3874,612,4639,20100,129,3357,4986,2442,0,0,0,0,468,0,312,892,0,8471,140,385,0,49876,693,1684
1970,extensive grazing system,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,grass & fodder,total,7907,77767,45292,24029,140386,218400,1795,56097,108846,12590,0,0,7552,0,30832,0,8795,86082,2810,82812,7188,2431,0,119065,21765,49143
1970,extensive grazing system,total,non-dairy cattle,5815,60462,42173,22874,126551,196140,790,46458,89200,9466,0,0,7950,0,20495,0,8574,165991,2912,73875,11685,3371,0,56765,40828,41652
1970,extensive grazing system,total,dairy cattle,1910,10902,1425,1775,15524,12596,963,9058,20127,1505,0,0,0,0,11467,0,356,4389,46,4379,61,39,0,20112,1317,9655
1970,extensive grazing system,total,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,total,sheep & goats,182,6404,4078,644,4639,21158,143,3730,5540,2713,0,0,0,0,519,0,346,1785,0,8917,201,550,0,55418,1386,1871
1970,extensive grazing system,total,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,extensive grazing system,total,total,7907,77767,47676,25294,146714,229894,1897,59245,114866,13684,0,0,7950,0,32482,0,9276,172164,2958,87171,11946,3960,0,132295,43531,53178
1970,total,food crops,non-dairy cattle,4984,40532,1811,1173,8923,5358,767,2730,1163,1377,17634,5474,799,6823,1950,13875,397,19137,1050,10452,3471,565,462,355,6883,785
1970,total,food crops,dairy cattle,3199,13262,430,594,4527,2633,580,1284,1367,610,23337,9176,2310,7457,3899,16582,391,1400,20,1047,31,19,632,93,575,313
1970,total,food crops,pigs,3455,28102,1655,284,1855,1408,7,190,64,317,46334,12729,2,4442,878,9057,25,129,292,7768,415,102,3057,935,9,84
1970,total,food crops,sheep & goats,5,138,39,7,34,149,224,73,98,161,515,347,2515,106,2030,1008,254,528,3,80,7,19,1,438,415,0
1970,total,food crops,poultry,1949,21012,1499,934,2081,3065,1087,1452,1090,643,19878,7101,777,3021,1214,6842,1638,549,738,11500,4481,491,4865,1045,460,454
1970,total,food crops,total,13591,103046,5435,2993,17421,12613,2664,5729,3781,3109,107698,34827,6403,21849,9971,47364,2705,21743,2104,30847,8404,1196,9017,2865,8342,1635
1970,total,animal products,non-dairy cattle,28,89,9,3,16,43,17,2,2,50,625,123,7,142,21,277,6,70,0,4,2,0,2,164,18,3
1970,total,animal products,dairy cattle,18,29,4,3,8,34,13,1,5,14,827,205,25,155,44,331,18,29,0,0,0,0,3,38,9,1
1970,total,animal products,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,total,animal products,sheep & goats,0,0,0,0,0,2,6,0,1,4,18,8,32,2,28,20,14,7,0,0,0,0,0,24,5,0
1970,total,animal products,poultry,62,802,16,16,74,65,4,4,19,17,664,324,21,68,49,144,12,0,23,49,75,0,105,18,1,0
1970,total,animal products,total,108,920,30,22,98,143,40,7,27,85,2134,660,84,368,142,772,49,105,23,54,77,0,110,244,33,4
1970,total,residues,non-dairy cattle,3341,58940,2022,1994,1843,2734,4823,2187,370,1283,47897,11061,1030,8722,587,13274,1179,29247,0,11428,14927,1087,2300,9071,6249,811
1970,total,residues,dairy cattle,2144,19286,1393,2306,1661,4360,3744,1503,2769,591,63387,18540,4639,9533,1582,15864,4795,20899,0,1322,835,147,3148,2387,6712,299
1970,total,residues,pigs,303,2668,3441,1439,5966,4031,16,1075,360,416,5988,15599,3,7450,1209,10371,30,2447,1150,44018,7876,1938,677,411,99,475
1970,total,residues,sheep & goats,3,200,15,4,13,31,1394,29,58,91,1398,701,5017,135,902,965,3042,4926,0,19,8,20,5,86,3960,0
1970,total,residues,poultry,58,642,132,1609,2425,3426,1356,3516,2291,573,1594,1456,24,1369,255,2880,2510,3108,143,34962,6872,1965,285,46,1399,1361
1970,total,residues,total,5850,81736,7003,7351,11908,14583,11332,8310,5849,2954,120263,47357,10714,27209,4534,43355,11556,60628,1293,91749,30519,5157,6416,12001,18420,2946
1970,total,scavenging,non-dairy cattle,0,0,2750,1779,7674,11438,507,3026,4844,827,0,0,551,0,1238,0,561,143672,262,5519,9274,3000,0,0,36881,2163
1970,total,scavenging,dairy cattle,0,0,254,379,0,1333,380,732,1697,193,0,0,533,0,996,0,416,24522,4,417,241,182,0,0,7954,520
1970,total,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,total,scavenging,sheep & goats,0,0,258,43,0,1239,478,577,867,528,0,0,2158,0,897,0,979,6354,3,545,117,321,0,6091,5074,187
1970,total,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,total,scavenging,total,0,0,3262,2202,7674,14011,1364,4335,7409,1548,0,0,3242,0,3130,0,1955,174548,270,6481,9632,3502,0,6091,49909,2871
1970,total,grass & fodder,non-dairy cattle,18343,209803,48392,30611,135047,209120,4021,52569,90498,12997,99235,24986,8623,23530,20963,41140,9068,95121,3934,82948,30012,15240,4147,62827,23705,39486
1970,total,grass & fodder,dairy cattle,5484,32620,2999,4299,21720,18291,2916,11115,28096,2453,58367,18614,3217,17145,13443,32778,2739,2194,62,5542,1120,1351,1621,18861,658,9266
1970,total,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,total,grass & fodder,sheep & goats,251,9450,4842,814,5534,23365,2680,5091,7649,4492,17372,9499,11883,2186,5118,17940,5512,892,59,10255,353,968,26,54267,693,1684
1970,total,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,total,grass & fodder,total,24078,251873,56232,35724,162300,250777,9616,68775,126242,19941,174975,53099,23723,42861,39524,91858,17319,98208,4054,98745,31484,17559,5794,135955,25056,50436
1970,total,total,non-dairy cattle,26695,309364,54984,35560,153502,228693,10135,60514,96877,16534,165391,41644,11009,39216,24758,68566,11209,287248,5247,110352,57686,19892,6911,72417,73736,43248
1970,total,total,dairy cattle,10845,65197,5081,7581,27916,26652,7632,14636,33935,3862,145918,46535,10724,34291,19963,65556,8358,49044,86,8327,2227,1698,5405,21379,15908,10399
1970,total,total,pigs,3758,30770,5096,1723,7821,5438,22,1264,423,732,52322,28328,5,11892,2087,19428,54,2576,1442,51786,8291,2040,3734,1346,109,558
1970,total,total,sheep & goats,259,9788,5153,869,5581,24786,4781,5770,8673,5276,19303,10554,21605,2429,8975,19934,9801,12708,65,10899,484,1328,32,60906,10147,1871
1970,total,total,poultry,2070,22456,1647,2559,4581,6556,2446,4971,3400,1233,22135,8882,822,4458,1518,9866,4160,3657,904,46512,11428,2456,5255,1108,1860,1815
1970,total,total,total,43626,437575,71961,48292,199401,292126,25016,87156,143308,27637,405069,135943,44165,92287,57301,183349,33584,355233,7743,227876,80116,27413,21338,157156,101760,57892
1971,intensive grazing system,food crops,non-dairy cattle,4385,44368,1893,1182,8936,5673,844,2520,1201,1403,18047,5614,773,6869,2133,14376,403,19599,1094,9480,3176,528,574,69,6905,427
1971,intensive grazing system,food crops,dairy cattle,2661,14105,443,607,4574,2643,648,1158,1387,615,23617,9422,2417,7392,4233,16905,398,1121,25,935,29,11,815,8,486,233
1971,intensive grazing system,food crops,pigs,3538,27665,1820,312,1851,1501,8,196,66,342,47177,13307,2,4673,917,9390,26,134,331,8140,421,102,3352,1006,12,87
1971,intensive grazing system,food crops,sheep & goats,4,144,42,7,43,143,238,71,99,163,520,354,2418,102,2145,1003,263,469,3,81,7,20,1,464,379,0
1971,intensive grazing system,food crops,poultry,1982,21114,1610,993,2245,3251,1130,1520,1122,686,20754,7469,830,3231,1265,7301,1792,592,789,11938,4653,525,5217,1092,464,490
1971,intensive grazing system,food crops,total,12570,107395,5807,3101,17649,13211,2868,5465,3875,3208,110116,36165,6439,22267,10694,48975,2882,21916,2243,30574,8286,1187,9959,2640,8245,1237
1971,intensive grazing system,animal products,non-dairy cattle,26,92,10,3,19,45,17,2,2,20,619,125,6,149,22,292,6,69,0,4,2,0,2,86,18,1
1971,intensive grazing system,animal products,dairy cattle,16,29,4,3,10,34,13,1,5,9,811,210,25,161,46,344,19,29,0,0,0,0,3,10,9,0
1971,intensive grazing system,animal products,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,intensive grazing system,animal products,sheep & goats,0,0,0,0,0,1,6,0,0,3,18,8,30,2,29,20,14,6,0,0,0,0,0,24,5,0
1971,intensive grazing system,animal products,poultry,61,776,18,17,74,68,5,4,20,18,657,332,21,72,50,155,14,0,24,58,76,0,113,20,1,0
1971,intensive grazing system,animal products,total,103,897,32,23,102,149,41,8,27,50,2105,675,83,384,147,811,53,104,24,62,78,0,118,139,33,1
1971,intensive grazing system,residues,non-dairy cattle,4341,58456,2434,2041,2103,3152,4775,2382,390,1123,48965,11341,1079,9227,518,13759,1151,28578,0,12397,14219,1072,2248,4151,6101,154
1971,intensive grazing system,residues,dairy cattle,2634,18583,1433,2353,1878,4674,3749,1635,2810,550,64078,19035,5138,9930,1440,16179,4788,21238,0,1446,914,163,3193,493,6830,143
1971,intensive grazing system,residues,pigs,307,2624,3645,1477,5863,4211,15,1111,375,446,6070,16120,3,7546,1234,10688,32,2552,1188,46126,7992,1945,714,424,91,492
1971,intensive grazing system,residues,sheep & goats,4,189,16,4,7,32,1436,31,60,86,1412,714,5125,137,816,960,2987,4161,0,21,8,23,4,104,3439,0
1971,intensive grazing system,residues,poultry,61,654,138,1670,2679,3670,1383,3613,2258,609,1643,1461,26,1348,253,2844,2578,3355,147,35650,6955,2100,307,46,1466,1464
1971,intensive grazing system,residues,total,7348,80506,7667,7545,12530,15740,11359,8773,5893,2813,122169,48671,11373,28188,4262,44429,11536,59885,1335,95639,30088,5303,6466,5218,17927,2252
1971,intensive grazing system,scavenging,non-dairy cattle,0,0,724,647,1460,1778,470,701,398,364,0,0,155,0,223,0,130,60417,123,1913,4717,1600,0,0,16310,83
1971,intensive grazing system,scavenging,dairy cattle,0,0,188,297,59,736,335,280,701,117,0,0,576,0,434,0,395,22896,3,200,227,174,0,0,7490,38
1971,intensive grazing system,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,intensive grazing system,scavenging,sheep & goats,0,0,58,12,3,177,473,206,319,252,0,0,2134,0,842,0,919,5463,3,102,57,155,0,592,4504,0
1971,intensive grazing system,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,intensive grazing system,scavenging,total,0,0,970,955,1522,2691,1278,1186,1418,733,0,0,2865,0,1500,0,1445,88775,129,2215,5001,1930,0,592,28304,121
1971,intensive grazing system,grass & fodder,non-dairy cattle,13129,154373,9398,9037,16258,24848,3288,8407,5973,4364,101448,25619,1084,24368,1559,42640,910,12074,1242,13974,23956,12803,4236,12918,3259,997
1971,intensive grazing system,grass & fodder,dairy cattle,3541,21811,1692,2666,6391,6617,1986,2515,9106,1056,59004,19111,3413,17482,2575,33427,2343,457,22,1421,1081,1393,1719,767,150,339
1971,intensive grazing system,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,intensive grazing system,grass & fodder,sheep & goats,72,2998,1041,207,919,3186,2578,1746,2710,2012,17551,9683,11627,2168,4591,17844,5010,476,58,1832,229,626,22,4734,392,0
1971,intensive grazing system,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,intensive grazing system,grass & fodder,total,16742,179182,12132,11910,23569,34650,7852,12668,17790,7432,178003,54413,16124,44019,8725,93911,8264,13007,1322,17227,25266,14821,5976,18419,3801,1336
1971,intensive grazing system,total,non-dairy cattle,21882,257289,14459,12910,28776,35497,9394,14012,7964,7273,169079,42699,3098,40613,4455,71067,2601,120737,2460,37769,46070,16003,7060,17224,32593,1662
1971,intensive grazing system,total,dairy cattle,8852,54528,3761,5925,12912,14703,6732,5589,14010,2347,147510,47778,11569,34965,8729,66854,7944,45741,50,4003,2251,1742,5730,1278,14964,752
1971,intensive grazing system,total,pigs,3845,30289,5465,1789,7714,5712,24,1307,441,788,53247,29427,5,12219,2152,20079,58,2687,1519,54266,8412,2048,4066,1430,103,578
1971,intensive grazing system,total,sheep & goats,79,3331,1157,230,972,3540,4730,2054,3189,2515,19501,10759,21334,2409,8424,19827,9193,10576,64,2035,301,823,27,5918,8720,0
1971,intensive grazing system,total,poultry,2104,22544,1765,2680,4998,6989,2518,5138,3400,1313,23054,9262,878,4651,1569,10300,4384,3947,959,47645,11685,2625,5637,1158,1931,1954
1971,intensive grazing system,total,total,36762,367980,26607,23534,55372,66441,23398,28099,29003,14235,412392,139924,36884,94857,25328,188127,24180,183688,5053,145718,68719,23240,22520,27007,58311,4946
1971,extensive grazing system,food crops,non-dairy cattle,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,430
1971,extensive grazing system,food crops,dairy cattle,0,0,0,0,69,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,97
1971,extensive grazing system,food crops,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,food crops,sheep & goats,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,food crops,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,food crops,total,0,0,0,0,90,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,527
1971,extensive grazing system,animal products,non-dairy cattle,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,2
1971,extensive grazing system,animal products,dairy cattle,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1
1971,extensive grazing system,animal products,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,animal products,sheep & goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,animal products,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,animal products,total,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,3
1971,extensive grazing system,residues,non-dairy cattle,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,5989,0,650
1971,extensive grazing system,residues,dairy cattle,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1939,0,146
1971,extensive grazing system,residues,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,residues,sheep & goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,residues,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,residues,total,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,7928,0,797
1971,extensive grazing system,scavenging,non-dairy cattle,0,0,2102,1139,6579,9930,40,2316,4485,488,0,0,360,0,1046,0,441,84239,152,3651,4870,1442,0,0,20653,2168
1971,extensive grazing system,scavenging,dairy cattle,0,0,74,91,8,625,51,452,1021,75,0,0,0,0,571,0,19,2193,3,221,27,16,0,0,660,488
1971,extensive grazing system,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,extensive grazing system,scavenging,sheep & goats,0,0,215,32,2,987,16,363,543,265,0,0,4,0,52,0,35,880,0,469,60,164,0,5400,703,191
