# File: IMAGE_an_meat.csv
# Title: IMAGE animal production meat
# Units: Gg dm
# Author: XZ
# Source: IMAGE model (Jonathan Doelman)
# Column types: icnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
1974,mutton & goat meat,4,104,24,7,30,144,119,104,167,80,423,128,181,24,239,203,187,195,2,195,9,24,0,590,183,34
1974,poultry & eggs,379,4414,353,230,494,640,182,192,147,147,4661,1356,146,586,202,1360,350,261,161,1718,735,96,1268,234,121,70
1974,total,2215,19514,1757,1000,3113,4591,901,810,1424,853,29898,9793,1395,5555,2371,10564,1229,4379,331,6349,1621,371,2551,3559,1985,494
1975,beef,525,5581,296,279,1120,2041,203,273,392,258,3980,1090,68,957,471,1621,137,729,45,163,315,127,158,1074,320,210
1975,milk,962,6684,776,410,1193,1550,415,196,726,321,15524,4872,1033,3280,1359,6131,585,3251,25,325,49,46,644,1614,1393,162
1975,pork,348,2890,409,99,380,335,2,58,19,46,5754,2591,0,812,150,1437,5,107,116,3979,521,84,533,121,3,28
1975,mutton & goat meat,4,96,24,7,30,141,119,110,172,74,431,128,187,24,237,202,191,198,2,201,9,25,0,541,197,34
1975,poultry & eggs,381,4435,375,244,541,673,195,203,152,157,4771,1445,159,617,213,1434,377,280,172,1796,776,103,1306,240,125,74
1975,total,2220,19687,1880,1038,3265,4740,934,840,1461,856,30459,10125,1447,5690,2429,10826,1296,4566,360,6464,1671,385,2641,3589,2039,508
1976,beef,541,5728,322,288,1157,2183,209,281,408,268,4079,1135,68,993,489,1682,144,748,48,168,320,130,174,1160,327,211
1976,milk,961,6752,810,422,1251,1555,430,204,761,310,15804,4976,1062,3326,1377,6217,615,3396,31,341,51,48,674,1576,1425,166
1976,pork,345,2919,453,103,395,337,1,61,20,45,5926,2682,0,819,151,1450,5,110,130,4062,531,85,565,118,3,28
1976,mutton & goat meat,3,86,24,7,29,141,121,121,177,74,439,127,194,24,235,201,198,202,2,208,9,26,0,515,211,35
1976,poultry & eggs,382,4527,400,259,601,708,209,217,159,165,4884,1536,174,652,225,1516,413,294,185,1885,813,112,1354,251,134,78
1976,total,2233,20013,2010,1078,3434,4924,970,883,1524,862,31131,10456,1498,5813,2478,11066,1375,4752,396,6665,1724,401,2767,3621,2100,518
1977,beef,541,5649,338,299,1219,2291,213,291,421,280,4098,1165,69,1011,498,1713,151,769,52,176,315,131,182,1241,334,218
1977,milk,948,6840,839,434,1289,1570,445,214,807,310,16133,5059,1098,3337,1382,6239,642,3544,38,351,53,49,714,1566,1456,170
1977,pork,358,2994,498,107,413,345,2,63,21,45,6118,2735,0,811,150,1436,6,114,152,4364,544,89,598,117,4,28
1977,mutton & goat meat,3,79,25,7,29,141,122,132,184,76,443,128,187,23,230,196,211,208,2,218,10,27,0,520,225,35
1977,poultry & eggs,389,4688,433,275,690,740,225,231,166,172,5013,1623,189,685,236,1593,448,308,200,1981,854,124,1411,260,147,81
1977,total,2239,20250,2133,1122,3639,5087,1007,931,1599,883,31804,10709,1544,5867,2495,11176,1456,4942,444,7089,1776,420,2904,3704,2166,533
1978,beef,529,5522,355,306,1289,2351,220,316,438,287,4139,1177,69,1016,500,1722,160,790,54,184,317,132,188,1242,340,221
1978,milk,940,6988,863,439,1339,1575,459,223,848,310,16506,5133,1132,3338,1382,6241,668,3693,46,365,56,50,753,1553,1478,173
1978,pork,396,3226,542,108,435,354,2,66,23,45,6373,2763,0,793,146,1404,6,119,175,4777,571,94,642,122,4,29
1978,mutton & goat meat,3,74,25,7,27,138,126,142,191,78,457,129,177,23,223,190,222,213,2,231,10,28,0,529,233,36
1978,poultry & eggs,404,4895,469,294,803,788,240,244,171,180,5149,1697,204,718,248,1670,485,323,216,2085,893,147,1469,273,158,84
1978,total,2271,20705,2255,1153,3892,5205,1046,991,1671,899,32623,10899,1582,5888,2500,11227,1540,5138,493,7642,1847,451,3051,3718,2213,542
1979,beef,514,5341,371,303,1352,2380,230,331,452,290,4184,1157,71,1019,501,1726,167,811,57,193,323,132,205,1192,347,221
1979,milk,936,7130,889,443,1364,1581,473,231,895,309,16826,5159,1167,3337,1382,6239,691,3868,55,383,59,51,786,1530,1499,176
1979,pork,433,3383,582,106,454,362,2,67,25,45,6618,2804,0,824,152,1460,5,125,194,5247,611,100,675,128,4,29
1979,mutton & goat meat,3,73,26,7,26,137,132,151,196,79,468,128,173,23,222,189,235,220,2,251,10,28,0,539,240,36
1979,poultry & eggs,415,5087,503,312,916,848,257,259,175,187,5289,1768,220,765,264,1777,526,337,231,2188,940,173,1513,286,170,85
1979,total,2300,21013,2371,1169,4112,5308,1094,1040,1742,910,33385,11016,1631,5967,2521,11390,1625,5361,538,8260,1944,484,3180,3674,2261,547
1980,beef,502,5199,382,296,1412,2365,236,351,462,294,4216,1149,74,1011,497,1712,172,845,60,201,330,134,217,1147,356,222
1980,milk,938,7276,909,442,1414,1648,485,238,944,309,17166,5143,1174,3309,1370,6186,722,4050,63,408,63,53,812,1520,1524,178
1980,pork,469,3427,617,101,458,371,2,68,27,47,6815,2815,0,834,154,1478,5,132,212,5798,655,106,701,132,4,29
1980,mutton & goat meat,3,74,27,6,25,135,137,159,197,80,483,130,169,22,218,186,247,230,2,276,11,29,0,548,246,35
1980,poultry & eggs,425,5270,536,326,1035,915,281,270,178,198,5437,1792,236,801,276,1861,579,352,242,2297,986,199,1556,295,185,86
1980,total,2336,21246,2472,1171,4344,5433,1141,1087,1808,929,34116,11028,1653,5976,2515,11423,1725,5610,580,8980,2045,521,3287,3641,2315,551
1981,beef,499,5145,404,289,1480,2313,240,374,465,294,4269,1138,79,1008,496,1708,177,878,63,212,334,132,227,1078,364,223
1981,milk,932,7482,916,440,1457,1721,497,244,987,314,17508,5169,1169,3322,1375,6210,747,4295,74,436,69,56,835,1541,1548,180
1981,pork,497,3510,658,98,462,382,2,69,28,50,6987,2795,0,849,157,1504,5,139,236,6321,689,121,716,137,4,30
1981,mutton & goat meat,3,77,27,6,27,133,143,164,198,81,500,131,165,22,214,182,261,240,2,299,12,32,0,567,251,35
1981,poultry & eggs,433,5417,566,340,1124,968,311,282,182,210,5535,1806,244,835,288,1941,630,375,257,2420,1041,231,1591,301,199,86
1981,total,2365,21630,2571,1175,4550,5516,1192,1133,1860,948,34797,11039,1657,6036,2530,11545,1821,5926,632,9689,2145,572,3368,3624,2367,555
1982,beef,503,5245,431,285,1557,2272,244,397,468,292,4335,1129,104,1016,500,1721,183,907,67,226,339,133,240,1003,373,226
1982,milk,946,7619,917,437,1503,1789,505,243,998,313,17749,5219,1167,3354,1388,6271,769,4572,86,479,78,60,852,1579,1581,182
1982,pork,513,3481,686,97,447,387,2,71,31,52,7112,2787,0,870,161,1541,5,144,254,6771,743,137,715,144,4,31
1982,mutton & goat meat,4,81,27,6,28,130,149,166,199,81,516,134,174,22,214,182,272,248,3,321,12,34,0,580,256,34
1982,poultry & eggs,436,5518,593,358,1177,1010,348,293,183,220,5593,1821,258,866,299,2013,692,407,269,2628,1083,264,1625,304,211,85
1982,total,2402,21943,2655,1182,4712,5588,1248,1170,1880,958,35304,11090,1702,6127,2561,11728,1921,6278,678,10425,2256,627,3432,3610,2426,558
1983,beef,509,5345,449,285,1620,2276,242,410,472,298,4372,1132,123,1037,510,1757,186,935,75,242,347,134,254,977,387,232
1983,milk,947,7786,923,438,1516,1851,515,239,1028,305,17883,5274,1168,3409,1411,6375,791,4884,100,525,87,64,873,1625,1631,184
1983,pork,518,3398,691,100,427,391,2,74,32,54,7207,2790,0,891,165,1579,5,154,271,7315,787,156,721,149,5,32
1983,mutton & goat meat,4,82,28,7,31,129,154,167,200,82,522,140,183,22,212,181,285,256,3,335,13,36,0,593,265,35
1983,poultry & eggs,443,5631,628,370,1218,1043,387,305,189,230,5640,1836,270,898,309,2085,761,443,280,2925,1127,289,1662,308,226,84
1983,total,2422,22242,2719,1199,4811,5689,1299,1195,1922,969,35623,11172,1744,6257,2608,11977,2027,6671,729,11342,2360,680,3511,3652,2513,566
1984,beef,511,5439,491,285,1680,2274,240,410,481,304,4441,1154,154,1073,528,1818,188,962,87,271,353,135,263,966,406,237
1984,milk,947,7904,912,437,1546,1906,522,237,1064,298,18045,5353,1168,3505,1449,6554,810,5179,117,580,95,69,895,1684,1690,187
1984,pork,526,3316,656,106,412,398,2,80,33,55,7304,2844,0,918,170,1625,5,162,279,7872,817,178,736,155,5,33
1984,mutton & goat meat,4,82,29,7,35,126,157,170,199,80,529,145,187,22,215,183,298,263,3,349,14,40,0,593,272,36
1984,poultry & eggs,451,5751,686,382,1269,1074,430,318,195,242,5662,1858,277,931,321,2163,837,485,302,3255,1165,321,1711,312,241,84
1984,total,2439,22492,2773,1217,4941,5778,1351,1215,1972,979,35980,11354,1786,6449,2683,12343,2139,7051,787,12327,2445,742,3604,3709,2614,577
1985,beef,503,5485,532,288,1744,2259,244,407,478,306,4541,1168,171,1123,553,1902,188,978,99,319,360,135,271,964,426,241
1985,milk,941,7985,889,439,1586,1942,532,235,1093,291,17994,5426,1187,3597,1486,6726,824,5451,138,639,102,73,909,1721,1763,191
1985,pork,538,3323,611,110,425,408,2,87,37,54,7442,2918,0,950,176,1683,5,170,290,8469,864,198,752,161,5,34
1985,mutton & goat meat,4,80,29,7,39,123,165,173,201,79,537,149,189,22,219,187,310,271,3,368,15,43,0,600,281,37
1985,poultry & eggs,465,5960,737,400,1333,1109,477,335,200,251,5669,1906,289,967,333,2243,892,535,326,3630,1209,355,1767,320,256,84
1985,total,2452,22833,2797,1244,5127,5841,1418,1236,2008,982,36182,11567,1836,6658,2766,12741,2219,7405,856,13425,2550,805,3699,3764,2730,587
1986,beef,495,5498,564,292,1824,2263,251,396,478,302,4562,1175,187,1170,576,1983,191,995,108,379,367,139,278,975,447,245
1986,milk,951,8047,869,442,1640,1993,542,234,1128,286,17750,5450,1215,3671,1516,6865,843,5691,161,702,108,76,923,1757,1852,194
1986,pork,553,3345,548,114,446,420,2,94,40,54,7598,2989,0,977,180,1730,6,178,299,9177,908,217,767,167,5,35
1986,mutton & goat meat,4,78,29,7,43,121,175,179,205,79,544,152,190,23,228,194,321,279,3,392,16,44,0,599,292,39
1986,poultry & eggs,480,6193,790,416,1412,1161,517,347,204,263,5728,1954,311,998,344,2318,942,584,350,4130,1244,382,1819,326,273,86
1986,total,2483,23161,2801,1270,5365,5959,1487,1250,2055,984,36181,11719,1903,6839,2844,13089,2302,7727,921,14780,2643,857,3788,3824,2868,600
1987,beef,491,5469,588,297,1905,2297,263,383,480,294,4504,1171,185,1217,599,2061,194,1012,108,445,375,142,280,1002,468,247
1987,milk,960,8143,838,446,1697,2070,557,239,1194,285,17541,5449,1221,3749,1548,7012,864,5940,185,758,107,82,946,1758,1946,198
1987,pork,566,3390,475,118,473,430,2,103,45,56,7706,3042,0,1001,185,1774,6,187,307,9854,948,233,784,173,5,37
1987,mutton & goat meat,4,77,30,7,47,121,185,189,208,80,557,153,190,24,235,199,330,287,3,430,17,46,0,602,306,41
1987,poultry & eggs,492,6461,831,430,1509,1194,549,356,210,272,5792,1967,327,1028,354,2386,989,634,373,4563,1311,408,1861,336,289,90
1987,total,2513,23539,2762,1297,5630,6112,1556,1271,2137,987,36100,11782,1923,7019,2920,13432,2381,8059,976,16050,2757,910,3871,3871,3015,613
1988,beef,478,5416,607,302,1968,2353,278,371,481,290,4511,1184,189,1260,620,2134,199,1029,104,522,377,145,279,1038,492,250
1988,milk,972,8195,807,451,1759,2099,571,251,1236,292,17365,5434,1219,3821,1577,7146,896,6181,204,816,106,87,967,1755,2055,203
1988,pork,570,3415,422,122,500,435,2,109,51,58,7805,3091,0,1027,190,1819,6,192,322,10454,1020,251,786,179,6,43
1988,mutton & goat meat,4,77,30,8,51,123,195,201,210,80,574,153,189,25,244,207,340,295,3,479,18,47,0,594,323,43
1988,poultry & eggs,504,6767,868,447,1617,1225,583,374,212,298,5857,1986,349,1048,361,2432,1015,681,398,4999,1380,439,1891,346,307,95
1988,total,2528,23868,2734,1330,5894,6235,1630,1306,2189,1017,36112,11849,1947,7180,2991,13738,2456,8378,1031,17270,2900,967,3923,3911,3182,634
1989,beef,462,5318,601,299,2059,2378,305,374,482,297,4551,1181,177,1272,626,2155,203,1047,96,613,379,148,281,1080,510,256
1989,milk,979,8246,806,454,1829,2129,586,294,1253,305,17013,5339,1229,3815,1575,7135,929,6380,219,875,110,93,987,1755,2165,237
1989,pork,570,3503,407,123,537,437,2,113,57,60,7841,3095,0,1025,189,1816,6,198,346,11213,1102,267,779,182,6,50
1989,mutton & goat meat,4,78,31,8,53,123,206,210,216,85,596,153,187,25,245,208,348,302,3,536,19,47,0,594,344,45
1989,poultry & eggs,515,7087,900,474,1739,1277,609,391,212,318,5984,1935,380,1050,362,2438,1020,739,422,5586,1485,471,1916,352,321,106
1989,total,2530,24231,2744,1358,6217,6344,1708,1382,2220,1065,35983,11702,1974,7187,2997,13751,2506,8666,1086,18822,3095,1025,3963,3964,3346,694
1990,beef,456,5269,598,291,2162,2435,327,378,493,310,4531,1153,174,1248,614,2115,213,1061,91,708,388,154,283,1106,530,264
1990,milk,980,8339,820,452,1905,2155,604,338,1262,310,16754,5156,1241,3720,1536,6957,960,6623,229,929,114,99,1018,1789,2277,268
1990,pork,579,3632,398,124,563,444,2,117,62,62,7851,3060,0,987,182,1748,6,206,381,12028,1185,284,765,188,6,57
1990,mutton & goat meat,5,80,32,8,55,122,216,217,222,87,612,148,186,25,243,206,357,306,3,588,19,48,0,600,365,47
1990,poultry & eggs,519,7393,939,498,1858,1331,624,407,215,337,6123,1851,409,1010,348,2348,1055,790,439,6264,1604,510,1929,358,337,117
1990,total,2539,24713,2788,1373,6543,6487,1772,1457,2254,1106,35870,11368,2011,6990,2924,13373,2592,8986,1144,20517,3310,1094,3995,4042,3514,753
1991,beef,448,5228,597,283,2237,2483,349,385,500,321,4499,1119,171,1178,609,2029,222,1074,93,830,398,166,286,1127,551,271
1991,milk,972,8402,847,450,1961,2197,621,384,1270,312,16540,4905,1254,3575,1504,6721,989,6884,235,973,117,104,1043,1852,2390,297
1991,pork,580,3696,394,127,603,455,2,120,67,63,7890,2973,0,915,169,1625,7,213,409,12902,1279,301,751,192,7,65
1991,mutton & goat meat,5,80,33,9,57,121,223,223,220,87,626,144,184,23,241,203,366,310,4,646,20,49,0,593,386,48
1991,poultry & eggs,527,7728,993,516,1997,1409,639,427,208,356,6254,1737,446,942,325,2212,1098,848,454,7071,1733,553,1936,366,361,128
1991,total,2532,25134,2864,1384,6856,6666,1834,1540,2266,1139,35809,10877,2056,6632,2847,12790,2680,9329,1194,22422,3547,1172,4016,4129,3694,809
1992,beef,442,5211,617,277,2328,2508,370,393,503,323,4454,1052,166,1103,599,1923,231,1084,101,960,404,175,291,1161,576,274
1992,milk,966,8512,887,448,2008,2235,636,430,1284,313,16328,4637,1278,3404,1456,6349,1023,7134,239,1025,125,109,1052,1962,2512,325
1992,pork,585,3782,408,131,671,473,2,122,71,62,7962,2838,0,824,149,1463,7,218,431,14031,1377,319,730,196,7,74
1992,mutton & goat meat,5,78,34,9,58,121,230,230,221,83,633,134,184,24,236,196,378,314,4,697,21,49,0,595,408,49
1992,poultry & eggs,544,8097,1064,531,2154,1531,662,451,202,380,6457,1643,484,847,289,2036,1150,908,467,8218,1841,615,1934,373,391,138
1992,total,2543,25679,3010,1395,7219,6869,1899,1626,2281,1160,35833,10304,2111,6203,2730,11966,2789,9659,1242,24931,3769,1266,4008,4286,3893,860
1993,beef,445,5270,647,268,2488,2472,392,400,507,314,4357,946,158,996,581,1765,237,1094,111,1123,413,180,296,1185,601,279
1993,milk,965,8598,919,447,2062,2357,654,473,1312,317,16168,4382,1302,3202,1388,5912,1053,7427,246,1088,136,114,1056,2057,2637,353
1993,pork,600,3895,425,135,746,497,2,126,73,61,8017,2743,0,726,126,1280,7,223,445,15463,1455,323,705,200,7,81
1993,mutton & goat meat,5,75,34,8,60,120,239,238,224,77,631,124,184,23,225,182,391,319,4,763,21,50,0,594,430,50
1993,poultry & eggs,559,8455,1139,546,2346,1676,690,460,199,394,6681,1560,498,748,244,1829,1205,966,477,9602,1950,677,1933,377,423,148
1993,total,2574,26292,3164,1405,7702,7121,1978,1697,2314,1163,35853,9755,2142,5694,2564,10969,2893,10028,1283,28037,3975,1344,3991,4412,4099,911
1994,beef,460,5383,661,272,2656,2468,394,413,511,294,4212,857,154,887,559,1627,248,1099,122,1295,420,189,294,1196,612,276
1994,milk,967,8670,940,450,2149,2495,682,484,1350,320,16144,4220,1315,3008,1306,5487,1091,7785,253,1153,141,117,1066,2170,2850,352
1994,pork,614,3945,435,142,816,516,2,129,76,62,8149,2681,0,648,105,1118,7,226,467,16182,1536,327,683,203,7,87
1994,mutton & goat meat,5,70,34,8,58,117,249,249,226,69,627,115,184,22,215,170,403,324,4,825,22,50,0,584,427,51
1994,poultry & eggs,576,8832,1188,554,2497,1794,719,461,196,414,6870,1538,512,650,195,1613,1273,1012,485,11086,2038,740,1928,384,462,152
1994,total,2623,26900,3259,1426,8176,7390,2047,1736,2360,1158,36001,9410,2165,5214,2381,10014,3022,10444,1331,30540,4156,1424,3971,4537,4358,918
1995,beef,479,5501,670,277,2776,2508,402,427,522,301,4114,788,162,786,546,1505,261,1103,137,1516,417,195,288,1206,633,270
1995,milk,979,8730,962,458,2221,2630,725,495,1397,323,16144,4153,1310,2844,1251,5167,1134,8147,257,1206,147,119,1068,2304,3062,351
1995,pork,618,3947,447,146,895,527,2,133,78,61,8254,2605,0,593,87,992,7,227,473,17132,1619,334,668,204,7,92
1995,mutton & goat meat,5,66,34,8,57,117,256,264,231,61,618,107,185,21,203,156,417,329,4,911,23,51,0,570,422,53
1995,poultry & eggs,596,9184,1260,567,2675,1907,764,457,193,442,7063,1552,540,581,156,1472,1334,1057,489,12486,2120,785,1915,399,503,157
1995,total,2678,27428,3372,1455,8625,7689,2149,1776,2421,1188,36193,9206,2197,4825,2244,9292,3153,10863,1360,33250,4326,1484,3939,4684,4627,924
1996,beef,512,5610,683,281,2875,2516,409,442,536,287,4059,727,168,709,517,1396,272,1108,153,1734,411,194,282,1230,652,267
1996,milk,997,8805,984,471,2301,2763,765,505,1436,333,16180,4166,1299,2710,1186,4846,1187,8528,261,1268,155,120,1067,2411,3263,358
1996,pork,638,4035,460,149,985,530,2,136,79,61,8417,2581,0,560,74,899,7,229,486,18139,1685,335,653,208,8,98
1996,mutton & goat meat,5,62,34,8,54,115,261,281,248,55,614,101,186,20,186,138,430,334,5,1010,24,48,0,573,415,55
1996,poultry & eggs,618,9509,1340,585,2856,2010,809,467,199,465,7278,1608,568,539,128,1373,1386,1101,487,13819,2204,773,1898,417,520,162
1996,total,2770,28020,3500,1494,9071,7934,2246,1832,2497,1202,36547,9183,2221,4539,2092,8653,3283,11299,1392,35969,4479,1471,3900,4840,4857,939
1997,beef,548,5733,686,282,3003,2539,416,457,556,287,4042,689,171,629,487,1261,281,1112,165,1957,413,191,276,1247,666,276
1997,milk,1007,8907,1022,487,2385,2886,816,518,1479,349,16235,4163,1287,2564,1142,4611,1241,8949,269,1338,163,120,1068,2484,3459,365
1997,pork,672,4108,473,153,1055,539,2,140,79,62,8606,2610,0,540,69,837,7,230,507,18901,1729,325,642,210,8,102
1997,mutton & goat meat,5,60,34,8,52,112,265,299,266,55,612,99,186,17,170,122,438,337,5,1115,25,46,0,569,406,58
1997,poultry & eggs,637,9846,1440,606,3080,2121,855,476,203,486,7380,1655,607,523,113,1321,1430,1146,495,14944,2290,748,1891,433,535,168
1997,total,2869,28653,3655,1536,9574,8198,2353,1889,2583,1239,36875,9216,2251,4273,1981,8152,3396,11774,1440,38254,4620,1431,3877,4942,5074,969
1998,beef,582,5829,686,284,3090,2576,424,473,575,293,3985,665,177,573,464,1179,294,1115,171,2172,416,194,268,1265,673,282
1998,milk,1013,9044,1070,506,2470,2966,878,533,1525,341,16256,4155,1267,2427,1130,4445,1298,9307,275,1412,172,120,1071,2617,3633,376
1998,pork,708,4158,483,154,1135,548,2,144,76,61,8756,2565,0,530,65,808,7,231,521,19188,1784,310,638,211,8,105
1998,mutton & goat meat,6,57,34,8,49,111,268,318,283,56,612,96,186,15,160,111,449,341,5,1206,25,44,0,576,391,61
1998,poultry & eggs,661,10168,1551,633,3289,2224,896,482,208,512,7379,1693,664,515,112,1315,1517,1226,505,15859,2378,747,1884,450,552,173
1998,total,2969,29256,3824,1586,10032,8425,2467,1949,2667,1262,36988,9174,2294,4060,1930,7858,3564,12220,1478,39837,4776,1416,3861,5119,5257,997
1999,beef,606,5904,697,284,3153,2554,433,487,593,302,3925,627,180,526,454,1105,301,1118,169,2355,417,193,259,1292,693,288
1999,milk,1018,9173,1118,524,2522,3027,935,550,1589,337,16261,4147,1235,2361,1167,4383,1347,9684,283,1521,185,120,1062,2733,3706,390
1999,pork,759,4250,498,156,1209,564,2,148,73,59,8872,2465,0,511,65,788,8,232,529,20052,1843,293,634,215,9,108
1999,mutton & goat meat,6,55,35,9,50,113,271,339,304,56,601,90,185,13,154,103,459,343,6,1292,26,44,0,596,398,64
1999,poultry & eggs,688,10456,1684,674,3532,2358,940,501,215,541,7378,1744,690,524,118,1354,1618,1318,515,16482,2469,752,1877,468,569,180
1999,total,3077,29839,4032,1647,10465,8616,2581,2025,2773,1295,37036,9072,2290,3935,1959,7733,3733,12696,1503,41701,4939,1402,3833,5305,5374,1029
2000,beef,627,5935,710,284,3275,2523,452,506,615,281,3883,589,174,499,452,1063,312,1121,157,2479,419,190,260,1314,705,292
2000,milk,1015,9332,1163,543,2600,3046,977,565,1715,333,16280,4142,1194,2360,1222,4378,1396,10031,297,1701,198,120,1056,2852,3798,403
2000,pork,819,4360,511,167,1284,584,2,156,70,59,9017,2430,0,498,68,793,8,233,548,20568,1916,278,630,221,9,110
2000,mutton & goat meat,6,53,36,10,50,111,272,356,324,56,597,85,180,12,154,98,462,345,7,1358,27,46,0,602,401,66
2000,poultry & eggs,712,10752,1806,719,3808,2453,996,527,221,567,7356,1815,712,553,129,1412,1703,1427,534,17101,2568,791,1872,485,585,185
2000,total,3179,30432,4227,1724,11016,8718,2699,2110,2945,1297,37133,9061,2260,3921,2024,7744,3881,13157,1543,43207,5129,1425,3818,5475,5498,1056
2001,beef,629,6012,722,285,3418,2531,465,522,637,293,3854,565,167,485,459,1041,322,1124,138,2581,424,192,256,1317,716,295
2001,milk,1003,9480,1201,558,2692,3025,1046,584,1860,327,16303,4114,1210,2343,1293,4392,1439,10345,306,1984,215,124,1051,2949,3894,412
2001,pork,867,4403,519,176,1349,601,2,161,70,61,9034,2401,0,491,70,817,8,234,574,20922,2023,266,628,226,9,109
2001,mutton & goat meat,7,51,38,10,50,110,272,372,340,59,587,82,174,11,155,94,465,347,7,1424,28,52,0,601,404,69
2001,poultry & eggs,732,11036,1903,758,4128,2521,1048,538,229,591,7233,1854,746,581,142,1472,1807,1539,557,17604,2681,888,1875,495,618,192
2001,total,3238,30982,4383,1787,11638,8788,2833,2178,3136,1330,37010,9016,2296,3911,2117,7816,4041,13588,1582,44513,5370,1522,3811,5588,5641,1077
2002,beef,653,6039,737,284,3555,2570,476,540,657,305,3828,546,168,463,474,1053,335,1131,123,2677,428,205,254,1342,730,288
