Commodity,Commodity_Code,Year,State,StFips,Planted All Purposes,Planted All Purposes(UNIT),Harvested,Harvested(UNIT),Yield,Yield(UNIT),Production,Production(UNIT),Price per Unit,Price per Unit(UNIT),Value of production,Value of production(UNIT)
Corn For Grain,11199199,2006,Minnesota,27,7300,thousand acres,6850,thousand acres,161,bushel,1102850,thousand bushels,2.89,dols / bu,3187237,thousand dollars
Corn For Grain,11199199,2006,Mississippi,28,340,thousand acres,325,thousand acres,107,bushel,34775,thousand bushels,2.84,dols / bu,98761,thousand dollars
Corn For Grain,11199199,2006,Missouri,29,2700,thousand acres,2630,thousand acres,138,bushel,362940,thousand bushels,3.06,dols / bu,1110596,thousand dollars
Corn For Grain,11199199,2006,Montana,30,65,thousand acres,18,thousand acres,146,bushel,2628,thousand bushels,3.93,dols / bu,10328,thousand dollars
Corn For Grain,11199199,2006,Nebraska,31,8100,thousand acres,7750,thousand acres,152,bushel,1178000,thousand bushels,3,dols / bu,3534000,thousand dollars
Corn For Grain,11199199,2006,Nevada,32,4,thousand acres,,,,,,,,,,
Corn For Grain,11199199,2006,New Hampshire,33,14,thousand acres,,,,,,,,,,
Corn For Grain,11199199,2006,New Jersey,34,80,thousand acres,64,thousand acres,129,bushel,8256,thousand bushels,3.37,dols / bu,27823,thousand dollars
Corn For Grain,11199199,2006,New Mexico,35,130,thousand acres,45,thousand acres,185,bushel,8325,thousand bushels,3.7,dols / bu,30803,thousand dollars
Corn For Grain,11199199,2006,New York,36,950,thousand acres,480,thousand acres,129,bushel,61920,thousand bushels,3.42,dols / bu,211766,thousand dollars
Corn For Grain,11199199,2006,North Carolina,37,790,thousand acres,740,thousand acres,132,bushel,97680,thousand bushels,3.03,dols / bu,295970,thousand dollars
Corn For Grain,11199199,2006,North Dakota,38,1690,thousand acres,1400,thousand acres,111,bushel,155400,thousand bushels,2.77,dols / bu,430458,thousand dollars
Corn For Grain,11199199,2006,Ohio,39,3150,thousand acres,2960,thousand acres,159,bushel,470640,thousand bushels,3.08,dols / bu,1449571,thousand dollars
Corn For Grain,11199199,2006,Oklahoma,40,270,thousand acres,220,thousand acres,105,bushel,23100,thousand bushels,3.17,dols / bu,73227,thousand dollars
Corn For Grain,11199199,2006,Oregon,41,51,thousand acres,29,thousand acres,180,bushel,5220,thousand bushels,3.24,dols / bu,16913,thousand dollars
Corn For Grain,11199199,2006,Pennsylvania,42,1350,thousand acres,960,thousand acres,122,bushel,117120,thousand bushels,3.54,dols / bu,414605,thousand dollars
Corn For Grain,11199199,2006,Rhode Island,44,2,thousand acres,,,,,,,,,,
Corn For Grain,11199199,2006,South Carolina,45,310,thousand acres,290,thousand acres,110,bushel,31900,thousand bushels,2.98,dols / bu,95062,thousand dollars
Corn For Grain,11199199,2006,South Dakota,46,4500,thousand acres,3220,thousand acres,97,bushel,312340,thousand bushels,2.88,dols / bu,899539,thousand dollars
Corn For Grain,11199199,2006,Tennessee,47,550,thousand acres,500,thousand acres,125,bushel,62500,thousand bushels,2.93,dols / bu,183125,thousand dollars
Corn For Grain,11199199,2006,Texas,48,1760,thousand acres,1450,thousand acres,121,bushel,175450,thousand bushels,3.2,dols / bu,561440,thousand dollars
Corn For Grain,11199199,2006,Utah,49,65,thousand acres,17,thousand acres,157,bushel,2669,thousand bushels,3.29,dols / bu,8781,thousand dollars
Corn For Grain,11199199,2006,Vermont,50,85,thousand acres,,,,,,,,,,
Corn For Grain,11199199,2006,Virginia,51,480,thousand acres,345,thousand acres,120,bushel,41400,thousand bushels,3.07,dols / bu,127098,thousand dollars
Corn For Grain,11199199,2006,Washington,53,140,thousand acres,75,thousand acres,210,bushel,15750,thousand bushels,3.72,dols / bu,58590,thousand dollars
Corn For Grain,11199199,2006,West Virginia,54,45,thousand acres,26,thousand acres,120,bushel,3120,thousand bushels,3.57,dols / bu,11138,thousand dollars
Corn For Grain,11199199,2006,Wisconsin,55,3650,thousand acres,2800,thousand acres,143,bushel,400400,thousand bushels,3.04,dols / bu,1217216,thousand dollars
Corn For Grain,11199199,2006,Wyoming,56,85,thousand acres,45,thousand acres,129,bushel,5805,thousand bushels,2.64,dols / bu,15325,thousand dollars
Corn For Grain,11199199,2006,United States,99,78327,thousand acres,70638,thousand acres,149.1,bushel,10531123,thousand bushels,3.04,dols / bu,32083011,thousand dollars
Corn For Silage,11199299,2006,Alabama,1,,,10,thousand acres,8,tons,80,thousand tons,,,,
Corn For Silage,11199299,2006,Arizona,4,,,31,thousand acres,26,tons,806,thousand tons,,,,
Corn For Silage,11199299,2006,Arkansas,5,,,4,thousand acres,12,tons,48,thousand tons,,,,
Corn For Silage,11199299,2006,California,6,,,405,thousand acres,27,tons,10935,thousand tons,,,,
Corn For Silage,11199299,2006,Colorado,8,,,90,thousand acres,20.5,tons,1845,thousand tons,,,,
Corn For Silage,11199299,2006,Connecticut,9,,,26,thousand acres,17.5,tons,455,thousand tons,,,,
Corn For Silage,11199299,2006,Delaware,10,,,8,thousand acres,20,tons,160,thousand tons,,,,
Corn For Silage,11199299,2006,Florida,12,,,27,thousand acres,18,tons,486,thousand tons,,,,
Corn For Silage,11199299,2006,Georgia,13,,,40,thousand acres,17,tons,680,thousand tons,,,,
Corn For Silage,11199299,2006,Idaho,16,,,200,thousand acres,27.5,tons,5500,thousand tons,,,,
Corn For Silage,11199299,2006,Illinois,17,,,105,thousand acres,18,tons,1890,thousand tons,,,,
Corn For Silage,11199299,2006,Indiana,18,,,100,thousand acres,21,tons,2100,thousand tons,,,,
Corn For Silage,11199299,2006,Iowa,19,,,220,thousand acres,18.5,tons,4070,thousand tons,,,,
Corn For Silage,11199299,2006,Kansas,20,,,300,thousand acres,12,tons,3600,thousand tons,,,,
Corn For Silage,11199299,2006,Kentucky,21,,,75,thousand acres,18,tons,1350,thousand tons,,,,
Corn For Silage,11199299,2006,Louisiana,22,,,5,thousand acres,14,tons,70,thousand tons,,,,
Corn For Silage,11199299,2006,Maine,23,,,24,thousand acres,17,tons,408,thousand tons,,,,
Corn For Silage,11199299,2006,Maryland,24,,,60,thousand acres,17,tons,1020,thousand tons,,,,
Corn For Silage,11199299,2006,Massachusetts,25,,,15,thousand acres,19,tons,285,thousand tons,,,,
Corn For Silage,11199299,2006,Michigan,26,,,240,thousand acres,16.5,tons,3960,thousand tons,,,,
Corn For Silage,11199299,2006,Minnesota,27,,,400,thousand acres,15,tons,6000,thousand tons,,,,
Corn For Silage,11199299,2006,Mississippi,28,,,10,thousand acres,14,tons,140,thousand tons,,,,
Corn For Silage,11199299,2006,Missouri,29,,,60,thousand acres,13,tons,780,thousand tons,,,,
Corn For Silage,11199299,2006,Montana,30,,,45,thousand acres,22,tons,990,thousand tons,,,,
Corn For Silage,11199299,2006,Nebraska,31,,,280,thousand acres,15,tons,4200,thousand tons,,,,
Corn For Silage,11199299,2006,Nevada,32,,,4,thousand acres,25,tons,100,thousand tons,,,,
Corn For Silage,11199299,2006,New Hampshire,33,,,14,thousand acres,18,tons,252,thousand tons,,,,
Corn For Silage,11199299,2006,New Jersey,34,,,15,thousand acres,17,tons,255,thousand tons,,,,
Corn For Silage,11199299,2006,New Mexico,35,,,84,thousand acres,25,tons,2100,thousand tons,,,,
Corn For Silage,11199299,2006,New York,36,,,460,thousand acres,18,tons,8280,thousand tons,,,,
Corn For Silage,11199299,2006,North Carolina,37,,,45,thousand acres,18,tons,810,thousand tons,,,,
Corn For Silage,11199299,2006,North Dakota,38,,,220,thousand acres,5.9,tons,1298,thousand tons,,,,
Corn For Silage,11199299,2006,Ohio,39,,,150,thousand acres,17,tons,2550,thousand tons,,,,
Corn For Silage,11199299,2006,Oklahoma,40,,,35,thousand acres,17,tons,595,thousand tons,,,,
Corn For Silage,11199299,2006,Oregon,41,,,22,thousand acres,26,tons,572,thousand tons,,,,
Corn For Silage,11199299,2006,Pennsylvania,42,,,380,thousand acres,18,tons,6840,thousand tons,,,,
Corn For Silage,11199299,2006,Rhode Island,44,,,2,thousand acres,20.5,tons,41,thousand tons,,,,
Corn For Silage,11199299,2006,South Carolina,45,,,14,thousand acres,15,tons,210,thousand tons,,,,
Corn For Silage,11199299,2006,South Dakota,46,,,850,thousand acres,6,tons,5100,thousand tons,,,,
Corn For Silage,11199299,2006,Tennessee,47,,,47,thousand acres,16,tons,752,thousand tons,,,,
Corn For Silage,11199299,2006,Texas,48,,,160,thousand acres,15,tons,2400,thousand tons,,,,
Corn For Silage,11199299,2006,Utah,49,,,47,thousand acres,22,tons,1034,thousand tons,,,,
Corn For Silage,11199299,2006,Vermont,50,,,81,thousand acres,13,tons,1053,thousand tons,,,,
Corn For Silage,11199299,2006,Virginia,51,,,130,thousand acres,17.5,tons,2275,thousand tons,,,,
Corn For Silage,11199299,2006,Washington,53,,,65,thousand acres,27,tons,1755,thousand tons,,,,
Corn For Silage,11199299,2006,West Virginia,54,,,18,thousand acres,17,tons,306,thousand tons,,,,
Corn For Silage,11199299,2006,Wisconsin,55,,,830,thousand acres,17,tons,14110,thousand tons,,,,
Corn For Silage,11199299,2006,Wyoming,56,,,34,thousand acres,22,tons,748,thousand tons,,,,
Corn For Silage,11199299,2006,United States,99,,,6487,thousand acres,16.2,tons,105294,thousand tons,,,,
Oats,11299999,2006,Alabama,1,50,thousand acres,10,thousand acres,40,bushel,400,thousand bushels,1.9,dols / bu,760,thousand dollars
Oats,11299999,2006,Alaska,2,2000,acre,800,acre,35,bushel,28000,bushel,2.45,dols / bu,69,thousand dollars
Oats,11299999,2006,California,6,270,thousand acres,20,thousand acres,90,bushel,1800,thousand bushels,2.7,dols / bu,4860,thousand dollars
Oats,11299999,2006,Colorado,8,85,thousand acres,10,thousand acres,70,bushel,700,thousand bushels,2.7,dols / bu,1890,thousand dollars
Oats,11299999,2006,Georgia,13,70,thousand acres,30,thousand acres,53,bushel,1590,thousand bushels,1.9,dols / bu,3021,thousand dollars
Oats,11299999,2006,Idaho,16,90,thousand acres,20,thousand acres,72,bushel,1440,thousand bushels,1.91,dols / bu,2750,thousand dollars
Oats,11299999,2006,Illinois,17,60,thousand acres,40,thousand acres,77,bushel,3080,thousand bushels,1.85,dols / bu,5698,thousand dollars
Oats,11299999,2006,Indiana,18,25,thousand acres,14,thousand acres,80,bushel,1120,thousand bushels,2.1,dols / bu,2352,thousand dollars
Oats,11299999,2006,Iowa,19,210,thousand acres,110,thousand acres,76,bushel,8360,thousand bushels,1.94,dols / bu,16218,thousand dollars
Oats,11299999,2006,Kansas,20,100,thousand acres,40,thousand acres,46,bushel,1840,thousand bushels,1.97,dols / bu,3625,thousand dollars
Oats,11299999,2006,Maine,23,29,thousand acres,28,thousand acres,55,bushel,1540,thousand bushels,1.38,dols / bu,2125,thousand dollars
Oats,11299999,2006,Michigan,26,80,thousand acres,65,thousand acres,62,bushel,4030,thousand bushels,1.93,dols / bu,7778,thousand dollars
Oats,11299999,2006,Minnesota,27,290,thousand acres,200,thousand acres,56,bushel,11200,thousand bushels,1.93,dols / bu,21616,thousand dollars
Oats,11299999,2006,Missouri,29,40,thousand acres,28,thousand acres,65,bushel,1820,thousand bushels,1.95,dols / bu,3549,thousand dollars
Oats,11299999,2006,Montana,30,70,thousand acres,24,thousand acres,46,bushel,1104,thousand bushels,2.22,dols / bu,2451,thousand dollars
Oats,11299999,2006,Nebraska,31,160,thousand acres,45,thousand acres,45,bushel,2025,thousand bushels,1.99,dols / bu,4030,thousand dollars
Oats,11299999,2006,New York,36,85,thousand acres,67,thousand acres,74,bushel,4958,thousand bushels,1.67,dols / bu,8280,thousand dollars
Oats,11299999,2006,North Carolina,37,60,thousand acres,26,thousand acres,65,bushel,1690,thousand bushels,2.1,dols / bu,3549,thousand dollars
Oats,11299999,2006,North Dakota,38,420,thousand acres,120,thousand acres,41,bushel,4920,thousand bushels,1.84,dols / bu,9053,thousand dollars
Oats,11299999,2006,Ohio,39,70,thousand acres,55,thousand acres,75,bushel,4125,thousand bushels,1.44,dols / bu,5940,thousand dollars
Oats,11299999,2006,Oklahoma,40,35,thousand acres,8,thousand acres,30,bushel,240,thousand bushels,2.4,dols / bu,576,thousand dollars
Oats,11299999,2006,Oregon,41,50,thousand acres,20,thousand acres,95,bushel,1900,thousand bushels,2.05,dols / bu,3895,thousand dollars
Oats,11299999,2006,Pennsylvania,42,135,thousand acres,110,thousand acres,64,bushel,7040,thousand bushels,2.07,dols / bu,14573,thousand dollars
Oats,11299999,2006,South Carolina,45,33,thousand acres,18,thousand acres,50,bushel,900,thousand bushels,1.9,dols / bu,1710,thousand dollars
Oats,11299999,2006,South Dakota,46,380,thousand acres,95,thousand acres,57,bushel,5415,thousand bushels,2.08,dols / bu,11263,thousand dollars
Oats,11299999,2006,Texas,48,760,thousand acres,100,thousand acres,37,bushel,3700,thousand bushels,2.43,dols / bu,8991,thousand dollars
Oats,11299999,2006,Utah,49,45,thousand acres,7,thousand acres,77,bushel,539,thousand bushels,2.46,dols / bu,1326,thousand dollars
Oats,11299999,2006,Virginia,51,16,thousand acres,4,thousand acres,50,bushel,200,thousand bushels,2.4,dols / bu,480,thousand dollars
Oats,11299999,2006,Washington,53,30,thousand acres,8,thousand acres,84,bushel,672,thousand bushels,1.9,dols / bu,1277,thousand dollars
Oats,11299999,2006,Wisconsin,55,370,thousand acres,230,thousand acres,63,bushel,14490,thousand bushels,1.78,dols / bu,25792,thousand dollars
Oats,11299999,2006,Wyoming,56,48,thousand acres,12,thousand acres,57,bushel,684,thousand bushels,2.15,dols / bu,1471,thousand dollars
Oats,11299999,2006,United States,99,4166,thousand acres,1564,thousand acres,59.8,bushel,93522,thousand bushels,1.87,dols / bu,180899,thousand dollars
Barley All,11399999,2006,Alaska,2,4500,acre,4200,acre,37.4,bushel,157000,bushel,3.55,dols / bu,557,thousand dollars
Barley All,11399999,2006,Arizona,4,25,thousand acres,22,thousand acres,115,bushel,2530,thousand bushels,3.2,dols / bu,8096,thousand dollars
Barley All,11399999,2006,California,6,90,thousand acres,65,thousand acres,55,bushel,3575,thousand bushels,2.48,dols / bu,8866,thousand dollars
Barley All,11399999,2006,Colorado,8,47,thousand acres,42,thousand acres,115,bushel,4830,thousand bushels,2.48,dols / bu,11978,thousand dollars
Barley All,11399999,2006,Delaware,10,27,thousand acres,24,thousand acres,80,bushel,1920,thousand bushels,1.54,dols / bu,2957,thousand dollars
Barley All,11399999,2006,Idaho,16,530,thousand acres,510,thousand acres,84,bushel,42840,thousand bushels,3.12,dols / bu,133661,thousand dollars
Barley All,11399999,2006,Kansas,20,24,thousand acres,18,thousand acres,27,bushel,486,thousand bushels,2.3,dols / bu,1118,thousand dollars
Barley All,11399999,2006,Kentucky,21,15,thousand acres,14,thousand acres,88,bushel,1232,thousand bushels,2,dols / bu,2464,thousand dollars
Barley All,11399999,2006,Maine,23,18,thousand acres,17,thousand acres,50,bushel,850,thousand bushels,1.85,dols / bu,1573,thousand dollars
Barley All,11399999,2006,Maryland,24,50,thousand acres,32,thousand acres,87,bushel,2784,thousand bushels,1.54,dols / bu,4287,thousand dollars
Barley All,11399999,2006,Michigan,26,15,thousand acres,14,thousand acres,49,bushel,686,thousand bushels,1.8,dols / bu,1235,thousand dollars
Barley All,11399999,2006,Minnesota,27,105,thousand acres,90,thousand acres,60,bushel,5400,thousand bushels,2.62,dols / bu,14148,thousand dollars
Barley All,11399999,2006,Montana,30,770,thousand acres,620,thousand acres,50,bushel,31000,thousand bushels,3,dols / bu,93000,thousand dollars
Barley All,11399999,2006,Nevada,32,4,thousand acres,2,thousand acres,100,bushel,200,thousand bushels,3.05,dols / bu,610,thousand dollars
Barley All,11399999,2006,New Jersey,34,3,thousand acres,2,thousand acres,57,bushel,114,thousand bushels,2.05,dols / bu,234,thousand dollars
Barley All,11399999,2006,New York,36,17,thousand acres,12,thousand acres,55,bushel,660,thousand bushels,1.79,dols / bu,1181,thousand dollars
Barley All,11399999,2006,North Carolina,37,24,thousand acres,17,thousand acres,80,bushel,1360,thousand bushels,1.95,dols / bu,2652,thousand dollars
Barley All,11399999,2006,North Dakota,38,1100,thousand acres,995,thousand acres,49,bushel,48755,thousand bushels,2.65,dols / bu,129201,thousand dollars
Barley All,11399999,2006,Ohio,39,5,thousand acres,4,thousand acres,68,bushel,272,thousand bushels,1.95,dols / bu,530,thousand dollars
Barley All,11399999,2006,Oregon,41,55,thousand acres,42,thousand acres,58,bushel,2436,thousand bushels,2.93,dols / bu,7137,thousand dollars
Barley All,11399999,2006,Pennsylvania,42,55,thousand acres,46,thousand acres,81,bushel,3726,thousand bushels,1.77,dols / bu,6595,thousand dollars
Barley All,11399999,2006,South Dakota,46,55,thousand acres,14,thousand acres,40,bushel,560,thousand bushels,2.51,dols / bu,1406,thousand dollars
Barley All,11399999,2006,Utah,49,40,thousand acres,30,thousand acres,76,bushel,2280,thousand bushels,3.02,dols / bu,6886,thousand dollars
