# File: GIS_land_types.csv,,,
# Description: Mapping from GIS land categories to specific categories in databases,,,
# Original source: Yuyu Zhou's GIS data processing,,,
# ----------,,,
Category,LT_SAGE,LT_HYDE,LT_WDPA
422,Temperate Needleleaf Evergreen Forest/Woodland,Pasture,Non-protected
522,Temperate Deciduous Forest/Woodland,Pasture,Non-protected
622,Boreal Evergreen Forest/Woodland,Pasture,Non-protected
722,Boreal Deciduous Forest/Woodland,Pasture,Non-protected
822,Evergreen/Deciduous Mixed Forest/Woodland,Pasture,Non-protected
922,Savanna,Pasture,Non-protected
1022,Grassland/Steppe,Pasture,Non-protected
1122,Dense Shrubland,Pasture,Non-protected
1222,Open Shrubland,Pasture,Non-protected
1322,Tundra,Pasture,Non-protected
1422,Desert,Pasture,Non-protected
1522,Polar Desert/Rock/Ice,Pasture,Non-protected
132,Tropical Evergreen Forest/Woodland,Urbanland,Non-protected
232,Tropical Deciduous Forest/Woodland,Urbanland,Non-protected
332,Temperate Broadleaf Evergreen Forest/Woodland,Urbanland,Non-protected
432,Temperate Needleleaf Evergreen Forest/Woodland,Urbanland,Non-protected
532,Temperate Deciduous Forest/Woodland,Urbanland,Non-protected
632,Boreal Evergreen Forest/Woodland,Urbanland,Non-protected
732,Boreal Deciduous Forest/Woodland,Urbanland,Non-protected
832,Evergreen/Deciduous Mixed Forest/Woodland,Urbanland,Non-protected
932,Savanna,Urbanland,Non-protected
1032,Grassland/Steppe,Urbanland,Non-protected
1132,Dense Shrubland,Urbanland,Non-protected
1232,Open Shrubland,Urbanland,Non-protected
1332,Tundra,Urbanland,Non-protected
1432,Desert,Urbanland,Non-protected
1532,Polar Desert/Rock/Ice,Urbanland,Non-protected
