supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
H2 central production,coal,coal chemical,3.5,3.5,3.5,3.5,3.5,3.5
H2 central production,coal,coal chemical CCS,3.5,3.5,3.5,3.5,3.5,3.5
H2 central production,gas,natural gas steam reforming,3.5,3.5,3.5,3.5,3.5,
H2 central production,gas,natural gas steam reforming CCS,3.5,3.5,3.5,3.5,3.5,
H2 forecourt production,gas,natural gas steam reforming,3.5,3.5,3.5,3.5,3.5,
industrial energy use,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
industrial energy use,biomass,biomass cogen,,,,,,
industrial energy use,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
industrial energy use,coal,coal cogen,,,,,,
industrial energy use,district heat,district heat,,,,,,
industrial energy use,electricity,electricity,,,,,,
industrial energy use,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
industrial energy use,gas,gas cogen,,,,,,
industrial energy use,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
industrial energy use,refined liquids,refined liquids cogen,,,,,,
industrial feedstocks,coal,coal,,,,,,
industrial feedstocks,gas,gas,,,,,,
industrial feedstocks,refined liquids,refined liquids,,,,,,
N fertilizer,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
N fertilizer,gas,gas,3.5,3.5,3.5,3.5,3.5,
N fertilizer,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
process heat cement,biomass,biomass,,,,,,
process heat cement,coal,coal,,,,,,
process heat cement,gas,gas,,,,,,
process heat cement,refined liquids,refined liquids,,,,,,
refining,biomass liquids,biodiesel,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,cellulosic ethanol,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,cellulosic ethanol CCS level 1,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,cellulosic ethanol CCS level 2,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,corn ethanol,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,FT biofuels,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,FT biofuels CCS level 1,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,FT biofuels CCS level 2,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,sugar cane ethanol,3.5,3.5,3.5,3.5,3.5,3.5
refining,coal to liquids,coal to liquids,3.5,3.5,3.5,3.5,3.5,3.5
refining,coal to liquids,coal to liquids CCS level 1,3.5,3.5,3.5,3.5,3.5,3.5
refining,coal to liquids,coal to liquids CCS level 2,3.5,3.5,3.5,3.5,3.5,3.5
refining,gas to liquids,gas to liquids,3.5,3.5,3.5,3.5,3.5,3.5
refining,oil refining,oil refining,3.5,3.5,3.5,3.5,3.5,3.5
unconventional oil production,unconventional oil production,unconventional oil production,,,,,,3.5
regional oil,crude oil,crude oil,3.5,3.5,3.5,,,3.5
resid heating,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
resid heating,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
resid heating,electricity,electricity,,,,,,
resid heating,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
resid heating,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
resid heating,traditional biomass,traditional biomass,3.5,3.5,3.5,3.5,3.5,
resid heating,district heat,district heat,,,,,,
resid cooling,electricity,electricity,,,,,,
resid cooling,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
resid others,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
resid others,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
resid others,electricity,electricity,,,,,,
resid others,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
resid others,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
resid others,traditional biomass,traditional biomass,3.5,3.5,3.5,3.5,3.5,
resid others,district heat,district heat,,,,,,
comm heating,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
comm heating,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
comm heating,electricity,electricity,,,,,,
comm heating,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
comm heating,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
comm heating,traditional biomass,traditional biomass,3.5,3.5,3.5,3.5,3.5,
comm heating,district heat,district heat,,,,,,
comm cooling,electricity,electricity,,,,,,
comm cooling,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
comm others,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
comm others,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
comm others,electricity,electricity,,,,,,
comm others,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
comm others,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
comm others,traditional biomass,traditional biomass,3.5,3.5,3.5,3.5,3.5,
comm others,district heat,district heat,,,,,,
transportation,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
transportation,coal,coal,,,,3.5,3.5,3.5
transportation,gas,gas,3.5,,,,,3.5
transportation,electricity,electricity,,,,,,
regional coal,regional coal,regional coal,,,,3.5,3.5,
regional natural gas,regional natural gas,regional natural gas,,,,,,3.5
